gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
?|100133144	11.0789	lowly_expressed	lowly_expressed
?|10357	130.289	?|10357	78.9238
?|10431	1272.9892	?|10431	978.4127
?|155060	219.0016	?|155060	219.0476
lowly_expressed	lowly_expressed	?|390284	6.3492
lowly_expressed	lowly_expressed	?|553137	8.8889
?|57714	1396.0505	?|57714	243.1746
?|645851	23.3918	?|645851	6.9841
?|652919	17.9405	lowly_expressed	lowly_expressed
?|653553	99.3305	?|653553	170.4762
lowly_expressed	lowly_expressed	?|729884	9.2063
?|8225	197.3049	?|8225	608.5714
lowly_expressed	lowly_expressed	?|90288	55.873
A1BG|1	43.0714	A1BG|1	154.473
A2LD1|87769	138.5134	A2LD1|87769	119.581
A2ML1|144568	12.5434	A2ML1|144568	16.8254
A2M|2	9467.7956	A2M|2	40198.2063
A4GALT|53947	114.925	A4GALT|53947	627.3016
AAAS|8086	697.6862	AAAS|8086	780
AACS|65985	845.4954	AACS|65985	1132.0635
lowly_expressed	lowly_expressed	AADACL3|126767	5.0794
lowly_expressed	lowly_expressed	AADAC|13	19.6825
AADAT|51166	200.356	AADAT|51166	58.7302
AAGAB|79719	1318.4168	AAGAB|79719	1448.8889
AAK1|22848	905.1615	AAK1|22848	966.9841
AAMP|14	919.3999	AAMP|14	2770.7937
AARS2|57505	625.3954	AARS2|57505	485.0413
AARSD1|80755	550.8941	AARSD1|80755	692.6984
AARS|16	4755.6573	AARS|16	3063.1746
AASDHPPT|60496	652.5977	AASDHPPT|60496	655.5016
AASDH|132949	240.3594	AASDH|132949	314.9206
AASS|10157	125.4344	AASS|10157	592.6984
AATF|26574	2056.4455	AATF|26574	1138.7302
AATK|9625	35.5962	AATK|9625	91.746
ABAT|18	289.5161	ABAT|18	1226.3492
lowly_expressed	lowly_expressed	ABCA10|10349	164.127
ABCA11P|79963	68.955	ABCA11P|79963	151.2349
ABCA12|26154	20.6797	ABCA12|26154	194.9206
ABCA13|154664	8.4753	ABCA13|154664	8.5714
ABCA17P|650655	15.2555	ABCA17P|650655	11.1111
ABCA1|19	743.4189	ABCA1|19	719.9524
ABCA2|20	779.7271	ABCA2|20	1164.7619
ABCA3|21	873.6334	ABCA3|21	1494.9206
ABCA4|24	15.2555	ABCA4|24	153.6508
ABCA5|23461	352.5723	ABCA5|23461	626.6667
ABCA6|23460	19.3237	ABCA6|23460	335.5556
ABCA7|10347	170.8619	ABCA7|10347	387.9365
ABCA8|10351	380.7102	ABCA8|10351	773.3333
ABCA9|10350	12.8824	lowly_expressed	lowly_expressed
ABCB10|23456	657.6829	ABCB10|23456	256.1905
ABCB1|5243	36.9523	ABCB1|5243	468.254
ABCB4|5244	7.1192	ABCB4|5244	21.9048
lowly_expressed	lowly_expressed	ABCB5|340273	96.8254
ABCB6|10058	212.9943	ABCB6|10058	442.2286
ABCB7|22	666.8362	ABCB7|22	519.0476
ABCB8|11194	763.7935	ABCB8|11194	571.1111
ABCB9|23457	97.7574	ABCB9|23457	103.9873
ABCC10|89845	384.4394	ABCC10|89845	365.3968
lowly_expressed	lowly_expressed	ABCC11|85320	439.0476
ABCC1|4363	2390.0331	ABCC1|4363	923.4921
ABCC2|1244	22.3748	ABCC2|1244	9.2063
ABCC3|8714	152.2163	ABCC3|8714	644.7619
ABCC4|10257	68.8194	ABCC4|10257	138.0952
ABCC5|10057	797.3557	ABCC5|10057	739.6825
lowly_expressed	lowly_expressed	ABCC6P1|653190	6.3492
ABCC6P2|730013	26.7819	ABCC6P2|730013	22.8571
ABCC6|368	109.1618	ABCC6|368	141.5873
ABCC8|6833	10.1704	ABCC8|6833	307.3016
ABCC9|10060	138.9948	ABCC9|10060	268.254
ABCD1|215	504.4495	ABCD1|215	243.8095
lowly_expressed	lowly_expressed	ABCD2|225	26.3492
ABCD3|5825	3143.6562	ABCD3|5825	3005.7143
ABCD4|5826	347.8261	ABCD4|5826	790.1587
ABCE1|6059	3650.1398	ABCE1|6059	1261.2698
ABCF1|23	2435.1216	ABCF1|23	1614.2857
ABCF2|10061	2424.6123	ABCF2|10061	1416.1905
ABCF3|55324	1884.9055	ABCF3|55324	1116.8254
ABCG1|9619	509.8737	ABCG1|9619	507.619
ABCG2|9429	33.2232	ABCG2|9429	229.2063
ABCG4|64137	5.0852	ABCG4|64137	5.0794
ABHD10|55347	462.7511	ABHD10|55347	646.9841
ABHD11|83451	1092.635	ABHD11|83451	685.0794
ABHD12|26090	1046.5294	ABHD12|26090	1099.3651
ABHD13|84945	465.4632	ABHD13|84945	498.0952
ABHD14A|25864	113.5689	ABHD14A|25864	320.3175
ABHD14B|84836	597.6778	ABHD14B|84836	2236.1905
ABHD15|116236	296.6353	ABHD15|116236	360.3175
ABHD1|84696	13.5605	ABHD1|84696	26.3492
ABHD2|11057	2632.4265	ABHD2|11057	2079.3651
ABHD3|171586	519.027	ABHD3|171586	341.5873
ABHD4|63874	334.9436	ABHD4|63874	870.4762
ABHD5|51099	796.3387	ABHD5|51099	916.5079
ABHD6|57406	101.7035	ABHD6|57406	172.0635
ABHD8|79575	319.6881	ABHD8|79575	332.0635
ABI1|10006	1304.5173	ABI1|10006	1177.0317
ABI2|10152	1438.427	ABI2|10152	1523.1746
ABI3BP|25890	32.2061	ABI3BP|25890	1075.5556
ABI3|51225	90.1771	ABI3|51225	350.1587
ABL1|25	1964.9123	ABL1|25	2372.0635
ABL2|27	1753.7079	ABL2|27	942.2222
ABLIM1|3983	5226.5446	ABLIM1|3983	3618.4127
ABLIM2|84448	93.5673	ABLIM2|84448	135.2381
ABLIM3|22885	89.1601	ABLIM3|22885	1340.3175
ABO|28	14.9165	ABO|28	61.5873
ABP1|26	5.7632	ABP1|26	13.3333
ABR|29	3150.0975	ABR|29	2407.9365
ABT1|29777	691.584	ABT1|29777	648.5714
ABTB1|80325	202.39	ABTB1|80325	701.2698
ABTB2|25841	445.8005	ABTB2|25841	68.254
ACAA1|30	693.9571	ACAA1|30	1996.1905
ACAA2|10449	2612.7638	ACAA2|10449	1571.1111
ACACA|31	2626.6633	ACACA|31	1986.9841
ACACB|32	478.3456	ACACB|32	1132.381
ACAD10|80724	641.0713	ACAD10|80724	546.9841
ACAD11|84129	262.7341	ACAD11|84129	514.5873
ACAD8|27034	410.2043	ACAD8|27034	703.1746
ACAD9|28976	1061.4222	ACAD9|28976	902.5333
ACADL|33	40.6814	ACADL|33	33.9683
ACADM|34	2065.9378	ACADM|34	1023.8095
ACADSB|36	967.8786	ACADSB|36	2791.746
ACADS|35	248.4956	ACADS|35	824.4444
ACADVL|37	5586.2022	ACADVL|37	8942.1492
ACAN|176	168.8279	ACAN|176	61.5873
ACAP1|9744	28.138	ACAP1|9744	146.6667
ACAP2|23527	740.0627	ACAP2|23527	899.3651
ACAP3|116983	590.2568	ACAP3|116983	502.2603
ACAT1|38	1616.7472	ACAT1|38	1388.254
ACAT2|39	1090.7365	ACAT2|39	432.9524
ACBD3|64746	1962.8782	ACBD3|64746	1048.8889
ACBD4|79777	109.1618	ACBD4|79777	361.2698
ACBD5|91452	840.0712	ACBD5|91452	621.9048
ACBD6|84320	1045.5123	ACBD6|84320	534.6032
ACBD7|414149	106.4497	ACBD7|414149	33.6508
lowly_expressed	lowly_expressed	ACCN1|40	8.254
ACCN2|41	81.7018	ACCN2|41	130.4762
ACCN3|9311	10.8484	ACCN3|9311	7.9365
ACCS|84680	173.574	ACCS|84680	608.254
ACD|65057	433.9351	ACD|65057	453.6508
