gene_id	TCGA-A7-A0CH-01A-21R-A00Z-07	gene_id	TCGA-A7-A0CH-11A-32R-A089-07
?|100133144	5.9183	lowly_expressed	lowly_expressed
?|10357	76.7412	?|10357	53.638
?|10431	985.2152	?|10431	970.7569
?|155060	103.3626	?|155060	136.1542
lowly_expressed	lowly_expressed	?|390284	10.9074
?|57714	833.8785	?|57714	178.6554
?|645851	12.2116	?|645851	10.1551
?|652919	125.9322	lowly_expressed	lowly_expressed
?|653553	102.4903	?|653553	318.9469
lowly_expressed	lowly_expressed	?|729884	66.9488
?|8225	415.1947	?|8225	663.4697
?|90288	126.9135	?|90288	42.5012
A1BG|1	94.7577	A1BG|1	109.3484
A2LD1|87769	95.7041	A2LD1|87769	111.9699
lowly_expressed	lowly_expressed	A2ML1|144568	19.5581
A2M|2	5353.4476	A2M|2	32634.9299
A4GALT|53947	119.0632	A4GALT|53947	924.1185
AAAS|8086	693.445	AAAS|8086	815.7969
AACS|65985	906.712	AACS|65985	2177.7151
lowly_expressed	lowly_expressed	AADACL2|344752	5.6417
lowly_expressed	lowly_expressed	AADACL3|126767	34.9788
lowly_expressed	lowly_expressed	AADAC|13	101.9276
AADAT|51166	24.8593	AADAT|51166	250.8698
AAGAB|79719	2307.9942	AAGAB|79719	1077.9502
AAK1|22848	1248.6371	AAK1|22848	828.5849
AAMP|14	2417.8987	AAMP|14	2588.0583
AARS2|57505	491.0768	AARS2|57505	349.5477
AARSD1|80755	563.4786	AARSD1|80755	574.33
AARS|16	1684.766	AARS|16	3213.9163
AASDHPPT|60496	1179.2926	AASDHPPT|60496	662.3413
AASDH|132949	459.6799	AASDH|132949	256.1354
AASS|10157	310.5238	AASS|10157	347.5317
AATF|26574	1085.0888	AATF|26574	1040.7146
AATK|9625	6.1058	AATK|9625	43.6483
ABAT|18	3163.6792	ABAT|18	619.464
lowly_expressed	lowly_expressed	ABCA10|10349	244.0997
ABCA11P|79963	179.4191	ABCA11P|79963	93.1453
ABCA12|26154	297.8761	ABCA12|26154	280.583
ABCA17P|650655	22.6787	ABCA17P|650655	6.7701
ABCA1|19	426.098	lowly_expressed	lowly_expressed
ABCA2|20	1025.3391	ABCA2|20	1581.5703
ABCA3|21	3265.7334	ABCA3|21	1934.7438
ABCA4|24	29.2206	ABCA4|24	39.8684
ABCA5|23461	101.618	ABCA5|23461	602.5388
ABCA6|23460	44.9213	ABCA6|23460	524.3065
ABCA7|10347	297.4399	ABCA7|10347	479.5487
ABCA8|10351	5.6697	ABCA8|10351	1976.8688
ABCA9|10350	18.7535	ABCA9|10350	1042.5952
ABCB10|23456	741.4192	ABCB10|23456	325.717
ABCB1|5243	27.4761	ABCB1|5243	152.7033
ABCB4|5244	32.7097	ABCB4|5244	22.9431
lowly_expressed	lowly_expressed	ABCB5|340273	136.5303
ABCB6|10058	233.7956	ABCB6|10058	839.3907
ABCB7|22	603.1663	ABCB7|22	521.2976
ABCB8|11194	587.0295	ABCB8|11194	608.5567
ABCB9|23457	66.1651	ABCB9|23457	109.149
ABCC10|89845	322.2993	ABCC10|89845	310.6723
ABCC11|85320	1077.2384	ABCC11|85320	2872.4024
ABCC12|94160	13.9561	ABCC12|94160	27.8326
ABCC13|150000	6.5419	lowly_expressed	lowly_expressed
ABCC1|4363	884.4694	ABCC1|4363	1428.8669
lowly_expressed	lowly_expressed	ABCC2|1244	70.3338
ABCC3|8714	192.3329	ABCC3|8714	1081.7113
ABCC4|10257	85.0451	ABCC4|10257	200.094
ABCC5|10057	1008.3301	ABCC5|10057	668.7353
lowly_expressed	lowly_expressed	ABCC6P1|653190	18.8058
ABCC6P2|730013	9.5948	ABCC6P2|730013	61.307
ABCC6|368	20.0619	ABCC6|368	540.4795
ABCC8|6833	454.4463	ABCC8|6833	68.4532
ABCC9|10060	129.9664	ABCC9|10060	510.3902
ABCD1|215	233.329	ABCD1|215	653.6906
lowly_expressed	lowly_expressed	ABCD2|225	227.9267
ABCD3|5825	4060.7964	ABCD3|5825	1226.8923
ABCD4|5826	477.125	ABCD4|5826	759.3794
ABCE1|6059	1664.268	ABCE1|6059	1050.4937
ABCF1|23	1698.7221	ABCF1|23	1677.8561
ABCF2|10061	1167.9532	ABCF2|10061	1202.0686
ABCF3|55324	1097.3004	ABCF3|55324	1102.0216
ABCG1|9619	978.6733	ABCG1|9619	725.1528
ABCG2|9429	71.9613	ABCG2|9429	179.4076
ABHD10|55347	989.5765	ABHD10|55347	665.3503
ABHD11|83451	763.2256	ABHD11|83451	601.0343
ABHD12B|145447	17.8813	ABHD12B|145447	7.5223
ABHD12|26090	1527.3235	ABHD12|26090	1466.8547
ABHD13|84945	524.6631	ABHD13|84945	428.7729
ABHD14A|25864	318.3741	ABHD14A|25864	452.0921
ABHD14B|84836	1431.8112	ABHD14B|84836	3472.3084
ABHD15|116236	363.7315	ABHD15|116236	868.8293
ABHD1|84696	19.1897	ABHD1|84696	35.7311
ABHD2|11057	2853.5915	ABHD2|11057	2360.8839
ABHD3|171586	998.2991	ABHD3|171586	460.3667
ABHD4|63874	853.5043	ABHD4|63874	1226.1401
ABHD5|51099	935.9327	ABHD5|51099	893.653
ABHD6|57406	162.6761	ABHD6|57406	430.6535
ABHD8|79575	181.8658	ABHD8|79575	278.7024
ABI1|10006	1413.9997	ABI1|10006	1125.6869
ABI2|10152	1485.8912	ABI2|10152	940.6676
ABI3BP|25890	84.1729	ABI3BP|25890	1877.1979
ABI3|51225	100.3097	ABI3|51225	269.6756
ABL1|25	1891.9273	ABL1|25	2778.7494
ABL2|27	1712.2421	ABL2|27	727.4095
ABLIM1|3983	2152.2962	ABLIM1|3983	6155.5242
ABLIM2|84448	39.2516	ABLIM2|84448	124.4946
ABLIM3|22885	1172.7507	ABLIM3|22885	2132.9572
lowly_expressed	lowly_expressed	ABO|28	19.5581
lowly_expressed	lowly_expressed	ABP1|26	5.2656
ABR|29	1865.7595	ABR|29	2107.3813
ABT1|29777	425.2257	ABT1|29777	592.0075
ABTB1|80325	302.6735	ABTB1|80325	895.9097
ABTB2|25841	47.5381	ABTB2|25841	144.4288
ACAA1|30	1776.7892	ACAA1|30	2230.3714
ACAA2|10449	1225.9584	ACAA2|10449	2839.3042
ACACA|31	3414.0172	ACACA|31	2153.6436
ACACB|32	155.698	ACACB|32	5794.0762
ACAD10|80724	554.756	ACAD10|80724	555.5242
ACAD11|84129	259.4531	ACAD11|84129	600.2821
ACAD8|27034	559.5534	ACAD8|27034	602.5388
ACAD9|28976	716.6296	ACAD9|28976	1193.0343
lowly_expressed	lowly_expressed	ACADL|33	256.8876
ACADM|34	1430.0667	ACADM|34	1466.8547
ACADSB|36	4960.0942	ACADSB|36	1596.2388
ACADS|35	430.8954	ACADS|35	1645.8862
ACADVL|37	4174.0983	ACADVL|37	8381.6756
ACAN|176	39.2516	ACAN|176	7.1462
ACAP1|9744	10.9032	ACAP1|9744	189.5628
ACAP2|23527	1640.717	ACAP2|23527	1035.449
ACAP3|116983	452.2875	ACAP3|116983	584.1091
ACAT1|38	1396.4848	ACAT1|38	2214.1984
ACAT2|39	492.3067	ACAT2|39	318.4316
ACBD3|64746	3557.0675	ACBD3|64746	1149.4123
ACBD4|79777	159.6232	ACBD4|79777	398.3075
ACBD5|91452	942.9107	ACBD5|91452	679.6427
ACBD6|84320	617.1224	ACBD6|84320	454.3488
ACBD7|414149	39.2516	ACBD7|414149	19.9342
ACCN2|41	48.4103	ACCN2|41	68.8293
lowly_expressed	lowly_expressed	ACCN3|9311	8.6507
ACCS|84680	222.4257	ACCS|84680	450.2116
ACD|65057	139.1251	ACD|65057	356.1824
lowly_expressed	lowly_expressed	ACE2|59272	13.5402
ACER2|340485	270.8361	ACER2|340485	122.2379
ACER3|55331	507.6541	ACER3|55331	352.0451
ACE|1636	340.1806	ACE|1636	1177.6211
ACHE|43	13.52	ACHE|43	49.6474
ACIN1|22985	3793.4493	ACIN1|22985	2817.8655
ACLY|47	8156.0469	ACLY|47	3383.921
ACMSD|130013	57.569	ACMSD|130013	9.4029
ACN9|57001	105.9793	ACN9|57001	146.6855
ACO1|48	795.4991	ACO1|48	4737.9408
ACO2|50	2528.0475	ACO2|50	3772.0733
ACOT11|26027	21.3703	ACOT11|26027	42.0235
ACOT13|55856	545.4141	ACOT13|55856	700.1561
ACOT1|641371	844.3456	ACOT1|641371	1592.1016
ACOT2|10965	491.0812	ACOT2|10965	928.2558
ACOT4|122970	378.5599	ACOT4|122970	271.9323
ACOT6|641372	5.2335	ACOT6|641372	7.1462
ACOT7|11332	293.9509	ACOT7|11332	351.669
ACOT8|10005	282.6377	ACOT8|10005	253.8298
ACOT9|23597	273.0167	ACOT9|23597	593.1359
ACOX1|51	1509.4422	ACOX1|51	2953.0569
ACOX2|8309	505.4734	ACOX2|8309	399.0597
ACOX3|8310	921.9765	ACOX3|8310	780.8181
ACP1|52	1365.5196	ACP1|52	1117.8185
ACP2|53	1248.6371	ACP2|53	1545.4631
ACP5|54	873.1301	ACP5|54	2271.7442
ACP6|51205	460.116	ACP6|51205	555.9003
ACPL2|92370	815.5611	ACPL2|92370	344.8989
ACPP|55	42.7406	ACPP|55	56.0414
ACRBP|84519	17.4452	ACRBP|84519	33.0983
ACRC|93953	9.1587	ACRC|93953	14.6685
lowly_expressed	lowly_expressed	ACR|49	8.2746
lowly_expressed	lowly_expressed	ACSBG1|23205	78.9845
lowly_expressed	lowly_expressed	ACSBG2|81616	5.0776
ACSF2|80221	812.072	ACSF2|80221	1803.4791
ACSF3|197322	210.6503	ACSF3|197322	383.2628
ACSL1|2180	634.5676	ACSL1|2180	13601.8806
ACSL3|2181	3819.1809	ACSL3|2181	5552.2332
ACSL4|2182	518.1212	ACSL4|2182	1574.8002
ACSL5|51703	417.8115	ACSL5|51703	1032.4401
lowly_expressed	lowly_expressed	ACSL6|23305	5.6417
ACSM1|116285	126.9135	ACSM1|116285	5884.3441
lowly_expressed	lowly_expressed	ACSM2B|348158	6.7701
ACSM3|6296	11.287	ACSM3|6296	511.7931
ACSM5|54988	11.7755	ACSM5|54988	387.4001
ACSS1|84532	1112.5649	ACSS1|84532	992.9478
ACSS2|55902	624.9727	ACSS2|55902	2965.3032
ACSS3|79611	200.1832	ACSS3|79611	527.3155
ACTA1|58	27.9123	ACTA1|58	61.6831
ACTA2|59	3212.1636	ACTA2|59	16771.4227
lowly_expressed	lowly_expressed	ACTBL2|345651	9.0268
ACTB|60	67855.5541	ACTB|60	103656.9817
ACTG1|71	64076.9331	ACTG1|71	60421.6267
ACTG2|72	273.0167	ACTG2|72	4360.3197
ACTL6A|86	1127.3933	ACTL6A|86	615.7029
ACTN1|87	4811.3742	ACTN1|87	7675.7875
ACTN4|81	7410.611	ACTN4|81	11164.9459
ACTR10|55860	1161.8474	ACTR10|55860	1131.3587
ACTR1A|10121	2431.4187	ACTR1A|10121	3693.465
ACTR1B|10120	1139.6049	ACTR1B|10120	1599.6239
ACTR2|10097	8095.425	ACTR2|10097	4545.3691
ACTR3B|57180	199.747	ACTR3B|57180	130.5125
ACTR3C|653857	17.009	ACTR3C|653857	25.5759
ACTR3|10096	3724.1048	ACTR3|10096	2759.1913
ACTR5|79913	210.2141	ACTR5|79913	199.3418
ACTR6|64431	710.454	ACTR6|64431	484.4382
ACTR8|93973	621.4837	ACTR8|93973	404.3253
ACVR1B|91	1359.4138	ACVR1B|91	1012.882
ACVR1C|130399	16.5729	ACVR1C|130399	761.26
ACVR1|90	977.3649	ACVR1|90	998.2134
ACVR2A|92	502.4205	ACVR2A|92	344.5228
ACVR2B|93	360.6786	ACVR2B|93	230.1834
ACVRL1|94	282.1754	ACVRL1|94	1567.654
ACY1|95	662.916	ACY1|95	948.1899
lowly_expressed	lowly_expressed	ACY3|91703	19.9342
ACYP1|97	99.0013	ACYP1|97	50.7757
ACYP2|98	151.7729	ACYP2|98	220.0282
ADAL|161823	208.4696	ADAL|161823	216.267
ADAM10|102	2216.8433	ADAM10|102	1036.9535
