gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
?|100133144	26.8176	lowly_expressed	lowly_expressed
?|100134869	13.5282	lowly_expressed	lowly_expressed
?|10357	125.9778	?|10357	87.5764
?|10431	971.1816	?|10431	770.3666
?|155060	499.7942	?|155060	109.9796
?|553137	93.0424	lowly_expressed	lowly_expressed
?|57714	360.2305	?|57714	816.7006
?|645851	14.8209	lowly_expressed	lowly_expressed
?|652919	28.555	lowly_expressed	lowly_expressed
?|653553	930.8357	?|653553	102.3422
?|729884	34.9938	?|729884	18.8391
?|8225	579.6624	?|8225	465.8859
?|90288	5.7637	?|90288	44.2974
A1BG|1	74.5163	A1BG|1	15.7841
A2LD1|87769	96.6447	A2LD1|87769	105.5041
A2ML1|144568	25.1132	A2ML1|144568	22.9124
A2M|2	11410.8522	A2M|2	44700.9521
A4GALT|53947	274.1869	A4GALT|53947	542.7699
lowly_expressed	lowly_expressed	A4GNT|51146	19.3483
AAAS|8086	669.4113	AAAS|8086	595.723
AACS|65985	1374.6398	AACS|65985	710.7943
lowly_expressed	lowly_expressed	AADACL2|344752	7.6375
lowly_expressed	lowly_expressed	AADACL3|126767	6.11
AADAC|13	6.9988	AADAC|13	619.1446
AADAT|51166	72.0461	AADAT|51166	78.9206
AAGAB|79719	10598.6002	AAGAB|79719	673.6253
AAK1|22848	641.4162	AAK1|22848	1032.0774
AAMP|14	2510.0865	AAMP|14	1977.5967
AARS2|57505	342.499	AARS2|57505	225.555
AARSD1|80755	438.0403	AARSD1|80755	478.6151
AARS|16	3158.0897	AARS|16	3248.4725
AASDHPPT|60496	1326.8835	AASDHPPT|60496	599.2872
AASDH|132949	358.1721	AASDH|132949	315.1731
AASS|10157	752.1614	AASS|10157	664.4603
AATF|26574	990.9428	AATF|26574	1019.8574
AATK|9625	17.2911	AATK|9625	30.0407
ABAT|18	1929.189	ABAT|18	224.5418
ABCA10|10349	16.056	ABCA10|10349	244.3992
ABCA11P|79963	142.1737	ABCA11P|79963	89.2159
ABCA12|26154	10.704	lowly_expressed	lowly_expressed
ABCA13|154664	26.3483	ABCA13|154664	9.6741
ABCA17P|650655	6.9988	lowly_expressed	lowly_expressed
ABCA1|19	487.4393	ABCA1|19	3383.7984
ABCA2|20	1865.3767	ABCA2|20	1626.2729
ABCA3|21	1587.8963	ABCA3|21	933.8086
ABCA4|24	12.7625	ABCA4|24	7.6375
ABCA5|23461	314.5327	ABCA5|23461	943.9919
ABCA6|23460	72.4578	ABCA6|23460	1182.7902
ABCA7|10347	407.9868	ABCA7|10347	205.7026
ABCA8|10351	145.3273	ABCA8|10351	5814.664
ABCA9|10350	104.1581	ABCA9|10350	2514.7658
ABCB10|23456	484.9732	ABCB10|23456	374.7454
lowly_expressed	lowly_expressed	ABCB11|8647	18.8391
ABCB1|5243	39.9341	ABCB1|5243	206.2118
ABCB4|5244	29.6418	ABCB4|5244	64.1548
ABCB5|340273	7.8221	ABCB5|340273	56.0081
ABCB6|10058	555.0679	ABCB6|10058	715.3106
ABCB7|22	351.1733	ABCB7|22	606.9246
ABCB8|11194	1090.5723	ABCB8|11194	391.5479
ABCB9|23457	465.6937	ABCB9|23457	48.2841
ABCC10|89845	553.7258	ABCC10|89845	216.9043
ABCC11|85320	50.2264	lowly_expressed	lowly_expressed
ABCC13|150000	23.4664	lowly_expressed	lowly_expressed
ABCC1|4363	1204.1993	ABCC1|4363	1453.666
ABCC2|1244	14.8209	ABCC2|1244	46.334
ABCC3|8714	77.3981	ABCC3|8714	199.5927
ABCC4|10257	81.9267	ABCC4|10257	113.5438
ABCC5|10057	2187.7316	ABCC5|10057	592.1589
lowly_expressed	lowly_expressed	ABCC6P1|653190	12.7291
ABCC6P2|730013	13.9975	ABCC6P2|730013	70.7739
ABCC6|368	33.7587	ABCC6|368	704.6843
ABCC8|6833	74.928	ABCC8|6833	5.0916
ABCC9|10060	242.4866	ABCC9|10060	3597.7597
ABCD1|215	687.9374	ABCD1|215	565.6823
ABCD2|225	9.8806	ABCD2|225	1258.1466
ABCD3|5825	3296.0066	ABCD3|5825	1147.1487
ABCD4|5826	360.2305	ABCD4|5826	661.4053
ABCE1|6059	1972.0049	ABCE1|6059	1162.4236
ABCF1|23	1825.0309	ABCF1|23	1554.9898
ABCF2|10061	1810.6217	ABCF2|10061	1101.3238
ABCF3|55324	1295.1832	ABCF3|55324	942.9735
ABCG1|9619	1207.4928	ABCG1|9619	281.5682
ABCG2|9429	90.9839	ABCG2|9429	146.1303
ABHD10|55347	829.9712	ABHD10|55347	674.1344
ABHD11|83451	1633.5941	ABHD11|83451	150.7128
lowly_expressed	lowly_expressed	ABHD12B|145447	22.9124
ABHD12|26090	985.5908	ABHD12|26090	1044.2974
ABHD13|84945	349.9382	ABHD13|84945	382.3829
ABHD14A|25864	145.8954	ABHD14A|25864	391.9196
ABHD14B|84836	1680.527	ABHD14B|84836	3557.5356
ABHD15|116236	457.8016	ABHD15|116236	1525.4582
ABHD1|84696	39.1107	ABHD1|84696	41.7515
ABHD2|11057	4771.9226	ABHD2|11057	2742.8717
ABHD3|171586	493.2071	ABHD3|171586	272.9124
ABHD4|63874	991.3545	ABHD4|63874	2185.8452
ABHD5|51099	956.7723	ABHD5|51099	1917.0061
ABHD6|57406	156.443	ABHD6|57406	552.9532
ABHD8|79575	337.9992	ABHD8|79575	134.9287
ABI1|10006	1459.4483	ABI1|10006	1145.112
ABI2|10152	1470.9757	ABI2|10152	648.167
ABI3BP|25890	134.2116	ABI3BP|25890	5065.1731
ABI3|51225	81.515	ABI3|51225	150.7128
ABL1|25	1519.9671	ABL1|25	2913.442
ABL2|27	1049.8147	ABL2|27	1094.1955
ABLIM1|3983	1428.1597	ABLIM1|3983	10234.7251
ABLIM2|84448	278.3038	ABLIM2|84448	117.1079
ABLIM3|22885	1512.1449	ABLIM3|22885	3578.4114
ABO|28	48.5797	ABO|28	16.8024
ABP1|26	401.3998	ABP1|26	16.8024
ABR|29	3541.7867	ABR|29	1561.609
ABT1|29777	405.5167	ABT1|29777	419.0428
ABTB1|80325	527.7892	ABTB1|80325	817.2098
