gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
?|100134869	5.2457	lowly_expressed	lowly_expressed
?|10357	82.6286	?|10357	61.2165
?|10431	1071.367	?|10431	696.3918
?|155060	122.6171	?|155060	106.1856
?|390284	9.9626	?|390284	12.3711
?|57714	554.4592	?|57714	716.4948
?|645851	5.3645	?|645851	12.8866
?|652919	16.5763	?|652919	29.8969
?|653553	203.0846	?|653553	135.0515
lowly_expressed	lowly_expressed	?|729884	10.8247
?|8225	494.3002	?|8225	470.6186
?|90288	96.9442	?|90288	9.2784
A1BG|1	302.9294	A1BG|1	19.0722
A2LD1|87769	108.7537	A2LD1|87769	153.567
lowly_expressed	lowly_expressed	A2ML1|144568	9.7938
A2M|2	12326.7286	A2M|2	41867.0567
A4GALT|53947	162.0845	A4GALT|53947	648.4536
AAAS|8086	752.5625	AAAS|8086	557.2165
AACSL|729522	8.4299	lowly_expressed	lowly_expressed
AACS|65985	928.8246	AACS|65985	1265.4639
lowly_expressed	lowly_expressed	AADACL2|344752	20.6186
AADAC|13	11.1122	AADAC|13	371.6495
AADAT|51166	17.243	AADAT|51166	56.1856
AAGAB|79719	1921.64	AAGAB|79719	807.732
AAK1|22848	1053.3576	AAK1|22848	1192.268
AAMP|14	2431.2674	AAMP|14	1855.1546
AARS2|57505	443.7168	AARS2|57505	251.5464
AARSD1|80755	513.4591	AARSD1|80755	402.0619
AARS|16	1824.6959	AARS|16	2707.732
AASDHPPT|60496	1005.0771	AASDHPPT|60496	679.8969
AASDH|132949	311.9073	AASDH|132949	250
AASS|10157	307.3091	AASS|10157	759.7938
AATF|26574	1063.3202	AATF|26574	960.8247
AATK|9625	19.9253	AATK|9625	33.701
ABAT|18	2811.3804	ABAT|18	264.433
ABCA10|10349	26.0561	ABCA10|10349	321.134
ABCA11P|79963	132.756	ABCA11P|79963	78.433
ABCA12|26154	368.6177	lowly_expressed	lowly_expressed
ABCA17P|650655	21.8412	lowly_expressed	lowly_expressed
ABCA1|19	934.5569	ABCA1|19	7357.8763
ABCA2|20	1381.3584	ABCA2|20	979.3814
ABCA3|21	2374.5569	ABCA3|21	801.5464
ABCA4|24	42.1496	ABCA4|24	24.7423
ABCA5|23461	103.8414	ABCA5|23461	737.6289
ABCA6|23460	164.7667	ABCA6|23460	1309.7938
ABCA7|10347	434.9076	ABCA7|10347	241.2371
ABCA8|10351	247.9165	ABCA8|10351	4790.2062
ABCA9|10350	189.6733	ABCA9|10350	2755.1546
ABCB10|23456	544.4966	ABCB10|23456	492.268
lowly_expressed	lowly_expressed	ABCB11|8647	30.9278
ABCB1|5243	60.9254	ABCB1|5243	141.7526
