gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
?|10357	80.2221	?|10357	103.8931
?|10431	2202.6262	?|10431	912.8577
?|155060	290.8082	?|155060	67.33
?|57714	637.1304	?|57714	755.2666
?|645851	11.1028	lowly_expressed	lowly_expressed
?|652919	32.8942	?|652919	145.7938
?|653553	84.9792	?|653553	256.1466
?|729884	5.1244	lowly_expressed	lowly_expressed
?|8225	263.9052	?|8225	356.6537
?|90288	5.5514	?|90288	68.3058
A1BG|1	115.3326	A1BG|1	41.5445
A2LD1|87769	99.7758	A2LD1|87769	122.7455
A2ML1|144568	4223.7643	lowly_expressed	lowly_expressed
A2M|2	4947.8979	A2M|2	50626.1321
A4GALT|53947	105.9037	A4GALT|53947	505.9505
AAAS|8086	721.2555	AAAS|8086	612.8003
AACS|65985	1178.6057	AACS|65985	1615.4312
lowly_expressed	lowly_expressed	AADACL3|126767	61.4752
lowly_expressed	lowly_expressed	AADAC|13	45.8624
AADAT|51166	22.2056	AADAT|51166	53.6688
AAGAB|79719	728.088	AAGAB|79719	947.0106
AAK1|22848	981.3174	AAK1|22848	1302.6884
AAMP|14	1457.457	AAMP|14	1445.1547
AARS2|57505	413.7504	AARS2|57505	205.815
AARSD1|80755	673.001	AARSD1|80755	362.5084
AARS|16	6896.1247	AARS|16	3263.5517
AASDHPPT|60496	486.8154	AASDHPPT|60496	740.1417
AASDH|132949	243.4077	AASDH|132949	348.3594
AASS|10157	24.3408	AASS|10157	458.6244
AATF|26574	1316.1097	AATF|26574	593.2843
AATK|9625	58.5033	AATK|9625	37.0803
ABAT|18	58.5033	ABAT|18	485.4588
lowly_expressed	lowly_expressed	ABCA10|10349	271.2715
ABCA11P|79963	51.1669	ABCA11P|79963	104.9616
lowly_expressed	lowly_expressed	ABCA12|26154	35.1287
ABCA13|154664	1322.9422	ABCA13|154664	16.1006
ABCA17P|650655	8.9677	lowly_expressed	lowly_expressed
ABCA1|19	857.0514	ABCA1|19	4199.2333
ABCA2|20	1192.2707	ABCA2|20	1973.0607
ABCA3|21	3197.1816	ABCA3|21	965.5507
ABCA4|24	6.8325	ABCA4|24	106.3618
ABCA5|23461	14.092	ABCA5|23461	726.9685
ABCA6|23460	12.3839	ABCA6|23460	1004.5826
ABCA7|10347	473.1504	ABCA7|10347	329.8192
ABCA8|10351	11.9569	ABCA8|10351	4396.9394
ABCA9|10350	5.9784	ABCA9|10350	853.3341
ABCB10|23456	799.4022	ABCB10|23456	376.6575
ABCB1|5243	6.8325	ABCB1|5243	209.7963
ABCB4|5244	5.5514	ABCB4|5244	13.1733
lowly_expressed	lowly_expressed	ABCB5|340273	78.0637
ABCB6|10058	581.3644	ABCB6|10058	624.5245
ABCB7|22	339.4897	ABCB7|22	460.576
ABCB8|11194	1138.0378	ABCB8|11194	456.1849
ABCB9|23457	49.1214	ABCB9|23457	85.1675
ABCC10|89845	684.9578	ABCC10|89845	317.6218
lowly_expressed	lowly_expressed	ABCC11|85320	234.1912
ABCC1|4363	1840.0769	ABCC1|4363	1499.7994
ABCC2|1244	5.5514	ABCC2|1244	19.5159
ABCC3|8714	191.3099	ABCC3|8714	408.8588
ABCC4|10257	520.1238	ABCC4|10257	169.7886
ABCC5|10057	870.7163	ABCC5|10057	610.3608
lowly_expressed	lowly_expressed	ABCC6P1|653190	34.1529
