gene_id	TCGA-A7-A13F-01A-11R-A12P-07	gene_id	TCGA-A7-A13F-11A-42R-A12P-07
?|10357	77.4137	?|10357	83.5204
?|10431	986.747	?|10431	653.7943
?|155060	40.1606	?|155060	192.1868
?|390284	12.8514	lowly_expressed	lowly_expressed
?|57714	340.5622	?|57714	521.3291
lowly_expressed	lowly_expressed	?|645851	8.5317
?|652919	7.2129	lowly_expressed	lowly_expressed
?|653553	677.9116	?|653553	204.3107
?|8225	391.5663	?|8225	424.7867
?|90288	19.2771	?|90288	13.9201
A1BG|1	231.008	A1BG|1	67.5258
A2LD1|87769	45.249	A2LD1|87769	112.7885
lowly_expressed	lowly_expressed	A2ML1|144568	9.8788
A2M|2	13194.3494	A2M|2	30585.357
A4GALT|53947	97.5904	A4GALT|53947	469.2411
AAAS|8086	912.8514	AAAS|8086	672.6538
AACS|65985	1278.3133	AACS|65985	1501.5716
lowly_expressed	lowly_expressed	AADACL3|126767	65.559
lowly_expressed	lowly_expressed	AADAC|13	208.352
AADAT|51166	73.494	AADAT|51166	86.2146
AAGAB|79719	2887.1486	AAGAB|79719	733.7225
AAK1|22848	719.2771	AAK1|22848	1044.9035
AAMP|14	2422.0884	AAMP|14	1655.1414
AARS2|57505	560.6305	AARS2|57505	345.7566
AARSD1|80755	701.2048	AARSD1|80755	415.806
AARS|16	4173.8956	AARS|16	3305.3435
AASDHPPT|60496	796.3855	AASDHPPT|60496	720.2515
AASDH|132949	236.5462	AASDH|132949	398.2937
AASS|10157	157.4297	AASS|10157	519.533
AATF|26574	1790.3614	AATF|26574	725.6399
AATK|9625	35.743	AATK|9625	53.8841
ABAT|18	1834.1365	ABAT|18	272.564
lowly_expressed	lowly_expressed	ABCA10|10349	528.9627
ABCA11P|79963	102.0964	ABCA11P|79963	119.6632
ABCA12|26154	723.2932	ABCA12|26154	9.8788
lowly_expressed	lowly_expressed	ABCA13|154664	5.8374
ABCA17P|650655	10.0402	ABCA17P|650655	8.5317
ABCA1|19	307.2289	ABCA1|19	1763.3229
ABCA2|20	873.0924	ABCA2|20	1634.9349
ABCA3|21	2575.1004	ABCA3|21	1284.6879
ABCA4|24	638.1526	ABCA4|24	57.4764
ABCA5|23461	89.1566	ABCA5|23461	966.3224
ABCA6|23460	48.1928	ABCA6|23460	1127.0768
ABCA7|10347	538.1526	ABCA7|10347	362.3709
ABCA8|10351	31.3253	ABCA8|10351	2976.6502
ABCA9|10350	22.8916	ABCA9|10350	1022.9008
ABCB10|23456	1079.9197	ABCB10|23456	410.8666
lowly_expressed	lowly_expressed	ABCB11|8647	5.3884
ABCB1|5243	55.8233	ABCB1|5243	255.5007
ABCB4|5244	19.2771	ABCB4|5244	24.2479
ABCB5|340273	6.4257	ABCB5|340273	32.3305
