gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
?|100133144	13.1351	?|100133144	6.2993
?|100134869	6.2366	lowly_expressed	lowly_expressed
?|10357	66.9025	?|10357	114.5303
?|10431	766.799	?|10431	633.1842
?|155060	165.1981	?|155060	191.5413
?|390284	6.1882	?|390284	8.1334
?|57714	840.7883	?|57714	844.2456
?|645851	16.1431	?|645851	11.3867
?|652919	28.3796	lowly_expressed	lowly_expressed
?|653553	51.658	?|653553	95.5673
?|728788	15.336	lowly_expressed	lowly_expressed
?|8225	442.0529	?|8225	311.9154
?|90288	132.9118	?|90288	43.5136
A1BG|1	156.505	A1BG|1	17.4868
A2LD1|87769	79.809	A2LD1|87769	114.4124
A2M|2	4222.9851	A2M|2	41476.405
A4GALT|53947	124.5712	A4GALT|53947	377.7959
AAAS|8086	717.8314	AAAS|8086	524.1968
AACS|65985	819.2641	AACS|65985	1621.7975
lowly_expressed	lowly_expressed	AADAC|13	433.9162
AADAT|51166	9.9549	AADAT|51166	80.9272
AAGAB|79719	2298.7825	AAGAB|79719	706.7914
AAK1|22848	1280.6888	AAK1|22848	2246.4416
AAMP|14	2354.4764	AAMP|14	1468.4831
AARS2|57505	434.245	AARS2|57505	179.7397
AARSD1|80755	574.6956	AARSD1|80755	355.429
AARS|16	1493.2401	AARS|16	2511.5901
AASDHPPT|60496	811.7307	AASDHPPT|60496	926.7995
AASDH|132949	513.0827	AASDH|132949	377.7959
AASS|10157	169.2339	AASS|10157	2510.7767
AATF|26574	1091.0069	AATF|26574	684.0179
AATK|9625	52.4652	AATK|9625	18.7068
ABAT|18	4783.4802	ABAT|18	482.7166
ABCA10|10349	7.2644	ABCA10|10349	810.4921
ABCA11P|79963	146.8487	ABCA11P|79963	164.8963
ABCA12|26154	29.5957	lowly_expressed	lowly_expressed
ABCA17P|650655	14.2598	ABCA17P|650655	6.5067
ABCA1|19	331.7414	ABCA1|19	7194.9858
ABCA2|20	1723.5488	ABCA2|20	1793.8186
ABCA3|21	3019.0354	ABCA3|21	1151.281
ABCA4|24	14.5288	ABCA4|24	28.8735
ABCA5|23461	117.5758	ABCA5|23461	1115.0874
ABCA6|23460	35.5149	ABCA6|23460	1929.6462
ABCA7|10347	648.685	ABCA7|10347	261.8951
ABCA8|10351	38.4745	ABCA8|10351	7367.2224
ABCA9|10350	18.2956	ABCA9|10350	3270.8418
ABCB10|23456	804.4663	ABCB10|23456	594.5506
lowly_expressed	lowly_expressed	ABCB11|8647	92.3139
ABCB1|5243	20.717	ABCB1|5243	185.8479
ABCB4|5244	17.7574	ABCB4|5244	21.9601
lowly_expressed	lowly_expressed	ABCB5|340273	130.9475
ABCB6|10058	349.6146	ABCB6|10058	529.9512
ABCB7|22	536.4902	ABCB7|22	838.5523
ABCB8|11194	497.7467	ABCB8|11194	287.9219
ABCB9|23457	91.6527	ABCB9|23457	44.327
ABCC10|89845	314.7911	ABCC10|89845	216.7548
ABCC11|85320	589.4935	ABCC11|85320	17.0801
ABCC12|94160	5.6501	lowly_expressed	lowly_expressed
ABCC1|4363	958.3642	ABCC1|4363	848.3123
ABCC2|1244	9.6859	ABCC2|1244	55.7137
ABCC3|8714	217.3942	ABCC3|8714	40.6669
ABCC4|10257	76.9489	ABCC4|10257	126.4742
ABCC5|10057	798.2781	ABCC5|10057	655.9577
lowly_expressed	lowly_expressed	ABCC6P1|653190	37.8203
ABCC6P2|730013	21.2551	ABCC6P2|730013	41.0736
ABCC6|368	89.5944	ABCC6|368	950.793
ABCC8|6833	282.7739	lowly_expressed	lowly_expressed
ABCC9|10060	94.9754	ABCC9|10060	5119.5608
ABCD1|215	339.544	ABCD1|215	644.9776
ABCD2|225	6.4573	ABCD2|225	3309.0687
ABCD3|5825	6300.3969	ABCD3|5825	1340.7889
ABCD4|5826	436.4028	ABCD4|5826	786.4986
ABCE1|6059	1610.2778	ABCE1|6059	1370.4758
ABCF1|23	1871.7966	ABCF1|23	1132.9809
ABCF2|10061	692.5405	ABCF2|10061	802.3587
ABCF3|55324	1039.0798	ABCF3|55324	627.4908
ABCG1|9619	908.0514	ABCG1|9619	532.3302
ABCG2|9429	41.7031	ABCG2|9429	218.7881
lowly_expressed	lowly_expressed	ABCG5|64240	8.1334
lowly_expressed	lowly_expressed	ABCG8|64241	16.2668
ABHD10|55347	791.0137	ABHD10|55347	639.2843
ABHD11|83451	1111.1858	ABHD11|83451	176.0878
ABHD12B|145447	14.7979	ABHD12B|145447	13.8268
ABHD12|26090	1292.258	ABHD12|26090	723.4648
ABHD13|84945	459.2722	ABHD13|84945	646.1976
ABHD14A|25864	244.5685	ABHD14A|25864	400.976
ABHD14B|84836	1470.6397	ABHD14B|84836	4353.3957
ABHD15|116236	576.3099	ABHD15|116236	2986.1732
ABHD1|84696	39.5507	ABHD1|84696	125.6608
ABHD2|11057	3983.3188	ABHD2|11057	2395.2826
ABHD3|171586	2047.2187	ABHD3|171586	587.6373
ABHD4|63874	1107.9572	ABHD4|63874	1063.4404
ABHD5|51099	885.1819	ABHD5|51099	5661.2444
ABHD6|57406	152.0145	ABHD6|57406	744.6116
ABHD8|79575	206.9012	ABHD8|79575	145.9943
ABI1|10006	1231.4522	ABI1|10006	1291.1753
ABI2|10152	1241.4071	ABI2|10152	957.7064
ABI3BP|25890	75.8727	ABI3BP|25890	2877.9992
ABI3|51225	114.6163	ABI3|51225	57.7471
ABL1|25	2095.11	ABL1|25	2264.7418
ABL2|27	1462.2991	ABL2|27	1174.4612
ABLIM1|3983	3306.1142	ABLIM1|3983	9169.1745
ABLIM2|84448	127.5308	ABLIM2|84448	57.3404
ABLIM3|22885	2032.6899	ABLIM3|22885	5562.0171
lowly_expressed	lowly_expressed	ABO|28	9.7601
ABP1|26	5.381	lowly_expressed	lowly_expressed
ABR|29	2514.5625	ABR|29	1972.3465
ABT1|29777	392.5473	ABT1|29777	342.4156
ABTB1|80325	216.8561	ABTB1|80325	668.5645
ABTB2|25841	82.0609	ABTB2|25841	38.6336
ACAA1|30	1554.584	ACAA1|30	1220.0081
ACAA2|10449	771.1038	ACAA2|10449	8032.9402
ACACA|31	3420.7305	ACACA|31	7055.307
ACACB|32	591.3769	ACACB|32	40829.6055
ACAD10|80724	702.2264	ACAD10|80724	678.3245
ACAD11|84129	321.2269	ACAD11|84129	1846.2708
ACAD8|27034	572.8123	ACAD8|27034	770.6385
ACAD9|28976	553.532	ACAD9|28976	1102.0699
lowly_expressed	lowly_expressed	ACADL|33	865.3924
ACADM|34	84.7515	ACADM|34	4366.0024
ACADSB|36	6619.2238	ACADSB|36	2958.9264
ACADS|35	816.5736	ACADS|35	1543.3103
ACADVL|37	4024.8631	ACADVL|37	7105.3274
ACAN|176	13.9907	ACAN|176	32.5336
ACAP1|9744	18.5646	ACAP1|9744	35.7869
ACAP2|23527	1486.5138	ACAP2|23527	2167.1411
ACAP3|116983	717.9687	ACAP3|116983	334.3188
ACAT1|38	1291.1818	ACAT1|38	6008.1334
ACAT2|39	455.8203	ACAT2|39	399.3819
ACBD3|64746	3641.3533	ACBD3|64746	1203.7414
ACBD4|79777	185.6461	ACBD4|79777	213.5014
ACBD5|91452	1297.6391	ACBD5|91452	1300.5287
ACBD6|84320	546.4451	ACBD6|84320	296.0553
ACBD7|414149	30.1339	ACBD7|414149	8.1334
ACCN2|41	118.652	ACCN2|41	103.294
ACCN3|9311	25.0219	lowly_expressed	lowly_expressed
ACCS|84680	159.0099	ACCS|84680	459.5364
ACD|65057	155.5122	ACD|65057	192.3546
lowly_expressed	lowly_expressed	ACE2|59272	27.6535
ACER2|340485	144.4811	ACER2|340485	660.4311
ACER3|55331	203.9416	ACER3|55331	1744.205
ACE|1636	980.9646	ACE|1636	1134.6076
ACIN1|22985	4933.8804	ACIN1|22985	2205.368
ACLY|47	6006.0537	ACLY|47	3013.0134
