gene_id	TCGA-AC-A23H-01A-11R-A157-07	gene_id	TCGA-AC-A23H-11A-12R-A157-07
lowly_expressed	lowly_expressed	?|100133144	5.8538
lowly_expressed	lowly_expressed	?|100134869	8.4587
?|10357	114.4447	?|10357	93.7866
?|10431	650.45	?|10431	622.2381
?|155060	154.1323	?|155060	107.3441
?|390284	5.6535	?|390284	7.1563
?|57714	713.5312	?|57714	522.0503
?|645851	15.4727	?|645851	6.0828
?|652919	165.7755	?|652919	10.5591
?|653553	455.2555	?|653553	131.3176
lowly_expressed	lowly_expressed	?|729884	5.3672
?|8225	511.493	?|8225	231.1477
lowly_expressed	lowly_expressed	?|90288	10.0188
A1BG|1	13.6874	A1BG|1	38.5795
A2LD1|87769	83.3623	A2LD1|87769	76.2072
A2ML1|144568	37.7892	A2ML1|144568	33.9923
A2M|2	4767.049	A2M|2	37640.8373
A4GALT|53947	85.9927	A4GALT|53947	276.59
AAAS|8086	647.177	AAAS|8086	473.0298
AACS|65985	1891.2445	AACS|65985	1001.8785
lowly_expressed	lowly_expressed	AADAC|13	219.6976
AADAT|51166	20.2336	AADAT|51166	98.041
AAGAB|79719	2393.5134	AAGAB|79719	1015.1176
AAK1|22848	902.4771	lowly_expressed	lowly_expressed
AAMP|14	3284.981	AAMP|14	1089.1851
AARS2|57505	243.9902	AARS2|57505	234.0066
AARSD1|80755	255.0026	AARSD1|80755	373.5576
AARS|16	4842.0739	lowly_expressed	lowly_expressed
AASDHPPT|60496	1453.8421	AASDHPPT|60496	899.9016
AASDH|132949	430.2611	lowly_expressed	lowly_expressed
AASS|10157	167.8197	lowly_expressed	lowly_expressed
AATF|26574	833.4449	AATF|26574	803.2919
AATK|9625	13.3899	AATK|9625	22.5423
ABAT|18	270.1778	lowly_expressed	lowly_expressed
ABCA11P|79963	112.1773	lowly_expressed	lowly_expressed
ABCA12|26154	5148.8507	lowly_expressed	lowly_expressed
ABCA17P|650655	8.9266	ABCA17P|650655	7.8719
ABCA1|19	569.8103	ABCA1|19	1913.5558
ABCA2|20	3179.3498	ABCA2|20	1019.4114
ABCA3|21	1065.8335	lowly_expressed	lowly_expressed
ABCA4|24	20.5311	ABCA4|24	202.8804
ABCA5|23461	258.2757	ABCA5|23461	1035.8708
ABCA6|23460	20.8287	lowly_expressed	lowly_expressed
ABCA7|10347	284.4603	ABCA7|10347	147.4193
lowly_expressed	lowly_expressed	ABCA9|10350	3228.5535
ABCB10|23456	449.3045	lowly_expressed	lowly_expressed
ABCB1|5243	5.6535	ABCB1|5243	366.4013
ABCB4|5244	18.1507	ABCB4|5244	35.7814
lowly_expressed	lowly_expressed	ABCB5|340273	325.6105
ABCB6|10058	513.3021	lowly_expressed	lowly_expressed
ABCB7|22	557.6136	ABCB7|22	679.8461
ABCB8|11194	880.7558	ABCB8|11194	195.7241
ABCB9|23457	248.2987	ABCB9|23457	79.1591
ABCC10|89845	302.3135	ABCC10|89845	237.9461
ABCC11|85320	13842.1483	ABCC11|85320	473.0298
ABCC12|94160	11.6046	lowly_expressed	lowly_expressed
ABCC1|4363	742.9889	ABCC1|4363	1176.1338
ABCC2|1244	461.2066	ABCC2|1244	19.6798
ABCC3|8714	3422.1528	ABCC3|8714	411.8436
ABCC4|10257	585.8811	lowly_expressed	lowly_expressed
ABCC5|10057	1941.5309	ABCC5|10057	869.8452
ABCC6P2|730013	24.1018	ABCC6P2|730013	11.8079
ABCC6|368	105.9287	lowly_expressed	lowly_expressed
ABCC8|6833	78.2563	lowly_expressed	lowly_expressed
ABCC9|10060	267.4998	ABCC9|10060	1234.4575
ABCD1|215	531.7265	ABCD1|215	162.0896
lowly_expressed	lowly_expressed	ABCD2|225	123.4457
ABCD3|5825	2031.6894	ABCD3|5825	1414.08
ABCD4|5826	352.3023	lowly_expressed	lowly_expressed
ABCE1|6059	1961.4669	lowly_expressed	lowly_expressed
ABCF1|23	1795.7301	ABCF1|23	1043.7427
ABCF2|10061	1453.247	ABCF2|10061	1121.0305
ABCF3|55324	1311.3144	ABCF3|55324	562.4832
ABCG1|9619	988.4698	ABCG1|9619	623.6694
ABCG2|9429	26.4822	ABCG2|9429	351.7309
ABHD10|55347	848.025	ABHD10|55347	827.6232
ABHD11|83451	1830.8413	ABHD11|83451	325.9683
lowly_expressed	lowly_expressed	ABHD12B|145447	5.725
ABHD12|26090	1342.855	ABHD12|26090	778.9606
ABHD13|84945	535.2972	ABHD13|84945	644.0648
ABHD14A|25864	327.6203	ABHD14A|25864	363.9395
ABHD14B|84836	2020.0848	ABHD14B|84836	2892.9242
ABHD15|116236	663.8399	ABHD15|116236	372.1263
ABHD1|84696	6.8437	ABHD1|84696	24.3313
ABHD2|11057	2605.6684	ABHD2|11057	4352.8044
ABHD3|171586	339.21	ABHD3|171586	235.7993
ABHD4|63874	936.1006	ABHD4|63874	1099.2039
ABHD5|51099	795.0606	ABHD5|51099	1316.039
ABHD6|57406	82.1245	ABHD6|57406	234.7258
ABHD8|79575	36.0039	ABHD8|79575	178.5491
ABI1|10006	1622.3551	ABI1|10006	1856.8244
ABI2|10152	1223.5364	lowly_expressed	lowly_expressed
ABI3BP|25890	38.3843	lowly_expressed	lowly_expressed
ABI3|51225	92.2413	ABI3|51225	145.988
ABL1|25	2158.7443	lowly_expressed	lowly_expressed
ABL2|27	1044.4097	ABL2|27	1057.3397
ABLIM1|3983	2621.7362	ABLIM1|3983	10940.1556
ABLIM2|84448	61.5934	ABLIM2|84448	54.3877
ABLIM3|22885	717.1018	ABLIM3|22885	1536.8101
lowly_expressed	lowly_expressed	ABO|28	26.4782
ABP1|26	80.0417	ABP1|26	7.1563
ABR|29	1412.4823	lowly_expressed	lowly_expressed
ABT1|29777	480.2499	ABT1|29777	456.2125
ABTB1|80325	234.1739	ABTB1|80325	357.4559
ABTB2|25841	216.9159	ABTB2|25841	215.0461
ACAA1|30	1598.7503	ACAA1|30	678.7727
ACAA2|10449	297.2551	ACAA2|10449	1918.9552
ACACA|31	1439.5596	ACACA|31	1956.8834
ACACB|32	325.8201	ACACB|32	2293.2284
ACAD10|80724	764.7103	ACAD10|80724	389.6592
ACAD11|84129	218.7012	ACAD11|84129	522.0503
ACAD8|27034	446.6265	ACAD8|27034	536.3628
ACAD9|28976	1116.7537	ACAD9|28976	811.4071
lowly_expressed	lowly_expressed	ACADL|33	142.0521
ACADM|34	575.7643	ACADM|34	1044.1005
ACADSB|36	578.4423	ACADSB|36	1704.9826
ACADS|35	19.936	ACADS|35	276.59
ACADVL|37	2668.4431	lowly_expressed	lowly_expressed
ACAN|176	186.2679	lowly_expressed	lowly_expressed
ACAP1|9744	16.6629	ACAP1|9744	32.5611
ACAP2|23527	1958.789	ACAP2|23527	1574.3805
ACAP3|116983	666.8333	ACAP3|116983	265.8878
ACAT1|38	1399.0925	ACAT1|38	1798.3719
ACAT2|39	1058.4334	ACAT2|39	318.9552
ACBD3|64746	3334.9699	lowly_expressed	lowly_expressed
ACBD4|79777	39.5745	ACBD4|79777	198.2288
ACBD5|91452	1065.2384	lowly_expressed	lowly_expressed
ACBD6|84320	487.9863	ACBD6|84320	298.4167
ACBD7|414149	36.8965	ACBD7|414149	91.9581
lowly_expressed	lowly_expressed	ACCN1|40	10.3766
ACCN2|41	61.5934	ACCN2|41	108.4176
ACCN3|9311	10.7119	lowly_expressed	lowly_expressed
ACCS|84680	138.0644	ACCS|84680	240.093
ACD|65057	403.1838	ACD|65057	315.9495
ACE2|59272	8.9266	ACE2|59272	60.8283
ACER1|125981	5.0584	lowly_expressed	lowly_expressed
ACER2|340485	317.4887	ACER2|340485	142.0521
ACER3|55331	437.6999	lowly_expressed	lowly_expressed
ACE|1636	2712.1922	lowly_expressed	lowly_expressed
ACIN1|22985	2335.4906	ACIN1|22985	2400.5725
ACLY|47	3959.5328	ACLY|47	2524.7339
ACN9|57001	13.0923	ACN9|57001	127.3817
ACO1|48	1148.2556	ACO1|48	1919.313
ACO2|50	4229.2137	ACO2|50	1661.3221
ACOT11|26027	34.8137	ACOT11|26027	29.6628
ACOT13|55856	365.954	ACOT13|55856	579.2325
ACOT1|641371	626.6458	ACOT1|641371	445.8359
ACOT2|10965	338.6149	ACOT2|10965	255.479
ACOT4|122970	116.9382	lowly_expressed	lowly_expressed
ACOT7|11332	566.5402	ACOT7|11332	163.5209
ACOT8|10005	511.4097	ACOT8|10005	178.0624
ACOT9|23597	519.5269	ACOT9|23597	672.6899
ACOX1|51	2367.5162	ACOX1|51	1854.1909
ACOX2|8309	2785.6877	lowly_expressed	lowly_expressed
ACOX3|8310	745.6669	ACOX3|8310	527.4175
ACP1|52	1843.9336	ACP1|52	1385.4549
ACP2|53	1103.6227	ACP2|53	671.2586
ACP5|54	1212.527	ACP5|54	752.4823
ACP6|51205	677.2298	ACP6|51205	274.0853
ACPL2|92370	498.9958	ACPL2|92370	594.3287
ACPP|55	149.0739	ACPP|55	30.772
ACRBP|84519	10.7119	ACRBP|84519	18.2485
ACRC|93953	11.0094	ACRC|93953	30.4142
lowly_expressed	lowly_expressed	ACSBG1|23205	28.6251
lowly_expressed	lowly_expressed	ACSBG2|81616	7.5141
ACSF2|80221	711.4483	ACSF2|80221	529.2065
ACSF3|197322	276.4264	ACSF3|197322	165.6678
ACSL1|2180	1157.7773	ACSL1|2180	5452.366
ACSL3|2181	9395.8194	ACSL3|2181	3137.311
ACSL4|2182	462.3968	lowly_expressed	lowly_expressed
ACSL5|51703	73.1979	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM1|116285	31.1298
ACSM3|6296	26.6042	ACSM3|6296	202.5655
ACSM5|54988	9.2241	ACSM5|54988	109.491
ACSS1|84532	597.1881	ACSS1|84532	639.771
ACSS2|55902	714.4239	lowly_expressed	lowly_expressed
ACSS3|79611	30.3504	lowly_expressed	lowly_expressed
ACTA1|58	7.4388	ACTA1|58	27.1938
ACTA2|59	6625.6014	ACTA2|59	34869.6985
lowly_expressed	lowly_expressed	ACTBL2|345651	10.7344
ACTB|60	117335.6364	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACTC1|70	11.0922
ACTG1|71	57793.3497	ACTG1|71	53620.1807
ACTG2|72	1868.333	lowly_expressed	lowly_expressed
ACTL6A|86	1745.7413	ACTL6A|86	919.2235
ACTL8|81569	751.6179	lowly_expressed	lowly_expressed
ACTN1|87	5628.5055	ACTN1|87	7866.5355
ACTN4|81	7918.5271	ACTN4|81	8207.2565
ACTR10|55860	1119.393	ACTR10|55860	1439.1269
ACTR1A|10121	1818.6417	ACTR1A|10121	2345.4692
ACTR1B|10120	1649.6318	ACTR1B|10120	943.5549
ACTR2|10097	11626.5714	ACTR2|10097	6362.6442
ACTR3B|57180	119.6162	ACTR3B|57180	162.8053
ACTR3C|653857	62.4861	ACTR3C|653857	24.3313
ACTR3|10096	10209.0307	lowly_expressed	lowly_expressed
ACTR5|79913	287.1383	ACTR5|79913	186.0632
ACTR6|64431	719.1847	ACTR6|64431	661.5976
ACTR8|93973	637.6553	ACTR8|93973	527.4175
ACVR1B|91	1341.6648	lowly_expressed	lowly_expressed
ACVR1C|130399	68.7347	ACVR1C|130399	1173.6291
ACVR1|90	1338.6893	ACVR1|90	1514.2678
ACVR2A|92	450.7922	ACVR2A|92	797.9247
ACVR2B|93	383.2478	ACVR2B|93	703.104
ACVRL1|94	267.7974	ACVRL1|94	758.5652
ACY1|95	1019.9955	ACY1|95	388.5428
ACY3|91703	90.456	ACY3|91703	41.8642
ACYP1|97	68.7347	lowly_expressed	lowly_expressed
ACYP2|98	186.2679	ACYP2|98	155.649
ADAL|161823	227.6278	ADAL|161823	151.713
ADAM10|102	3544.4469	ADAM10|102	2227.3906
ADAM11|4185	7.1413	ADAM11|4185	5.0094
ADAM12|8038	3304.6195	lowly_expressed	lowly_expressed
ADAM15|8751	3697.0914	ADAM15|8751	2102.5136
ADAM17|6868	1016.1422	ADAM17|6868	902.4063
ADAM19|8728	489.4741	ADAM19|8728	166.3834
lowly_expressed	lowly_expressed	ADAM21|8747	7.1563
ADAM22|53616	150.5616	ADAM22|53616	99.1144
ADAM23|8745	31.243	ADAM23|8745	20.0376
ADAM28|10863	17.8532	ADAM28|10863	124.5192
lowly_expressed	lowly_expressed	ADAM32|203102	26.1204
lowly_expressed	lowly_expressed	ADAM33|80332	742.8214
ADAM6|8755	2060.7424	ADAM6|8755	39640.712
ADAM8|101	912.5939	ADAM8|101	35.4236
ADAM9|8754	1068.5115	ADAM9|8754	2271.4017
ADAMTS10|81794	69.0322	lowly_expressed	lowly_expressed
ADAMTS12|81792	707.8777	lowly_expressed	lowly_expressed
ADAMTS13|11093	10.4143	ADAMTS13|11093	16.4594
ADAMTS14|140766	118.4259	lowly_expressed	lowly_expressed
ADAMTS15|170689	23.8042	ADAMTS15|170689	69.7737
ADAMTS16|170690	374.9163	ADAMTS16|170690	257.9837
ADAMTS17|170691	193.7068	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADAMTS18|170692	15.7438
ADAMTS19|171019	160.3809	lowly_expressed	lowly_expressed
ADAMTS1|9510	318.3813	ADAMTS1|9510	1621.612
ADAMTS2|9509	1252.1015	ADAMTS2|9509	536.7206
ADAMTS3|9508	12.7948	lowly_expressed	lowly_expressed
ADAMTS4|9507	662.0546	ADAMTS4|9507	23.9735
ADAMTS5|11096	406.1593	ADAMTS5|11096	3399.9463
ADAMTS6|11174	78.8514	ADAMTS6|11174	35.4236
ADAMTS7|11173	140.7424	ADAMTS7|11173	46.8736
ADAMTS9|56999	101.1679	lowly_expressed	lowly_expressed
ADAMTSL1|92949	175.2585	ADAMTSL1|92949	742.4635
ADAMTSL2|9719	103.8459	ADAMTSL2|9719	28.6251
ADAMTSL3|57188	47.6084	lowly_expressed	lowly_expressed
ADAMTSL4|54507	258.2757	ADAMTSL4|54507	1458.4489
ADAMTSL5|339366	52.0717	ADAMTSL5|339366	72.2784
ADAP1|11033	110.1064	ADAP1|11033	44.5514
ADAP2|55803	184.1851	ADAP2|55803	256.5525
ADARB1|104	329.0932	ADARB1|104	700.2415
lowly_expressed	lowly_expressed	ADARB2|105	6.0828
ADAR|103	9957.3012	lowly_expressed	lowly_expressed
ADAT1|23536	650.1525	lowly_expressed	lowly_expressed
ADAT2|134637	15.7703	ADAT2|134637	229.0008
ADAT3|113179	44.6329	ADAT3|113179	11.45
ADA|100	51.1791	ADA|100	163.5209
ADCK1|57143	96.7046	ADCK1|57143	114.8582
ADCK2|90956	793.8704	lowly_expressed	lowly_expressed
ADCK4|79934	303.8012	ADCK4|79934	336.7027
ADCK5|203054	136.8742	ADCK5|203054	20.7532
ADCY1|107	42.8476	lowly_expressed	lowly_expressed
ADCY2|108	17.5556	ADCY2|108	200.3757
ADCY3|109	482.2257	ADCY3|109	1708.5607
ADCY4|196883	33.921	lowly_expressed	lowly_expressed
ADCY5|111	461.2066	ADCY5|111	234.0102
ADCY6|112	1877.5571	ADCY6|112	1452.7239
ADCY7|113	489.7716	ADCY7|113	595.7599
lowly_expressed	lowly_expressed	ADCY8|114	59.3971
ADCY9|115	205.0138	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ADCYAP1R1|117	57.608
ADC|113451	74.9833	ADC|113451	115.216
ADD1|118	4266.6072	ADD1|118	7414.6167
ADD2|119	6.8437	ADD2|119	65.8377
ADD3|120	514.766	ADD3|120	5879.2379
lowly_expressed	lowly_expressed	ADH1A|124	320.4795
ADH1B|125	12.1997	ADH1B|125	37959.7424
lowly_expressed	lowly_expressed	ADH4|127	135.6114
ADH5|128	1835.0071	ADH5|128	4501.2971
lowly_expressed	lowly_expressed	ADH6|130	5.0094
ADHFE1|137872	27.0773	ADHFE1|137872	217.5508
ADI1|55256	2217.3622	ADI1|55256	1469.5411
ADIPOQ|9370	15.4727	ADIPOQ|9370	12135.9692
ADIPOR1|51094	5563.3415	ADIPOR1|51094	2385.1865
ADIPOR2|79602	1411.5897	ADIPOR2|79602	2228.4641
ADK|132	275.5337	ADK|132	353.8778
ADM2|79924	443.9485	ADM2|79924	36.497
ADM|133	340.9953	ADM|133	527.0597
ADNP2|22850	937.2908	lowly_expressed	lowly_expressed
ADNP|23394	6059.0642	lowly_expressed	lowly_expressed
ADORA1|134	911.7013	ADORA1|134	259.7728
ADORA2A|135	154.7274	ADORA2A|135	39.7173
