gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
?|100133144	10.3153	?|100133144	11.1613
?|100134869	7.5144	lowly_expressed	lowly_expressed
?|10357	85.7347	?|10357	88.527
?|10431	825.9989	?|10431	678.6409
?|155060	180.5657	?|155060	105.5396
?|390284	6.8077	?|390284	5.713
?|57714	2237.1343	?|57714	463.352
?|645851	13.2912	?|645851	5.1116
?|652919	51.9329	lowly_expressed	lowly_expressed
?|653553	89.4724	?|653553	247.4619
?|729884	40.5219	lowly_expressed	lowly_expressed
?|8225	257.0711	?|8225	383.0698
?|90288	33.0659	?|90288	26.1594
A1BG|1	100.4004	A1BG|1	75.5676
A2LD1|87769	107.5646	A2LD1|87769	73.6582
lowly_expressed	lowly_expressed	A2ML1|144568	11.1253
A2M|2	25662.9257	A2M|2	43303.4565
A4GALT|53947	175.0547	A4GALT|53947	489.5114
AAAS|8086	553.6915	AAAS|8086	582.4224
AACS|65985	662.9386	AACS|65985	847.9252
lowly_expressed	lowly_expressed	AADACL2|344752	10.2232
lowly_expressed	lowly_expressed	AADAC|13	88.4007
AADAT|51166	24.3132	AADAT|51166	67.3529
AAGAB|79719	2073.4257	AAGAB|79719	1018.1116
AAK1|22848	1444.2013	AAK1|22848	966.9956
AAMP|14	1948.294	AAMP|14	1972.1778
AARS2|57505	337.1229	AARS2|57505	318.42
AARSD1|80755	871.3834	AARSD1|80755	464.2541
AARS|16	2710.1062	AARS|16	2823.7112
AASDHPPT|60496	643.446	AASDHPPT|60496	702.5662
AASDH|132949	332.2798	AASDH|132949	350.2953
AASS|10157	288.1919	AASS|10157	490.1128
AATF|26574	853.2296	AATF|26574	969.7017
AATK|9625	26.5824	AATK|9625	45.1235
ABAT|18	988.4107	ABAT|18	657.2924
ABCA10|10349	17.5055	ABCA10|10349	275.8463
ABCA11P|79963	107.2858	ABCA11P|79963	129.8679
ABCA12|26154	1313.5586	ABCA12|26154	18.3416
ABCA13|154664	5.8352	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCA17P|650655	5.4123
ABCA1|19	775.7452	ABCA1|19	1638.0893
ABCA2|20	1691.5471	ABCA2|20	1368.407
ABCA3|21	974.7954	ABCA3|21	899.0413
ABCA4|24	92.7142	ABCA4|24	89.0021
ABCA5|23461	249.615	ABCA5|23461	543.514
ABCA6|23460	152.0383	ABCA6|23460	1058.1024
ABCA7|10347	444.1203	ABCA7|10347	279.0335
ABCA8|10351	143.9339	ABCA8|10351	1972.4785
ABCA9|10350	117.9998	ABCA9|10350	1528.0695
ABCB10|23456	581.2465	ABCB10|23456	382.7691
ABCB1|5243	382.2028	ABCB1|5243	328.3455
ABCB4|5244	19.7747	ABCB4|5244	29.7676
ABCB5|340273	12.6428	ABCB5|340273	107.043
ABCB6|10058	349.3314	ABCB6|10058	375.0475
ABCB7|22	528.4059	ABCB7|22	509.0558
ABCB8|11194	562.7685	ABCB8|11194	346.6872
ABCB9|23457	80.4538	ABCB9|23457	116.3702
ABCC10|89845	314.7743	ABCC10|89845	291.9629
ABCC11|85320	2762.6226	ABCC11|85320	150.642
ABCC12|94160	33.3901	lowly_expressed	lowly_expressed
ABCC1|4363	872.3559	ABCC1|4363	1013.6014
ABCC2|1244	69.3735	ABCC2|1244	36.984
ABCC3|8714	386.7412	ABCC3|8714	510.2585
ABCC4|10257	236.648	ABCC4|10257	184.9199
ABCC5|10057	582.219	ABCC5|10057	524.3906
lowly_expressed	lowly_expressed	ABCC6P1|653190	12.0273
ABCC6P2|730013	10.3736	ABCC6P2|730013	27.0614
ABCC6|368	15.5604	ABCC6|368	197.5485
ABCC8|6833	40.8461	ABCC8|6833	33.6765
ABCC9|10060	205.203	ABCC9|10060	865.0641
ABCD1|215	219.1426	ABCD1|215	216.1909
ABCD2|225	66.1318	ABCD2|225	187.9267
ABCD3|5825	3676.7971	ABCD3|5825	1365.4001
ABCD4|5826	493.3949	ABCD4|5826	816.6542
ABCE1|6059	1673.0691	ABCE1|6059	1384.6438
ABCF1|23	1709.3768	ABCF1|23	1398.4752
ABCF2|10061	1450.3606	ABCF2|10061	1132.6717
ABCF3|55324	965.0701	ABCF3|55324	832.2897
ABCG1|9619	1562.2012	ABCG1|9619	660.9006
ABCG2|9429	155.28	ABCG2|9429	255.2796
ABHD10|55347	567.9553	ABHD10|55347	669.9211
ABHD11|83451	991.9767	ABHD11|83451	317.2202
ABHD12B|145447	13.6154	ABHD12B|145447	5.1116
ABHD12|26090	979.658	ABHD12|26090	945.3464
ABHD13|84945	658.076	ABHD13|84945	508.4544
ABHD14A|25864	183.1591	ABHD14A|25864	309.7032
ABHD14B|84836	1361.8608	ABHD14B|84836	2638.19
ABHD15|116236	384.1478	ABHD15|116236	505.1469
ABHD1|84696	24.3132	ABHD1|84696	35.7812
ABHD2|11057	22388.5242	ABHD2|11057	3136.4212
ABHD3|171586	942.0537	ABHD3|171586	233.0291
ABHD4|63874	563.4168	ABHD4|63874	1028.6355
ABHD5|51099	670.0705	ABHD5|51099	811.8433
ABHD6|57406	172.1371	ABHD6|57406	354.8056
ABHD8|79575	199.0437	ABHD8|79575	227.3161
ABI1|10006	1520.0519	ABI1|10006	1648.2433
ABI2|10152	1691.223	ABI2|10152	1715.0941
ABI3BP|25890	1120.9985	ABI3BP|25890	3013.442
ABI3|51225	327.093	ABI3|51225	243.553
ABL1|25	2126.5905	ABL1|25	3363.136
ABL2|27	1345.9762	ABL2|27	909.5652
ABLIM1|3983	4190.2909	ABLIM1|3983	8823.8345
ABLIM2|84448	89.4724	ABLIM2|84448	99.526
ABLIM3|22885	733.6089	ABLIM3|22885	1576.4794
ABO|28	6.1593	ABO|28	15.6355
ABP1|26	46.6813	ABP1|26	16.8382
ABR|29	1784.5855	ABR|29	2209.1158
ABT1|29777	462.2741	ABT1|29777	552.3541
ABTB1|80325	400.0324	ABTB1|80325	644.0623
ABTB2|25841	221.736	ABTB2|25841	120.2731
ACAA1|30	1129.427	ACAA1|30	1099.8973
ACAA2|10449	768.6198	ACAA2|10449	2346.2271
ACACA|31	1338.5201	ACACA|31	1844.087
ACACB|32	1166.0588	ACACB|32	3699.2993
ACAD10|80724	536.5103	ACAD10|80724	481.393
ACAD11|84129	299.8395	ACAD11|84129	520.7734
ACAD8|27034	396.1423	ACAD8|27034	595.6524
ACAD9|28976	763.1542	ACAD9|28976	1075.539
lowly_expressed	lowly_expressed	ACADL|33	162.3687
ACADM|34	1283.0861	ACADM|34	1105.3096
ACADSB|36	1813.7612	ACADSB|36	2061.1799
ACADS|35	292.082	ACADS|35	679.2422
ACADVL|37	2531.1354	ACADVL|37	5298.8591
ACAN|176	16.2088	ACAN|176	20.4464
ACAP1|9744	441.2027	ACAP1|9744	101.6308
ACAP2|23527	1625.0912	ACAP2|23527	1356.981
ACAP3|116983	377.0289	ACAP3|116983	376.5028
ACAT1|38	506.6861	ACAT1|38	1787.8593
ACAT2|39	345.0004	ACAT2|39	310.2324
ACBD3|64746	1836.7777	ACBD3|64746	1307.6691
ACBD4|79777	117.9998	ACBD4|79777	273.6213
ACBD5|91452	915.7954	ACBD5|91452	665.1101
ACBD6|84320	394.8456	ACBD6|84320	374.35
ACBD7|414149	29.5	ACBD7|414149	34.8792
ACCN1|40	16.8571	ACCN1|40	18.6423
ACCN2|41	23.989	ACCN2|41	163.8721
ACCN3|9311	15.8846	lowly_expressed	lowly_expressed
ACCS|84680	126.4284	ACCS|84680	258.2864
ACD|65057	245.0766	ACD|65057	344.2817
ACE2|59272	6.8077	ACE2|59272	20.7471
ACER2|340485	311.8567	ACER2|340485	125.084
ACER3|55331	245.7249	ACER3|55331	449.8213
ACE|1636	696.0045	ACE|1636	1071.6331
ACHE|43	38.901	ACHE|43	15.3348
ACIN1|22985	2743.1721	ACIN1|22985	2508.8964
ACLY|47	2560.3371	ACLY|47	2918.4263
ACN9|57001	150.0932	ACN9|57001	174.9973
ACO1|48	653.5376	ACO1|48	2495.6664
ACO2|50	2627.3377	ACO2|50	2532.6203
ACOT11|26027	27.636	ACOT11|26027	46.3051
ACOT13|55856	593.7564	ACOT13|55856	589.7109
ACOT1|641371	701.1913	ACOT1|641371	866.8682
ACOT2|10965	398.4115	ACOT2|10965	442.3043
ACOT4|122970	261.6095	ACOT4|122970	131.3983
ACOT7|11332	244.7524	ACOT7|11332	287.4527
ACOT8|10005	220.8704	ACOT8|10005	200.1975
ACOT9|23597	273.2798	ACOT9|23597	668.117
ACOX1|51	1610.1791	ACOX1|51	2467.7029
ACOX2|8309	232.1096	ACOX2|8309	317.8216
ACOX3|8310	877.8669	ACOX3|8310	492.8189
ACP1|52	1623.1461	ACP1|52	1174.4666
ACP2|53	1313.2345	ACP2|53	899.342
ACP5|54	646.4057	ACP5|54	687.6613
ACP6|51205	226.5986	ACP6|51205	256.1817
ACPL2|92370	279.7634	ACPL2|92370	405.0196
ACPP|55	19.7747	ACPP|55	27.0614
ACRBP|84519	60.945	ACRBP|84519	35.7812
ACRC|93953	11.3461	ACRC|93953	18.3416
ACR|49	6.4835	ACR|49	7.5171
ACSBG1|23205	7.1319	ACSBG1|23205	26.4601
ACSF2|80221	913.8504	ACSF2|80221	740.9122
ACSF3|197322	265.8238	ACSF3|197322	286.5506
ACSL1|2180	2738.9578	ACSL1|2180	8589.9034
ACSL3|2181	3700.4619	ACSL3|2181	2526.336
ACSL4|2182	1273.0367	ACSL4|2182	1779.4402
ACSL5|51703	900.8834	ACSL5|51703	899.9433
ACSL6|23305	41.4944	lowly_expressed	lowly_expressed
ACSM1|116285	57.379	ACSM1|116285	69.4577
ACSM3|6296	63.1526	ACSM3|6296	111.8119
ACSM5|54988	17.5055	ACSM5|54988	258.8878
ACSS1|84532	1160.2237	ACSS1|84532	693.9757
ACSS2|55902	741.7133	ACSS2|55902	2045.2437
ACSS3|79611	101.1427	ACSS3|79611	362.022
lowly_expressed	lowly_expressed	ACTA1|58	52.3188
ACTA2|59	5835.5523	ACTA2|59	44806.01
ACTB|60	79340.6273	ACTB|60	99917.4626
lowly_expressed	lowly_expressed	ACTC1|70	37.5853
ACTG1|71	69433.1794	ACTG1|71	59725.5068
ACTG2|72	307.3183	ACTG2|72	17234.531
ACTL6A|86	839.2901	ACTL6A|86	748.6999
ACTN1|87	6538.9416	ACTN1|87	12030.6155
ACTN2|88	32.7417	ACTN2|88	5.1116
ACTN4|81	8438.2008	ACTN4|81	12681.0644
ACTR10|55860	956.3174	ACTR10|55860	1252.0428
ACTR1A|10121	2511.3867	ACTR1A|10121	2889.8614
ACTR1B|10120	929.0866	ACTR1B|10120	1597.5272
ACTR2|10097	8175.3789	ACTR2|10097	5092.9636
ACTR3B|57180	192.8844	ACTR3B|57180	161.1659
ACTR3C|653857	38.901	ACTR3C|653857	44.2004
ACTR3|10096	3716.0224	ACTR3|10096	3303.3001
ACTR5|79913	161.4393	ACTR5|79913	195.4438
ACTR6|64431	544.6146	ACTR6|64431	523.7893
ACTR8|93973	512.1971	ACTR8|93973	503.3428
ACVR1B|91	1881.5139	ACVR1B|91	1113.428
ACVR1C|130399	12.967	ACVR1C|130399	681.9484
ACVR1|90	1017.9107	ACVR1|90	1364.1974
ACVR2A|92	419.4829	ACVR2A|92	612.7913
ACVR2B|93	436.3401	ACVR2B|93	399.3066
ACVRL1|94	657.4277	ACVRL1|94	1304.0609
ACY1|95	763.1088	ACY1|95	538.222
ACY3|91703	10.6978	ACY3|91703	15.9362
ACYP1|97	59.3241	ACYP1|97	58.9338
ACYP2|98	81.368	ACYP2|98	159.0611
ADAL|161823	202.9338	ADAL|161823	198.7513
ADAM10|102	2017.3434	ADAM10|102	1582.1924
lowly_expressed	lowly_expressed	ADAM11|4185	7.8178
ADAM12|8038	1006.2404	ADAM12|8038	249.266
ADAM15|8751	3946.5273	ADAM15|8751	3119.3184
ADAM17|6868	897.6416	ADAM17|6868	722.2398
ADAM19|8728	627.9277	ADAM19|8728	168.3823
ADAM21P1|145241	9.0769	lowly_expressed	lowly_expressed
ADAM21|8747	32.7417	lowly_expressed	lowly_expressed
ADAM22|53616	108.9229	ADAM22|53616	64.9475
ADAM23|8745	73.2636	ADAM23|8745	98.0226
ADAM28|10863	258.0436	ADAM28|10863	162.3687
ADAM32|203102	38.2527	ADAM32|203102	37.2847
ADAM33|80332	99.846	ADAM33|80332	821.6606
ADAM6|8755	27845.5953	ADAM6|8755	132238.255
ADAM8|101	276.5216	ADAM8|101	85.0932
ADAM9|8754	1399.4651	ADAM9|8754	2210.6192
ADAMDEC1|27299	291.7578	lowly_expressed	lowly_expressed
ADAMTS10|81794	55.1098	ADAMTS10|81794	198.1499
ADAMTS12|81792	169.8679	ADAMTS12|81792	124.4826
ADAMTS13|11093	23.6648	ADAMTS13|11093	26.4601
ADAMTS14|140766	17.5055	ADAMTS14|140766	8.4191
ADAMTS15|170689	971.8778	ADAMTS15|170689	207.1704
ADAMTS16|170690	9.4011	ADAMTS16|170690	238.4414
ADAMTS17|170691	28.2033	ADAMTS17|170691	31.271
ADAMTS18|170692	10.3736	ADAMTS18|170692	32.7744
ADAMTS1|9510	1926.2501	ADAMTS1|9510	3138.526
ADAMTS2|9509	267.7689	ADAMTS2|9509	721.0371
ADAMTS3|9508	52.5164	ADAMTS3|9508	230.0223
ADAMTS4|9507	320.2853	ADAMTS4|9507	96.2185
ADAMTS5|11096	229.5162	ADAMTS5|11096	2882.645
ADAMTS6|11174	32.7417	ADAMTS6|11174	44.501
ADAMTS7|11173	71.3186	ADAMTS7|11173	85.6946
ADAMTS8|11095	38.2527	ADAMTS8|11095	59.8359
ADAMTS9|56999	305.3732	ADAMTS9|56999	638.0487
ADAMTSL1|92949	528.0817	ADAMTSL1|92949	585.7299
ADAMTSL2|9719	70.9944	ADAMTSL2|9719	126.2867
ADAMTSL3|57188	129.346	ADAMTSL3|57188	551.1514
ADAMTSL4|54507	181.214	ADAMTSL4|54507	1632.1057
