gene_id	TCGA-AC-A2FF-01A-11R-A17B-07	gene_id	TCGA-AC-A2FF-11A-13R-A17B-07
?|100133144	9.6908	?|100133144	9.4621
lowly_expressed	lowly_expressed	?|100134869	6.187
?|10357	109.43	?|10357	97.6954
?|10431	638.9694	?|10431	733.8332
?|155060	118.5185	?|155060	175.7734
?|390284	9.9839	?|390284	7.2657
?|57714	921.095	?|57714	704.2116
?|645851	13.2045	?|645851	13.1341
?|652919	53.9936	?|652919	44.5498
?|653553	92.7536	?|653553	136.93
?|729884	7.0853	?|729884	127.1493
?|8225	261.5137	?|8225	395.9793
?|90288	6.7633	?|90288	24.0326
A1BG|1	86.628	A1BG|1	87.5849
A2LD1|87769	101.5233	A2LD1|87769	76.5467
A2ML1|144568	9.0177	A2ML1|144568	17.3258
A2M|2	36579.8422	A2M|2	36954.5029
A4GALT|53947	293.3977	A4GALT|53947	329.4704
AAAS|8086	644.1224	AAAS|8086	698.902
AACS|65985	1225.7649	AACS|65985	2725.7459
AADAC|13	7.4074	lowly_expressed	lowly_expressed
AADAT|51166	48.3092	AADAT|51166	143.3574
AAGAB|79719	1340.0966	AAGAB|79719	1282.1122
AAK1|22848	1076.0064	AAK1|22848	1115.5606
AAMP|14	1833.1723	AAMP|14	2049.4792
AARS2|57505	341.6006	AARS2|57505	437.8575
AARSD1|80755	420.6119	AARSD1|80755	597.1826
AARS|16	2370.3704	AARS|16	2995.6937
AASDHPPT|60496	975.8454	AASDHPPT|60496	879.7056
AASDH|132949	374.8792	AASDH|132949	357.1359
AASS|10157	526.248	AASS|10157	502.7288
AATF|26574	657.971	AATF|26574	870.2043
AATK|9625	36.1224	AATK|9625	43.6108
ABAT|18	1497.2625	ABAT|18	1002.1043
ABCA10|10349	270.2093	ABCA10|10349	238.37
ABCA11P|79963	124.4477	ABCA11P|79963	156.8072
ABCA12|26154	224.1546	ABCA12|26154	783.8546
ABCA13|154664	15.4589	ABCA13|154664	49.7419
ABCA17P|650655	8.6957	lowly_expressed	lowly_expressed
ABCA1|19	2041.1498	ABCA1|19	1343.0041
ABCA2|20	1270.8535	ABCA2|20	1582.2405
ABCA3|21	1356.5217	ABCA3|21	1829.5529
ABCA4|24	19.0016	ABCA4|24	56.7282
ABCA5|23461	540.7407	ABCA5|23461	728.2442
ABCA6|23460	735.2657	ABCA6|23460	297.6132
ABCA7|10347	181.9646	ABCA7|10347	260.4465
ABCA8|10351	1803.8647	ABCA8|10351	956.2746
ABCA9|10350	709.5008	ABCA9|10350	464.7238
ABCB10|23456	461.8357	ABCB10|23456	499.9343
ABCB11|8647	5.7971	lowly_expressed	lowly_expressed
ABCB1|5243	668.599	ABCB1|5243	642.1739
ABCB4|5244	37.3591	ABCB4|5244	19.282
ABCB5|340273	43.4783	ABCB5|340273	26.5477
ABCB6|10058	393.0596	ABCB6|10058	527.175
ABCB7|22	581.3205	ABCB7|22	492.1098
ABCB8|11194	468.9211	ABCB8|11194	489.5947
ABCB9|23457	110.3027	ABCB9|23457	169.7876
