gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
?|100133144	8.286	lowly_expressed	lowly_expressed
?|100134869	8.7538	lowly_expressed	lowly_expressed
?|10357	187.4708	?|10357	133.5073
?|10431	690.9455	?|10431	925.367
?|155060	206.1477	?|155060	250.8157
?|390284	10.0234	?|390284	8.5644
?|57714	496.4918	?|57714	75.0408
?|645851	13.6986	lowly_expressed	lowly_expressed
?|653553	610.4243	?|653553	398.0424
?|728788	5.3458	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|729884	12.6427
?|8225	804.2098	?|8225	1325.0408
?|90288	40.7618	?|90288	38.7439
A1BG|1	1299.5289	A1BG|1	355.102
A2LD1|87769	108.5667	A2LD1|87769	81.4478
A2M|2	7407.9051	A2M|2	22892.2838
A4GALT|53947	827.9318	A4GALT|53947	753.2626
AAAS|8086	933.1774	AAAS|8086	909.4617
AACS|65985	1272.6362	AACS|65985	1199.8369
lowly_expressed	lowly_expressed	AADAC|13	15.9054
AADAT|51166	26.0608	AADAT|51166	51.7945
AAGAB|79719	1567.992	AAGAB|79719	1230.0163
AAK1|22848	399.5991	AAK1|22848	599.1028
AAMP|14	2434.0127	AAMP|14	3660.2773
AARS2|57505	473.7153	AARS2|57505	505.2977
AARSD1|80755	679.5857	AARSD1|80755	865.0082
AARS|16	3036.4183	AARS|16	3054.2414
AASDHPPT|60496	706.3147	AASDHPPT|60496	479.2007
AASDH|132949	298.0287	AASDH|132949	242.6591
AASS|10157	68.159	AASS|10157	268.7602
AATF|26574	1761.1093	AATF|26574	1237.3573
AATK|9625	48.4464	AATK|9625	155.0163
ABAT|18	1364.1831	ABAT|18	586.8679
ABCA10|10349	24.3902	ABCA10|10349	150.0816
ABCA11P|79963	81.871	ABCA11P|79963	103.7724
ABCA12|26154	21.0491	ABCA12|26154	38.3361
lowly_expressed	lowly_expressed	ABCA13|154664	6.9331
ABCA17P|650655	10.0234	ABCA17P|650655	15.4976
ABCA1|19	692.9435	ABCA1|19	392.3328
ABCA2|20	1969.2616	ABCA2|20	1799.3475
ABCA3|21	6841.6305	ABCA3|21	1064.0294
lowly_expressed	lowly_expressed	ABCA4|24	33.8499
ABCA5|23461	492.4825	ABCA5|23461	340.5383
ABCA6|23460	55.4627	ABCA6|23460	241.0277
ABCA7|10347	366.856	ABCA7|10347	475.5302
ABCA8|10351	105.5797	ABCA8|10351	592.5775
ABCA9|10350	23.0538	ABCA9|10350	274.062
ABCB10|23456	454.0595	ABCB10|23456	215.7423
ABCB1|5243	56.4651	ABCB1|5243	296.9005
ABCB4|5244	24.7244	ABCB4|5244	16.721
lowly_expressed	lowly_expressed	ABCB5|340273	29.7716
ABCB6|10058	659.9866	ABCB6|10058	494.0294
ABCB7|22	303.7087	ABCB7|22	435.155
