gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
?|100133144	14.2849	?|100133144	12.2269
?|100134869	9.4139	?|100134869	15.6007
?|10357	123.7371	?|10357	123.8844
?|10431	910.4001	?|10431	617.6576
?|155060	290.2197	?|155060	221.76
lowly_expressed	lowly_expressed	?|390284	6.0245
?|57714	735.7579	?|57714	833.9669
?|645851	17.5007	?|645851	22.3768
lowly_expressed	lowly_expressed	?|652919	11.1884
?|653553	903.8374	?|653553	230.9403
?|729884	21.1467	?|729884	659.2555
?|8225	556.3759	?|8225	638.6
?|90288	16.4069	?|90288	28.6882
A1BG|1	240.7802	A1BG|1	121.8045
A2LD1|87769	112.4091	A2LD1|87769	104.6116
lowly_expressed	lowly_expressed	A2ML1|144568	218.8912
A2M|2	16519.4604	A2M|2	7486.977
A4GALT|53947	463.7681	A4GALT|53947	182.4571
AAAS|8086	748.1542	AAAS|8086	558.273
AACS|65985	966.5482	AACS|65985	933.515
AADAC|13	5.469	AADAC|13	12.9097
AADAT|51166	113.0252	AADAT|51166	66.8436
AAGAB|79719	1874.3961	AAGAB|79719	1627.1964
AAK1|22848	829.4595	AAK1|22848	934.0888
AAMP|14	2995.1691	AAMP|14	2687.2266
AARS2|57505	805.695	AARS2|57505	620.1994
AARSD1|80755	356.941	AARSD1|80755	280.8578
AARS|16	2278.3702	AARS|16	2053.2167
AASDHPPT|60496	702.9441	AASDHPPT|60496	640.0344
AASDH|132949	361.3162	AASDH|132949	337.3736
AASS|10157	266.5208	AASS|10157	282.866
AATF|26574	910.0355	AATF|26574	844.8684
AATK|9625	36.8244	AATK|9625	31.5571
ABAT|18	652.2651	ABAT|18	1018.1453
ABCA10|10349	72.1903	ABCA10|10349	135.8732
ABCA11P|79963	68.5298	ABCA11P|79963	92.0806
ABCA12|26154	1103.2723	ABCA12|26154	507.7817
lowly_expressed	lowly_expressed	ABCA13|154664	62.2535
ABCA17P|650655	9.1149	ABCA17P|650655	6.5983
ABCA1|19	888.867	ABCA1|19	1028.9952
ABCA2|20	1910.8559	ABCA2|20	2694.9724
ABCA3|21	1295.4152	ABCA3|21	1704.3678
ABCA4|24	24.7926	ABCA4|24	10.3278
ABCA5|23461	318.2937	ABCA5|23461	386.5395
ABCA6|23460	217.6648	ABCA6|23460	243.5631
ABCA7|10347	489.6545	ABCA7|10347	582.3711
ABCA8|10351	390.484	ABCA8|10351	387.578
ABCA9|10350	292.4073	ABCA9|10350	292.0462
ABCB10|23456	529.7603	ABCB10|23456	663.8457
lowly_expressed	lowly_expressed	ABCB11|8647	6.5983
ABCB1|5243	130.5259	ABCB1|5243	188.4817
ABCB4|5244	67.4506	ABCB4|5244	96.9662
ABCB5|340273	13.8547	lowly_expressed	lowly_expressed
ABCB6|10058	350.4804	ABCB6|10058	506.201
ABCB7|22	460.1221	ABCB7|22	432.3316
ABCB8|11194	863.0025	ABCB8|11194	626.2641
ABCB9|23457	206.3476	ABCB9|23457	291.8913
ABCC10|89845	400.6927	ABCC10|89845	348.8489
ABCC11|85320	321.9397	ABCC11|85320	1081.5463
ABCC12|94160	9.4795	ABCC12|94160	44.1799
ABCC13|150000	784.9786	lowly_expressed	lowly_expressed
ABCC1|4363	901.6498	ABCC1|4363	1090.4396
ABCC2|1244	7.292	ABCC2|1244	15.4916
ABCC3|8714	454.6532	ABCC3|8714	571.7564
ABCC4|10257	130.8905	ABCC4|10257	478.2328
ABCC5|10057	1942.9405	ABCC5|10057	973.3917
ABCC6P1|653190	49.2207	ABCC6P1|653190	58.2371
ABCC6P2|730013	37.189	ABCC6P2|730013	90.6548
ABCC6|368	522.1037	ABCC6|368	915.1546
ABCC8|6833	76.9301	ABCC8|6833	78.6058
ABCC9|10060	268.7084	ABCC9|10060	545.3633
ABCD1|215	460.4867	ABCD1|215	352.5784
ABCD2|225	77.2947	ABCD2|225	64.5485
ABCD3|5825	2516.4525	ABCD3|5825	2262.6408
ABCD4|5826	670.4949	ABCD4|5826	504.626
ABCE1|6059	1404.7945	ABCE1|6059	1529.6565
ABCF1|23	2101.905	ABCF1|23	1823.7108
ABCF2|10061	1476.6202	ABCF2|10061	1271.1755
ABCF3|55324	1292.1338	ABCF3|55324	1124.2918
ABCG1|9619	891.8057	ABCG1|9619	1328.2651
ABCG2|9429	118.8588	ABCG2|9429	85.4909
ABHD10|55347	768.2071	ABHD10|55347	1014.7027
ABHD11|83451	737.5809	ABHD11|83451	883.3106
ABHD12|26090	1066.0833	ABHD12|26090	1387.3628
ABHD13|84945	585.1791	ABHD13|84945	590.9776
ABHD14A|25864	181.329	ABHD14A|25864	235.8173
ABHD14B|84836	1270.258	ABHD14B|84836	1165.6028
ABHD15|116236	386.4734	ABHD15|116236	306.9641
ABHD1|84696	40.1057	ABHD1|84696	26.1063
ABHD2|11057	5241.8193	ABHD2|11057	3460.3744
ABHD3|171586	1112.0226	ABHD3|171586	3987.9509
ABHD4|63874	971.2879	ABHD4|63874	975.9736
ABHD5|51099	630.3892	ABHD5|51099	586.1006
ABHD6|57406	122.8694	ABHD6|57406	98.4006
ABHD8|79575	230.4257	ABHD8|79575	315.2837
ABI1|10006	1031.5669	ABI1|10006	1711.5915
ABI2|10152	1377.085	ABI2|10152	1328.8388
ABI3BP|25890	897.6392	ABI3BP|25890	2002.1516
ABI3|51225	273.4482	ABI3|51225	299.792
ABL1|25	2536.5053	ABL1|25	1968.2995
ABL2|27	1194.7863	ABL2|27	1013.5552
ABLIM1|3983	1506.8818	ABLIM1|3983	4241.268
ABLIM2|84448	81.3053	ABLIM2|84448	77.7451
ABLIM3|22885	427.3084	ABLIM3|22885	613.9281
ABP1|26	330.3254	ABP1|26	105.2858
ABR|29	2857.3512	ABR|29	2954.0271
ABT1|29777	599.763	ABT1|29777	586.1006
ABTB1|80325	513.3534	ABTB1|80325	425.1596
ABTB2|25841	153.131	ABTB2|25841	178.7277
ACAA1|30	1728.5571	ACAA1|30	1592.7706
ACAA2|10449	1110.1996	ACAA2|10449	385.2829
ACACA|31	1181.6607	ACACA|31	1566.3774
