gene_id	TCGA-BH-A0AU-01A-11R-A12P-07	gene_id	TCGA-BH-A0AU-11A-11R-A12P-07
?|100133144	9.1245	?|100133144	18.7655
?|100134869	5.3159	?|100134869	10.7324
?|10357	99.2103	?|10357	98.1715
?|10431	588.4477	?|10431	466.3097
?|155060	278.8809	?|155060	485.3015
?|57714	1655.6859	?|57714	668.7544
?|645851	8.574	?|645851	19.3959
lowly_expressed	lowly_expressed	?|652919	45.3864
?|653553	365.5235	?|653553	86.0693
lowly_expressed	lowly_expressed	?|728788	6.0612
?|8225	526.6245	?|8225	615.0116
?|90288	103.7906	?|90288	33.5387
A1BG|1	146.8773	A1BG|1	107.7361
A2LD1|87769	49.0569	A2LD1|87769	62.2851
A2M|2	9015.7942	A2M|2	23258.0018
A4GALT|53947	685.4693	A4GALT|53947	305.8895
AAAS|8086	664.2599	AAAS|8086	858.2685
AACS|65985	1381.769	AACS|65985	1462.3699
AADAT|51166	129.5126	AADAT|51166	65.4612
AAGAB|79719	1544.6751	AAGAB|79719	931.8113
AAK1|22848	916.5162	AAK1|22848	984.3419
AAMP|14	3233.3032	AAMP|14	2250.3283
AARS2|57505	410.6092	AARS2|57505	610.9506
AARSD1|80755	448.1047	AARSD1|80755	561.2688
AARS|16	5534.7473	AARS|16	2489.1403
AASDHPPT|60496	662.0036	AASDHPPT|60496	846.5502
AASDH|132949	423.7365	AASDH|132949	566.5219
AASS|10157	301.444	AASS|10157	713.6074
AATF|26574	1577.6173	AATF|26574	1087.3826
AATK|9625	37.9061	AATK|9625	65.8652
ABAT|18	2702.6173	ABAT|18	893.8277
ABCA10|10349	19.4043	ABCA10|10349	231.9426
ABCA11P|79963	119.3186	ABCA11P|79963	191.8295
ABCA12|26154	233.3032	ABCA12|26154	61.8244
lowly_expressed	lowly_expressed	ABCA13|154664	34.751
ABCA17P|650655	24.3682	ABCA17P|650655	13.3347
ABCA1|19	612.8159	ABCA1|19	896.6279
ABCA2|20	1733.7545	ABCA2|20	1659.9657
ABCA3|21	4185.4693	ABCA3|21	1418.7292
lowly_expressed	lowly_expressed	ABCA4|24	37.9836
ABCA5|23461	296.9314	ABCA5|23461	1429.2353
