gene_id	TCGA-BH-A0AY-01A-21R-A00Z-07	gene_id	TCGA-BH-A0AY-11A-23R-A089-07
lowly_expressed	lowly_expressed	?|100133144	8.3478
lowly_expressed	lowly_expressed	?|100134869	8.6087
?|10357	138.6354	?|10357	62.2
?|10431	1541.0691	?|10431	676.087
?|155060	99.5219	?|155060	148.2609
?|390284	7.8227	?|390284	11.3043
?|57714	319.4263	?|57714	311.3043
lowly_expressed	lowly_expressed	?|645851	6.9565
lowly_expressed	lowly_expressed	?|652919	45.6391
?|653553	586.2668	?|653553	84.7826
lowly_expressed	lowly_expressed	?|729884	28.2609
?|8225	579.3133	?|8225	361.3043
?|90288	32.1599	?|90288	34.7826
A1BG|1	154.7023	A1BG|1	81.0391
A2LD1|87769	81.1734	A2LD1|87769	76.3304
A2ML1|144568	37.3751	A2ML1|144568	26.9565
A2M|2	21959.5002	A2M|2	36040.4435
A4GALT|53947	457.1925	A4GALT|53947	757.3913
AAAS|8086	489.787	AAAS|8086	534.3478
AACS|65985	1003.9113	AACS|65985	902.1739
lowly_expressed	lowly_expressed	AADACL3|126767	6.5217
AADAC|13	7.8227	AADAC|13	28.6957
AADAT|51166	18.2529	AADAT|51166	50.4348
AAGAB|79719	1532.8118	AAGAB|79719	1058.6957
AAK1|22848	827.4663	AAK1|22848	1094.7826
AAMP|14	1821.382	AAMP|14	1963.4783
AARS2|57505	378.9657	AARS2|57505	383.4783
AARSD1|80755	354.1938	AARSD1|80755	480.8696
AARS|16	2242.5033	AARS|16	2781.7391
AASDHPPT|60496	933.3507	AASDHPPT|60496	802.6087
AASDH|132949	218.6006	AASDH|132949	433.913
AASS|10157	79.5306	AASS|10157	554.3478
AATF|26574	939.5915	AATF|26574	866.5217
AATK|9625	19.5567	AATK|9625	40
ABAT|18	680.5737	ABAT|18	790
ABCA10|10349	13.907	ABCA10|10349	561.7391
ABCA11P|79963	110.6823	ABCA11P|79963	169.9391
ABCA12|26154	1189.0482	ABCA12|26154	13.913
lowly_expressed	lowly_expressed	ABCA13|154664	42.1739
ABCA1|19	744.4589	ABCA1|19	1309.4435
ABCA2|20	1749.6741	ABCA2|20	962.6087
ABCA3|21	7039.1134	ABCA3|21	987.8261
ABCA4|24	14.7762	ABCA4|24	73.913
ABCA5|23461	91.2647	ABCA5|23461	740.4348
ABCA6|23460	175.1412	ABCA6|23460	702.1739
ABCA7|10347	156.4537	ABCA7|10347	206.9565
ABCA8|10351	272.9248	ABCA8|10351	1755.6522
ABCA9|10350	182.0947	ABCA9|10350	1113.0435
ABCB10|23456	329.8566	ABCB10|23456	405.2174
ABCB1|5243	29.1178	ABCB1|5243	527.8261
ABCB4|5244	19.1221	ABCB4|5244	36.9565
lowly_expressed	lowly_expressed	ABCB5|340273	162.1739
ABCB6|10058	545.8714	ABCB6|10058	450.8174
ABCB7|22	355.063	ABCB7|22	528.2609
ABCB8|11194	829.2047	ABCB8|11194	349.1304
ABCB9|23457	274.9891	ABCB9|23457	129.8174
ABCC10|89845	299.8696	ABCC10|89845	375.6522
ABCC11|85320	293.3507	ABCC11|85320	26.9565
ABCC13|150000	5.2151	lowly_expressed	lowly_expressed
ABCC1|4363	962.6249	ABCC1|4363	1276.9565
lowly_expressed	lowly_expressed	ABCC2|1244	11.7391
ABCC3|8714	151.2386	ABCC3|8714	246.9565
ABCC4|10257	85.615	ABCC4|10257	88.6957
ABCC5|10057	1206.432	ABCC5|10057	782.1739
ABCC6P1|653190	18.2529	ABCC6P1|653190	33.4783
ABCC6P2|730013	194.2634	ABCC6P2|730013	38.6957
ABCC6|368	733.1595	ABCC6|368	400.4348
ABCC8|6833	16.9492	ABCC8|6833	14.7826
ABCC9|10060	305.5193	ABCC9|10060	916.087
ABCD1|215	618.4268	ABCD1|215	244.3478
ABCD2|225	27.3794	ABCD2|225	256.9565
ABCD3|5825	2021.7297	ABCD3|5825	1873.913
ABCD4|5826	451.5428	ABCD4|5826	659.5652
ABCE1|6059	1726.6406	ABCE1|6059	1377.787
ABCF1|23	1934.811	ABCF1|23	1358.2609
ABCF2|10061	1283.7897	ABCF2|10061	1023.913
ABCF3|55324	1076.0539	ABCF3|55324	874.7826
ABCG1|9619	986.9622	ABCG1|9619	563.913
ABCG2|9429	63.4507	ABCG2|9429	222.1739
ABCG4|64137	6.5189	lowly_expressed	lowly_expressed
ABHD10|55347	573.6636	ABHD10|55347	790
ABHD11|83451	2589.309	ABHD11|83451	385.2174
lowly_expressed	lowly_expressed	ABHD12B|145447	9.5652
ABHD12|26090	1497.6097	ABHD12|26090	799.1304
ABHD13|84945	268.5789	ABHD13|84945	641.7391
ABHD14A|25864	247.7184	ABHD14A|25864	267.8261
ABHD14B|84836	1614.0808	ABHD14B|84836	2367.3913
ABHD15|116236	315.515	ABHD15|116236	554.7826
ABHD1|84696	9.5611	ABHD1|84696	25.6522
ABHD2|11057	7848.3268	ABHD2|11057	3077.3913
