gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
lowly_expressed	lowly_expressed	?|100133144	12.0917
lowly_expressed	lowly_expressed	?|100134869	12.2929
?|10357	80.4552	?|10357	83.5175
?|10431	937.2305	?|10431	489.827
?|155060	68.9986	?|155060	444.4106
?|57714	304.7437	?|57714	619.0658
?|645851	5.2707	?|645851	16.1548
?|652919	21.5621	?|652919	70.4107
?|653553	470.5319	?|653553	77.1165
lowly_expressed	lowly_expressed	?|729884	34.7482
?|8225	291.8064	?|8225	444.7154
?|90288	30.666	?|90288	33.5289
A1BG|1	160.4839	A1BG|1	109.0299
lowly_expressed	lowly_expressed	A1CF|29974	17.6789
A2LD1|87769	148.7734	A2LD1|87769	75.5285
lowly_expressed	lowly_expressed	A2ML1|144568	18.2885
A2M|2	28922.7791	A2M|2	34507.6065
A4GALT|53947	653.0906	A4GALT|53947	199.3447
AAAS|8086	735.9847	AAAS|8086	711.7275
AACS|65985	609.4873	AACS|65985	1058.5994
lowly_expressed	lowly_expressed	AADAC|13	35.3578
AADAT|51166	113.081	AADAT|51166	88.0896
AAGAB|79719	1838.5242	AAGAB|79719	1105.5399
AAK1|22848	1145.1845	AAK1|22848	1171.6833
AAMP|14	1786.2961	AAMP|14	1979.7302
AARS2|57505	310.0144	AARS2|57505	577.5631
AARSD1|80755	635.3618	AARSD1|80755	486.7789
AARS|16	2690.9439	AARS|16	2347.3291
AASDHPPT|60496	640.1533	AASDHPPT|60496	914.6902
AASDH|132949	266.8903	AASDH|132949	679.4178
AASS|10157	284.6191	AASS|10157	915.0347
AATF|26574	1820.3162	AATF|26574	936.0664
AATK|9625	69.4777	AATK|9625	65.5338
ABAT|18	870.6277	ABAT|18	991.2368
ABCA10|10349	41.6866	ABCA10|10349	495.6184
ABCA11P|79963	80.7427	ABCA11P|79963	137.8008
ABCA12|26154	350.2635	ABCA12|26154	480.378
ABCA13|154664	163.3924	ABCA13|154664	28.9568
lowly_expressed	lowly_expressed	ABCA17P|650655	7.3154
ABCA1|19	806.8855	ABCA1|19	1805.6664
ABCA2|20	1261.6195	ABCA2|20	1538.3678
ABCA3|21	1022.5204	ABCA3|21	968.9858
ABCA4|24	58.9363	ABCA4|24	204.8312
ABCA5|23461	360.805	ABCA5|23461	1396.9367
ABCA6|23460	335.4097	ABCA6|23460	722.3958
ABCA7|10347	192.1418	ABCA7|10347	260.0015
ABCA8|10351	213.7039	ABCA8|10351	972.9483
ABCA9|10350	306.1811	ABCA9|10350	914.4251
ABCB10|23456	351.2218	ABCB10|23456	446.2394
ABCB1|5243	190.2252	ABCB1|5243	769.9459
ABCB4|5244	37.3742	ABCB4|5244	14.0212
lowly_expressed	lowly_expressed	ABCB5|340273	221.9005
ABCB6|10058	414.4705	ABCB6|10058	361.7801
ABCB7|22	381.8879	ABCB7|22	562.3714
ABCB8|11194	360.3258	ABCB8|11194	311.5141
ABCB9|23457	137.3838	ABCB9|23457	112.0323
ABCC10|89845	441.3033	ABCC10|89845	527.0136
ABCC11|85320	1043.6033	ABCC11|85320	682.1611
ABCC12|94160	144.2262	ABCC12|94160	12.1923
ABCC13|150000	22.9995	lowly_expressed	lowly_expressed
ABCC1|4363	878.2942	ABCC1|4363	1337.8039
ABCC2|1244	10.0623	ABCC2|1244	36.8818
ABCC3|8714	599.9042	ABCC3|8714	825.421
ABCC4|10257	266.8903	ABCC4|10257	153.3186
ABCC5|10057	1039.77	ABCC5|10057	1248.495
ABCC6P2|730013	8.1457	ABCC6P2|730013	10.9731
ABCC6|368	43.6033	ABCC6|368	82.2983
ABCC8|6833	45.0407	ABCC8|6833	409.9672
ABCC9|10060	377.5755	ABCC9|10060	348.3959
ABCD1|215	303.3062	ABCD1|215	202.6976
ABCD2|225	20.6037	ABCD2|225	17.9837
ABCD3|5825	1001.9166	ABCD3|5825	1931.2657
ABCD4|5826	335.8888	ABCD4|5826	679.4178
ABCE1|6059	1402.4916	ABCE1|6059	1418.8829
ABCF1|23	1432.6785	ABCF1|23	1233.2546
ABCF2|10061	1059.4154	ABCF2|10061	899.7943
ABCF3|55324	1164.3507	ABCF3|55324	936.0664
ABCG1|9619	979.8754	ABCG1|9619	815.972
ABCG2|9429	153.8093	ABCG2|9429	161.8532
ABCG4|64137	5.7499	lowly_expressed	lowly_expressed
ABHD10|55347	660.2779	ABHD10|55347	656.862
ABHD11|83451	296.1188	ABHD11|83451	513.6021
ABHD12B|145447	67.0819	lowly_expressed	lowly_expressed
ABHD12|26090	1578.8213	ABHD12|26090	615.7129
ABHD13|84945	471.011	ABHD13|84945	595.2907
ABHD14A|25864	281.7441	ABHD14A|25864	215.8927
ABHD14B|84836	1228.0786	ABHD14B|84836	1635.9064
ABHD15|116236	483.9483	ABHD15|116236	279.8141
ABHD1|84696	36.4159	ABHD1|84696	28.9568
ABHD2|11057	10480.115	ABHD2|11057	4099.6723
ABHD3|171586	366.5549	ABHD3|171586	276.766
