gene_id	TCGA-BH-A0B3-01A-11R-A056-07	gene_id	TCGA-BH-A0B3-11B-21R-A089-07
?|100133144	7.4287	?|100133144	16.1889
?|100134869	7.16	?|100134869	7.5122
?|10357	147.6226	?|10357	74.9094
?|10431	998.1764	?|10431	526.9214
?|155060	109.7994	?|155060	331.8162
lowly_expressed	lowly_expressed	?|390284	10.3049
?|57714	1962.1845	?|57714	844.9979
?|645851	9.5979	?|645851	12.0223
lowly_expressed	lowly_expressed	?|652919	51.5071
?|653553	135.1377	?|653553	64.5771
?|729884	17.66	lowly_expressed	lowly_expressed
?|8225	481.8121	?|8225	430.0558
lowly_expressed	lowly_expressed	?|90288	14.4268
A1BG|1	192.4523	A1BG|1	103.4332
A2LD1|87769	99.7639	A2LD1|87769	96.6526
A2ML1|144568	555.9075	A2ML1|144568	22.3272
A2M|2	10724.6223	A2M|2	25456.7557
A4GALT|53947	518.6678	A4GALT|53947	296.0927
AAAS|8086	501.3917	AAAS|8086	599.7424
AACS|65985	812.7459	AACS|65985	758.4371
AADAC|13	6.5265	AADAC|13	30.5711
AADAT|51166	129.379	AADAT|51166	73.8514
AAGAB|79719	1354.4486	AAGAB|79719	1185.058
AAK1|22848	830.0221	AAK1|22848	1173.7226
AAMP|14	1709.1851	AAMP|14	2023.5294
AARS2|57505	549.3694	AARS2|57505	384.2851
AARSD1|80755	438.4298	AARSD1|80755	438.6432
AARS|16	5747.5765	AARS|16	2325.8051
AASDHPPT|60496	633.0742	AASDHPPT|60496	862.8596
AASDH|132949	124.7721	AASDH|132949	406.6982
AASS|10157	86.3807	AASS|10157	825.4186
AATF|26574	1968.3271	AATF|26574	823.0142
AATK|9625	51.4445	AATK|9625	41.9064
ABAT|18	96.7463	ABAT|18	536.5393
lowly_expressed	lowly_expressed	ABCA10|10349	338.8132
ABCA11P|79963	75.1473	ABCA11P|79963	155.4693
ABCA12|26154	241.4819	ABCA12|26154	108.2009
ABCA13|154664	12.2852	ABCA13|154664	14.4268
ABCA17P|650655	12.6692	ABCA17P|650655	10.9918
ABCA1|19	434.583	ABCA1|19	1644.012
ABCA2|20	645.3594	ABCA2|20	1042.851
ABCA3|21	1195.1243	ABCA3|21	926.7497
ABCA4|24	15.7405	ABCA4|24	64.9206
ABCA5|23461	183.8948	ABCA5|23461	954.7892
ABCA6|23460	46.0697	ABCA6|23460	456.1614
ABCA7|10347	214.6079	ABCA7|10347	262.4302
ABCA8|10351	16.5083	ABCA8|10351	1274.7102
ABCA9|10350	24.9544	ABCA9|10350	712.0653
ABCB10|23456	629.619	ABCB10|23456	475.3972
ABCB1|5243	28.0257	ABCB1|5243	587.3766
ABCB4|5244	20.3474	ABCB4|5244	18.2052
lowly_expressed	lowly_expressed	ABCB5|340273	107.514
ABCB6|10058	419.2456	ABCB6|10058	332.0155
ABCB7|22	499.4721	ABCB7|22	547.1876
ABCB8|11194	368.9414	ABCB8|11194	310.176
ABCB9|23457	335.2299	ABCB9|23457	130.3598
ABCC10|89845	558.5949	ABCC10|89845	346.93
lowly_expressed	lowly_expressed	ABCC11|85320	274.1091
ABCC1|4363	1418.1783	ABCC1|4363	794.5041
ABCC2|1244	21.4992	ABCC2|1244	14.7703
ABCC3|8714	309.8186	ABCC3|8714	368.9137
ABCC4|10257	172.7613	ABCC4|10257	131.2151
ABCC5|10057	901.0462	ABCC5|10057	825.0751
lowly_expressed	lowly_expressed	ABCC6P1|653190	12.0223
ABCC6P2|730013	9.2139	ABCC6P2|730013	16.8313
ABCC6|368	22.267	ABCC6|368	133.6196
lowly_expressed	lowly_expressed	ABCC8|6833	30.5711
ABCC9|10060	87.1485	ABCC9|10060	696.2645
ABCD1|215	884.9218	ABCD1|215	197.1662
ABCD2|225	15.3566	ABCD2|225	241.8205
ABCD3|5825	1413.5714	ABCD3|5825	1723.3147
ABCD4|5826	229.5806	ABCD4|5826	615.8866
ABCE1|6059	1675.0168	ABCE1|6059	1452.9841
ABCF1|23	2895.8633	ABCF1|23	1432.7179
ABCF2|10061	1326.8068	ABCF2|10061	924.0017
ABCF3|55324	1515.6925	ABCF3|55324	869.7295
ABCG1|9619	338.2282	ABCG1|9619	643.7097
ABCG2|9429	26.874	ABCG2|9429	167.6256
ABHD10|55347	311.3543	ABHD10|55347	803.0915
ABHD11|83451	684.1348	ABHD11|83451	454.444
ABHD12|26090	1684.6146	ABHD12|26090	848.0893
ABHD13|84945	309.4347	ABHD13|84945	603.1773
ABHD14A|25864	203.0905	ABHD14A|25864	210.061
ABHD14B|84836	800.0768	ABHD14B|84836	1789.2658
ABHD15|116236	347.4422	ABHD15|116236	461.3139
ABHD1|84696	16.1244	ABHD1|84696	29.8841
ABHD2|11057	2659.7562	ABHD2|11057	4142.207
ABHD3|171586	355.5044	ABHD3|171586	337.6556
ABHD4|63874	772.435	ABHD4|63874	846.3718
ABHD5|51099	782.8007	ABHD5|51099	955.6033
ABHD6|57406	104.0407	ABHD6|57406	240.79
ABHD8|79575	338.6122	ABHD8|79575	180.6784
ABI1|10006	1335.6368	ABI1|10006	1819.3663
ABI2|10152	673.7691	ABI2|10152	1899.8712
ABI3BP|25890	98.282	ABI3BP|25890	1260.2834
ABI3|51225	225.3575	ABI3|51225	233.2331
ABL1|25	2007.1024	lowly_expressed	lowly_expressed
ABL2|27	1665.8029	ABL2|27	1069.3001
ABLIM1|3983	1916.4987	ABLIM1|3983	5863.1172
ABLIM2|84448	107.8798	ABLIM2|84448	57.3637
ABLIM3|22885	128.2273	ABLIM3|22885	1555.3456
ABO|28	20.7314	ABO|28	48.0893
ABP1|26	9.2139	ABP1|26	10.3049
ABR|29	1906.133	ABR|29	2219.6651
ABT1|29777	822.3438	ABT1|29777	486.0455
ABTB1|80325	277.5698	ABTB1|80325	514.8991
ABTB2|25841	470.2947	ABTB2|25841	84.1563
ACAA1|30	1142.912	ACAA1|30	1214.5985
ACAA2|10449	1536.0399	ACAA2|10449	1454.0146
ACACA|31	1640.0806	ACACA|31	1653.5852
ACACB|32	119.0133	ACACB|32	2922.7995
ACAD10|80724	294.846	ACAD10|80724	533.4478
ACAD11|84129	155.8691	ACAD11|84129	520.2611
ACAD8|27034	387.7531	ACAD8|27034	618.9781
ACAD9|28976	1092.2353	ACAD9|28976	711.0554
ACADL|33	26.874	ACADL|33	91.7132
ACADM|34	903.7336	ACADM|34	1448.1752
ACADSB|36	330.166	ACADSB|36	2891.1979
ACADS|35	305.2116	ACADS|35	901.331
ACADVL|37	3364.9986	ACADVL|37	5705.7312
ACAN|176	138.209	ACAN|176	13.3963
ACAP1|9744	163.9313	ACAP1|9744	180.3349
ACAP2|23527	1161.7238	ACAP2|23527	1686.5608
ACAP3|116983	717.1782	ACAP3|116983	403.9948
ACAT1|38	1167.0986	ACAT1|38	1512.4088
ACAT2|39	897.8328	ACAT2|39	343.392
ACBD3|64746	2198.2916	ACBD3|64746	1463.976
ACBD4|79777	87.1485	ACBD4|79777	307.0846
ACBD5|91452	529.8013	ACBD5|91452	967.2821
ACBD6|84320	780.8811	ACBD6|84320	379.9055
ACBD7|414149	151.646	ACBD7|414149	58.7377
ACCN2|41	37.6236	ACCN2|41	85.5303
lowly_expressed	lowly_expressed	ACCN3|9311	15.4573
ACCS|84680	59.1228	ACCS|84680	304.6801
ACD|65057	396.9671	ACD|65057	272.0481
ACE2|59272	115.1742	ACE2|59272	40.8759
ACER2|340485	17.2761	ACER2|340485	178.6174
ACER3|55331	396.9671	ACER3|55331	412.1941
ACE|1636	479.5086	ACE|1636	492.2284
ACHE|43	34.9362	ACHE|43	55.3027
ACIN1|22985	2631.3466	ACIN1|22985	3384.8003
ACLY|47	3722.0463	ACLY|47	2670.6741
ACN9|57001	114.0225	ACN9|57001	144.6114
ACO1|48	868.0296	ACO1|48	1465.3499
ACO2|50	1920.6373	ACO2|50	1855.7492
ACOT11|26027	48.7571	ACOT11|26027	35.0365
