gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
?|100133144	13.6658	lowly_expressed	lowly_expressed
?|100134869	6.6811	lowly_expressed	lowly_expressed
?|10357	159.4396	?|10357	103.3146
?|10431	879.2528	?|10431	1260.8319
?|155060	366.5777	?|155060	126.5165
?|57714	933.6224	?|57714	301.5598
?|645851	23.0153	?|645851	8.6655
?|652919	100.9239	?|652919	67.1101
?|653553	203.469	?|653553	113.0849
?|8225	462.6418	?|8225	459.2721
?|90288	134.4229	?|90288	26.4298
A1BG|1	111.461	A1BG|1	8.6655
A2LD1|87769	78.519	A2LD1|87769	125.6499
A2ML1|144568	8.0053	lowly_expressed	lowly_expressed
A2M|2	10764.8065	A2M|2	27509.7877
A4GALT|53947	175.4503	A4GALT|53947	375.2166
AAAS|8086	961.9746	AAAS|8086	592.721
AACS|65985	1001.3342	AACS|65985	4628.2496
lowly_expressed	lowly_expressed	AADAC|13	682.8423
AADAT|51166	23.0153	AADAT|51166	85.7886
AAGAB|79719	1434.2895	AAGAB|79719	796.7938
AAK1|22848	1008.3389	AAK1|22848	1327.9896
AAMP|14	2056.3709	AAMP|14	2257.3657
AARS2|57505	497.3249	AARS2|57505	274.2634
AARSD1|80755	345.2302	AARSD1|80755	547.6603
AARS|16	1698.7992	AARS|16	3951.4731
AASDHPPT|60496	1053.3689	AASDHPPT|60496	835.3553
AASDH|132949	321.2141	AASDH|132949	308.0589
AASS|10157	368.9126	AASS|10157	863.0849
AATF|26574	1067.0447	AATF|26574	1036.8284
AATK|9625	30.3536	AATK|9625	25.13
ABAT|18	1929.9533	ABAT|18	217.9376
ABCA10|10349	40.3602	ABCA10|10349	193.8388
ABCA11P|79963	94.5897	ABCA11P|79963	81.2045
ABCA12|26154	262.1748	lowly_expressed	lowly_expressed
ABCA17P|650655	6.004	lowly_expressed	lowly_expressed
ABCA1|19	1462.5984	ABCA1|19	4052.799
ABCA2|20	1548.032	ABCA2|20	1262.9983
ABCA3|21	1872.9153	ABCA3|21	936.7418
ABCA4|24	100.7338	ABCA4|24	8.6655
ABCA5|23461	153.4356	ABCA5|23461	1223.4055
ABCA6|23460	160.1067	ABCA6|23460	769.4974
ABCA7|10347	446.9646	ABCA7|10347	220.104
ABCA8|10351	168.1121	ABCA8|10351	3252.5997
ABCA9|10350	108.072	ABCA9|10350	1670.2773
ABCB10|23456	585.0567	ABCB10|23456	506.0659
lowly_expressed	lowly_expressed	ABCB11|8647	9.0988
ABCB1|5243	55.7038	ABCB1|5243	96.6205
ABCB4|5244	15.6771	ABCB4|5244	31.6291
lowly_expressed	lowly_expressed	ABCB5|340273	45.0607
ABCB6|10058	207.0947	ABCB6|10058	987.9593
ABCB7|22	439.2929	ABCB7|22	561.0919
ABCB8|11194	845.5637	ABCB8|11194	503.8995
ABCB9|23457	362.7085	ABCB9|23457	44.5797
ABCC10|89845	365.2435	ABCC10|89845	248.7002
ABCC11|85320	251.501	ABCC11|85320	18.1976
ABCC13|150000	219.1461	lowly_expressed	lowly_expressed
ABCC1|4363	1447.2982	ABCC1|4363	846.1872
ABCC2|1244	20.3469	ABCC2|1244	9.9653
ABCC3|8714	847.2315	ABCC3|8714	50.6932
ABCC4|10257	107.4049	ABCC4|10257	100.9532
ABCC5|10057	3352.5684	ABCC5|10057	318.8908
lowly_expressed	lowly_expressed	ABCC6P1|653190	40.2946
ABCC6P2|730013	9.6731	ABCC6P2|730013	96.1872
ABCC6|368	29.3529	ABCC6|368	1341.8544
ABCC8|6833	434.6231	lowly_expressed	lowly_expressed
ABCC9|10060	231.8212	ABCC9|10060	3155.1127
ABCD1|215	284.8566	ABCD1|215	672.8769
ABCD2|225	18.012	ABCD2|225	2633.8821
ABCD3|5825	1660.4403	ABCD3|5825	1486.5685
ABCD4|5826	384.5897	ABCD4|5826	515.1646
ABCE1|6059	1105.7372	ABCE1|6059	1224.87
ABCF1|23	1382.9219	ABCF1|23	1847.0537
ABCF2|10061	1167.7785	ABCF2|10061	1265.1646
ABCF3|55324	913.9426	ABCF3|55324	1013.8648
ABCG1|9619	1413.2755	ABCG1|9619	324.9567
ABCG2|9429	39.3596	ABCG2|9429	57.6256
lowly_expressed	lowly_expressed	ABCG8|64241	14.2981
ABHD10|55347	517.3449	ABHD10|55347	529.0295
ABHD11|83451	908.2722	ABHD11|83451	198.0069
ABHD12B|145447	121.7478	ABHD12B|145447	19.0641
ABHD12|26090	1480.3202	ABHD12|26090	777.2964
ABHD13|84945	509.6731	ABHD13|84945	462.305
ABHD14A|25864	114.6264	ABHD14A|25864	378.0503
ABHD14B|84836	1563.7091	ABHD14B|84836	4007.799
ABHD15|116236	287.8586	ABHD15|116236	1991.7678
ABHD1|84696	17.3449	ABHD1|84696	78.4229
ABHD2|11057	4477.9853	ABHD2|11057	1567.591
ABHD3|171586	440.2935	ABHD3|171586	340.5546
ABHD4|63874	796.8646	ABHD4|63874	1416.8111
ABHD5|51099	709.1394	ABHD5|51099	2787.2617
ABHD6|57406	202.8019	ABHD6|57406	516.4645
ABHD8|79575	218.8125	ABHD8|79575	96.1872
ABI1|10006	1493.996	ABI1|10006	1124.7834
ABI2|10152	1844.2295	ABI2|10152	578.4229
ABI3BP|25890	514.6765	ABI3BP|25890	2355.7192
ABI3|51225	137.7585	ABI3|51225	100.9532
ABL1|25	2659.1061	ABL1|25	2546.7938
ABL2|27	1336.2241	ABL2|27	756.9324
ABLIM1|3983	3436.2909	ABLIM1|3983	5148.6135
ABLIM2|84448	71.3809	ABLIM2|84448	85.3553
ABLIM3|22885	742.8286	ABLIM3|22885	4928.0763
ABO|28	11.6744	ABO|28	22.5303
ABP1|26	5.3369	lowly_expressed	lowly_expressed
ABR|29	1832.2215	ABR|29	1846.6205
ABT1|29777	375.9173	ABT1|29777	357.0191
ABTB1|80325	413.9426	ABTB1|80325	636.9151
ABTB2|25841	72.7151	ABTB2|25841	37.695
ACAA1|30	962.3082	ACAA1|30	1884.3154
ACAA2|10449	1785.1901	ACAA2|10449	6361.7851
ACACA|31	2088.0587	ACACA|31	12019.9307
ACACB|32	525.3502	ACACB|32	30060.2253
ACAD10|80724	919.9466	ACAD10|80724	484.8354
ACAD11|84129	416.541	ACAD11|84129	1794.6274
ACAD8|27034	417.2782	ACAD8|27034	729.2028
ACAD9|28976	943.3656	ACAD9|28976	1470.5373
lowly_expressed	lowly_expressed	ACADL|33	827.5563
ACADM|34	772.8486	ACADM|34	3631.7158
ACADSB|36	4177.1181	ACADSB|36	1687.175
ACADS|35	350.9006	ACADS|35	1936.3085
ACADVL|37	3006.2675	ACADVL|37	10817.5737
ACAN|176	15.3436	ACAN|176	5.6326
ACAP1|9744	130.0867	ACAP1|9744	30.3293
ACAP2|23527	1268.8459	ACAP2|23527	1478.7695
ACAP3|116983	626.7512	ACAP3|116983	574.1811
ACAT1|38	744.1628	ACAT1|38	5912.4783
ACAT2|39	270.6037	ACAT2|39	504.0078
ACBD3|64746	1965.6438	ACBD3|64746	1210.1386
ACBD4|79777	224.483	ACBD4|79777	298.5269
ACBD5|91452	766.8446	ACBD5|91452	1256.0659
ACBD6|84320	650.4336	ACBD6|84320	340.1213
ACBD7|414149	195.4636	lowly_expressed	lowly_expressed
ACCN2|41	442.962	ACCN2|41	109.6187
ACCN3|9311	15.3436	lowly_expressed	lowly_expressed
ACCS|84680	325.5504	ACCS|84680	373.0503
ACD|65057	268.5123	ACD|65057	173.3102
lowly_expressed	lowly_expressed	ACE2|59272	21.6638
ACER2|340485	206.471	ACER2|340485	297.227
ACER3|55331	378.9193	ACER3|55331	1788.1282
ACE|1636	176.1174	ACE|1636	512.9983
ACHE|43	7.0047	ACHE|43	18.6308
ACIN1|22985	3667.445	ACIN1|22985	2395.5806
ACLY|47	3169.1127	ACLY|47	24587.5217
ACN9|57001	27.3516	ACN9|57001	186.7418
ACO1|48	546.3642	ACO1|48	16160.312
ACO2|50	1771.5677	ACO2|50	6374.3328
ACOT11|26027	49.3662	lowly_expressed	lowly_expressed
ACOT13|55856	274.4196	ACOT13|55856	887.3007
ACOT1|641371	435.0167	ACOT1|641371	4509.4151
ACOT2|10965	328.1588	ACOT2|10965	2640.4983
ACOT4|122970	211.4743	ACOT4|122970	388.6482
lowly_expressed	lowly_expressed	ACOT6|641372	34.2288
ACOT7|11332	244.1628	ACOT7|11332	229.636
ACOT8|10005	264.4663	ACOT8|10005	200.6153
ACOT9|23597	336.8913	ACOT9|23597	730.5026
ACOX1|51	1005.2769	ACOX1|51	5311.9584
ACOX2|8309	247.8319	ACOX2|8309	564.5581
ACOX3|8310	577.3849	ACOX3|8310	440.208
ACP1|52	1368.5791	ACP1|52	1162.4783
ACP2|53	1283.1888	ACP2|53	1010.8319
ACP5|54	932.9553	ACP5|54	143.4142
ACP6|51205	234.1561	ACP6|51205	137.7816
ACPL2|92370	557.7051	ACPL2|92370	194.1075
ACPP|55	49.6998	lowly_expressed	lowly_expressed
ACRBP|84519	30.02	ACRBP|84519	11.6984
ACRC|93953	11.3409	ACRC|93953	36.3951
lowly_expressed	lowly_expressed	ACR|49	5.6326
lowly_expressed	lowly_expressed	ACSBG1|23205	12.565
ACSF2|80221	542.3616	ACSF2|80221	1448.4402
ACSF3|197322	269.513	ACSF3|197322	268.1976
ACSL1|2180	1679.1194	ACSL1|2180	95654.2461
ACSL3|2181	2934.6231	ACSL3|2181	2401.6464
ACSL4|2182	596.064	ACSL4|2182	3079.7227
ACSL5|51703	665.4436	ACSL5|51703	775.9965
ACSL6|23305	8.0053	lowly_expressed	lowly_expressed
ACSM1|116285	13.3422	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ACSM2A|123876	16.0312
ACSM3|6296	30.1935	lowly_expressed	lowly_expressed
ACSM5|54988	31.6878	ACSM5|54988	1248.7002
ACSS1|84532	1995.3302	ACSS1|84532	348.3536
ACSS2|55902	551.3676	ACSS2|55902	13339.2548
ACSS3|79611	170.447	ACSS3|79611	1956.2392
ACTA1|58	10.0067	lowly_expressed	lowly_expressed
ACTA2|59	8156.0207	ACTA2|59	7713.2149
ACTB|60	87707.1381	ACTB|60	80753.0329
lowly_expressed	lowly_expressed	ACTC1|70	8.6655
ACTG1|71	65965.9773	ACTG1|71	25467.0711
ACTG2|72	242.1614	ACTG2|72	217.0711
ACTL6A|86	1362.5751	lowly_expressed	lowly_expressed
ACTN1|87	5802.535	ACTN1|87	9551.5598
ACTN4|81	11581.6544	ACTN4|81	7646.3821
ACTR10|55860	824.5497	ACTR10|55860	1465.338
ACTR1A|10121	2584.7231	ACTR1A|10121	4142.1144
ACTR1B|10120	1565.0434	ACTR1B|10120	1221.4038
ACTR2|10097	6226.4843	ACTR2|10097	5809.3588
