gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
?|10357	90.1259	?|10357	63.5715
?|10431	1260.8809	?|10431	737.2063
?|155060	95.9665	?|155060	136.4667
?|390284	6.4284	?|390284	10.9746
?|57714	1582.2999	?|57714	698.5566
?|645851	7.8059	?|645851	10.9746
?|652919	143.2381	?|652919	68.5483
?|653553	354.0201	?|653553	101.6343
?|729884	44.0803	?|729884	5.7259
?|8225	411.4163	?|8225	448.5268
lowly_expressed	lowly_expressed	?|90288	29.1065
A1BG|1	254.8302	A1BG|1	25.2893
A2LD1|87769	94.1666	A2LD1|87769	140.7945
A2ML1|144568	49.1312	A2ML1|144568	9.066
A2M|2	9693.0793	A2M|2	30948.4003
A4GALT|53947	353.1018	A4GALT|53947	416.0802
AAAS|8086	881.6065	AAAS|8086	543.4809
AACS|65985	1314.6038	AACS|65985	1225.337
lowly_expressed	lowly_expressed	AADACL2|344752	6.203
AADAC|13	13.7751	AADAC|13	190.8625
AADAT|51166	9.6426	AADAT|51166	70.6191
AAGAB|79719	1304.9612	AAGAB|79719	580.2219
AAK1|22848	936.2477	AAK1|22848	1494.9302
AAMP|14	2896.9037	AAMP|14	2167.7204
AARS2|57505	420.1314	AARS2|57505	265.7283
AARSD1|80755	559.2691	AARSD1|80755	499.1053
AARS|16	3372.6038	AARS|16	3891.2084
AASDHPPT|60496	723.606	AASDHPPT|60496	794.465
AASDH|132949	183.668	AASDH|132949	268.6389
AASS|10157	67.0388	AASS|10157	958.6067
AATF|26574	2224.6788	AATF|26574	861.744
AATK|9625	318.664	AATK|9625	22.4263
ABAT|18	209.8407	ABAT|18	237.6238
ABCA10|10349	14.2343	ABCA10|10349	350.7098
ABCA11P|79963	50.55	ABCA11P|79963	122.9441
ABCA12|26154	13.3159	lowly_expressed	lowly_expressed
ABCA13|154664	26.6319	ABCA13|154664	9.066
ABCA17P|650655	13.3159	lowly_expressed	lowly_expressed
ABCA1|19	247.0335	ABCA1|19	5185.7139
ABCA2|20	887.5757	ABCA2|20	1754.5032
ABCA3|21	2923.0764	ABCA3|21	1198.1391
ABCA4|24	7.3467	ABCA4|24	28.1522
ABCA5|23461	607.4819	ABCA5|23461	1072.1699
ABCA6|23460	52.3454	ABCA6|23460	999.165
ABCA7|10347	137.751	ABCA7|10347	381.2478
ABCA8|10351	60.6104	ABCA8|10351	4662.7699
ABCA9|10350	51.8862	ABCA9|10350	2091.3754
ABCB10|23456	480.2918	ABCB10|23456	574.0188
lowly_expressed	lowly_expressed	ABCB11|8647	21.9492
ABCB1|5243	40.8661	ABCB1|5243	67.279
ABCB4|5244	16.9893	ABCB4|5244	16.2233
lowly_expressed	lowly_expressed	ABCB5|340273	48.1928
ABCB6|10058	1426.8295	ABCB6|10058	864.2395
ABCB7|22	546.8715	ABCB7|22	634.1405
ABCB8|11194	674.5208	ABCB8|11194	407.9685
