gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
?|100133144	7.564	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|100134869	6.3867
?|10357	61.1224	?|10357	77.5265
?|10431	700.1971	?|10431	566.682
?|155060	132.6364	?|155060	131.9797
?|390284	6.1691	?|390284	10.1523
?|57714	524.3767	?|57714	886.9405
?|645851	16.1083	?|645851	7.8449
?|652919	19.6556	?|652919	31.5459
?|653553	299.5459	?|653553	161.5136
?|729884	66.4896	?|729884	26.7651
?|8225	280.6957	?|8225	370.0969
?|90288	21.592	?|90288	27.2266
A1BG|1	124.524	A1BG|1	77.8173
A2LD1|87769	67.7611	A2LD1|87769	66.9312
A2ML1|144568	13.7092	A2ML1|144568	12.4596
A2M|2	14161.5149	A2M|2	31237.1666
A4GALT|53947	166.9094	A4GALT|53947	371.0198
AAAS|8086	697.4552	AAAS|8086	561.6059
AACS|65985	6595.8358	AACS|65985	1754.9608
AADAC|13	13.7092	lowly_expressed	lowly_expressed
AADAT|51166	76.7715	AADAT|51166	53.0688
AAGAB|79719	1296.2043	AAGAB|79719	813.5671
AAK1|22848	966.4982	AAK1|22848	1134.287
AAMP|14	1574.5009	AAMP|14	1875.4038
AARS2|57505	686.7141	AARS2|57505	407.4619
AARSD1|80755	298.8604	AARSD1|80755	392.7088
AARS|16	2179.7618	AARS|16	3065.0669
AASDHPPT|60496	849.6273	AASDHPPT|60496	899.8616
AASDH|132949	325.2506	AASDH|132949	378.4033
AASS|10157	367.0637	AASS|10157	498.3849
AATF|26574	783.4804	AATF|26574	831.1029
AATK|9625	50.3813	AATK|9625	95.0623
ABAT|18	1512.4668	ABAT|18	627.1343
ABCA10|10349	64.5737	ABCA10|10349	348.4079
ABCA11P|79963	83.0126	ABCA11P|79963	99.6816
ABCA12|26154	2104.0185	ABCA12|26154	52.6073
ABCA13|154664	81.5697	lowly_expressed	lowly_expressed
ABCA17P|650655	16.1083	lowly_expressed	lowly_expressed
ABCA1|19	1755.781	ABCA1|19	1868.4679
ABCA2|20	785.8795	ABCA2|20	1687.1251
ABCA3|21	3568.5031	ABCA3|21	1157.3604
ABCA4|24	79.8561	ABCA4|24	113.521
ABCA5|23461	460.4884	ABCA5|23461	918.3203
ABCA6|23460	228.9435	ABCA6|23460	748.9617
ABCA7|10347	634.0502	ABCA7|10347	269.0355
ABCA8|10351	308.1141	ABCA8|10351	1853.7148
ABCA9|10350	210.0934	ABCA9|10350	1482.695
ABCB10|23456	576.8143	ABCB10|23456	457.7757
lowly_expressed	lowly_expressed	ABCB11|8647	7.3835
ABCB1|5243	208.037	ABCB1|5243	375.1731
ABCB4|5244	29.8175	ABCB4|5244	16.1514
ABCB5|340273	21.592	ABCB5|340273	121.3659
ABCB6|10058	547.7097	ABCB6|10058	522.0904
ABCB7|22	499.7001	ABCB7|22	446.7005
ABCB8|11194	1106.3319	ABCB8|11194	360.8676
ABCB9|23457	601.4737	ABCB9|23457	141.8505
ABCC10|89845	358.8381	ABCC10|89845	383.4795
ABCC11|85320	8444.8633	ABCC11|85320	123.2118
ABCC12|94160	79.8561	ABCC12|94160	6.922
lowly_expressed	lowly_expressed	ABCC13|150000	5.0761
ABCC1|4363	1378.4594	ABCC1|4363	1271.3429
ABCC2|1244	342.0444	ABCC2|1244	38.3018
ABCC3|8714	168.6231	ABCC3|8714	773.4195
ABCC4|10257	740.2965	ABCC4|10257	172.5888
ABCC5|10057	1662.9252	ABCC5|10057	707.4296
ABCC6P1|653190	26.3902	ABCC6P1|653190	19.3816
ABCC6P2|730013	94.9362	ABCC6P2|730013	35.533
ABCC6|368	245.7373	ABCC6|368	289.8016
ABCC8|6833	100.7626	ABCC8|6833	67.8357
ABCC9|10060	314.2833	ABCC9|10060	887.4019
ABCD1|215	301.6023	ABCD1|215	330.8722
ABCD2|225	41.813	ABCD2|225	488.694
ABCD3|5825	2180.4473	ABCD3|5825	1365.0208
ABCD4|5826	488.39	ABCD4|5826	512.2289
ABCE1|6059	1096.05	ABCE1|6059	1401.0152
ABCF1|23	1655.7279	ABCF1|23	1322.5658
ABCF2|10061	1169.0515	ABCF2|10061	991.6936
ABCF3|55324	960.329	ABCF3|55324	986.6174
ABCG1|9619	1566.6181	ABCG1|9619	668.2049
ABCG2|9429	78.4851	ABCG2|9429	187.8173
ABHD10|55347	751.9493	ABHD10|55347	627.5958
ABHD11|83451	1261.5886	ABHD11|83451	347.485
lowly_expressed	lowly_expressed	ABHD12B|145447	5.5376
ABHD12|26090	1376.4031	ABHD12|26090	865.713
ABHD13|84945	614.1719	ABHD13|84945	584.6793
ABHD14A|25864	140.6632	ABHD14A|25864	328.5648
ABHD14B|84836	1579.2991	ABHD14B|84836	2103.3687
ABHD15|116236	262.5311	ABHD15|116236	529.3032
ABHD1|84696	10.6246	ABHD1|84696	25.8422
ABHD2|11057	4396.8812	ABHD2|11057	4705.5838
ABHD3|171586	2086.5393	ABHD3|171586	340.563
ABHD4|63874	1365.4357	ABHD4|63874	1037.8403
ABHD5|51099	891.4403	ABHD5|51099	778.4956
ABHD6|57406	324.2224	ABHD6|57406	246.4236
ABHD8|79575	131.2655	ABHD8|79575	221.0429
ABI1|10006	1276.3739	ABI1|10006	1430.0877
ABI2|10152	803.3588	ABI2|10152	1829.257
ABI3BP|25890	829.4062	ABI3BP|25890	1934.0102
ABI3|51225	183.3605	ABI3|51225	247.808
ABL1|25	2362.7795	ABL1|25	2590.6784
ABL2|27	1472.7101	ABL2|27	919.7047
ABLIM1|3983	2687.6874	ABLIM1|3983	7164.2824
ABLIM2|84448	52.0949	ABLIM2|84448	63.221
ABLIM3|22885	755.0338	ABLIM3|22885	1207.1989
ABO|28	19.1929	ABO|28	48.4541
lowly_expressed	lowly_expressed	ABP1|26	11.5367
ABR|29	1137.8631	ABR|29	2119.9815
ABT1|29777	736.8692	ABT1|29777	502.5381
ABTB1|80325	299.8886	ABTB1|80325	731.4259
ABTB2|25841	68.546	ABTB2|25841	73.8348
ACAA1|30	1398.3378	ACAA1|30	1015.6899
ACAA2|10449	413.6749	ACAA2|10449	1592.9857
ACACA|31	4884.9285	ACACA|31	3913.2441
ACACB|32	2179.0763	ACACB|32	5283.8025
ACAD10|80724	556.5933	ACAD10|80724	572.2197
ACAD11|84129	294.3227	ACAD11|84129	592.9857
ACAD8|27034	472.6245	ACAD8|27034	578.2187
ACAD9|28976	971.3135	lowly_expressed	lowly_expressed
ACADL|33	261.1601	ACADL|33	132.9026
ACADM|34	3199.0404	ACADM|34	1328.1034
ACADSB|36	3205.2095	ACADSB|36	2095.0623
ACADS|35	421.9004	ACADS|35	832.0258
ACADVL|37	2020.036	ACADVL|37	4035.5238
ACAN|176	57.9213	lowly_expressed	lowly_expressed
ACAP1|9744	139.491	ACAP1|9744	115.3669
ACAP2|23527	1481.6211	ACAP2|23527	1611.9059
ACAP3|116983	594.0468	ACAP3|116983	320.2584
ACAT1|38	701.9107	ACAT1|38	1306.8759
ACAT2|39	636.3396	ACAT2|39	361.0245
ACBD3|64746	3353.9542	ACBD3|64746	1423.1657
ACBD4|79777	132.2937	ACBD4|79777	286.1098
ACBD5|91452	723.16	ACBD5|91452	801.569
ACBD6|84320	576.4716	ACBD6|84320	290.263
ACBD7|414149	6.5119	ACBD7|414149	30.9183
ACCN2|41	38.7285	ACCN2|41	152.7457
ACCN3|9311	99.7344	lowly_expressed	lowly_expressed
ACCS|84680	105.5608	ACCS|84680	305.4915
ACD|65057	187.1305	ACD|65057	357.1758
ACE2|59272	16.7938	ACE2|59272	10.1523
ACER2|340485	360.8945	ACER2|340485	167.5127
ACER3|55331	187.1305	ACER3|55331	420.8583
ACE|1636	699.5116	ACE|1636	623.904
ACHE|43	9.9392	ACHE|43	25.8422
ACIN1|22985	3792.6484	ACIN1|22985	2678.3572
ACLY|47	5698.5691	ACLY|47	5798.8002
ACN9|57001	186.7878	ACN9|57001	145.8237
ACO1|48	786.9077	ACO1|48	2831.1029
ACO2|50	2468.2923	ACO2|50	2965.0808
ACOT11|26027	9.0789	ACOT11|26027	37.8403
ACOT13|55856	500.7591	ACOT13|55856	472.5288
ACOT1|641371	709.4508	ACOT1|641371	691.2783
ACOT2|10965	665.5814	ACOT2|10965	517.7665
ACOT4|122970	371.8619	ACOT4|122970	144.4393
ACOT7|11332	226.8872	ACOT7|11332	239.9631
ACOT8|10005	413.5687	lowly_expressed	lowly_expressed
ACOT9|23597	312.9123	ACOT9|23597	391.3244
ACOX1|51	1337.8391	ACOX1|51	2258.4633
ACOX2|8309	151.8293	ACOX2|8309	262.1135
ACOX3|8310	1177.277	ACOX3|8310	609.1371
ACP1|52	1425.4134	ACP1|52	1047.5311
ACP2|53	853.0546	ACP2|53	818.1818
ACP5|54	1728.0439	ACP5|54	701.892
ACP6|51205	473.6526	ACP6|51205	159.6677
ACPL2|92370	476.0518	ACPL2|92370	329.9492
ACPP|55	113.4436	ACPP|55	20.766
ACRBP|84519	12.3383	ACRBP|84519	24.9192
ACRC|93953	13.3665	ACRC|93953	18.9202
ACSBG1|23205	7.8828	ACSBG1|23205	6.922
ACSBG2|81616	5.8264	lowly_expressed	lowly_expressed
ACSF2|80221	1117.2993	ACSF2|80221	851.8689
ACSF3|197322	484.2773	ACSF3|197322	380.2492
ACSL1|2180	12123.7255	ACSL1|2180	13387.6327
ACSL3|2181	18477.2513	ACSL3|2181	2955.6991
