gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
?|100133144	6.3195	lowly_expressed	lowly_expressed
?|100134869	6.3617	lowly_expressed	lowly_expressed
?|10357	127.2679	?|10357	81.3041
?|10431	1097.2255	?|10431	725.4902
?|155060	90.58	?|155060	195.1664
?|390284	5.4348	?|390284	9.1199
?|57714	311.8971	?|57714	361.1491
lowly_expressed	lowly_expressed	?|645851	7.2959
?|652919	57.6693	lowly_expressed	lowly_expressed
?|653553	268.4187	?|653553	109.4391
lowly_expressed	lowly_expressed	?|729884	32.8317
?|8225	361.4141	?|8225	429.5486
?|90288	18.7199	?|90288	10.0319
A1BG|1	180.538	A1BG|1	42.1249
A2LD1|87769	74.1186	A2LD1|87769	95.6042
lowly_expressed	lowly_expressed	A2ML1|144568	33.7437
A2M|2	23493.6911	A2M|2	35117.8067
A4GALT|53947	299.5178	A4GALT|53947	564.0675
AAAS|8086	878.6258	AAAS|8086	570.4514
AACS|65985	1132.5517	AACS|65985	1089.8313
lowly_expressed	lowly_expressed	AADACL3|126767	7.2959
lowly_expressed	lowly_expressed	AADAC|13	56.5435
AADAT|51166	23.5508	AADAT|51166	77.5194
AAGAB|79719	1801.032	AAGAB|79719	1229.8222
AAK1|22848	1017.5151	AAK1|22848	1060.6475
AAMP|14	2933.8857	AAMP|14	2114.4551
AARS2|57505	400.0435	AARS2|57505	339.1838
AARSD1|80755	326.6918	AARSD1|80755	503.876
AARS|16	2919.3929	AARS|16	2567.7155
AASDHPPT|60496	584.5428	AASDHPPT|60496	695.741
AASDH|132949	198.0682	AASDH|132949	330.5974
AASS|10157	91.7877	AASS|10157	473.7802
AATF|26574	896.4399	AATF|26574	1104.8792
AATK|9625	110.8095	AATK|9625	59.7355
ABAT|18	587.8641	ABAT|18	464.2043
lowly_expressed	lowly_expressed	ABCA10|10349	139.0789
ABCA11P|79963	66.0177	ABCA11P|79963	119.9407
ABCA12|26154	35.3262	ABCA12|26154	19.1518
lowly_expressed	lowly_expressed	ABCA13|154664	49.2476
ABCA17P|650655	6.0387	lowly_expressed	lowly_expressed
ABCA1|19	1120.7733	ABCA1|19	1064.6375
ABCA2|20	953.2034	ABCA2|20	1168.2627
ABCA3|21	1052.5394	ABCA3|21	1008.6639
ABCA4|24	45.8939	ABCA4|24	60.1915
ABCA5|23461	173.0078	ABCA5|23461	649.3388
ABCA6|23460	96.3167	ABCA6|23460	423.6206
ABCA7|10347	315.5203	ABCA7|10347	169.6306
ABCA8|10351	92.6935	ABCA8|10351	1202.9184
ABCA9|10350	125.9062	ABCA9|10350	1134.0629
ABCB10|23456	479.1681	ABCB10|23456	324.6694
ABCB1|5243	112.0172	ABCB1|5243	413.5887
ABCB4|5244	27.4759	ABCB4|5244	11.8559
ABCB5|340273	5.4348	ABCB5|340273	109.8951
ABCB6|10058	923.6833	ABCB6|10058	316.9175
ABCB7|22	550.7263	ABCB7|22	587.3233
ABCB8|11194	950.184	ABCB8|11194	336.5253
ABCB9|23457	345.0554	ABCB9|23457	86.3885
ABCC10|89845	247.2834	ABCC10|89845	259.0059
ABCC11|85320	1119.8705	ABCC11|85320	10.9439
ABCC13|150000	237.9234	lowly_expressed	lowly_expressed
ABCC1|4363	1051.0297	ABCC1|4363	1206.1104
lowly_expressed	lowly_expressed	ABCC2|1244	8.6639
ABCC3|8714	499.6996	ABCC3|8714	947.1044
ABCC4|10257	134.6622	ABCC4|10257	131.3269
ABCC5|10057	1535.6327	ABCC5|10057	721.8422
lowly_expressed	lowly_expressed	ABCC6P1|653190	10.0319
ABCC6P2|730013	25.9663	ABCC6P2|730013	34.6557
ABCC6|368	23.8527	ABCC6|368	207.9343
ABCC8|6833	252.7182	ABCC8|6833	60.1915
ABCC9|10060	410.6293	ABCC9|10060	632.9229
ABCD1|215	471.3178	ABCD1|215	208.8463
ABCD2|225	14.1909	ABCD2|225	188.7825
ABCD3|5825	2893.1247	ABCD3|5825	1531.6917
ABCD4|5826	517.2117	ABCD4|5826	542.1797
ABCE1|6059	1532.9153	ABCE1|6059	1586.4113
ABCF1|23	1556.4661	ABCF1|23	1591.4273
ABCF2|10061	1240.3419	ABCF2|10061	1317.3735
ABCF3|55324	1278.0836	ABCF3|55324	894.2088
ABCG1|9619	2518.1235	ABCG1|9619	706.7943
ABCG2|9429	195.9547	ABCG2|9429	228.4542
ABHD10|55347	486.7164	ABHD10|55347	588.2353
ABHD11|83451	508.1537	ABHD11|83451	446.4204
lowly_expressed	lowly_expressed	ABHD12B|145447	6.3839
ABHD12|26090	2301.3355	ABHD12|26090	901.5048
ABHD13|84945	423.6124	ABHD13|84945	459.1883
ABHD14A|25864	236.1118	ABHD14A|25864	220.2462
ABHD14B|84836	617.4536	ABHD14B|84836	1857.7291
ABHD15|116236	340.2788	ABHD15|116236	419.5166
ABHD1|84696	28.9856	ABHD1|84696	24.1678
ABHD2|11057	6153.0983	ABHD2|11057	3761.5139
ABHD3|171586	572.4655	ABHD3|171586	202.9184
ABHD4|63874	969.5078	ABHD4|63874	866.3931
ABHD5|51099	604.4704	ABHD5|51099	922.9366
ABHD6|57406	80.9181	ABHD6|57406	256.2699
ABHD8|79575	322.1628	ABHD8|79575	176.4706
ABI1|10006	1273.9924	ABI1|10006	1529.8678
ABI2|10152	1184.1823	ABI2|10152	1526.2198
ABI3BP|25890	482.7913	ABI3BP|25890	1894.6648
ABI3|51225	491.2454	ABI3|51225	211.5823
ABL1|25	2105.6827	ABL1|25	2909.7127
ABL2|27	1393.1201	ABL2|27	1124.031
ABLIM1|3983	1980.3804	ABLIM1|3983	7074.3274
ABLIM2|84448	103.5631	ABLIM2|84448	39.6717
ABLIM3|22885	501.5112	ABLIM3|22885	1466.9403
lowly_expressed	lowly_expressed	ABO|28	23.7118
ABP1|26	18.4179	ABP1|26	5.016
ABR|29	1446.8643	ABR|29	2076.6074
ABT1|29777	521.4388	ABT1|29777	593.7073
ABTB1|80325	474.0352	ABTB1|80325	426.8126
ABTB2|25841	69.1427	ABTB2|25841	286.3657
ACAA1|30	1407.311	ACAA1|30	1298.6776
ACAA2|10449	1129.8343	ACAA2|10449	2243.5021
ACACA|31	723.7341	ACACA|31	1530.3238
ACACB|32	211.6552	ACACB|32	2896.0328
ACAD10|80724	251.5104	ACAD10|80724	436.3885
ACAD11|84129	128.6236	ACAD11|84129	531.9152
ACAD8|27034	284.7231	ACAD8|27034	546.7396
ACAD9|28976	1057.6723	ACAD9|28976	866.8491
lowly_expressed	lowly_expressed	ACADL|33	91.6553
ACADM|34	873.191	ACADM|34	982.6721
ACADSB|36	1107.7932	ACADSB|36	2780.2098
ACADS|35	528.0813	ACADS|35	742.3621
ACADVL|37	2774.7427	ACADVL|37	6436.5663
ACAN|176	125.0004	ACAN|176	25.0798
ACAP1|9744	101.4496	ACAP1|9744	54.7196
ACAP2|23527	1531.7075	ACAP2|23527	1122.663
ACAP3|116983	550.1285	ACAP3|116983	407.6607
ACAT1|38	900.667	ACAT1|38	1563.1555
ACAT2|39	948.5053	ACAT2|39	349.3023
ACBD3|64746	2256.6493	ACBD3|64746	1072.9594
ACBD4|79777	94.5051	ACBD4|79777	254.902
ACBD5|91452	1026.8751	ACBD5|91452	599.1792
ACBD6|84320	703.5045	ACBD6|84320	405.3808
ACBD7|414149	119.5656	ACBD7|414149	51.5276
ACCN1|40	17.5121	ACCN1|40	12.3119
ACCN2|41	134.3603	ACCN2|41	174.1906
lowly_expressed	lowly_expressed	ACCN3|9311	5.016
ACCS|84680	96.3167	ACCS|84680	317.3735
ACD|65057	273.5516	ACD|65057	325.5814
lowly_expressed	lowly_expressed	ACE2|59272	36.4797
ACER2|340485	183.8774	ACER2|340485	136.7989
ACER3|55331	698.9755	ACER3|55331	326.4934
ACE|1636	897.3457	ACE|1636	836.7533
ACHE|43	20.2295	ACHE|43	15.5039
ACIN1|22985	2488.5341	ACIN1|22985	2690.3785
ACLY|47	2364.4395	ACLY|47	2754.674
ACMSD|130013	435.9917	lowly_expressed	lowly_expressed
ACN9|57001	218.9016	ACN9|57001	145.0068
ACO1|48	1311.9001	ACO1|48	2333.3333
ACO2|50	2819.3171	ACO2|50	2164.7059
ACOT11|26027	121.6036	ACOT11|26027	50.0319
ACOT13|55856	460.2792	ACOT13|55856	493.7939
ACOT1|641371	817.3334	ACOT1|641371	627.451
ACOT2|10965	611.7168	ACOT2|10965	495.668
ACOT4|122970	313.4067	ACOT4|122970	69.3114
ACOT7|11332	844.2054	ACOT7|11332	327.4054
ACOT8|10005	266.1481	ACOT8|10005	196.3383
ACOT9|23597	336.0517	ACOT9|23597	634.7469
ACOX1|51	1047.9229	ACOX1|51	2249.886
ACOX2|8309	57.6693	ACOX2|8309	186.5025
ACOX3|8310	718.2993	ACOX3|8310	503.42
ACOXL|55289	6.9445	lowly_expressed	lowly_expressed
ACP1|52	2071.2623	ACP1|52	1387.1409
ACP2|53	1346.6224	ACP2|53	833.5613
ACP5|54	2587.8701	ACP5|54	756.9539
ACP6|51205	179.6503	ACP6|51205	279.9818
ACPL2|92370	483.3952	ACPL2|92370	395.8048
ACPP|55	85.4471	ACPP|55	48.3356
ACRBP|84519	36.8359	ACRBP|84519	18.2399
ACRC|93953	6.3406	ACRC|93953	7.7519
lowly_expressed	lowly_expressed	ACR|49	11.3999
lowly_expressed	lowly_expressed	ACSBG1|23205	13.6799
lowly_expressed	lowly_expressed	ACSBG2|81616	12.7679
ACSF2|80221	1090.9363	ACSF2|80221	901.9608
ACSF3|197322	254.2278	ACSF3|197322	309.1655
ACSL1|2180	1038.0466	ACSL1|2180	5366.1651
ACSL3|2181	1747.5898	ACSL3|2181	2597.3552
ACSL4|2182	1027.7809	ACSL4|2182	1603.7392
ACSL5|51703	376.8127	ACSL5|51703	880.985
ACSL6|23305	7.5483	lowly_expressed	lowly_expressed
ACSM1|116285	5.1329	ACSM1|116285	14.1359
lowly_expressed	lowly_expressed	ACSM2A|123876	6.8399
lowly_expressed	lowly_expressed	ACSM2B|348158	5.016
ACSM3|6296	29.4626	ACSM3|6296	85.244
ACSM5|54988	53.4422	ACSM5|54988	171.9106
ACSS1|84532	877.1162	ACSS1|84532	564.5235
ACSS2|55902	667.2725	ACSS2|55902	1531.2358
ACSS3|79611	469.5062	lowly_expressed	lowly_expressed
ACTA1|58	13.587	lowly_expressed	lowly_expressed
ACTA2|59	6860.9537	ACTA2|59	36363.2239
lowly_expressed	lowly_expressed	ACTBL2|345651	11.3999
ACTB|60	141941.5518	ACTB|60	85522.5718
ACTG1|71	62952.5059	ACTG1|71	57558.1395
ACTG2|72	214.3726	ACTG2|72	10824.8974
ACTL6A|86	2112.6272	ACTL6A|86	717.2823
ACTN1|87	8673.9392	ACTN1|87	11980.8482
ACTN4|81	10997.9499	ACTN4|81	14286.2061
ACTR10|55860	988.5296	ACTR10|55860	1023.7118
ACTR1A|10121	2864.7429	ACTR1A|10121	2645.2348
ACTR1B|10120	1350.5476	ACTR1B|10120	1331.0534
ACTR2|10097	7234.6233	ACTR2|10097	4212.0383
ACTR3B|57180	163.044	ACTR3B|57180	165.0707
ACTR3C|653857	15.7005	ACTR3C|653857	32.3757
ACTR3|10096	4687.8161	ACTR3|10096	3124.487
ACTR5|79913	198.6721	ACTR5|79913	179.6626
ACTR6|64431	470.714	ACTR6|64431	463.7483
ACTR8|93973	289.554	ACTR8|93973	419.9726
ACVR1B|91	1466.7919	ACVR1B|91	1167.3507
ACVR1C|130399	18.7199	ACVR1C|130399	275.4218
ACVR1|90	1044.9911	ACVR1|90	1191.0625
ACVR2A|92	240.6408	ACVR2A|92	464.2043
ACVR2B|93	221.619	ACVR2B|93	405.8368
ACVRL1|94	730.6785	ACVRL1|94	959.8723
ACY1|95	466.4869	ACY1|95	523.9398
ACY3|91703	16.6063	ACY3|91703	12.7679
ACYP1|97	80.9181	ACYP1|97	68.3995
ACYP2|98	118.9617	ACYP2|98	146.8308
ADAL|161823	188.4064	ADAL|161823	218.8782
ADAM10|102	1172.7089	ADAM10|102	1590.5153
ADAM11|4185	8.1522	ADAM11|4185	11.3999
ADAM12|8038	1547.71	ADAM12|8038	308.7095
