gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
lowly_expressed	lowly_expressed	?|100133144	13.652
?|100134869	8.0445	lowly_expressed	lowly_expressed
?|10357	57.7172	?|10357	61.4869
?|10431	605.7563	?|10431	677.6961
?|155060	61.3288	?|155060	199.7549
?|390284	6.097	?|390284	5.719
?|57714	784.7216	?|57714	520.0163
?|645851	9.3248	?|645851	7.7614
?|652919	10.4008	lowly_expressed	lowly_expressed
?|653553	604.6804	?|653553	50.2451
?|8225	475.2085	?|8225	308.415
?|90288	33.3543	?|90288	7.3529
A1BG|1	212.3016	A1BG|1	63.317
lowly_expressed	lowly_expressed	A2BP1|54715	7.3529
A2LD1|87769	120.5272	A2LD1|87769	63.5621
lowly_expressed	lowly_expressed	A2ML1|144568	7.3529
A2M|2	17637.8696	A2M|2	29198.8194
A4GALT|53947	181.8345	A4GALT|53947	230.8007
AAAS|8086	700.0807	AAAS|8086	558.0065
AACS|65985	1029.3195	AACS|65985	1312.5
lowly_expressed	lowly_expressed	AADAC|13	37.9902
AADAT|51166	28.3332	AADAT|51166	123.7745
AAGAB|79719	1657.6706	AAGAB|79719	1096.4052
AAK1|22848	1007.4419	AAK1|22848	1086.1928
AAMP|14	2277.7728	AAMP|14	1782.6797
AARS2|57505	447.9118	AARS2|57505	513.8889
AARSD1|80755	343.9433	AARSD1|80755	290.0327
AARS|16	3016.5875	AARS|16	2604.5752
AASDHPPT|60496	1595.2372	AASDHPPT|60496	926.8791
AASDH|132949	238.1422	AASDH|132949	524.1013
AASS|10157	265.7581	AASS|10157	579.6569
AATF|26574	1354.2545	AATF|26574	959.9673
AATK|9625	15.4219	AATK|9625	31.8627
ABAT|18	815.5653	ABAT|18	757.7614
ABCA10|10349	14.3459	ABCA10|10349	254.4935
ABCA11P|79963	83.4287	ABCA11P|79963	147.8186
ABCA12|26154	276.8762	ABCA12|26154	59.232
ABCA13|154664	5.3797	ABCA13|154664	66.585
ABCA17P|650655	13.27	lowly_expressed	lowly_expressed
ABCA1|19	820.5828	ABCA1|19	1007.692
ABCA2|20	770.3757	ABCA2|20	1184.6405
ABCA3|21	1966.8251	ABCA3|21	1162.5817
ABCA4|24	12.9113	ABCA4|24	87.8268
ABCA5|23461	312.0237	ABCA5|23461	907.2712
ABCA6|23460	169.2818	ABCA6|23460	392.5654
ABCA7|10347	266.4754	ABCA7|10347	218.5458
ABCA8|10351	186.1383	ABCA8|10351	892.1569
ABCA9|10350	152.4254	ABCA9|10350	771.2418
ABCB10|23456	667.4437	ABCB10|23456	359.4771
ABCB1|5243	126.2441	ABCB1|5243	777.7778
ABCB4|5244	29.4091	ABCB4|5244	14.7059
ABCB5|340273	7.5316	ABCB5|340273	106.6176
ABCB6|10058	380.095	ABCB6|10058	398.6193
ABCB7|22	728.4139	ABCB7|22	592.3203
ABCB8|11194	547.2967	ABCB8|11194	258.5784
ABCB9|23457	141.3826	ABCB9|23457	129.4608
ABCC10|89845	268.6273	ABCC10|89845	372.9575
ABCC11|85320	1699.991	ABCC11|85320	156.4542
ABCC12|94160	5.7384	lowly_expressed	lowly_expressed
ABCC13|150000	155.2945	lowly_expressed	lowly_expressed
ABCC1|4363	930.3326	ABCC1|4363	1270.4248
lowly_expressed	lowly_expressed	ABCC2|1244	10.6209
ABCC3|8714	200.8428	ABCC3|8714	572.3039
ABCC4|10257	119.7884	ABCC4|10257	128.268
ABCC5|10057	1328.4318	ABCC5|10057	833.3333
lowly_expressed	lowly_expressed	ABCC6P1|653190	6.1275
lowly_expressed	lowly_expressed	ABCC6P2|730013	20.0163
ABCC6|368	12.194	ABCC6|368	33.9052
ABCC8|6833	619.3849	ABCC8|6833	259.3954
ABCC9|10060	237.7836	ABCC9|10060	224.2647
ABCD1|215	370.1246	ABCD1|215	189.951
ABCD2|225	13.6286	ABCD2|225	21.2418
ABCD3|5825	1565.4981	ABCD3|5825	1674.0196
ABCD4|5826	338.205	ABCD4|5826	523.2843
ABCE1|6059	1136.5552	ABCE1|6059	1689.5425
ABCF1|23	1679.1895	ABCF1|23	1595.5882
ABCF2|10061	936.071	ABCF2|10061	1310.049
ABCF3|55324	1064.8256	ABCF3|55324	822.7124
ABCG1|9619	931.4086	ABCG1|9619	593.1373
ABCG2|9429	88.586	ABCG2|9429	308.8235
