gene_id	TCGA-BH-A0BM-01A-11R-A056-07	gene_id	TCGA-BH-A0BM-11A-12R-A089-07
lowly_expressed	lowly_expressed	?|100133144	10.3417
?|100134869	12.6306	lowly_expressed	lowly_expressed
?|10357	51.4586	?|10357	85.5242
?|10431	1252.8662	?|10431	693.9409
?|155060	114.0127	?|155060	154.7244
?|390284	14.6497	?|390284	13.9125
?|57714	215.9236	?|57714	254.2201
?|645851	5.0955	lowly_expressed	lowly_expressed
?|652919	16.9873	?|652919	34.4061
?|653553	149.0446	?|653553	173.696
?|729884	5.7325	?|729884	18.5501
?|8225	508.9172	?|8225	478.5072
?|90288	45.8599	?|90288	18.5501
A1BG|1	247.6115	A1BG|1	103.0203
lowly_expressed	lowly_expressed	A2BP1|54715	6.3239
A2LD1|87769	88.5605	A2LD1|87769	67.7077
A2ML1|144568	11.465	A2ML1|144568	53.9638
A2M|2	11344.828	A2M|2	26732.5545
A4GALT|53947	246.4968	A4GALT|53947	249.5826
AAAS|8086	610.1911	AAAS|8086	695.6272
AACS|65985	698.7261	AACS|65985	1029.5283
AADAT|51166	24.8408	AADAT|51166	59.0229
AAGAB|79719	1426.7516	AAGAB|79719	1065.3637
AAK1|22848	805.7325	AAK1|22848	1017.3021
AAMP|14	2456.6879	AAMP|14	2588.1549
AARS2|57505	422.2803	lowly_expressed	lowly_expressed
AARSD1|80755	616.5605	AARSD1|80755	604.1417
AARS|16	1643.3121	AARS|16	2791.3624
AASDHPPT|60496	1124.2038	AASDHPPT|60496	901.3643
AASDH|132949	281.5287	AASDH|132949	405.9934
AASS|10157	438.2166	AASS|10157	580.5326
AATF|26574	1208.2803	AATF|26574	1060.3046
AATK|9625	17.1975	AATK|9625	41.7376
ABAT|18	556.051	ABAT|18	597.8178
ABCA10|10349	45.2229	ABCA10|10349	28.2467
ABCA11P|79963	171.3439	ABCA11P|79963	90.5707
ABCA12|26154	498.0892	ABCA12|26154	25.2955
lowly_expressed	lowly_expressed	ABCA13|154664	17.2853
ABCA17P|650655	14.6497	ABCA17P|650655	8.8534
ABCA1|19	679.4713	ABCA1|19	612.5145
ABCA2|20	887.8981	ABCA2|20	1476.8377
ABCA3|21	720.3822	ABCA3|21	1040.9113
ABCA4|24	14.0127	ABCA4|24	40.0513
ABCA5|23461	558.5987	ABCA5|23461	989.0555
ABCA6|23460	205.0955	ABCA6|23460	86.848
ABCA7|10347	254.1401	ABCA7|10347	248.3178
ABCA8|10351	368.1529	ABCA8|10351	174.1176
ABCA9|10350	96.8153	ABCA9|10350	57.3365
ABCB10|23456	514.6497	ABCB10|23456	363.8341
ABCB1|5243	165.6051	ABCB1|5243	506.3323
