gene_id	TCGA-BH-A0BQ-01A-21R-A115-07	gene_id	TCGA-BH-A0BQ-11A-33R-A115-07
lowly_expressed	lowly_expressed	?|100133144	19.4906
?|100134869	7.2751	?|100134869	5.4486
?|10357	88.2911	?|10357	79.8901
?|10431	975.3081	?|10431	768.044
?|155060	66.7316	?|155060	236.2887
?|390284	6.5332	?|390284	19.0215
?|57714	325.7249	?|57714	819.6132
lowly_expressed	lowly_expressed	?|645851	18.1761
?|652919	19.1328	?|652919	41.9656
?|653553	271.1263	?|653553	86.6533
lowly_expressed	lowly_expressed	?|729884	54.9509
?|8225	645.85	?|8225	390.1511
?|90288	154.4627	?|90288	16.4853
A1BG|1	106.3039	A1BG|1	65.8438
A2LD1|87769	112.5151	A2LD1|87769	87.951
A2ML1|144568	6.5332	A2ML1|144568	35.5067
A2M|2	20331.6048	A2M|2	38388.0714
A4GALT|53947	395.2565	A4GALT|53947	218.1126
AAAS|8086	661.7162	AAAS|8086	620.9447
AACS|65985	1251.101	AACS|65985	1123.5338
lowly_expressed	lowly_expressed	AADAC|13	5.0724
AADAT|51166	45.7322	AADAT|51166	82.849
AAGAB|79719	1513.8276	AAGAB|79719	1081.6866
AAK1|22848	803.1126	AAK1|22848	1272.3238
AAMP|14	2433.1371	AAMP|14	1364.0495
AARS2|57505	452.179	AARS2|57505	313.1819
AARSD1|80755	636.9835	AARSD1|80755	343.2315
AARS|16	2040.214	AARS|16	2222.9737
AASDHPPT|60496	730.7811	AASDHPPT|60496	895.6694
AASDH|132949	328.5248	AASDH|132949	409.1726
AASS|10157	218.861	AASS|10157	763.3943
AATF|26574	1217.5019	AATF|26574	706.3299
AATK|9625	182.462	AATK|9625	81.1582
ABAT|18	4444.8852	ABAT|18	862.7285
ABCA10|10349	13.0663	ABCA10|10349	195.2869
ABCA11P|79963	90.7923	ABCA11P|79963	160.5157
ABCA12|26154	1427.9631	ABCA12|26154	433.2664
lowly_expressed	lowly_expressed	ABCA13|154664	57.9098
ABCA17P|650655	6.9998	ABCA17P|650655	7.1859
ABCA1|19	447.9884	ABCA1|19	535.1326
ABCA2|20	1689.7563	ABCA2|20	1690.7957
ABCA3|21	2089.6793	ABCA3|21	1182.7116
ABCA4|24	17.7329	ABCA4|24	17.3307
ABCA5|23461	152.5961	ABCA5|23461	1129.0288
ABCA6|23460	236.5939	ABCA6|23460	483.1449
ABCA7|10347	274.3929	ABCA7|10347	301.807
ABCA8|10351	145.5962	ABCA8|10351	715.6293
ABCA9|10350	193.6617	ABCA9|10350	606.573
ABCB10|23456	529.653	ABCB10|23456	375.7794
ABCB1|5243	184.3286	ABCB1|5243	758.3219
ABCB4|5244	37.3324	ABCB4|5244	10.1448
lowly_expressed	lowly_expressed	ABCB5|340273	15.6399
ABCB6|10058	644.2867	ABCB6|10058	391.1698
ABCB7|22	482.5209	ABCB7|22	554.581
ABCB8|11194	853.9779	ABCB8|11194	370.707
ABCB9|23457	86.4198	ABCB9|23457	127.6255
ABCC10|89845	387.79	ABCC10|89845	342.3861
ABCC11|85320	2808.3275	ABCC11|85320	787.0654
ABCC12|94160	13.0663	ABCC12|94160	12.2583
ABCC13|150000	24.266	lowly_expressed	lowly_expressed
ABCC1|4363	1587.0923	ABCC1|4363	1067.7375
lowly_expressed	lowly_expressed	ABCC2|1244	8.454
ABCC3|8714	335.058	ABCC3|8714	692.8036
ABCC4|10257	151.6627	ABCC4|10257	123.0054
ABCC5|10057	355.5908	ABCC5|10057	832.2942
ABCC6P2|730013	9.7997	ABCC6P2|730013	9.7221
ABCC6|368	21.9328	ABCC6|368	46.9196
ABCC8|6833	352.7909	ABCC8|6833	396.4916
ABCC9|10060	197.3949	ABCC9|10060	345.345
ABCD1|215	341.1245	ABCD1|215	193.5961
ABCD2|225	18.1995	ABCD2|225	71.0134
ABCD3|5825	1368.2313	ABCD3|5825	2217.9013
ABCD4|5826	637.4502	ABCD4|5826	501.3209
ABCE1|6059	1464.8288	ABCE1|6059	2148.156
ABCF1|23	1436.3629	ABCF1|23	1484.9414
ABCF2|10061	1297.7665	ABCF2|10061	1234.2809
ABCF3|55324	1089.6385	ABCF3|55324	686.8858
ABCG1|9619	979.508	ABCG1|9619	404.9456
ABCG2|9429	137.6631	ABCG2|9429	229.9482
lowly_expressed	lowly_expressed	ABCG5|64240	7.6086
ABHD10|55347	485.3208	ABHD10|55347	516.5381
ABHD11|83451	851.6447	ABHD11|83451	573.6025
ABHD12B|145447	43.8655	lowly_expressed	lowly_expressed
ABHD12|26090	853.0446	ABHD12|26090	730.0011
ABHD13|84945	412.056	ABHD13|84945	554.581
ABHD14A|25864	316.3918	ABHD14A|25864	204.8864
ABHD14B|84836	2071.0132	ABHD14B|84836	2041.6358
ABHD15|116236	383.1234	ABHD15|116236	280.6721
ABHD1|84696	28.4659	ABHD1|84696	20.7122
ABHD2|11057	3585.774	ABHD2|11057	4819.6132
ABHD3|171586	217.461	ABHD3|171586	197.4004
ABHD4|63874	1252.0343	ABHD4|63874	701.6802
ABHD5|51099	785.3797	ABHD5|51099	1022.9314
ABHD6|57406	135.3298	ABHD6|57406	97.2208
ABHD8|79575	328.5248	ABHD8|79575	154.2851
ABI1|10006	1370.0979	ABI1|10006	1648.9485
ABI2|10152	1358.4316	ABI2|10152	2414.879
ABI3BP|25890	452.1883	ABI3BP|25890	980.2388
ABI3|51225	231.9273	ABI3|51225	199.9366
ABL1|25	2553.0674	ABL1|25	2805.8755
ABL2|27	1182.9694	ABL2|27	1311.2121
ABLIM1|3983	3116.7861	ABLIM1|3983	5578.3578
ABLIM2|84448	34.9991	ABLIM2|84448	27.4754
ABLIM3|22885	1155.4368	ABLIM3|22885	1052.0976
ABO|28	84.4645	ABO|28	48.6104
ABP1|26	14.9329	ABP1|26	6.7632
ABR|29	1332.2989	ABR|29	1843.8127
ABT1|29777	572.5852	ABT1|29777	522.8786
