gene_id	TCGA-BH-A0BS-01A-11R-A12P-07	gene_id	TCGA-BH-A0BS-11A-11R-A12P-07
lowly_expressed	lowly_expressed	?|100133144	8.0645
?|100134869	6.1499	?|100134869	7.3699
?|10357	101.8454	?|10357	94.1252
?|10431	1129.6372	?|10431	824.3365
?|155060	63.7646	?|155060	171.1814
?|390284	5.8262	?|390284	8.068
?|57714	778.1226	?|57714	298.8658
lowly_expressed	lowly_expressed	?|645851	7.7172
?|652919	9.487	lowly_expressed	lowly_expressed
?|653553	185.4677	?|653553	108.0407
?|8225	297.1367	?|8225	518.8058
?|90288	73.7986	?|90288	18.5914
A1BG|1	110.0636	A1BG|1	106.7919
A2LD1|87769	102.7517	A2LD1|87769	78.6171
A2ML1|144568	5.5025	A2ML1|144568	37.1828
A2M|2	7548.1484	A2M|2	23158.163
A4GALT|53947	201.0042	A4GALT|53947	229.7619
AAAS|8086	627.2885	AAAS|8086	715.5943
AACS|65985	1359.1251	AACS|65985	1363.8385
lowly_expressed	lowly_expressed	AADAT|51166	70.5071
AAGAB|79719	2351.8464	AAGAB|79719	1126.3594
AAK1|22848	1126.7241	AAK1|22848	752.4263
AAMP|14	2114.9139	AAMP|14	2765.9121
AARS2|57505	277.389	AARS2|57505	614.5516
AARSD1|80755	505.5855	AARSD1|80755	661.2231
AARS|16	1395.3771	AARS|16	2822.0371
AASDHPPT|60496	928.633	AASDHPPT|60496	926.7647
AASDH|132949	436.9657	AASDH|132949	516.7011
AASS|10157	82.8616	AASS|10157	554.5855
AATF|26574	903.7098	AATF|26574	1117.9406
AATK|9625	21.3628	AATK|9625	67.35
ABAT|18	2286.787	ABAT|18	698.0552
ABCA10|10349	5.5025	ABCA10|10349	149.4329
ABCA11P|79963	108.5941	ABCA11P|79963	171.9145
ABCA12|26154	130.4423	ABCA12|26154	6.3141
lowly_expressed	lowly_expressed	ABCA13|154664	37.8844
lowly_expressed	lowly_expressed	ABCA17P|650655	14.382
ABCA1|19	229.4814	ABCA1|19	666.4638
ABCA2|20	1623.2466	ABCA2|20	1243.5204
ABCA3|21	4967.4906	ABCA3|21	1143.1969
ABCA4|24	29.4547	ABCA4|24	55.0727
ABCA5|23461	796.5722	ABCA5|23461	970.2616
ABCA6|23460	22.3338	ABCA6|23460	220.2908
ABCA7|10347	661.2747	ABCA7|10347	201.6994
ABCA8|10351	52.7596	ABCA8|10351	451.4558
ABCA9|10350	21.6864	ABCA9|10350	356.394
ABCB10|23456	1008.9052	ABCB10|23456	472.8535
ABCB1|5243	32.6915	ABCB1|5243	546.1668
lowly_expressed	lowly_expressed	ABCB4|5244	10.5234
lowly_expressed	lowly_expressed	ABCB5|340273	22.0992
ABCB6|10058	415.8165	ABCB6|10058	577.1724
ABCB7|22	653.5064	ABCB7|22	577.0356
ABCB8|11194	718.5658	ABCB8|11194	374.9854
ABCB9|23457	49.3674	ABCB9|23457	216.0323
ABCC10|89845	441.8209	ABCC10|89845	430.4089
ABCC11|85320	519.18	ABCC11|85320	161.7103
ABCC13|150000	154.0709	lowly_expressed	lowly_expressed
ABCC1|4363	636.0278	ABCC1|4363	751.7247
lowly_expressed	lowly_expressed	ABCC2|1244	7.0156
ABCC3|8714	65.0593	ABCC3|8714	418.4823
ABCC4|10257	100.3403	ABCC4|10257	138.2079
ABCC5|10057	1938.8329	ABCC5|10057	690.6888
lowly_expressed	lowly_expressed	ABCC6P1|653190	12.2774
ABCC6P2|730013	35.2809	ABCC6P2|730013	15.4344
ABCC6|368	93.8667	ABCC6|368	177.1447
ABCC8|6833	249.8796	ABCC8|6833	62.7899
ABCC9|10060	71.2092	ABCC9|10060	172.2337
ABCD1|215	239.1982	ABCD1|215	225.9033
ABCD2|225	5.8262	ABCD2|225	95.0618
ABCD3|5825	4588.4633	ABCD3|5825	1528.355
ABCD4|5826	426.608	ABCD4|5826	593.1715
ABCE1|6059	1619.3624	ABCE1|6059	1867.5607
ABCF1|23	1392.1403	ABCF1|23	1666.9137
ABCF2|10061	1166.2128	ABCF2|10061	1294.7345
ABCF3|55324	1059.0753	ABCF3|55324	1125.6578
ABCG1|9619	837.032	ABCG1|9619	688.2333
ABCG2|9429	48.2281	ABCG2|9429	236.7775
ABHD10|55347	653.5064	ABHD10|55347	848.1897
ABHD11|83451	568.7027	ABHD11|83451	761.8974
ABHD12|26090	2988.1979	ABHD12|26090	681.2177
ABHD13|84945	546.3689	ABHD13|84945	608.9567
ABHD14A|25864	354.7514	ABHD14A|25864	258.8767
