gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
?|100133144	5.0619	?|100133144	13.2111
lowly_expressed	lowly_expressed	?|100134869	7.6633
?|10357	163.905	?|10357	102.1361
?|10431	1409.6551	?|10431	797.2422
?|155060	241.5894	?|155060	164.1853
?|57714	846.7134	?|57714	420.6998
?|645851	19.5572	?|645851	10.8386
lowly_expressed	lowly_expressed	?|652919	64.1126
?|653553	540.7001	?|653553	180.644
lowly_expressed	lowly_expressed	?|729884	7.6272
?|8225	1089.8368	?|8225	358.8794
?|90288	44.4831	?|90288	32.5159
A1BG|1	123.1377	A1BG|1	65.8347
lowly_expressed	lowly_expressed	A2BP1|54715	7.2258
A2LD1|87769	138.7183	A2LD1|87769	63.96
A2M|2	7434.4161	A2M|2	31034.5903
A4GALT|53947	241.5894	A4GALT|53947	215.9699
AAAS|8086	1078.3325	AAAS|8086	798.8479
AACS|65985	1185.3221	AACS|65985	1078.6454
AADAT|51166	17.2564	AADAT|51166	59.4118
AAGAB|79719	1284.2587	AAGAB|79719	1755.0568
AAK1|22848	522.2933	AAK1|22848	949.3846
AAMP|14	3388.0041	AAMP|14	2026.0228
AARS2|57505	728.5685	AARS2|57505	420.6878
AARSD1|80755	1058.7753	AARSD1|80755	561.6021
AARS|16	3199.7178	AARS|16	2479.6399
AASDHPPT|60496	1411.189	AASDHPPT|60496	1028.8679
AASDH|132949	265.7484	AASDH|132949	437.9613
AASS|10157	653.0584	AASS|10157	586.8923
AATF|26574	1635.1386	AATF|26574	851.0339
AATK|9625	84.748	AATK|9625	59.4118
ABAT|18	12431.1183	ABAT|18	1185.8275
ABCA10|10349	6.5191	ABCA10|10349	153.3989
ABCA11P|79963	87.394	ABCA11P|79963	167.2523
ABCA12|26154	95.4853	ABCA12|26154	282.6075
lowly_expressed	lowly_expressed	ABCA13|154664	23.283
ABCA17P|650655	5.7521	ABCA17P|650655	8.0286
ABCA1|19	274.1848	ABCA1|19	1049.7423
ABCA2|20	440.2296	ABCA2|20	1203.8919
ABCA3|21	4621.2606	ABCA3|21	1385.3387
ABCA4|24	5.3687	ABCA4|24	207.1384
ABCA5|23461	34.1293	ABCA5|23461	902.3649
ABCA6|23460	44.4831	ABCA6|23460	174.6225
ABCA7|10347	178.6995	ABCA7|10347	294.249
ABCA8|10351	19.5572	ABCA8|10351	319.5392
ABCA9|10350	26.0763	ABCA9|10350	203.1241
ABCB10|23456	312.9158	ABCB10|23456	393.8039
ABCB1|5243	36.8136	ABCB1|5243	554.7778
ABCB4|5244	70.5595	ABCB4|5244	16.4587
lowly_expressed	lowly_expressed	ABCB5|340273	18.8673
ABCB6|10058	436.8167	ABCB6|10058	363.6083
ABCB7|22	432.5601	ABCB7|22	524.269
ABCB8|11194	1170.3666	ABCB8|11194	399.4239
ABCB9|23457	55.8378	ABCB9|23457	108.4185
