gene_id	TCGA-BH-A0BV-01A-11R-A00Z-07	gene_id	TCGA-BH-A0BV-11A-31R-A089-07
?|100133144	7.5748	?|100133144	15.3908
?|100134869	5.0883	?|100134869	9.9853
?|10357	80.5104	?|10357	54.7146
?|10431	913.6608	?|10431	636.2372
?|155060	94.7813	?|155060	215.2384
lowly_expressed	lowly_expressed	?|390284	7.9491
?|57714	1195.3185	?|57714	642.9634
?|645851	10.7444	?|645851	9.7836
lowly_expressed	lowly_expressed	?|652919	224.4869
?|653553	589.7928	?|653553	75.5169
lowly_expressed	lowly_expressed	?|728788	7.0319
lowly_expressed	lowly_expressed	?|729884	37.9113
?|8225	312.7398	?|8225	432.3111
?|90288	79.4321	?|90288	29.0449
A1BG|1	224.6585	A1BG|1	105.8918
A2LD1|87769	60.8442	A2LD1|87769	73.6794
lowly_expressed	lowly_expressed	A2ML1|144568	13.4524
A2M|2	14362.9931	A2M|2	26393.7257
A4GALT|53947	786.2625	A4GALT|53947	325.9149
AAAS|8086	691.8649	AAAS|8086	555.5229
AACS|65985	922.8703	AACS|65985	1321.3923
lowly_expressed	lowly_expressed	AADAC|13	49.5293
AADAT|51166	34.5357	AADAT|51166	77.0455
AAGAB|79719	2117.8051	AAGAB|79719	935.8588
AAK1|22848	952.4175	AAK1|22848	999.1462
AAMP|14	1797.3906	AAMP|14	1830.1375
AARS2|57505	507.2755	AARS2|57505	516.3794
AARSD1|80755	302.7629	AARSD1|80755	388.5908
AARS|16	4210.284	AARS|16	2395.1382
AASDHPPT|60496	625.0959	AASDHPPT|60496	848.724
AASDH|132949	291.6347	AASDH|132949	541.459
AASS|10157	180.7368	AASS|10157	594.3514
AATF|26574	1701.0744	AATF|26574	747.831
AATK|9625	35.3031	AATK|9625	117.7482
ABAT|18	1720.6447	ABAT|18	805.0037
lowly_expressed	lowly_expressed	ABCA10|10349	206.9835
ABCA11P|79963	77.5288	ABCA11P|79963	122.2028
lowly_expressed	lowly_expressed	ABCA12|26154	136.3584
lowly_expressed	lowly_expressed	ABCA13|154664	26.5991
ABCA17P|650655	5.3722	lowly_expressed	lowly_expressed
ABCA1|19	633.5342	ABCA1|19	1082.6673
ABCA2|20	933.6147	ABCA2|20	1609.0902
ABCA3|21	2707.9816	ABCA3|21	1303.9653
lowly_expressed	lowly_expressed	ABCA4|24	38.217
ABCA5|23461	157.3292	ABCA5|23461	1007.4011
ABCA6|23460	89.4091	ABCA6|23460	477.5601
ABCA7|10347	264.3899	ABCA7|10347	263.239
ABCA8|10351	16.8841	ABCA8|10351	1042.255
ABCA9|10350	42.2103	ABCA9|10350	606.5808
ABCB10|23456	750.1919	ABCB10|23456	448.2094
ABCB1|5243	67.5365	ABCB1|5243	326.8321
ABCB4|5244	50.2686	ABCB4|5244	11.0065
lowly_expressed	lowly_expressed	ABCB5|340273	28.1277
ABCB6|10058	142.548	ABCB6|10058	506.3849
ABCB7|22	740.9823	ABCB7|22	579.0646
ABCB8|11194	806.9839	ABCB8|11194	326.2206
ABCB9|23457	130.1688	ABCB9|23457	124.1901
ABCC10|89845	460.0921	ABCC10|89845	477.5601
ABCC11|85320	798.1581	ABCC11|85320	273.0225
ABCC13|150000	577.1297	lowly_expressed	lowly_expressed
ABCC1|4363	1172.2947	ABCC1|4363	1185.3396
lowly_expressed	lowly_expressed	ABCC2|1244	7.6434
ABCC3|8714	603.9908	ABCC3|8714	337.8386
ABCC4|10257	135.8404	ABCC4|10257	107.9249
ABCC5|10057	1674.9808	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCC6P1|653190	9.4778
lowly_expressed	lowly_expressed	ABCC6P2|730013	18.0384
ABCC6|368	11.1282	ABCC6|368	162.6517
ABCC8|6833	57.1757	ABCC8|6833	236.0284
ABCC9|10060	287.0299	ABCC9|10060	404.1834
ABCD1|215	542.594	ABCD1|215	251.0095
ABCD2|225	9.2095	ABCD2|225	148.2821
ABCD3|5825	1212.5863	ABCD3|5825	2063.1086
ABCD4|5826	541.4428	ABCD4|5826	573.5613
ABCE1|6059	1123.561	ABCE1|6059	1757.3723
ABCF1|23	1797.0069	ABCF1|23	1464.1711
ABCF2|10061	1198.3883	ABCF2|10061	1055.7074
ABCF3|55324	1141.98	ABCF3|55324	833.4372
ABCG1|9619	814.6585	ABCG1|9619	409.0752
ABCG2|9429	95.9325	ABCG2|9429	669.5625
ABHD10|55347	685.7252	ABHD10|55347	610.5554
ABHD11|83451	857.6362	ABHD11|83451	598.0202
ABHD12|26090	2013.8143	ABHD12|26090	638.3774
ABHD13|84945	281.6577	ABHD13|84945	626.1479
ABHD14A|25864	323.5764	ABHD14A|25864	185.1356
ABHD14B|84836	1226.4006	ABHD14B|84836	2080.2298
ABHD15|116236	607.4444	ABHD15|116236	364.7434
ABHD1|84696	14.5817	ABHD1|84696	17.1212
ABHD2|11057	11869.1481	ABHD2|11057	3874.2904
ABHD3|171586	1627.3983	ABHD3|171586	224.7162
ABHD4|63874	1194.551	ABHD4|63874	751.1941
ABHD5|51099	688.4114	ABHD5|51099	964.598
ABHD6|57406	201.0744	ABHD6|57406	207.2892
ABHD8|79575	278.5879	ABHD8|79575	268.1307
ABI1|10006	1365.1957	ABI1|10006	1558.3379
ABI2|10152	1167.3062	ABI2|10152	2649.5108
ABI3BP|25890	250.9593	ABI3BP|25890	945.3366
ABI3|51225	265.5411	ABI3|51225	118.0142
ABL1|25	2012.2794	ABL1|25	2986.4322
ABL2|27	1266.3085	ABL2|27	1159.0463
ABLIM1|3983	1893.3231	ABLIM1|3983	4747.779
ABLIM2|84448	82.1182	ABLIM2|84448	47.0834
ABLIM3|22885	342.287	ABLIM3|22885	1208.2699
ABO|28	6.9071	ABO|28	31.1851
lowly_expressed	lowly_expressed	ABP1|26	6.1147
ABR|29	2154.2594	ABR|29	1692.8619
ABT1|29777	485.4183	ABT1|29777	451.5725
ABTB1|80325	415.5794	ABTB1|80325	479.7003
ABTB2|25841	35.3031	ABTB2|25841	199.6458
ACAA1|30	1169.9923	ACAA1|30	1056.0132
ACAA2|10449	486.5695	ACAA2|10449	1697.7537
ACACA|31	2412.5096	ACACA|31	2250.2192
ACACB|32	201.8419	ACACB|32	2617.4085
ACAD10|80724	496.5464	ACAD10|80724	664.365
ACAD11|84129	48.7337	ACAD11|84129	509.6624
ACAD8|27034	204.1443	ACAD8|27034	729.7926
ACAD9|28976	828.8526	ACAD9|28976	858.2721
lowly_expressed	lowly_expressed	ACADL|33	75.5169
ACADM|34	841.1358	ACADM|34	1280.4236
ACADSB|36	1693.3998	ACADSB|36	2448.0306
ACADS|35	230.2379	ACADS|35	641.4348
ACADVL|37	2851.1128	ACADVL|37	5871.5953
ACAN|176	40.2916	ACAN|176	11.0065
ACAP1|9744	106.2932	ACAP1|9744	25.0704
ACAP2|23527	1250.9593	ACAP2|23527	1372.756
ACAP3|116983	378.3576	ACAP3|116983	539.7346
ACAT1|38	882.1949	ACAT1|38	1053.873
ACAT2|39	373.0622	ACAT2|39	273.686
ACBD3|64746	3582.5019	ACBD3|64746	1600.8353
ACBD4|79777	212.2026	ACBD4|79777	273.9397
ACBD5|91452	958.5572	ACBD5|91452	799.8062
ACBD6|84320	522.2563	ACBD6|84320	387.0622
ACBD7|414149	21.1051	ACBD7|414149	66.3448
ACCN1|40	227.5518	ACCN1|40	7.3377
ACCN2|41	28.7797	ACCN2|41	348.5394
ACCN3|9311	52.9547	ACCN3|9311	8.2549
ACCS|84680	108.2118	ACCS|84680	354.0426
ACD|65057	614.3515	ACD|65057	278.8315
lowly_expressed	lowly_expressed	ACE2|59272	50.4465
ACER2|340485	81.7345	ACER2|340485	211.2638
ACER3|55331	326.5541	ACER3|55331	395.9285
ACE|1636	348.8104	ACE|1636	450.961
ACHE|43	5.3722	ACHE|43	11.0065
ACIN1|22985	3542.594	ACIN1|22985	3556.9361
ACLY|47	8243.6685	ACLY|47	3013.6427
ACN9|57001	46.0476	ACN9|57001	149.1993
ACO1|48	998.8488	ACO1|48	1663.2055
ACO2|50	2173.7145	ACO2|50	2295.9512
ACOT11|26027	25.3262	ACOT11|26027	47.3249
ACOT13|55856	728.3538	ACOT13|55856	470.681
ACOT1|641371	363.7759	ACOT1|641371	468.9995
ACOT2|10965	160.0153	ACOT2|10965	256.5128
ACOT4|122970	403.3001	ACOT4|122970	142.1674
ACOT7|11332	417.4981	ACOT7|11332	270.5766
ACOT8|10005	320.6101	ACOT8|10005	201.1195
ACOT9|23597	204.528	ACOT9|23597	305.7363
ACOX1|51	1938.7068	ACOX1|51	1901.955
ACOX2|8309	329.6239	ACOX2|8309	181.3016
ACOX3|8310	360.7061	ACOX3|8310	862.4821
ACP1|52	1435.9171	ACP1|52	1161.4922
ACP2|53	972.7552	ACP2|53	719.0918
ACP5|54	2290.8672	ACP5|54	554.6056
ACP6|51205	318.4958	ACP6|51205	305.1248
ACPL2|92370	567.1527	ACPL2|92370	724.9008
ACPP|55	29.1635	ACPP|55	14.6753
ACRBP|84519	31.4658	ACRBP|84519	19.8729
ACRC|93953	6.5234	ACRC|93953	16.8155
ACSBG1|23205	5.3722	ACSBG1|23205	14.3696
ACSF2|80221	1379.1251	ACSF2|80221	734.6843
ACSF3|197322	457.7897	ACSF3|197322	349.7623
ACSL1|2180	1726.7843	ACSL1|2180	5186.2049
ACSL3|2181	2798.1581	ACSL3|2181	4631.905
ACSL4|2182	529.5472	ACSL4|2182	1252.6016
ACSL5|51703	277.8204	ACSL5|51703	681.4862
ACSL6|23305	18.419	lowly_expressed	lowly_expressed
ACSM1|116285	6.9071	ACSM1|116285	20.7901
ACSM3|6296	12.2371	ACSM3|6296	158.0901
ACSM5|54988	16.1167	ACSM5|54988	140.6387
ACSS1|84532	860.7061	ACSS1|84532	872.2657
ACSS2|55902	989.2556	ACSS2|55902	1518.5922
ACSS3|79611	37.2218	ACSS3|79611	370.8581
ACTA2|59	6021.1934	ACTA2|59	25489.3608
lowly_expressed	lowly_expressed	ACTBL2|345651	9.4778
ACTB|60	99598.2348	ACTB|60	70570.3587
ACTG1|71	78069.0714	ACTG1|71	57461.3033
ACTG2|72	26.8611	ACTG2|72	6384.3854
ACTL6A|86	1511.8956	ACTL6A|86	730.0983
ACTN1|87	5917.1144	ACTN1|87	8245.4023
ACTN4|81	8443.4612	ACTN4|81	10183.5197
ACTR10|55860	1150.4221	ACTR10|55860	940.7506
ACTR1A|10121	2600.921	ACTR1A|10121	1944.1771
ACTR1B|10120	775.1343	ACTR1B|10120	1314.3604
ACTR2|10097	4942.4405	ACTR2|10097	4497.0753
ACTR3B|57180	139.2939	ACTR3B|57180	432.3111
ACTR3C|653857	17.6516	ACTR3C|653857	43.4146
ACTR3|10096	4344.5894	ACTR3|10096	2708.5179
ACTR5|79913	186.4927	ACTR5|79913	189.5565
ACTR6|64431	556.4083	ACTR6|64431	651.5241
ACTR8|93973	576.3622	ACTR8|93973	562.2491
ACVR1B|91	1622.4098	ACVR1B|91	1299.685
ACVR1C|130399	8.0583	ACVR1C|130399	425.8907
ACVR1|90	951.65	ACVR1|90	1186.2568
ACVR2A|92	145.0499	ACVR2A|92	717.2574
ACVR2B|93	381.4275	ACVR2B|93	420.9989
ACVRL1|94	378.7414	ACVRL1|94	643.8806
ACY1|95	827.6132	ACY1|95	605.1928
lowly_expressed	lowly_expressed	ACY3|91703	5.5033
ACYP1|97	31.0821	ACYP1|97	54.4211
ACYP2|98	55.2571	ACYP2|98	187.1106
ADAL|161823	166.155	ADAL|161823	195.6712
ADAM10|102	1468.1504	ADAM10|102	2238.6012
ADAM11|4185	5.3722	ADAM11|4185	21.0958
ADAM12|8038	2916.3469	ADAM12|8038	3987.1071
ADAM15|8751	4381.8611	ADAM15|8751	2011.3443
ADAM17|6868	429.7774	ADAM17|6868	1056.6247
ADAM19|8728	451.2663	ADAM19|8728	162.346
ADAM22|53616	157.713	ADAM22|53616	61.453
ADAM23|8745	44.5127	ADAM23|8745	60.5358
ADAM28|10863	165.0038	ADAM28|10863	86.5234
ADAM32|203102	6.9071	ADAM32|203102	31.7966
ADAM33|80332	16.8841	ADAM33|80332	490.1503
ADAM6|8755	24660.802	ADAM6|8755	24738.1667
ADAM8|101	521.4889	ADAM8|101	33.9367
ADAM9|8754	1086.3392	ADAM9|8754	1626.5171
ADAMDEC1|27299	205.6792	lowly_expressed	lowly_expressed
ADAMTS10|81794	91.3277	ADAMTS10|81794	160.5116
ADAMTS12|81792	661.5503	ADAMTS12|81792	582.1219
ADAMTS13|11093	61.013	ADAMTS13|11093	122.6003
ADAMTS14|140766	177.6669	ADAMTS14|140766	46.7777
ADAMTS15|170689	518.0353	ADAMTS15|170689	541.1533
ADAMTS16|170690	179.9693	ADAMTS16|170690	220.7416
ADAMTS17|170691	9.977	ADAMTS17|170691	44.6375
ADAMTS18|170692	73.2924	ADAMTS18|170692	131.4666
ADAMTS19|171019	9.2095	ADAMTS19|171019	21.7073
