gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
?|100133144	10.4864	lowly_expressed	lowly_expressed
?|100134869	21.5696	?|100134869	11.644
?|10357	75.6595	?|10357	122.2424
?|10431	467.944	?|10431	565.1709
?|155060	78.1135	?|155060	295.3029
?|340602	51.9528	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|388795	5.1732
lowly_expressed	lowly_expressed	?|391343	5.1732
?|57714	4180.9138	?|57714	1207.0774
?|645851	20.2653	?|645851	16.3818
?|652919	47.8998	?|652919	11.2086
?|653553	122.6971	?|653553	53.0252
?|8225	299.5578	?|8225	412.5618
A1BG|1	18.0545	A1BG|1	72.5712
A2LD1|87769	128.2461	A2LD1|87769	105.7357
A2ML1|144568	662.4908	A2ML1|144568	278.49
A2M|2	62109.392	A2M|2	33879.1694
A4GALT|53947	258.6588	A4GALT|53947	387.5581
A4GNT|51146	5.1584	lowly_expressed	lowly_expressed
AAAS|8086	249.0789	AAAS|8086	558.2733
AACS|65985	1710.3906	AACS|65985	674.67
lowly_expressed	lowly_expressed	AADAC|13	17.6751
AADAT|51166	141.4886	AADAT|51166	116.8278
AAGAB|79719	1918.9388	AAGAB|79719	1014.3761
AAK1|22848	1959.101	AAK1|22848	1808.8916
AAMP|14	1852.2476	AAMP|14	1512.2955
AARS2|57505	299.1857	AARS2|57505	501.795
AARSD1|80755	509.9484	AARSD1|80755	455.6717
AARS|16	10583.2719	AARS|16	2397.7729
AASDHPPT|60496	1105.0111	AASDHPPT|60496	884.1842
AASDH|132949	636.6986	AASDH|132949	441.0143
AASS|10157	153.6478	AASS|10157	560.8599
AATF|26574	1541.636	AATF|26574	1007.4785
AATK|9625	28.3714	AATK|9625	25.4348
ABAT|18	153.6478	ABAT|18	466.4492
ABCA10|10349	9.58	ABCA10|10349	208.6519
ABCA11P|79963	121.168	ABCA11P|79963	132.757
ABCA12|26154	64.112	ABCA12|26154	18.9684
ABCA13|154664	647.0155	ABCA13|154664	221.5849
ABCA17P|650655	8.4746	lowly_expressed	lowly_expressed
ABCA1|19	2640.6485	ABCA1|19	1948.4944
ABCA2|20	1545.3206	ABCA2|20	1524.7974
ABCA3|21	982.3139	ABCA3|21	864.3536
ABCA4|24	19.5284	ABCA4|24	30.1769
ABCA5|23461	760.8696	ABCA5|23461	924.7075
ABCA6|23460	8.843	ABCA6|23460	350.9146
ABCA7|10347	181.2822	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCA8|10351	985.0613
ABCA9|10350	5.8954	ABCA9|10350	503.0926
ABCB10|23456	767.5018	ABCB10|23456	549.2202
lowly_expressed	lowly_expressed	ABCB11|8647	8.1909
ABCB1|5243	37.9514	ABCB1|5243	586.7258
ABCB4|5244	12.1592	ABCB4|5244	81.4777
lowly_expressed	lowly_expressed	ABCB5|340273	20.2617
ABCB6|10058	444.4252	ABCB6|10058	268.1781
ABCB7|22	353.353	ABCB7|22	446.1875
ABCB8|11194	269.7126	ABCB8|11194	398.3355
ABCB9|23457	575.4053	ABCB9|23457	109.7535
ABCC10|89845	551.9528	ABCC10|89845	486.7108
ABCC11|85320	19.1599	ABCC11|85320	37.9367
ABCC13|150000	8.843	lowly_expressed	lowly_expressed
ABCC1|4363	2226.2343	ABCC1|4363	2280.0829
ABCC2|1244	9.2115	ABCC2|1244	21.555
ABCC3|8714	117.5387	ABCC3|8714	1284.6752
ABCC4|10257	168.3861	ABCC4|10257	324.1865
ABCC5|10057	507.0007	ABCC5|10057	1403.2274
ABCC6|368	5.1584	ABCC6|368	21.1239
lowly_expressed	lowly_expressed	ABCC8|6833	42.6788
ABCC9|10060	55.269	ABCC9|10060	431.5302
ABCD1|215	1078.1135	ABCD1|215	248.3131
ABCD2|225	112.3803	ABCD2|225	141.4005
ABCD3|5825	2880.2506	ABCD3|5825	1328.6473
ABCD4|5826	175.0184	ABCD4|5826	543.6159
ABCE1|6059	2589.9042	ABCE1|6059	1995.9886
ABCF1|23	2325.7185	ABCF1|23	1741.2091
ABCF2|10061	662.1223	ABCF2|10061	1261.3958
ABCF3|55324	963.8909	ABCF3|55324	849.2651
ABCG1|9619	599.8526	ABCG1|9619	721.2287
ABCG2|9429	10.6853	ABCG2|9429	89.6686
ABHD10|55347	787.3987	ABHD10|55347	689.7585
ABHD11|83451	918.5704	ABHD11|83451	376.3495
ABHD12|26090	1586.5881	ABHD12|26090	942.8136
ABHD13|84945	410.8327	ABHD13|84945	664.7547
ABHD14A|25864	59.6905	ABHD14A|25864	163.8176
ABHD14B|84836	315.0332	ABHD14B|84836	1317.8698
ABHD15|116236	557.8482	ABHD15|116236	377.6428
ABHD1|84696	5.1584	ABHD1|84696	9.9153
