gene_id	TCGA-BH-A0BZ-01A-31R-A12P-07	gene_id	TCGA-BH-A0BZ-11A-61R-A12P-07
?|100133144	11.5541	?|100133144	8.0368
?|100134869	5.3529	lowly_expressed	lowly_expressed
?|10357	82.7534	?|10357	90.5208
?|10431	1075.4019	?|10431	780.5759
?|155060	211.3367	?|155060	116.617
?|57714	1962.1103	?|57714	708.7282
?|645851	16.9069	?|645851	7.5819
lowly_expressed	lowly_expressed	?|652919	53.7088
?|653553	744.2071	?|653553	186.6594
?|8225	502.0756	?|8225	354.1836
?|90288	6.642	?|90288	56.3228
A1BG|1	41.1261	A1BG|1	29.0351
A2LD1|87769	50.6484	A2LD1|87769	82.141
A2ML1|144568	11.1707	A2ML1|144568	8.304
A2M|2	19303.4312	A2M|2	39009.2102
A4GALT|53947	292.5504	A4GALT|53947	379.4566
AAAS|8086	764.1331	AAAS|8086	636.1585
AACS|65985	684.7309	AACS|65985	855.3119
lowly_expressed	lowly_expressed	AADACL2|344752	5.4157
lowly_expressed	lowly_expressed	AADACL3|126767	28.1614
lowly_expressed	lowly_expressed	AADAC|13	152.7214
AADAT|51166	16.605	AADAT|51166	34.2991
AAGAB|79719	1763.1519	AAGAB|79719	1089.268
AAK1|22848	692.5806	AAK1|22848	1298.3121
AAMP|14	3102.7247	AAMP|14	1678.4908
AARS2|57505	642.1164	AARS2|57505	301.0994
AARSD1|80755	503.8871	AARSD1|80755	365.737
AARS|16	3370.5185	AARS|16	2521.8883
AASDHPPT|60496	845.6487	AASDHPPT|60496	755.9816
AASDH|132949	179.6362	AASDH|132949	365.737
AASS|10157	126.1982	AASS|10157	479.4657
AATF|26574	1738.3954	AATF|26574	671.5408
AATK|9625	41.6635	AATK|9625	36.1043
ABAT|18	292.8523	ABAT|18	665.403
lowly_expressed	lowly_expressed	ABCA10|10349	396.7867
ABCA11P|79963	99.5064	ABCA11P|79963	114.7685
ABCA12|26154	1313.9105	ABCA12|26154	51.6292
ABCA1|19	938.3199	ABCA1|19	2710.9703
ABCA2|20	5180.1645	ABCA2|20	1557.5413
ABCA3|21	1027.7002	ABCA3|21	1205.885
ABCA4|24	76.685	ABCA4|24	20.5795
ABCA5|23461	301.9096	ABCA5|23461	727.5025
ABCA6|23460	115.6314	ABCA6|23460	1183.8614
ABCA7|10347	218.5825	ABCA7|10347	252.7304
ABCA8|10351	28.9833	ABCA8|10351	2502.3919
ABCA9|10350	48.6074	ABCA9|10350	1319.9747
ABCB10|23456	432.3345	ABCB10|23456	390.649
lowly_expressed	lowly_expressed	ABCB11|8647	8.304
ABCB1|5243	92.3843	ABCB1|5243	132.1419
ABCB4|5244	30.191	ABCB4|5244	20.9405
lowly_expressed	lowly_expressed	ABCB5|340273	68.2372
ABCB6|10058	2126.1137	ABCB6|10058	584.5979
ABCB7|22	213.4501	ABCB7|22	479.4657
ABCB8|11194	1159.9366	ABCB8|11194	444.4444
ABCB9|23457	360.6219	ABCB9|23457	66.4248
ABCC10|89845	525.6246	ABCC10|89845	349.8511
ABCC11|85320	2352.4794	ABCC11|85320	432.8911
ABCC12|94160	22.3413	lowly_expressed	lowly_expressed
ABCC13|150000	31.3986	lowly_expressed	lowly_expressed
ABCC1|4363	957.6572	ABCC1|4363	1416.3733
lowly_expressed	lowly_expressed	ABCC2|1244	11.9144
ABCC3|8714	192.9202	lowly_expressed	lowly_expressed
ABCC4|10257	145.5204	ABCC4|10257	159.2201
ABCC5|10057	2262.5104	ABCC5|10057	732.5571
lowly_expressed	lowly_expressed	ABCC6P1|653190	9.3871
