gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
?|100133144	7.8666	?|100133144	15.1903
lowly_expressed	lowly_expressed	?|100134869	11.7363
?|10357	104.55	?|10357	79.4336
?|10431	1174.0521	?|10431	507.5828
?|155060	141.6172	?|155060	280.718
lowly_expressed	lowly_expressed	?|388795	12.9991
lowly_expressed	lowly_expressed	?|390284	5.2615
?|57714	1162.6313	?|57714	917.0535
?|645851	5.0251	?|645851	16.7131
lowly_expressed	lowly_expressed	?|652919	98.4494
?|653553	414.8013	?|653553	78.3039
?|729884	50.2513	?|729884	17.9511
?|8225	330.7446	?|8225	470.7521
?|90288	74.9201	?|90288	23.8316
A1BG|1	270.7446	A1BG|1	100.8449
A2LD1|87769	33.2206	A2LD1|87769	87.5704
A2ML1|144568	55.2764	A2ML1|144568	15.4751
A2M|2	10946.0576	A2M|2	25150.2043
A4GALT|53947	489.7213	A4GALT|53947	175.178
AAAS|8086	458.2001	AAAS|8086	622.4079
AACS|65985	534.4906	AACS|65985	1034.6642
AADACL2|344752	8.2229	lowly_expressed	lowly_expressed
AADAC|13	15.5322	lowly_expressed	lowly_expressed
AADAT|51166	8.2229	AADAT|51166	42.0922
AAGAB|79719	1375.0571	AAGAB|79719	1116.9916
AAK1|22848	911.3751	AAK1|22848	1100.2786
AAMP|14	1644.1297	AAMP|14	2234.6023
AARS2|57505	288.2595	AARS2|57505	563.8812
AARSD1|80755	447.2362	AARSD1|80755	495.5122
AARS|16	2778.4376	AARS|16	2296.8121
AASDHPPT|60496	1202.3755	AASDHPPT|60496	943.3612
AASDH|132949	355.8703	AASDH|132949	468.8951
AASS|10157	80.8588	AASS|10157	785.2058
AATF|26574	2012.3344	AATF|26574	832.5596
AATK|9625	179.534	AATK|9625	74.3083
ABAT|18	2086.3408	ABAT|18	1133.7047
ABCA10|10349	7.7661	ABCA10|10349	295.8836
ABCA11P|79963	79.5614	ABCA11P|79963	163.9307
ABCA12|26154	43.8556	ABCA12|26154	68.3999
ABCA13|154664	21.9278	ABCA13|154664	53.8533
lowly_expressed	lowly_expressed	ABCA17P|650655	12.6896
ABCA1|19	837.8164	ABCA1|19	991.2535
ABCA2|20	2514.847	ABCA2|20	1520.8914
ABCA3|21	1253.0836	ABCA3|21	1181.987
ABCA4|24	42.0283	ABCA4|24	44.2587
ABCA5|23461	217.9077	ABCA5|23461	1222.5317
ABCA6|23460	65.3266	ABCA6|23460	515.3203
ABCA7|10347	845.1348	ABCA7|10347	271.433
ABCA8|10351	20.5573	ABCA8|10351	593.6243
ABCA9|10350	31.5212	lowly_expressed	lowly_expressed
ABCB10|23456	382.3664	ABCB10|23456	443.8254
ABCB1|5243	86.7976	ABCB1|5243	781.8013
ABCB4|5244	16.4459	ABCB4|5244	11.7611
lowly_expressed	lowly_expressed	ABCB5|340273	61.9003
ABCB6|10058	638.2778	ABCB6|10058	462.0025
ABCB7|22	383.7369	ABCB7|22	579.3872
ABCB8|11194	693.0105	ABCB8|11194	335.1903
ABCB9|23457	240.2924	ABCB9|23457	133.3457
ABCC10|89845	370.9456	ABCC10|89845	397.7097
ABCC11|85320	537.6884	ABCC11|85320	1049.8298
ABCC12|94160	12.7912	ABCC12|94160	8.666
ABCC13|150000	16.9027	lowly_expressed	lowly_expressed
ABCC1|4363	1983.5541	ABCC1|4363	840.6066
lowly_expressed	lowly_expressed	ABCC2|1244	17.0226
ABCC3|8714	705.3449	ABCC3|8714	577.5302
ABCC4|10257	137.0489	ABCC4|10257	127.2052
ABCC5|10057	3297.8529	ABCC5|10057	1028.7837
ABCC6P1|653190	6.8524	ABCC6P1|653190	13.3086
ABCC6P2|730013	21.9278	ABCC6P2|730013	20.4271
ABCC6|368	53.9059	ABCC6|368	134.6332
ABCC8|6833	5.0251	ABCC8|6833	260.6004
ABCC9|10060	88.1681	ABCC9|10060	360.879
ABCD1|215	1281.407	ABCD1|215	190.034
ABCD2|225	59.3878	ABCD2|225	43.6397
ABCD3|5825	2088.6249	ABCD3|5825	1724.853
ABCD4|5826	546.825	ABCD4|5826	566.0786
ABCE1|6059	1669.2554	ABCE1|6059	1355.927
ABCF1|23	1422.1106	ABCF1|23	1377.2826
ABCF2|10061	1596.1626	ABCF2|10061	1057.5673
ABCF3|55324	2055.2764	ABCF3|55324	863.5097
ABCG1|9619	541.7999	ABCG1|9619	359.022
ABCG2|9429	26.9529	ABCG2|9429	373.2591
ABHD10|55347	424.3947	ABHD10|55347	721.139
ABHD11|83451	1066.2403	ABHD11|83451	417.2083
ABHD12B|145447	111.0096	lowly_expressed	lowly_expressed
ABHD12|26090	1676.1078	ABHD12|26090	634.4785
ABHD13|84945	276.8387	ABHD13|84945	515.3203
ABHD14A|25864	260.3929	ABHD14A|25864	210.9842
ABHD14B|84836	1595.249	ABHD14B|84836	2172.0829
ABHD15|116236	400.6396	ABHD15|116236	286.9081
