gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
?|100133144	11.2606	?|100133144	28.7667
?|100134869	8.198	?|100134869	12.8831
?|10357	93.8748	?|10357	101.0635
?|10431	1061.3367	?|10431	449.2519
?|155060	200.5076	?|155060	393.8536
?|57714	2264.3824	?|57714	613.425
lowly_expressed	lowly_expressed	?|645851	16.1747
?|652919	45.2623	?|652919	64.6138
?|653553	381.9797	?|653553	137.8892
?|729884	7.1912	?|729884	6.4699
?|8225	366.7513	?|8225	388.1925
?|90288	8.8832	?|90288	19.0053
A1BG|1	130.5753	A1BG|1	112.5758
A2LD1|87769	80.9433	A2LD1|87769	60.8856
A2M|2	24488.088	A2M|2	31493.239
A4GALT|53947	403.5533	A4GALT|53947	205.8229
AAAS|8086	582.9103	AAAS|8086	808.33
AACS|65985	881.5567	AACS|65985	1554.3874
AADAC|13	77.8342	AADAC|13	8.8961
AADAT|51166	57.5296	AADAT|51166	103.9224
AAGAB|79719	1597.2927	AAGAB|79719	878.2855
AAK1|22848	1293.1472	AAK1|22848	1052.9721
AAMP|14	2550.7614	AAMP|14	1804.6907
AARS2|57505	317.6777	AARS2|57505	382.9195
AARSD1|80755	482.6565	AARSD1|80755	432.6729
AARS|16	1935.7022	AARS|16	2094.6219
AASDHPPT|60496	671.3198	AASDHPPT|60496	794.1771
AASDH|132949	264.3824	AASDH|132949	370.4003
AASS|10157	537.6481	AASS|10157	987.0603
AATF|26574	1363.3672	AATF|26574	814.7998
AATK|9625	20.7276	AATK|9625	30.3275
ABAT|18	5155.6684	ABAT|18	828.9527
ABCA10|10349	170.8968	ABCA10|10349	402.3453
ABCA11P|79963	109.8773	ABCA11P|79963	197.9984
ABCA12|26154	350.6768	ABCA12|26154	46.9066
lowly_expressed	lowly_expressed	ABCA13|154664	16.9834
ABCA17P|650655	7.6142	ABCA17P|650655	10.5135
ABCA1|19	2381.0914	ABCA1|19	871.3829
ABCA2|20	1364.2132	ABCA2|20	1860.4933
ABCA3|21	1953.8917	ABCA3|21	934.0882
ABCA4|24	12.2673	ABCA4|24	59.442
ABCA5|23461	393.401	ABCA5|23461	1033.9668
ABCA6|23460	559.6447	ABCA6|23460	560.4529
ABCA7|10347	426.3959	ABCA7|10347	254.7513
ABCA8|10351	1417.0897	ABCA8|10351	543.8738
ABCA9|10350	918.3587	ABCA9|10350	765.8714
ABCB10|23456	980.1184	ABCB10|23456	378.4877
ABCB11|8647	5.0761	lowly_expressed	lowly_expressed
ABCB1|5243	233.0795	ABCB1|5243	693.0853
ABCB4|5244	36.379	ABCB4|5244	13.3441
ABCB5|340273	29.1878	ABCB5|340273	113.6272
ABCB6|10058	823.1514	ABCB6|10058	416.1828
ABCB7|22	497.0389	ABCB7|22	606.9551
ABCB8|11194	1250.423	ABCB8|11194	310.554
ABCB9|23457	222.9569	ABCB9|23457	151.019
ABCC10|89845	436.5482	ABCC10|89845	420.1375
ABCC11|85320	9295.2623	ABCC11|85320	389.0012
ABCC12|94160	38.4941	ABCC12|94160	9.7048
ABCC1|4363	1956.8528	ABCC1|4363	851.5973
ABCC2|1244	739.4247	ABCC2|1244	16.9834
ABCC3|8714	690.7783	ABCC3|8714	454.1043
ABCC4|10257	188.6633	ABCC4|10257	121.3101
ABCC5|10057	2306.2606	ABCC5|10057	960.372
ABCC6P1|653190	7.6142	ABCC6P1|653190	7.2786
ABCC6P2|730013	16.9205	ABCC6P2|730013	17.7922
ABCC6|368	93.9086	ABCC6|368	52.1634
lowly_expressed	lowly_expressed	ABCC8|6833	22.2402
ABCC9|10060	1683.5871	ABCC9|10060	287.1007
ABCD1|215	442.0474	ABCD1|215	136.2717
ABCD2|225	131.5567	ABCD2|225	33.1581
ABCD3|5825	2994.9239	ABCD3|5825	1326.3243
ABCD4|5826	480.9645	ABCD4|5826	671.6539
ABCE1|6059	1527.9188	ABCE1|6059	1587.9499
ABCF1|23	1734.7716	ABCF1|23	1329.9636
ABCF2|10061	1145.5161	ABCF2|10061	1003.2349
ABCF3|55324	1017.3435	ABCF3|55324	794.5815
ABCG1|9619	920.4738	ABCG1|9619	595.2285
ABCG2|9429	134.5178	ABCG2|9429	1254.7513
ABHD10|55347	546.9543	ABHD10|55347	704.812
ABHD11|83451	885.3638	ABHD11|83451	513.1419
ABHD12|26090	1934.0102	ABHD12|26090	614.6381
ABHD13|84945	466.5821	ABHD13|84945	461.3829
ABHD14A|25864	256.7682	ABHD14A|25864	257.5778
ABHD14B|84836	1762.2673	ABHD14B|84836	3135.0586
ABHD15|116236	868.8663	ABHD15|116236	317.8326
ABHD1|84696	19.4585	ABHD1|84696	40.8411
ABHD2|11057	3952.1997	ABHD2|11057	4154.8726
ABHD3|171586	666.2437	ABHD3|171586	221.5932
ABHD4|63874	1005.9222	ABHD4|63874	1044.8848
ABHD5|51099	1544.8393	ABHD5|51099	768.2976
ABHD6|57406	194.1624	ABHD6|57406	136.6761
ABHD8|79575	259.3063	ABHD8|79575	202.9923
ABI1|10006	1226.3113	ABI1|10006	1840.6793
ABI2|10152	1011.8443	ABI2|10152	2272.1391
