gene_id	TCGA-BH-A0DD-01A-31R-A12P-07	gene_id	TCGA-BH-A0DD-11A-23R-A12P-07
?|100133144	21.7437	lowly_expressed	lowly_expressed
?|100134869	11.1695	lowly_expressed	lowly_expressed
?|10357	108.0147	?|10357	104.9436
?|10431	732.8431	?|10431	722.4631
?|155060	170.1681	?|155060	174.7615
?|57714	2721.6387	?|57714	980.4857
?|645851	12.9552	?|645851	7.8057
lowly_expressed	lowly_expressed	?|652919	28.4996
?|653553	359.5938	?|653553	199.4796
?|8225	633.7535	?|8225	688.6383
?|90288	19.958	?|90288	31.2229
A1BG|1	115.4937	A1BG|1	20.9714
A2LD1|87769	72.5175	A2LD1|87769	94.2281
lowly_expressed	lowly_expressed	A2ML1|144568	6.0711
A2M|2	4012.2514	A2M|2	39317.7884
A4GALT|53947	501.4006	A4GALT|53947	683.4345
AAAS|8086	622.549	AAAS|8086	619.6878
AACS|65985	770.6583	AACS|65985	691.2402
lowly_expressed	lowly_expressed	AADACL2|344752	6.5048
lowly_expressed	lowly_expressed	AADACL3|126767	13.4432
lowly_expressed	lowly_expressed	AADAC|13	264.0937
AADAT|51166	23.8095	AADAT|51166	68.5169
AAGAB|79719	2035.7143	AAGAB|79719	622.2897
AAK1|22848	1014.3557	AAK1|22848	1045.0997
AAMP|14	1702.381	AAMP|14	2107.5455
AARS2|57505	552.1218	AARS2|57505	320.902
AARSD1|80755	277.3109	AARSD1|80755	375.9757
AARS|16	3720.5882	AARS|16	3291.8474
AASDHPPT|60496	704.8319	AASDHPPT|60496	613.6167
AASDH|132949	373.9496	AASDH|132949	309.1934
AASS|10157	59.1737	AASS|10157	584.9957
AATF|26574	2109.5938	AATF|26574	840.85
AATK|9625	26.6106	AATK|9625	32.5239
ABAT|18	770.3081	ABAT|18	166.5221
lowly_expressed	lowly_expressed	ABCA10|10349	371.2056
ABCA11P|79963	67.5665	ABCA11P|79963	98.7467
ABCA12|26154	731.4426	ABCA12|26154	6.9384
ABCA1|19	690.8053	ABCA1|19	3461.7693
ABCA2|20	1450.9804	ABCA2|20	1784.4753
ABCA3|21	1582.6331	ABCA3|21	751.0841
ABCA4|24	13.3053	ABCA4|24	10.4076
ABCA5|23461	67.9272	ABCA5|23461	988.7251
ABCA6|23460	69.3277	ABCA6|23460	2100.6071
ABCA7|10347	332.6331	ABCA7|10347	336.9471
ABCA8|10351	107.493	ABCA8|10351	7999.5663
ABCA9|10350	67.9272	ABCA9|10350	2160.0173
ABCB10|23456	849.0896	ABCB10|23456	433.6513
lowly_expressed	lowly_expressed	ABCB11|8647	56.3747
ABCB1|5243	25.2101	ABCB1|5243	141.3703
ABCB4|5244	17.1569	ABCB4|5244	49.0026
lowly_expressed	lowly_expressed	ABCB5|340273	31.2229
ABCB6|10058	494.993	ABCB6|10058	761.9558
ABCB7|22	545.8683	ABCB7|22	486.1232
ABCB8|11194	804.972	ABCB8|11194	526.4527
ABCB9|23457	122.3704	ABCB9|23457	71.0624
ABCC10|89845	382.0028	ABCC10|89845	366.4354
ABCC11|85320	101.1905	lowly_expressed	lowly_expressed
ABCC13|150000	780.112	ABCC13|150000	6.5048
ABCC1|4363	1416.3165	ABCC1|4363	1450.1301
ABCC2|1244	46.5686	ABCC2|1244	22.9835
ABCC3|8714	272.0588	ABCC3|8714	501.301
ABCC4|10257	39.2157	ABCC4|10257	186.0364
ABCC5|10057	839.2857	ABCC5|10057	659.5837
lowly_expressed	lowly_expressed	ABCC6P1|653190	29.0546
ABCC6P2|730013	5.2521	ABCC6P2|730013	45.0997
ABCC6|368	10.8543	ABCC6|368	927.1466
ABCC8|6833	164.2157	lowly_expressed	lowly_expressed
ABCC9|10060	65.1261	ABCC9|10060	2304.8569
ABCD1|215	251.4006	ABCD1|215	666.5221
ABCD2|225	6.3025	ABCD2|225	1439.7225
ABCD3|5825	1389.3557	ABCD3|5825	974.4146
ABCD4|5826	302.521	ABCD4|5826	828.2741
ABCE1|6059	1813.0252	ABCE1|6059	1022.5499
ABCF1|23	1933.1232	ABCF1|23	1464.0069
ABCF2|10061	1586.4846	ABCF2|10061	986.5568
ABCF3|55324	809.8739	ABCF3|55324	874.2411
ABCG1|9619	514.7059	ABCG1|9619	374.2411
ABCG2|9429	35.3641	ABCG2|9429	171.7259
lowly_expressed	lowly_expressed	ABCG4|64137	6.5048
lowly_expressed	lowly_expressed	ABCG8|64241	13.8768
