gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
?|100133144	12.874	?|100133144	13.982
?|100134869	7.9712	?|100134869	15.7529
?|10357	87.0414	?|10357	111.7469
?|10431	968.0526	?|10431	514.7435
?|155060	148.0012	?|155060	234.575
?|390284	5.0029	lowly_expressed	lowly_expressed
?|57714	1269.8916	?|57714	1072.7678
?|645851	9.5888	?|645851	11.8939
?|652919	30.6383	lowly_expressed	lowly_expressed
?|653553	802.9584	?|653553	42.9504
?|729884	17.9269	lowly_expressed	lowly_expressed
?|8225	263.9006	?|8225	295.0359
?|90288	5.4198	?|90288	17.8409
A1BG|1	36.9252	A1BG|1	60.2494
A2LD1|87769	79.8081	A2LD1|87769	78.6586
A2ML1|144568	5.4198	lowly_expressed	lowly_expressed
A2M|2	17200.1893	A2M|2	24069.2921
A4GALT|53947	220.5426	A4GALT|53947	124.2257
AAAS|8086	827.1388	AAAS|8086	580.4906
AACS|65985	851.7362	AACS|65985	1084.001
AADAT|51166	77.9612	AADAT|51166	71.0333
AAGAB|79719	1557.5558	AAGAB|79719	1130.2552
AAK1|22848	1262.3873	AAK1|22848	1187.4122
AAMP|14	2032.4102	AAMP|14	1785.083
AARS2|57505	311.7279	AARS2|57505	454.5998
AARSD1|80755	394.8087	AARSD1|80755	573.8829
AARS|16	3543.6895	AARS|16	2311.0597
AASDHPPT|60496	609.9315	AASDHPPT|60496	1009.2806
AASDH|132949	284.329	AASDH|132949	563.6409
AASS|10157	185.9395	AASS|10157	908.2349
AATF|26574	988.4809	AATF|26574	845.1309
AATK|9625	37.5214	AATK|9625	40.968
ABAT|18	1107.7157	ABAT|18	673.3295
ABCA10|10349	50.4455	ABCA10|10349	374.6593
ABCA11P|79963	77.6235	ABCA11P|79963	172.6935
ABCA12|26154	30.0171	ABCA12|26154	14.2067
lowly_expressed	lowly_expressed	ABCA13|154664	94.1604
lowly_expressed	lowly_expressed	ABCA17P|650655	6.6077
ABCA1|19	993.4713	ABCA1|19	1426.8902
ABCA2|20	907.6014	ABCA2|20	1218.4687
ABCA3|21	1579.2348	ABCA3|21	1356.901
ABCA4|24	46.2764	ABCA4|24	44.2719
ABCA5|23461	431.0794	ABCA5|23461	1200.2973
ABCA6|23460	223.8778	ABCA6|23460	581.1514
ABCA7|10347	270.988	ABCA7|10347	174.1141
ABCA8|10351	334.3575	ABCA8|10351	1010.655
ABCA9|10350	293.084	ABCA9|10350	1105.8066
ABCB10|23456	466.9332	ABCB10|23456	523.3336
ABCB1|5243	102.9754	ABCB1|5243	635.3349
ABCB4|5244	33.7693	ABCB4|5244	11.5636
ABCB5|340273	15.0086	ABCB5|340273	71.6941
ABCB6|10058	419.4186	ABCB6|10058	383.8242
ABCB7|22	395.2256	ABCB7|22	627.4056
ABCB8|11194	698.7322	ABCB8|11194	229.9496
ABCB9|23457	188.6243	ABCB9|23457	120.7235
ABCC10|89845	472.353	ABCC10|89845	379.2847
ABCC11|85320	5032.456	ABCC11|85320	58.4786
ABCC12|94160	88.8007	lowly_expressed	lowly_expressed
ABCC13|150000	27.0988	lowly_expressed	lowly_expressed
ABCC1|4363	1598.8293	ABCC1|4363	861.3199
lowly_expressed	lowly_expressed	ABCC2|1244	9.2508
ABCC3|8714	1127.7271	ABCC3|8714	594.0365
ABCC4|10257	262.6499	ABCC4|10257	115.6356
