gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
?|10357	103.6319	?|10357	87.5819
?|10431	1232.5932	?|10431	1115.0294
?|155060	61.7237	?|155060	187.2376
?|390284	8.28	?|390284	14.6935
?|553137	9.0327	lowly_expressed	lowly_expressed
?|57714	380.5043	?|57714	136.44
?|652919	42.7362	lowly_expressed	lowly_expressed
?|653553	305.9842	?|653553	240.5542
?|729884	8.28	?|729884	26.0285
?|8225	497.1773	?|8225	713.2662
?|90288	176.5149	?|90288	49.1184
A1BG|1	445.7885	A1BG|1	118.8161
lowly_expressed	lowly_expressed	A2BP1|54715	6.2972
A2LD1|87769	55.6455	A2LD1|87769	112.0319
lowly_expressed	lowly_expressed	A2ML1|144568	36.5239
A2M|2	9052.2958	A2M|2	40845.7431
A4GALT|53947	558.901	A4GALT|53947	612.5105
AAAS|8086	823.8615	AAAS|8086	813.602
AACS|65985	811.4415	AACS|65985	1361.461
lowly_expressed	lowly_expressed	AADAC|13	10.0756
AADAT|51166	7.9037	AADAT|51166	27.7078
AAGAB|79719	2170.493	AAGAB|79719	1329.9748
AAK1|22848	904.0271	AAK1|22848	1018.0521
AAMP|14	3255.9277	AAMP|14	2801.0076
AARS2|57505	440.3463	AARS2|57505	433.6608
AARSD1|80755	646.5939	AARSD1|80755	659.11
AARS|16	2590.5156	AARS|16	3531.4861
AASDHPPT|60496	666.5412	AASDHPPT|60496	481.9479
AASDH|132949	311.6297	AASDH|132949	316.9605
AASS|10157	71.5092	AASS|10157	594.0386
AATF|26574	1417.7644	AATF|26574	1370.2771
AATK|9625	24.84	AATK|9625	62.9723
ABAT|18	2026.7219	ABAT|18	808.1444
lowly_expressed	lowly_expressed	ABCA10|10349	157.8505
ABCA11P|79963	80.8845	ABCA11P|79963	110.5793
ABCA12|26154	345.1261	ABCA12|26154	6.2972
lowly_expressed	lowly_expressed	ABCA13|154664	16.7926
ABCA17P|650655	9.0327	ABCA17P|650655	12.5945
ABCA1|19	205.8713	ABCA1|19	588.0479
ABCA2|20	1634.5502	ABCA2|20	1394.6264
ABCA3|21	5938.6526	ABCA3|21	903.4425
ABCA4|24	20.7	ABCA4|24	123.8455
ABCA5|23461	232.2168	ABCA5|23461	470.1931
ABCA6|23460	28.2273	ABCA6|23460	408.4803
ABCA7|10347	370.3425	ABCA7|10347	280.8564
ABCA8|10351	57.2074	ABCA8|10351	1013.4341
ABCA9|10350	10.1618	ABCA9|10350	362.3006
ABCB10|23456	345.5024	ABCB10|23456	173.3837
ABCB1|5243	22.9582	ABCB1|5243	306.885
ABCB4|5244	12.7964	ABCB4|5244	21.4106
lowly_expressed	lowly_expressed	ABCB5|340273	118.8077
ABCB6|10058	468.8069	ABCB6|10058	589.0554
ABCB7|22	579.2247	ABCB7|22	514.2737
ABCB8|11194	838.1633	ABCB8|11194	392.1075
ABCB9|23457	382.8303	ABCB9|23457	131.4316
ABCC10|89845	331.577	ABCC10|89845	303.9463
ABCC11|85320	343.6206	ABCC11|85320	91.0999
ABCC1|4363	1102.7475	ABCC1|4363	847.6071
lowly_expressed	lowly_expressed	ABCC2|1244	6.717
ABCC3|8714	820.0979	ABCC3|8714	515.5332
ABCC4|10257	68.4983	ABCC4|10257	94.4584
ABCC5|10057	1622.883	ABCC5|10057	905.5416
ABCC6P1|653190	6.7746	ABCC6P1|653190	15.1134
ABCC6P2|730013	144.9003	ABCC6P2|730013	55.8354
ABCC6|368	210.3877	ABCC6|368	303.9463
ABCC8|6833	36.8837	ABCC8|6833	40.7221
ABCC9|10060	181.4076	ABCC9|10060	298.9085
ABCD1|215	287.166	ABCD1|215	315.7011
ABCD2|225	12.7964	ABCD2|225	115.869
ABCD3|5825	4798.6451	ABCD3|5825	1322.838
ABCD4|5826	271.3587	ABCD4|5826	678.4215
ABCE1|6059	1126.082	ABCE1|6059	827.0361
ABCF1|23	3042.9055	ABCF1|23	1694.3745
ABCF2|10061	1212.6458	ABCF2|10061	1234.2569
ABCF3|55324	1404.2153	ABCF3|55324	1201.0915
ABCG1|9619	2812.5706	ABCG1|9619	866.9186
ABCG2|9429	19.9473	ABCG2|9429	150.2939
ABHD10|55347	899.1344	ABHD10|55347	748.5306
ABHD11|83451	1511.8555	ABHD11|83451	423.1738
lowly_expressed	lowly_expressed	ABHD12B|145447	6.2972
ABHD12|26090	1707.1886	ABHD12|26090	1241.8136
ABHD13|84945	315.3933	ABHD13|84945	306.885
ABHD14A|25864	161.0839	ABHD14A|25864	467.2292
ABHD14B|84836	900.2635	ABHD14B|84836	2374.4752
ABHD15|116236	305.9842	ABHD15|116236	500.4198
ABHD1|84696	42.9055	ABHD1|84696	44.9202
ABHD2|11057	16892.7362	ABHD2|11057	2309.4039
ABHD3|171586	396.688	ABHD3|171586	210.3275
ABHD4|63874	1100.4893	ABHD4|63874	1343.8287
ABHD5|51099	394.4298	ABHD5|51099	678.8413
ABHD6|57406	54.9492	ABHD6|57406	266.1629
ABHD8|79575	543.8464	ABHD8|79575	280.0168
ABI1|10006	1244.2604	ABI1|10006	1041.9815
ABI2|10152	917.5762	ABI2|10152	1367.7582
ABI3BP|25890	100.1129	ABI3BP|25890	721.6625
ABI3|51225	198.7204	ABI3|51225	239.2947
ABL1|25	1558.901	ABL1|25	1916.4568
ABL2|27	812.5706	ABL2|27	488.665
ABLIM1|3983	1010.5382	ABLIM1|3983	5662.4685
ABLIM2|84448	78.2838	ABLIM2|84448	95.2981
ABLIM3|22885	2211.1404	ABLIM3|22885	2559.6138
lowly_expressed	lowly_expressed	ABO|28	24.3493
lowly_expressed	lowly_expressed	ABP1|26	7.5567
ABR|29	1825.367	ABR|29	2614.6096
ABT1|29777	750.8468	ABT1|29777	747.2712
ABTB1|80325	413.6244	ABTB1|80325	1008.3963
ABTB2|25841	25.9691	ABTB2|25841	52.8967
ACAA1|30	519.0064	ACAA1|30	1903.0227
ACAA2|10449	315.3933	ACAA2|10449	2446.6835
ACACA|31	1821.6033	ACACA|31	2401.7632
ACACB|32	954.8363	ACACB|32	4338.7909
ACAD10|80724	515.2428	ACAD10|80724	526.8682
ACAD11|84129	407.1923	ACAD11|84129	617.5483
ACAD8|27034	371.0952	ACAD8|27034	602.8547
ACAD9|28976	1010.1618	ACAD9|28976	1260.7053
lowly_expressed	lowly_expressed	ACADL|33	130.5626
ACADM|34	1033.4964	ACADM|34	1079.3451
ACADSB|36	6901.7689	ACADSB|36	2568.4299
ACADS|35	246.1423	ACADS|35	1272.8799
ACADVL|37	4447.8698	ACADVL|37	8442.8505
ACAN|176	92.2093	ACAN|176	21.8304
ACAP1|9744	64.3583	ACAP1|9744	82.2838
ACAP2|23527	969.1381	ACAP2|23527	639.7985
ACAP3|116983	328.5773	ACAP3|116983	383.7238
ACAT1|38	1510.7264	ACAT1|38	2646.9353
ACAT2|39	407.8058	ACAT2|39	474.5424
ACBD3|64746	1937.5235	ACBD3|64746	709.9076
ACBD4|79777	430.5608	ACBD4|79777	417.2964
ACBD5|91452	809.5597	ACBD5|91452	500
ACBD6|84320	567.9338	ACBD6|84320	496.2217
ACBD7|414149	99.3602	ACBD7|414149	30.2267
