gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
lowly_expressed	lowly_expressed	?|100133144	15.912
?|100134869	6.3006	lowly_expressed	lowly_expressed
?|10357	116.9442	?|10357	70.3578
?|10431	1318.1818	?|10431	868.6147
?|155060	56.2556	?|155060	169.9337
?|390284	10.351	lowly_expressed	lowly_expressed
?|57714	648.9649	?|57714	620.8555
?|652919	20.189	?|652919	23.5517
?|653553	777.2277	?|653553	175.7633
?|729884	55.8056	?|729884	392.917
?|8225	421.6922	?|8225	480.9444
?|90288	6.7507	?|90288	30.6056
A1BG|1	289.0684	A1BG|1	75.5637
A2LD1|87769	52.5338	A2LD1|87769	103.6071
A2ML1|144568	53.5554	A2ML1|144568	9.6189
A2M|2	31726.3591	A2M|2	24328.4151
A4GALT|53947	501.8002	A4GALT|53947	481.8188
AAAS|8086	726.8227	AAAS|8086	575.3844
AACS|65985	1077.4077	AACS|65985	16327.9166
AADACL2|344752	5.4005	lowly_expressed	lowly_expressed
AADAC|13	17.1017	AADAC|13	31.48
AADAT|51166	29.703	AADAT|51166	378.6344
AAGAB|79719	1732.6733	AAGAB|79719	1494.7169
AAK1|22848	831.2331	AAK1|22848	1106.1721
AAMP|14	2381.6382	AAMP|14	2183.1961
AARS2|57505	364.9865	AARS2|57505	468.9412
AARSD1|80755	364.9865	AARSD1|80755	485.3166
AARS|16	2052.6553	lowly_expressed	lowly_expressed
AASDHPPT|60496	589.1089	AASDHPPT|60496	904.1755
AASDH|132949	224.1224	AASDH|132949	448.007
AASS|10157	279.0279	AASS|10157	411.2803
AATF|26574	980.198	AATF|26574	891.0588
AATK|9625	62.1062	AATK|9625	68.4981
ABAT|18	907.7408	ABAT|18	2209.7209
ABCA10|10349	9.0009	ABCA10|10349	153.9022
ABCA11P|79963	95.2835	ABCA11P|79963	127.1005
ABCA12|26154	24.3024	ABCA12|26154	3008.6716
ABCA13|154664	24.7525	ABCA13|154664	27.9822
lowly_expressed	lowly_expressed	ABCA17P|650655	9.3274
ABCA1|19	763.7264	ABCA1|19	794.2374
ABCA2|20	1097.6598	ABCA2|20	1239.3791
ABCA3|21	579.2079	ABCA3|21	4340.1589
ABCA4|24	45.9046	ABCA4|24	237.2659
ABCA5|23461	155.7156	ABCA5|23461	909.7136
ABCA6|23460	214.2214	ABCA6|23460	270.4948
ABCA7|10347	237.6238	lowly_expressed	lowly_expressed
ABCA8|10351	280.378	ABCA8|10351	615.6088
ABCA9|10350	184.0684	ABCA9|10350	344.2396
ABCB10|23456	391.9892	ABCB10|23456	424.397
ABCB1|5243	245.2745	ABCB1|5243	388.8363
ABCB4|5244	23.8524	ABCB4|5244	9.6189
lowly_expressed	lowly_expressed	ABCB5|340273	13.1167
ABCB6|10058	590.3825	ABCB6|10058	1062.6044
ABCB7|22	345.1845	ABCB7|22	508.0522
ABCB8|11194	732.2232	ABCB8|11194	565.1825
ABCB9|23457	154.1494	ABCB9|23457	96.5037
ABCC10|89845	327.6328	ABCC10|89845	364.3518
ABCC11|85320	526.5527	ABCC11|85320	13438.7525
lowly_expressed	lowly_expressed	ABCC12|94160	150.6959
ABCC13|150000	11.2511	lowly_expressed	lowly_expressed
ABCC1|4363	973.4473	ABCC1|4363	1810.3913
lowly_expressed	lowly_expressed	ABCC2|1244	728.1207
ABCC3|8714	1218.7219	ABCC3|8714	621.7299
ABCC4|10257	241.2241	ABCC4|10257	1561.4662
ABCC5|10057	1328.0828	ABCC5|10057	564.3081
lowly_expressed	lowly_expressed	ABCC6P1|653190	9.6189
lowly_expressed	lowly_expressed	ABCC6P2|730013	33.8118
ABCC6|368	5.8506	ABCC6|368	76.0767
ABCC8|6833	16.2016	ABCC8|6833	461.7066
ABCC9|10060	549.955	ABCC9|10060	173.4315
ABCD1|215	550.405	ABCD1|215	363.7689
ABCD2|225	45.0045	ABCD2|225	10.4933
ABCD3|5825	1112.9613	ABCD3|5825	3186.1838
ABCD4|5826	403.2403	ABCD4|5826	607.1559
ABCE1|6059	1302.4302	ABCE1|6059	1697.2965
ABCF1|23	1751.1251	ABCF1|23	1492.0936
ABCF2|10061	1202.5203	ABCF2|10061	1304.9625
ABCF3|55324	1644.9145	ABCF3|55324	968.8844
ABCG1|9619	1437.4437	ABCG1|9619	596.0796
ABCG2|9429	122.8623	ABCG2|9429	151.8618
ABHD10|55347	560.7561	ABHD10|55347	564.3081
ABHD11|83451	1245.7246	ABHD11|83451	1114.6251
ABHD12|26090	2193.0693	ABHD12|26090	1286.8906
