gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
?|100133144	24.8023	?|100133144	17.8387
?|100134869	14.4194	?|100134869	8.6263
?|10357	69.3267	?|10357	77.8418
?|10431	805.1266	?|10431	606.1752
?|155060	83.076	?|155060	259.9244
?|390284	5.559	?|390284	10.712
?|57714	933.601	?|57714	1015.753
?|645851	16.0593	?|645851	13.2325
lowly_expressed	lowly_expressed	?|652919	38.5444
?|653553	432.6745	?|653553	107.7505
?|729884	209.3885	?|729884	5.9861
?|8225	330.4509	?|8225	386.2634
lowly_expressed	lowly_expressed	?|90288	18.2735
A1BG|1	39.4132	A1BG|1	92.2653
A2LD1|87769	42.8721	A2LD1|87769	67.5929
A2ML1|144568	6536.4422	A2ML1|144568	38.7524
A2M|2	6590.9759	A2M|2	44057.196
A4GALT|53947	830.4509	A4GALT|53947	483.9319
AAAS|8086	428.6597	AAAS|8086	625.3938
AACSL|729522	33.6628	lowly_expressed	lowly_expressed
AACS|65985	1278.8758	AACS|65985	913.6736
AADACL2|344752	9.5738	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AADAC|13	41.903
AADAT|51166	146.6955	AADAT|51166	76.5595
AAGAB|79719	1681.2847	AAGAB|79719	1086.0113
AAK1|22848	866.2755	AAK1|22848	1377.1267
AAMP|14	2756.0222	AAMP|14	1885.0032
AARS2|57505	376.0964	AARS2|57505	443.891
AARSD1|80755	436.0716	AARSD1|80755	468.494
AARS|16	5565.4725	AARS|16	2736.61
AASDHPPT|60496	953.6751	AASDHPPT|60496	817.5803
AASDH|132949	229.4626	AASDH|132949	378.702
AASS|10157	193.3292	AASS|10157	840.5797
AATF|26574	1301.4206	AATF|26574	892.2495
AATK|9625	24.3978	AATK|9625	54.1903
ABAT|18	145.1513	ABAT|18	602.0794
lowly_expressed	lowly_expressed	ABCA10|10349	610.586
ABCA11P|79963	82.8505	ABCA11P|79963	133.1632
ABCA12|26154	3982.7054	ABCA12|26154	37.1771
ABCA13|154664	37.3687	ABCA13|154664	30.5608
lowly_expressed	lowly_expressed	ABCA17P|650655	5.6711
ABCA1|19	2276.6553	ABCA1|19	2585.5986
ABCA2|20	1135.5775	ABCA2|20	1377.4417
ABCA3|21	613.3416	ABCA3|21	982.3566
lowly_expressed	lowly_expressed	ABCA4|24	65.5325
ABCA5|23461	139.9012	ABCA5|23461	932.2621
ABCA6|23460	40.4571	ABCA6|23460	912.4134
ABCA7|10347	334.7746	ABCA7|10347	395.7152
ABCA8|10351	8.9561	ABCA8|10351	2057.656
ABCA9|10350	25.6331	ABCA9|10350	999.3699
ABCB10|23456	576.5905	ABCB10|23456	496.2193
lowly_expressed	lowly_expressed	ABCB11|8647	9.1367
ABCB1|5243	33.0451	ABCB1|5243	616.8872
ABCB4|5244	16.677	ABCB4|5244	26.465
lowly_expressed	lowly_expressed	ABCB5|340273	306.2382
ABCB6|10058	1184.4719	ABCB6|10058	425.2048
ABCB7|22	585.2378	lowly_expressed	lowly_expressed
ABCB8|11194	464.7931	ABCB8|11194	421.235
ABCB9|23457	170.3057	ABCB9|23457	147.0038
ABCC10|89845	420.63	ABCC10|89845	364.5243
lowly_expressed	lowly_expressed	ABCC11|85320	79.3951
ABCC1|4363	1504.0148	ABCC1|4363	1127.2842
lowly_expressed	lowly_expressed	ABCC2|1244	18.2735
ABCC3|8714	317.7888	ABCC3|8714	1084.7511
ABCC4|10257	105.3119	ABCC4|10257	241.3359
ABCC5|10057	1020.0741	ABCC5|10057	1131.0649
lowly_expressed	lowly_expressed	ABCC6P1|653190	6.9313
lowly_expressed	lowly_expressed	ABCC6P2|730013	9.4518
lowly_expressed	lowly_expressed	ABCC6|368	162.8859
lowly_expressed	lowly_expressed	ABCC8|6833	134.8456
ABCC9|10060	88.9438	ABCC9|10060	951.4808
ABCD1|215	785.979	ABCD1|215	233.4594
ABCD2|225	14.824	ABCD2|225	165.4064
ABCD3|5825	2302.3471	ABCD3|5825	1625.0788
ABCD4|5826	562.0754	ABCD4|5826	703.8437
ABCE1|6059	2156.887	ABCE1|6059	1531.1909
ABCF1|23	1995.6763	ABCF1|23	1528.0403
