gene_id	TCGA-BH-A0DO-01B-11R-A12D-07	gene_id	TCGA-BH-A0DO-11A-22R-A12D-07
?|100133144	11.6581	?|100133144	16.7685
?|100134869	6.2381	?|100134869	12.2613
?|10357	62.3192	?|10357	79.2781
?|10431	868.5172	?|10431	552.712
?|155060	206.7202	?|155060	220.0153
?|390284	8.4003	?|390284	12.605
?|57714	437.9109	?|57714	523.6822
?|645851	9.496	?|645851	14.1329
?|652919	24.1052	?|652919	43.4263
?|653553	135.1351	?|653553	79.8319
?|8225	414.5362	?|8225	454.5455
?|90288	35.0621	?|90288	12.605
A1BG|1	118.4405	A1BG|1	93.8235
A2LD1|87769	92.805	A2LD1|87769	84.0947
lowly_expressed	lowly_expressed	A2ML1|144568	11.4591
A2M|2	17903.8276	A2M|2	24793.56
A4GALT|53947	303.8714	A4GALT|53947	192.8953
AAAS|8086	626.0044	AAAS|8086	611.5355
AACS|65985	1279.0358	AACS|65985	1328.877
lowly_expressed	lowly_expressed	AADAC|13	9.9312
AADAT|51166	24.8356	AADAT|51166	86.7074
AAGAB|79719	1823.2286	AAGAB|79719	987.013
AAK1|22848	1251.6435	AAK1|22848	1043.9267
AAMP|14	2205.2593	AAMP|14	1874.7135
AARS2|57505	351.6983	AARS2|57505	343.3843
AARSD1|80755	377.6479	AARSD1|80755	442.3224
AARS|16	1742.1476	AARS|16	2141.3293
AASDHPPT|60496	1190.6501	AASDHPPT|60496	1014.5149
AASDH|132949	318.8459	AASDH|132949	445.7601
AASS|10157	288.897	AASS|10157	602.3682
AATF|26574	896.6399	AATF|26574	778.4568
AATK|9625	43.0972	AATK|9625	62.2918
ABAT|18	4603.7253	ABAT|18	541.6348
ABCA10|10349	57.3411	ABCA10|10349	453.3995
ABCA11P|79963	119.401	ABCA11P|79963	158.1665
ABCA12|26154	65.011	ABCA12|26154	49.2743
ABCA13|154664	21.1833	ABCA13|154664	22.5363
ABCA17P|650655	11.6874	ABCA17P|650655	8.7853
ABCA1|19	793.2469	ABCA1|19	773.3919
ABCA2|20	1159.2403	ABCA2|20	1532.4675
ABCA3|21	979.1819	ABCA3|21	1161.9557
ABCA4|24	89.8466	ABCA4|24	57.2956
ABCA5|23461	287.0709	ABCA5|23461	1138.6555
ABCA6|23460	92.038	ABCA6|23460	541.6348
ABCA7|10347	394.4485	ABCA7|10347	305.9587
ABCA8|10351	225.7122	ABCA8|10351	1047.3644
ABCA9|10350	66.1066	ABCA9|10350	698.6249
ABCB10|23456	577.794	ABCB10|23456	451.4897
lowly_expressed	lowly_expressed	ABCB11|8647	5.7296
ABCB1|5243	249.0869	ABCB1|5243	896.4859
ABCB4|5244	18.992	ABCB4|5244	14.1329
ABCB5|340273	7.3046	ABCB5|340273	64.1711
ABCB6|10058	215.5004	ABCB6|10058	380.4507
ABCB7|22	565.011	ABCB7|22	603.5141
ABCB8|11194	841.1249	ABCB8|11194	313.9801
ABCB9|23457	103.7473	ABCB9|23457	159.7288
ABCC10|89845	334.1855	ABCC10|89845	348.3575
ABCC11|85320	421.4755	ABCC11|85320	398.3957
ABCC1|4363	1018.6267	ABCC1|4363	1030.5577
ABCC2|1244	8.4003	ABCC2|1244	9.1673
ABCC3|8714	307.5237	ABCC3|8714	348.7395
ABCC4|10257	71.9503	ABCC4|10257	108.0978
ABCC5|10057	538.3492	ABCC5|10057	770.4354
lowly_expressed	lowly_expressed	ABCC6P1|653190	7.6394
ABCC6P2|730013	19.3572	ABCC6P2|730013	32.0856
ABCC6|368	257.122	ABCC6|368	250.9549
ABCC8|6833	191.3806	ABCC8|6833	110.7716
ABCC9|10060	284.149	ABCC9|10060	402.9794
ABCD1|215	215.1205	ABCD1|215	150.1146
ABCD2|225	16.8006	ABCD2|225	92.8189
ABCD3|5825	3806.0628	ABCD3|5825	1704.3545
ABCD4|5826	480.6428	ABCD4|5826	570.2827
ABCE1|6059	1496.3477	ABCE1|6059	1875.0955
ABCF1|23	1278.6706	ABCF1|23	1237.9679
ABCF2|10061	1420.3798	ABCF2|10061	914.0565
ABCF3|55324	837.4726	ABCF3|55324	817.4179
ABCG1|9619	245.7999	ABCG1|9619	280.7487
ABCG2|9429	91.6728	ABCG2|9429	601.9862
ABHD10|55347	646.092	ABHD10|55347	778.0749
ABHD11|83451	799.1234	ABHD11|83451	427.4255
ABHD12B|145447	56.2454	lowly_expressed	lowly_expressed
ABHD12|26090	965.6684	ABHD12|26090	787.2422
ABHD13|84945	501.0957	ABHD13|84945	655.8442
ABHD14A|25864	257.4872	ABHD14A|25864	236.4286
ABHD14B|84836	1346.6034	ABHD14B|84836	2891.5202
ABHD15|116236	262.6004	ABHD15|116236	306.3407
ABHD1|84696	17.531	ABHD1|84696	22.5363
ABHD2|11057	5543.4624	ABHD2|11057	3863.6364
ABHD3|171586	887.8744	ABHD3|171586	197.479
ABHD4|63874	659.6056	ABHD4|63874	818.1818
ABHD5|51099	605.1863	ABHD5|51099	1057.2956
ABHD6|57406	91.3075	ABHD6|57406	167.6853
ABHD8|79575	239.2257	ABHD8|79575	201.6807
ABI1|10006	1367.6771	ABI1|10006	1728.602
ABI2|10152	1410.1534	ABI2|10152	2134.0718
ABI3BP|25890	402.1183	ABI3BP|25890	754.3927
ABI3|51225	137.3265	ABI3|51225	144.385
ABL1|25	2222.7904	ABL1|25	2361.7265
ABL2|27	1224.6165	ABL2|27	933.919
ABLIM1|3983	3460.1899	ABLIM1|3983	5702.4446
ABLIM2|84448	128.561	ABLIM2|84448	53.8579
ABLIM3|22885	410.5186	ABLIM3|22885	783.0405
ABO|28	9.1308	ABO|28	31.7036
ABR|29	2150.4748	ABR|29	1922.8419
ABT1|29777	414.9014	ABT1|29777	657.372
ABTB1|80325	408.3272	ABTB1|80325	472.4981
ABTB2|25841	37.6187	ABTB2|25841	140.5653
ACAA1|30	1202.3375	ACAA1|30	982.4293
ACAA2|10449	1219.8685	ACAA2|10449	1674.1788
ACACA|31	2605.5515	ACACA|31	2152.0244
ACACB|32	579.2549	ACACB|32	1761.2681
ACAD10|80724	572.6808	ACAD10|80724	610.7716
ACAD11|84129	367.3923	ACAD11|84129	535.8938
ACAD8|27034	1672.7538	ACAD8|27034	665.0115
ACAD9|28976	692.111	ACAD9|28976	757.0588
ACADL|33	11.3221	ACADL|33	38.5791
ACADM|34	1744.7042	ACADM|34	1157.754
ACADSB|36	2746.1651	ACADSB|36	2083.6516
ACADS|35	368.8824	ACADS|35	477.0817
ACADVL|37	4360.347	ACADVL|37	5209.9427
ACAN|176	6.9394	ACAN|176	9.5493
ACAP1|9744	50.4018	ACAP1|9744	108.8617
ACAP2|23527	1191.0153	ACAP2|23527	1702.0626
ACAP3|116983	477.7831	ACAP3|116983	433.984
ACAT1|38	1340.3944	ACAT1|38	1121.4668
ACAT2|39	439.5179	ACAT2|39	542.6241
ACBD3|64746	2608.8386	ACBD3|64746	1449.1979
ACBD4|79777	214.0248	ACBD4|79777	268.1436
ACBD5|91452	947.0416	ACBD5|91452	752.8648
ACBD6|84320	506.5741	ACBD6|84320	393.4301
ACBD7|414149	23.0095	ACBD7|414149	79.068
lowly_expressed	lowly_expressed	ACCN1|40	5.7296
ACCN2|41	47.1147	ACCN2|41	353.3231
ACCN3|9311	32.5055	ACCN3|9311	14.8969
ACCS|84680	514.244	ACCS|84680	537.8151
ACD|65057	233.0168	ACD|65057	386.9366
lowly_expressed	lowly_expressed	ACE2|59272	23.6822
ACER2|340485	130.7524	ACER2|340485	169.9771
ACER3|55331	542.0015	ACER3|55331	335.7525
ACE|1636	834.1855	ACE|1636	509.9312
ACHE|43	17.1658	ACHE|43	47.7464
ACIN1|22985	3357.5603	ACIN1|22985	2696.715
ACLY|47	3832.3594	ACLY|47	2512.2231
ACMSD|130013	29.2184	lowly_expressed	lowly_expressed
ACN9|57001	82.1768	ACN9|57001	168.4492
ACO1|48	999.6348	ACO1|48	1427.8075
ACO2|50	2453.4551	ACO2|50	2008.2124
ACOT11|26027	9.3499	ACOT11|26027	41.1192
ACOT13|55856	352.3338	ACOT13|55856	433.2735
ACOT1|641371	438.2761	ACOT1|641371	524.8281
ACOT2|10965	263.6961	ACOT2|10965	309.0145
ACOT4|122970	185.9021	ACOT4|122970	94.7288
ACOT7|11332	948.5026	ACOT7|11332	160.8098
ACOT8|10005	251.1066	ACOT8|10005	201.356
ACOT9|23597	299.1234	ACOT9|23597	322.3835
ACOX1|51	1200.3068	ACOX1|51	1666.5393
ACOX2|8309	209.6421	ACOX2|8309	253.6287
ACOX3|8310	689.9196	ACOX3|8310	562.2613
ACP1|52	1586.1943	ACP1|52	1581.7418
ACP2|53	1112.8561	ACP2|53	712.7578
ACP5|54	910.8839	ACP5|54	623.3766
ACP6|51205	348.7947	ACP6|51205	270.0535
ACPL2|92370	484.6603	ACPL2|92370	411.7647
ACPP|55	80.7159	ACPP|55	21.3904
ACRBP|84519	7.6698	ACRBP|84519	11.0772
ACRC|93953	12.7831	ACRC|93953	19.4805
lowly_expressed	lowly_expressed	ACR|49	9.9312
lowly_expressed	lowly_expressed	ACSBG1|23205	15.2788
lowly_expressed	lowly_expressed	ACSBG2|81616	5.7296
ACSF2|80221	892.2571	ACSF2|80221	825.0573
ACSF3|197322	268.4441	ACSF3|197322	339.9542
ACSL1|2180	1625.6392	ACSL1|2180	5380.8251
ACSL3|2181	3251.2783	ACSL3|2181	4400.6875
ACSL4|2182	570.1242	ACSL4|2182	1368.22
ACSL5|51703	439.737	ACSL5|51703	972.1161
lowly_expressed	lowly_expressed	ACSL6|23305	13.751
ACSM1|116285	17.1658	ACSM1|116285	29.4118
ACSM3|6296	64.9927	ACSM3|6296	179.2361
ACSM5|54988	21.9138	ACSM5|54988	56.1497
ACSS1|84532	734.1125	ACSS1|84532	1156.6081
ACSS2|55902	750.5478	ACSS2|55902	1359.4347
ACSS3|79611	305.3324	ACSS3|79611	334.9885
ACTA2|59	11228.7509	ACTA2|59	31803.3346
lowly_expressed	lowly_expressed	ACTBL2|345651	8.0214
ACTB|60	57216.9467	ACTB|60	68797.1734
ACTG1|71	55498.5391	ACTG1|71	57880.8251
ACTG2|72	746.5303	ACTG2|72	4235.2941
ACTL6A|86	757.8524	ACTL6A|86	815.1261
ACTN1|87	4900.2922	ACTN1|87	7871.6578
ACTN4|81	9349.0796	ACTN4|81	11422.1429
ACTR10|55860	948.8678	ACTR10|55860	1113.4454
ACTR1A|10121	2020.0877	ACTR1A|10121	1860.9626
ACTR1B|10120	989.4083	ACTR1B|10120	1480.1375
ACTR2|10097	5312.2717	ACTR2|10097	4980.1375
ACTR3B|57180	224.2513	ACTR3B|57180	352.9412
ACTR3C|653857	29.9489	ACTR3C|653857	46.9824
ACTR3|10096	3168.7363	ACTR3|10096	2608.8617
ACTR5|79913	197.5895	ACTR5|79913	218.8694
ACTR6|64431	634.0394	ACTR6|64431	701.6807
ACTR8|93973	505.4785	ACTR8|93973	538.1971
ACVR1B|91	1845.8729	ACVR1B|91	1580.5959
ACVR1C|130399	57.7064	ACVR1C|130399	234.1482
ACVR1|90	1052.5931	ACVR1|90	1161.1917
ACVR2A|92	434.989	ACVR2A|92	782.6585
ACVR2B|93	455.8072	ACVR2B|93	568.3728
