gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
?|100133144	8.1612	?|100133144	8.3216
lowly_expressed	lowly_expressed	?|100134869	6.9443
?|10357	51.7017	?|10357	86.1097
?|10431	565.3665	?|10431	698.4989
?|155060	160.3086	?|155060	185.9045
lowly_expressed	lowly_expressed	?|390284	5.4279
?|57714	580.3686	?|57714	563.8199
lowly_expressed	lowly_expressed	?|645851	9.838
lowly_expressed	lowly_expressed	?|652919	40.2341
?|653553	90.8701	?|653553	94.6485
lowly_expressed	lowly_expressed	?|729884	10.8557
?|8225	490.3558	?|8225	496.3107
?|90288	100.3	?|90288	22.39
A1BG|1	173.279	A1BG|1	103.0617
A2LD1|87769	46.7938	A2LD1|87769	75.0301
lowly_expressed	lowly_expressed	A2ML1|144568	11.5342
A2M|2	14272.126	A2M|2	32724.4983
A4GALT|53947	419.2027	A4GALT|53947	239.5047
AAAS|8086	578.2255	AAAS|8086	665.5924
AACS|65985	791.6845	AACS|65985	979.0518
AADAT|51166	27.0039	AADAT|51166	48.1723
AAGAB|79719	1008.5727	AAGAB|79719	1676.8722
AAK1|22848	867.1239	AAK1|22848	953.9479
AAMP|14	2489.4985	AAMP|14	2165.7196
AARS2|57505	328.3326	AARS2|57505	444.0539
AARSD1|80755	501.9288	AARSD1|80755	461.7081
AARS|16	1858.9799	AARS|16	2556.8654
AASDHPPT|60496	1065.1522	AASDHPPT|60496	721.5232
AASDH|132949	283.3262	AASDH|132949	440.3358
AASS|10157	643.8063	AASS|10157	691.0355
AATF|26574	1542.6489	AATF|26574	1081.5028
AATK|9625	44.5778	AATK|9625	58.6888
ABAT|18	2869.6957	ABAT|18	1164.6171
ABCA10|10349	10.2872	ABCA10|10349	104.8257
ABCA11P|79963	89.2842	ABCA11P|79963	171.6597
ABCA12|26154	350.6215	ABCA12|26154	154.6943
ABCA13|154664	9.0013	ABCA13|154664	55.2964
ABCA17P|650655	20.5744	ABCA17P|650655	8.1418
ABCA1|19	783.5234	ABCA1|19	842.9853
ABCA2|20	1225.8894	ABCA2|20	1520.821
ABCA3|21	1645.5208	ABCA3|21	781.6131
ABCA4|24	317.6168	ABCA4|24	456.9587
ABCA5|23461	149.5928	ABCA5|23461	774.8283
ABCA6|23460	103.3005	ABCA6|23460	384.361
ABCA7|10347	187.3125	ABCA7|10347	202.1881
ABCA8|10351	114.4449	ABCA8|10351	801.2891
ABCA9|10350	42.8633	ABCA9|10350	254.0921
ABCB10|23456	714.9593	ABCB10|23456	324.9936
ABCB1|5243	63.009	ABCB1|5243	412.518
ABCB4|5244	30.8616	ABCB4|5244	14.5874
lowly_expressed	lowly_expressed	ABCB5|340273	5.0886
ABCB6|10058	330.6944	ABCB6|10058	311.3086
ABCB7|22	639.9486	ABCB7|22	579.7642
ABCB8|11194	809.2585	ABCB8|11194	406.0724
ABCB9|23457	112.4175	ABCB9|23457	87.4769
ABCC10|89845	247.7497	ABCC10|89845	407.4294
ABCC11|85320	1297.8997	ABCC11|85320	591.2984
ABCC12|94160	17.1453	lowly_expressed	lowly_expressed
ABCC1|4363	1719.6742	ABCC1|4363	945.4669
ABCC2|1244	8.144	ABCC2|1244	7.1241
ABCC3|8714	516.0737	ABCC3|8714	826.393
ABCC4|10257	140.5915	ABCC4|10257	63.4382
ABCC5|10057	1631.3759	ABCC5|10057	839.2842
lowly_expressed	lowly_expressed	ABCC6P1|653190	7.8026
ABCC6P2|730013	13.7162	ABCC6P2|730013	20.0153
ABCC6|368	80.5829	ABCC6|368	137.3929
ABCC8|6833	206.1723	ABCC8|6833	173.3526
ABCC9|10060	210.8873	ABCC9|10060	188.6184
ABCD1|215	299.1856	ABCD1|215	187.94
ABCD2|225	24.8607	ABCD2|225	36.6381
ABCD3|5825	2477.0682	ABCD3|5825	2767.8738
ABCD4|5826	422.2032	ABCD4|5826	614.7061
ABCE1|6059	1337.7625	ABCE1|6059	1222.6274
ABCF1|23	1169.3099	ABCF1|23	1415.656
ABCF2|10061	1521.6459	ABCF2|10061	1128.3182
ABCF3|55324	938.2769	ABCF3|55324	968.8746
ABCG1|9619	727.3896	ABCG1|9619	578.4073
ABCG2|9429	123.4462	ABCG2|9429	222.2034
ABHD10|55347	638.6627	ABHD10|55347	672.7165
ABHD11|83451	881.6974	ABHD11|83451	432.8725
lowly_expressed	lowly_expressed	ABHD12B|145447	11.5342
ABHD12|26090	1059.5799	ABHD12|26090	791.7903
ABHD13|84945	427.3468	ABHD13|84945	415.9104
ABHD14A|25864	239.6057	ABHD14A|25864	216.097
ABHD14B|84836	1440.6344	ABHD14B|84836	1997.7949
ABHD15|116236	418.7741	ABHD15|116236	344.3304
ABHD1|84696	18.4312	ABHD1|84696	17.6406
ABHD2|11057	5352.7647	ABHD2|11057	4076.3294
ABHD3|171586	296.6138	ABHD3|171586	290.391
ABHD4|63874	796.8281	ABHD4|63874	1122.5511
ABHD5|51099	647.664	ABHD5|51099	652.7012
ABHD6|57406	158.1655	ABHD6|57406	136.7144
ABHD8|79575	267.8954	ABHD8|79575	205.2413
ABI1|10006	1437.171	ABI1|10006	1646.3404
ABI2|10152	1772.3961	ABI2|10152	1983.2075
ABI3BP|25890	591.5131	ABI3BP|25890	1315.9189
ABI3|51225	256.751	ABI3|51225	109.2359
ABL1|25	2096.4423	ABL1|25	2281.4011
ABL2|27	1618.0883	ABL2|27	834.5348
ABLIM1|3983	3196.7424	ABLIM1|3983	6321.4316
ABLIM2|84448	99.0141	ABLIM2|84448	42.4052
ABLIM3|22885	459.4942	ABLIM3|22885	1216.5211
lowly_expressed	lowly_expressed	ABO|28	7.4633
ABP1|26	9.8586	lowly_expressed	lowly_expressed
ABR|29	1610.8015	ABR|29	2219.3198
ABT1|29777	405.0579	ABT1|29777	578.4073
ABTB1|80325	409.7728	ABTB1|80325	596.0478
ABTB2|25841	54.0077	ABTB2|25841	124.841
ACAA1|30	1290.6129	ACAA1|30	1350.8608
ACAA2|10449	1175.7394	ACAA2|10449	1361.3773
ACACA|31	1573.0819	ACACA|31	2452.3789
ACACB|32	416.2023	ACACB|32	1383.7673
ACAD10|80724	744.9636	ACAD10|80724	563.4806
ACAD11|84129	286.3266	ACAD11|84129	416.9282
ACAD8|27034	504.072	ACAD8|27034	707.9976
ACAD9|28976	684.9507	ACAD9|28976	902.1661
ACADL|33	14.5735	ACADL|33	33.2457
ACADM|34	1283.7548	ACADM|34	1252.4807
ACADSB|36	3596.228	ACADSB|36	10007.6329
ACADS|35	387.0553	ACADS|35	917.6491
ACADVL|37	3080.1457	ACADVL|37	4618.18
ACAN|176	34.2906	ACAN|176	5.7671
ACAP1|9744	83.5834	ACAP1|9744	50.2078
ACAP2|23527	1361.3373	ACAP2|23527	1150.7082
ACAP3|116983	490.3729	ACAP3|116983	328.9322
ACAT1|38	1729.1042	ACAT1|38	1211.4324
ACAT2|39	338.8898	ACAT2|39	402.3204
ACBD3|64746	2871.8388	ACBD3|64746	1125.265
ACBD4|79777	278.6112	ACBD4|79777	345.3481
ACBD5|91452	592.799	ACBD5|91452	835.5525
ACBD6|84320	735.5336	ACBD6|84320	428.1231
ACBD7|414149	39.4342	ACBD7|414149	23.0684
ACCN2|41	29.147	ACCN2|41	43.7622
ACCN3|9311	14.1449	lowly_expressed	lowly_expressed
ACCS|84680	198.0283	ACCS|84680	285.6416
ACD|65057	321.4745	ACD|65057	367.3989
lowly_expressed	lowly_expressed	ACE2|59272	5.4279
ACER2|340485	264.895	ACER2|340485	187.94
ACER3|55331	220.3172	ACER3|55331	223.8996
ACE|1636	309.9014	ACE|1636	352.8115
ACHE|43	14.5735	ACHE|43	23.7469
ACIN1|22985	2373.7677	ACIN1|22985	3264.5238
ACLY|47	2772.8247	ACLY|47	4004.0709
ACMSD|130013	6.8581	lowly_expressed	lowly_expressed
ACN9|57001	94.2992	ACN9|57001	126.8764
ACO1|48	958.8513	ACO1|48	1260.2833
ACO2|50	2198.6841	ACO2|50	2205.1734
ACOT11|26027	64.7235	ACOT11|26027	56.4363
ACOT13|55856	348.6027	ACOT13|55856	525.2582
ACOT1|641371	337.7625	ACOT1|641371	406.7509
ACOT2|10965	154.3078	ACOT2|10965	264.2694
ACOT4|122970	263.1805	ACOT4|122970	156.3905
ACOT7|11332	339.9057	ACOT7|11332	225.2566
