gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
lowly_expressed	lowly_expressed	?|100133144	11.3614
lowly_expressed	lowly_expressed	?|100134869	21.7132
?|10357	160.2452	?|10357	70.9132
?|10431	994.6874	?|10431	576.7752
?|155060	97.6706	?|155060	255.8932
?|390284	6.5386	?|390284	6.9631
?|57714	432.3662	?|57714	667.8755
?|645851	8.9906	?|645851	10.7348
lowly_expressed	lowly_expressed	?|652919	84.3055
?|653553	558.2346	?|653553	127.6565
?|729884	11.0339	?|729884	8.7039
?|8225	313.8537	?|8225	405.8896
?|90288	54.3523	?|90288	50.4823
A1BG|1	91.4548	A1BG|1	122.7185
A2LD1|87769	56.841	A2LD1|87769	82.4342
lowly_expressed	lowly_expressed	A2ML1|144568	6.673
A2M|2	20448.2632	A2M|2	24582.5981
A4GALT|53947	491.2137	A4GALT|53947	511.2062
AAAS|8086	1056.8043	AAAS|8086	636.5417
AACS|65985	1409.8897	AACS|65985	1099.8767
AADAT|51166	49.857	AADAT|51166	76.3038
AAGAB|79719	1678.7904	AAGAB|79719	1316.8927
AAK1|22848	912.546	AAK1|22848	895.9164
AAMP|14	2452.3907	AAMP|14	2004.2069
AARS2|57505	466.273	AARS2|57505	442.1237
AARSD1|80755	636.2893	AARSD1|80755	521.0706
AARS|16	3701.2669	AARS|16	2603.0318
AASDHPPT|60496	690.2329	AASDHPPT|60496	904.6203
AASDH|132949	274.2133	AASDH|132949	432.0012
AASS|10157	183.49	AASS|10157	785.0874
AATF|26574	1381.2832	AATF|26574	883.7311
AATK|9625	25.7458	AATK|9625	54.8517
ABAT|18	1974.2542	ABAT|18	1714.3686
ABCA10|10349	22.8852	ABCA10|10349	138.1011
ABCA11P|79963	117.9281	ABCA11P|79963	224.2895
ABCA12|26154	819.3707	ABCA12|26154	281.4245
ABCA13|154664	6.13	ABCA13|154664	64.4085
ABCA17P|650655	13.8946	ABCA17P|650655	7.8335
ABCA1|19	724.9653	ABCA1|19	887.1023
ABCA2|20	1727.83	ABCA2|20	1324.4361
ABCA3|21	3592.1537	ABCA3|21	1067.3823
ABCA4|24	183.49	ABCA4|24	53.3836
ABCA5|23461	186.7593	ABCA5|23461	1152.0998
ABCA6|23460	263.9967	ABCA6|23460	295.6408
ABCA7|10347	310.5844	ABCA7|10347	245.7387
ABCA8|10351	382.5092	ABCA8|10351	462.1745
ABCA9|10350	240.2942	ABCA9|10350	420.1059
ABCB10|23456	374.7446	ABCB10|23456	434.3222
ABCB1|5243	94.81	ABCB1|5243	628.1279
ABCB4|5244	32.2844	ABCB4|5244	11.0249
ABCB5|340273	5.3126	ABCB5|340273	35.6858
ABCB6|10058	477.0249	ABCB6|10058	372.8614
ABCB7|22	224.765	ABCB7|22	590.4113
ABCB8|11194	833.2652	ABCB8|11194	427.069
ABCB9|23457	314.953	ABCB9|23457	96.5837
ABCC10|89845	560.6866	ABCC10|89845	354.2468
ABCC11|85320	333.0609	ABCC11|85320	1238.5581
lowly_expressed	lowly_expressed	ABCC12|94160	8.1236
ABCC13|150000	649.3666	lowly_expressed	lowly_expressed
ABCC1|4363	868.0016	ABCC1|4363	904.3302
ABCC2|1244	12.6686	ABCC2|1244	8.7039
ABCC3|8714	346.9555	ABCC3|8714	329.2957
ABCC4|10257	126.2771	ABCC4|10257	155.5088
ABCC5|10057	1138.9456	ABCC5|10057	639.443
lowly_expressed	lowly_expressed	ABCC6P1|653190	7.2532
ABCC6P2|730013	14.3032	ABCC6P2|730013	14.7965
ABCC6|368	51.4916	ABCC6|368	95.7424
ABCC8|6833	110.3392	ABCC8|6833	785.6677
ABCC9|10060	576.6244	ABCC9|10060	355.4073
ABCD1|215	559.8692	ABCD1|215	144.1938
ABCD2|225	46.5877	ABCD2|225	33.0746
ABCD3|5825	2732.3253	ABCD3|5825	3065.2064
ABCD4|5826	502.6563	ABCD4|5826	664.9743
ABCE1|6059	1145.8929	ABCE1|6059	1472.6917
ABCF1|23	2312.219	ABCF1|23	1354.0292
ABCF2|10061	1185.942	ABCF2|10061	1102.1977
ABCF3|55324	1293.8292	ABCF3|55324	935.9542
ABCG1|9619	816.1013	ABCG1|9619	495.2491
ABCG2|9429	93.584	ABCG2|9429	337.9996
ABHD10|55347	650.5926	ABHD10|55347	765.0685
ABHD11|83451	1151.2056	ABHD11|83451	509.7556
ABHD12B|145447	193.7066	lowly_expressed	lowly_expressed
ABHD12|26090	1622.8034	ABHD12|26090	693.4068
ABHD13|84945	356.3547	ABHD13|84945	520.2002
ABHD14A|25864	234.6915	ABHD14A|25864	211.4688
ABHD14B|84836	1611.3609	ABHD14B|84836	1706.8253
ABHD15|116236	416.8369	ABHD15|116236	327.2648
ABHD1|84696	10.2166	ABHD1|84696	14.2163
ABHD2|11057	9230.895	ABHD2|11057	6710.6695
ABHD3|171586	857.785	ABHD3|171586	291.8692
ABHD4|63874	1554.9653	ABHD4|63874	865.7431
ABHD5|51099	1011.8512	ABHD5|51099	812.3595
ABHD6|57406	126.6857	ABHD6|57406	177.8487
ABHD8|79575	318.7577	ABHD8|79575	256.4735
ABI1|10006	1463.2407	ABI1|10006	1698.0402
ABI2|10152	1206.3752	ABI2|10152	2411.5471
ABI3BP|25890	635.0633	ABI3BP|25890	1348.8068
ABI3|51225	241.9289	ABI3|51225	151.1569
ABL1|25	2613.8128	ABL1|25	2594.0379
ABL2|27	1045.7703	ABL2|27	796.9827
ABLIM1|3983	1886.8002	ABLIM1|3983	4993.1095
ABLIM2|84448	128.3204	ABLIM2|84448	33.6549
ABLIM3|22885	872.9056	ABLIM3|22885	1064.7712
ABO|28	6.13	ABO|28	31.624
ABP1|26	10.2166	ABP1|26	5.8026
ABR|29	2101.3486	ABR|29	2538.0431
ABT1|29777	630.9767	ABT1|29777	433.7419
ABTB1|80325	564.7732	ABTB1|80325	481.6131
ABTB2|25841	66.6122	ABTB2|25841	87.9089
ACAA1|30	814.058	ACAA1|30	1044.7523
ACAA2|10449	966.0809	ACAA2|10449	1251.6138
ACACA|31	1168.7781	ACACA|31	3037.9343
ACACB|32	1268.9007	ACACB|32	1026.7643
ACAD10|80724	505.517	ACAD10|80724	526.0028
ACAD11|84129	196.5059	ACAD11|84129	472.242
ACAD8|27034	292.6032	ACAD8|27034	847.465
ACAD9|28976	831.2628	ACAD9|28976	762.3036
ACADL|33	22.0678	ACADL|33	17.988
ACADM|34	829.1786	ACADM|34	1448.3209
ACADSB|36	1563.9559	ACADSB|36	4820.4831
ACADS|35	639.5586	ACADS|35	697.1785
ACADVL|37	4841.4344	ACADVL|37	5315.9527
ACAN|176	113.6085	lowly_expressed	lowly_expressed
ACAP1|9744	35.1451	ACAP1|9744	81.2359
ACAP2|23527	1404.1684	ACAP2|23527	1599.1876
ACAP3|116983	552.9301	ACAP3|116983	404.8451
ACAT1|38	879.0356	ACAT1|38	1260.6078
ACAT2|39	513.3347	ACAT2|39	378.693
ACBD3|64746	1961.177	ACBD3|64746	1674.621
ACBD4|79777	210.0531	ACBD4|79777	226.8804
ACBD5|91452	988.9661	ACBD5|91452	1034.3077
ACBD6|84320	364.528	ACBD6|84320	371.9446
ACBD7|414149	94.4013	ACBD7|414149	40.9081
ACCN1|40	27.7891	ACCN1|40	8.994
ACCN2|41	55.5783	ACCN2|41	138.6814
ACCN3|9311	39.2317	ACCN3|9311	10.1545
ACCS|84680	179.4034	ACCS|84680	423.0072
