gene_id	TCGA-BH-A0DT-01A-21R-A12D-07	gene_id	TCGA-BH-A0DT-11A-12R-A12D-07
?|100133144	10.3629	?|100133144	17.2946
?|100134869	6.6635	?|100134869	8.2621
?|10357	111.8327	?|10357	109.3574
?|10431	925.2317	?|10431	696.2395
?|155060	150.9161	?|155060	209.2004
?|390284	6.1914	?|390284	9.8576
?|57714	604.8253	?|57714	625.0456
?|645851	5.0305	?|645851	5.8415
lowly_expressed	lowly_expressed	?|652919	143.3698
?|653553	342.0765	?|653553	116.4659
?|729884	5.8045	?|729884	110.6243
?|8225	436.1088	?|8225	404.1621
?|90288	59.5925	?|90288	36.5097
A1BG|1	112.9278	A1BG|1	80.7959
A2LD1|87769	89.1256	A2LD1|87769	70.0548
A2M|2	19188.7525	A2M|2	27741.4348
A4GALT|53947	451.5874	A4GALT|53947	236.2176
AAAS|8086	711.2404	AAAS|8086	624.6805
AACS|65985	1009.203	AACS|65985	2802.8478
lowly_expressed	lowly_expressed	AADAC|13	16.4294
AADAT|51166	16.2525	AADAT|51166	101.1318
AAGAB|79719	1550.1791	AAGAB|79719	1305.2209
AAK1|22848	734.4583	AAK1|22848	1016.4294
AAMP|14	1826.0847	AAMP|14	1822.563
AARS2|57505	352.5206	AARS2|57505	461.1099
AARSD1|80755	383.4817	AARSD1|80755	439.9416
AARS|16	1545.9225	AARS|16	2242.4242
AASDHPPT|60496	922.136	AASDHPPT|60496	958.7441
AASDH|132949	290.9972	AASDH|132949	464.7682
AASS|10157	256.5574	AASS|10157	787.5137
AATF|26574	1026.6164	AATF|26574	722.5265
AATK|9625	76.6189	AATK|9625	56.2249
ABAT|18	3282.6184	ABAT|18	1020.0803
ABCA10|10349	54.175	ABCA10|10349	246.2322
ABCA11P|79963	158.7173	ABCA11P|79963	169.613
ABCA12|26154	410.9561	ABCA12|26154	656.8091
lowly_expressed	lowly_expressed	ABCA13|154664	18.985
lowly_expressed	lowly_expressed	ABCA17P|650655	6.9368
ABCA1|19	927.1665	ABCA1|19	1109.5071
ABCA2|20	1420.933	ABCA2|20	1456.3709
ABCA3|21	1478.9777	ABCA3|21	1522.8185
ABCA4|24	56.1098	ABCA4|24	78.1307
ABCA5|23461	359.4899	ABCA5|23461	1068.1161
ABCA6|23460	200.4475	ABCA6|23460	275.2829
ABCA7|10347	224.8263	ABCA7|10347	281.8547
ABCA8|10351	384.6425	ABCA8|10351	619.9343
ABCA9|10350	249.979	ABCA9|10350	549.8357
ABCB10|23456	635.0085	ABCB10|23456	418.4009
ABCB1|5243	186.9038	ABCB1|5243	713.3991
ABCB4|5244	15.4786	ABCB4|5244	8.7623
ABCB5|340273	11.6089	ABCB5|340273	116.831
ABCB6|10058	334.0663	ABCB6|10058	552.6652
ABCB7|22	458.5527	ABCB7|22	510.0402
ABCB8|11194	834.2951	ABCB8|11194	379.7006
ABCB9|23457	63.2996	ABCB9|23457	129.1457
ABCC10|89845	414.8258	ABCC10|89845	389.1931
ABCC11|85320	280.5491	ABCC11|85320	4058.0504
lowly_expressed	lowly_expressed	ABCC12|94160	47.4626
ABCC13|150000	176.4557	lowly_expressed	lowly_expressed
ABCC1|4363	1502.5825	ABCC1|4363	1474.6258
ABCC2|1244	8.5132	ABCC2|1244	193.5013
ABCC3|8714	614.4994	ABCC3|8714	575.0274
ABCC4|10257	146.6595	ABCC4|10257	224.1694
ABCC5|10057	653.9697	ABCC5|10057	679.4451
lowly_expressed	lowly_expressed	ABCC6P1|653190	23.7313
ABCC6P2|730013	13.9307	ABCC6P2|730013	27.0172
ABCC6|368	50.6923	ABCC6|368	175.2464
ABCC8|6833	17.4134	ABCC8|6833	108.4337
ABCC9|10060	313.0541	ABCC9|10060	456.736
ABCD1|215	249.205	ABCD1|215	197.1522
ABCD2|225	14.7046	ABCD2|225	56.59
ABCD3|5825	2269.9328	ABCD3|5825	2179.6276
ABCD4|5826	595.9251	ABCD4|5826	616.2833
ABCE1|6059	1606.2889	ABCE1|6059	1881.7087
ABCF1|23	1360.1796	ABCF1|23	1376.7798
ABCF2|10061	1511.4827	ABCF2|10061	1147.8642
ABCF3|55324	949.2235	ABCF3|55324	842.6433
ABCG1|9619	1279.691	ABCG1|9619	571.7415
ABCG2|9429	149.3682	ABCG2|9429	202.9938
ABHD10|55347	454.6831	ABHD10|55347	533.0413
ABHD11|83451	1051.7691	ABHD11|83451	673.6035
ABHD12B|145447	7.3523	lowly_expressed	lowly_expressed
ABHD12|26090	794.0508	ABHD12|26090	840.4527
ABHD13|84945	498.4101	ABHD13|84945	706.8273
ABHD14A|25864	208.9607	ABHD14A|25864	211.391
ABHD14B|84836	1651.1768	ABHD14B|84836	2043.8116
ABHD15|116236	392.7688	ABHD15|116236	272.7273
ABHD1|84696	40.2443	ABHD1|84696	21.5407
ABHD2|11057	4088.2782	ABHD2|11057	3509.6751
ABHD3|171586	457.3918	ABHD3|171586	374.9544
ABHD4|63874	892.3398	ABHD4|63874	934.2826
ABHD5|51099	962.7673	ABHD5|51099	1036.8748
ABHD6|57406	76.6189	ABHD6|57406	190.5805
ABHD8|79575	176.0688	ABHD8|79575	172.3257
ABI1|10006	1982.724	ABI1|10006	1791.6466
ABI2|10152	1418.9982	ABI2|10152	2239.5035
