gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
lowly_expressed	lowly_expressed	?|100133144	13.8362
lowly_expressed	lowly_expressed	?|100134869	5.7261
?|10357	98.6891	?|10357	94.2275
?|10431	804.9996	?|10431	736.0743
?|155060	53.5674	?|155060	197.6127
lowly_expressed	lowly_expressed	?|390284	5.9682
?|57714	420.5044	?|57714	661.4721
lowly_expressed	lowly_expressed	?|645851	12.931
?|652919	20.2158	lowly_expressed	lowly_expressed
?|653553	210.6986	?|653553	90.8488
lowly_expressed	lowly_expressed	?|729884	8.6207
?|8225	336.5821	?|8225	350.4642
?|90288	44.6395	?|90288	20.2255
A1BG|1	91.9069	A1BG|1	66.3296
A2LD1|87769	79.3006	A2LD1|87769	61.5584
A2M|2	47162.5206	A2M|2	26500.5736
A4GALT|53947	546.6855	A4GALT|53947	196.618
AAAS|8086	713.6374	AAAS|8086	592.8382
AACS|65985	720.7797	AACS|65985	2567.6393
AADAT|51166	27.6765	AADAT|51166	97.1485
AAGAB|79719	1411.2045	AAGAB|79719	1292.4403
AAK1|22848	934.7519	AAK1|22848	1182.6923
AAMP|14	2040.0268	AAMP|14	2026.5252
AARS2|57505	463.9327	AARS2|57505	496.9927
AARSD1|80755	466.3344	AARSD1|80755	496.3528
AARS|16	2869.4294	AARS|16	2638.2626
AASDHPPT|60496	765.7168	AASDHPPT|60496	970.1592
AASDH|132949	383.3048	AASDH|132949	580.5703
AASS|10157	314.5599	AASS|10157	916.7772
AATF|26574	1151.9976	AATF|26574	1081.2334
AATK|9625	33.6285	AATK|9625	59.3501
ABAT|18	1458.5224	ABAT|18	680.3714
ABCA10|10349	43.4491	ABCA10|10349	162.1353
ABCA11P|79963	82.7557	ABCA11P|79963	146.5219
ABCA12|26154	64.8761	ABCA12|26154	480.1061
lowly_expressed	lowly_expressed	ABCA13|154664	25.8621
lowly_expressed	lowly_expressed	ABCA17P|650655	5.9682
ABCA1|19	647.5649	ABCA1|19	859.065
ABCA2|20	1313.5927	ABCA2|20	1096.817
ABCA3|21	1106.1677	ABCA3|21	1018.8992
ABCA4|24	62.4954	ABCA4|24	60.0133
ABCA5|23461	172.9038	ABCA5|23461	1472.1485
ABCA6|23460	497.8796	ABCA6|23460	391.2467
ABCA7|10347	254.743	ABCA7|10347	246.6844
ABCA8|10351	1718.3245	ABCA8|10351	880.9682
ABCA9|10350	460.3824	ABCA9|10350	505.305
ABCB10|23456	369.6154	ABCB10|23456	438.6605
ABCB1|5243	421.6948	ABCB1|5243	962.2016
ABCB4|5244	49.4011	ABCB4|5244	12.2679
ABCB5|340273	13.6895	ABCB5|340273	31.8302
ABCB6|10058	397.777	ABCB6|10058	479.4264
ABCB7|22	418.7188	ABCB7|22	505.305
ABCB8|11194	660.0699	ABCB8|11194	375.6631
ABCB9|23457	143.3405	ABCB9|23457	135.3084
ABCC10|89845	339.8557	ABCC10|89845	381.2997
ABCC11|85320	1449.8921	ABCC11|85320	5318.9655
ABCC12|94160	11.9039	ABCC12|94160	49.4032
ABCC1|4363	1203.4819	ABCC1|4363	1178.0504
lowly_expressed	lowly_expressed	ABCC2|1244	89.5225
ABCC3|8714	306.5248	ABCC3|8714	1119.695
ABCC4|10257	218.1385	ABCC4|10257	346.817
ABCC5|10057	1049.6243	ABCC5|10057	1012.2679
ABCC6P1|653190	5.6543	ABCC6P1|653190	5.305
ABCC6P2|730013	22.0222	ABCC6P2|730013	18.2361
ABCC6|368	202.3659	ABCC6|368	294.7613
ABCC8|6833	14.8798	ABCC8|6833	62.9973
ABCC9|10060	933.5615	ABCC9|10060	457.8912
ABCD1|215	321.1071	ABCD1|215	171.0875
ABCD2|225	31.8429	ABCD2|225	46.7507
ABCD3|5825	1665.0547	ABCD3|5825	2136.6048
ABCD4|5826	605.9073	ABCD4|5826	521.8833
ABCE1|6059	1458.5224	ABCE1|6059	2332.2281
ABCF1|23	1790.9382	ABCF1|23	1748.0106
ABCF2|10061	1311.212	ABCF2|10061	1408.4881
ABCF3|55324	1172.8294	ABCF3|55324	966.8435
ABCG1|9619	722.5653	ABCG1|9619	444.9602
ABCG2|9429	318.4287	ABCG2|9429	278.8462
ABCG4|64137	8.0351	lowly_expressed	lowly_expressed
ABHD10|55347	656.4988	ABHD10|55347	602.122
ABHD11|83451	511.5691	ABHD11|83451	639.2573
lowly_expressed	lowly_expressed	ABHD12B|145447	6.6313
ABHD12|26090	1216.5761	ABHD12|26090	785.1459
ABHD13|84945	494.6061	ABHD13|84945	751.6578
ABHD14A|25864	337.0612	ABHD14A|25864	156.4987
ABHD14B|84836	2051.9307	ABHD14B|84836	1808.3554
ABHD15|116236	379.4361	ABHD15|116236	234.4164
ABHD1|84696	15.475	ABHD1|84696	21.2202
ABHD2|11057	3907.1498	ABHD2|11057	5120.6897
ABHD3|171586	518.7114	ABHD3|171586	623.6737
ABHD4|63874	1207.9458	ABHD4|63874	820.6233
ABHD5|51099	694.5912	ABHD5|51099	1021.8833
ABHD6|57406	202.3659	ABHD6|57406	174.7347
ABHD8|79575	197.3067	ABHD8|79575	119.695
ABI1|10006	1216.8737	ABI1|10006	1902.2977
ABI2|10152	1496.3172	ABI2|10152	2523.8727
ABI3BP|25890	2422.7364	ABI3BP|25890	1030.504
ABI3|51225	366.937	ABI3|51225	112.4005
ABL1|25	2749.7954	ABL1|25	2443.9655
ABL2|27	1825.757	ABL2|27	1181.366
ABLIM1|3983	3557.771	ABLIM1|3983	5747.679
ABLIM2|84448	128.8595	ABLIM2|84448	64.6552
ABLIM3|22885	845.4728	ABLIM3|22885	738.3952
ABO|28	20.8318	ABO|28	53.0504
ABP1|26	6.5471	lowly_expressed	lowly_expressed
ABRA|137735	7.4399	lowly_expressed	lowly_expressed
ABR|29	2046.8715	ABR|29	2123.3422
ABT1|29777	455.6209	ABT1|29777	513.9257
ABTB1|80325	628.2271	ABTB1|80325	504.6419
ABTB2|25841	89.2791	ABTB2|25841	408.1565
ACAA1|30	1582.0251	ACAA1|30	1450.5968
ACAA2|10449	1038.9108	ACAA2|10449	1045.0928
ACACA|31	2030.8013	ACACA|31	5401.5252
ACACB|32	804.9996	ACACB|32	1102.122
ACAD10|80724	442.5266	ACAD10|80724	540.1194
ACAD11|84129	203.8539	ACAD11|84129	387.931
ACAD8|27034	398.4823	ACAD8|27034	562.9973
ACAD9|28976	785.0844	ACAD9|28976	737.8316
ACADL|33	26.1885	ACADL|33	178.7135
ACADM|34	1034.4468	ACADM|34	1706.2334
ACADSB|36	1602.5593	ACADSB|36	5065.9814
ACADS|35	428.8371	ACADS|35	452.9178
ACADVL|37	3427.4236	ACADVL|37	5106.061
ACAN|176	292.8354	lowly_expressed	lowly_expressed
ACAP1|9744	52.9722	ACAP1|9744	44.4297
ACAP2|23527	1133.5466	ACAP2|23527	1918.7666
ACAP3|116983	380.0342	ACAP3|116983	327.9344
ACAT1|38	1297.5225	ACAT1|38	997.3475
ACAT2|39	339.8676	ACAT2|39	376.5484
ACBD3|64746	2189.1228	ACBD3|64746	1890.5836
ACBD4|79777	213.6746	ACBD4|79777	263.5942
ACBD5|91452	664.2363	ACBD5|91452	566.6446
ACBD6|84320	481.8094	ACBD6|84320	305.0398
lowly_expressed	lowly_expressed	ACBD7|414149	33.1565
ACCN1|40	5.6543	lowly_expressed	lowly_expressed
ACCN2|41	61.9002	ACCN2|41	105.7692
lowly_expressed	lowly_expressed	ACCN3|9311	5.9682
ACCS|84680	128.8595	ACCS|84680	283.8196
ACD|65057	293.133	ACD|65057	328.2493
lowly_expressed	lowly_expressed	ACE2|59272	44.4297
lowly_expressed	lowly_expressed	ACER1|125981	10.2785
ACER2|340485	240.4583	ACER2|340485	242.0424
ACER3|55331	266.9444	ACER3|55331	338.8594
ACE|1636	958.8572	ACE|1636	442.3077
ACHE|43	18.7486	ACHE|43	40.4509
ACIN1|22985	2868.5366	ACIN1|22985	3773.8727
ACLY|47	5416.8589	ACLY|47	4101.7905
ACN9|57001	87.7911	ACN9|57001	164.4562
ACO1|48	1676.0658	ACO1|48	1014.9204
ACO2|50	2379.5908	ACO2|50	1804.38
ACOT11|26027	25.2957	ACOT11|26027	62.3475
ACOT13|55856	420.1562	ACOT13|55856	508.5378
ACOT1|641371	641.0237	ACOT1|641371	375
ACOT2|10965	476.7502	ACOT2|10965	302.0557
ACOT4|122970	238.0775	ACOT4|122970	82.5597
ACOT7|11332	290.7522	ACOT7|11332	190.9814
ACOT8|10005	217.71	ACOT8|10005	189.2672
ACOT9|23597	486.8685	ACOT9|23597	571.2865
ACOX1|51	1374.6001	ACOX1|51	1562.3342
ACOX2|8309	173.7966	ACOX2|8309	164.7878
ACOX3|8310	910.9441	ACOX3|8310	1016.5782
ACP1|52	1077.0032	ACP1|52	1186.008
ACP2|53	1288.297	ACP2|53	667.4403
ACP5|54	1000.2232	ACP5|54	693.3024
ACP6|51205	227.364	ACP6|51205	301.3926
ACPL2|92370	704.1143	ACPL2|92370	606.1008
