gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
?|100134869	5.7797	lowly_expressed	lowly_expressed
?|10357	135.8644	?|10357	92.2961
?|10431	915.2542	?|10431	799.2021
?|155060	22.8814	?|155060	142.7305
?|390284	11.8644	?|390284	8.422
?|57714	233.0508	?|57714	149.3794
?|653553	609.322	?|653553	242.4645
?|729884	32.2034	?|729884	43.883
?|8225	337.2881	?|8225	829.344
lowly_expressed	lowly_expressed	?|90288	25.7092
A1BG|1	117.7966	A1BG|1	124.1622
A2LD1|87769	95.7542	A2LD1|87769	77.0124
A2ML1|144568	5.0847	A2ML1|144568	24.8227
A2M|2	9871.0847	A2M|2	32097.4379
A4GALT|53947	238.9831	A4GALT|53947	429.078
AAAS|8086	635.5932	AAAS|8086	836.8794
AACS|65985	1027.9661	AACS|65985	2252.6596
lowly_expressed	lowly_expressed	AADAC|13	8.8652
AADAT|51166	14.4068	AADAT|51166	72.695
AAGAB|79719	1632.2034	AAGAB|79719	1363.4752
AAK1|22848	595.7627	AAK1|22848	656.0284
AAMP|14	2728.8136	AAMP|14	3315.1596
AARS2|57505	181.3559	AARS2|57505	574.4415
AARSD1|80755	432.2034	AARSD1|80755	703.9007
AARS|16	1964.4068	AARS|16	3110.3723
AASDHPPT|60496	937.2881	AASDHPPT|60496	785.9043
AASDH|132949	281.3559	AASDH|132949	336.8794
AASS|10157	37.2881	AASS|10157	143.1738
AATF|26574	1127.1186	AATF|26574	1194.1489
AATK|9625	9.322	AATK|9625	132.0922
ABAT|18	643.2203	ABAT|18	1120.1241
lowly_expressed	lowly_expressed	ABCA10|10349	60.297
ABCA11P|79963	60.4237	ABCA11P|79963	86.9238
ABCA12|26154	945.7627	ABCA12|26154	287.234
lowly_expressed	lowly_expressed	ABCA13|154664	26.1525
ABCA1|19	742.3644	ABCA1|19	292.5532
ABCA2|20	486.4407	ABCA2|20	2005.3191
ABCA3|21	236.4407	ABCA3|21	1636.9681
ABCA4|24	48.3051	ABCA4|24	35.461
ABCA5|23461	104.2373	lowly_expressed	lowly_expressed
ABCA6|23460	27.1186	ABCA6|23460	62.0567
ABCA7|10347	139.8305	ABCA7|10347	514.6277
ABCA8|10351	16.9492	lowly_expressed	lowly_expressed
ABCA9|10350	44.0678	ABCA9|10350	127.6596
ABCB10|23456	244.0678	ABCB10|23456	262.4113
ABCB1|5243	31.3559	ABCB1|5243	386.0816
ABCB4|5244	24.5763	ABCB4|5244	17.2872
ABCB5|340273	5.0847	ABCB5|340273	9.7518
ABCB6|10058	322.5254	ABCB6|10058	804.3351
ABCB7|22	362.7119	ABCB7|22	500
ABCB8|11194	404.2373	ABCB8|11194	869.2376
ABCB9|23457	283.2966	ABCB9|23457	275.4211
ABCC10|89845	257.6271	ABCC10|89845	550.0887
ABCC11|85320	635.5932	ABCC11|85320	1726.9504
ABCC12|94160	5.0847	ABCC12|94160	10.195
ABCC13|150000	11.8644	lowly_expressed	lowly_expressed
ABCC1|4363	1372.8814	ABCC1|4363	1025.7092
lowly_expressed	lowly_expressed	ABCC2|1244	218.9716
ABCC3|8714	150	ABCC3|8714	617.0213
ABCC4|10257	202.5424	ABCC4|10257	110.8156
ABCC5|10057	1839.8305	ABCC5|10057	584.2199
ABCC6P2|730013	45.7627	ABCC6P2|730013	20.8333
ABCC6|368	290.678	ABCC6|368	249.5567
lowly_expressed	lowly_expressed	ABCC8|6833	130.3191
ABCC9|10060	138.1356	ABCC9|10060	61.1702
ABCD1|215	387.2881	ABCD1|215	343.5284
ABCD2|225	5.0847	ABCD2|225	14.1844
ABCD3|5825	1065.2542	ABCD3|5825	1454.344
ABCD4|5826	453.3898	ABCD4|5826	689.7163
ABCE1|6059	1603.3898	ABCE1|6059	1348.8475
ABCF1|23	1534.7458	ABCF1|23	1853.2801
ABCF2|10061	844.9153	ABCF2|10061	1546.0993
ABCF3|55324	1350.8475	ABCF3|55324	1407.3582
ABCG1|9619	656.7797	ABCG1|9619	892.7305
ABCG2|9429	46.6102	ABCG2|9429	163.5638
ABHD10|55347	585.5932	ABHD10|55347	605.4965
ABHD11|83451	543.2203	ABHD11|83451	1039.4504
ABHD12|26090	1268.6441	ABHD12|26090	1040.3369
ABHD13|84945	585.5932	ABHD13|84945	364.3617
ABHD14A|25864	76.2712	ABHD14A|25864	380.7624
ABHD14B|84836	755.9322	ABHD14B|84836	2865.2482
ABHD15|116236	167.7966	ABHD15|116236	292.9965
lowly_expressed	lowly_expressed	ABHD1|84696	13.7411
ABHD2|11057	3828.8136	ABHD2|11057	1792.9965
ABHD3|171586	881.3559	ABHD3|171586	311.1702
ABHD4|63874	916.1017	ABHD4|63874	990.6915
ABHD5|51099	655.9322	ABHD5|51099	838.6525
ABHD6|57406	34.7458	ABHD6|57406	185.727
ABHD8|79575	169.4915	ABHD8|79575	350.6206
ABI1|10006	1761.1695	ABI1|10006	1240.4743
ABI2|10152	1122.0339	ABI2|10152	1535.9043
ABI3BP|25890	75.4237	ABI3BP|25890	223.4043
ABI3|51225	191.5254	ABI3|51225	277.039
ABL1|25	2352.5424	ABL1|25	2510.6383
ABL2|27	561.8644	ABL2|27	432.6241
ABLIM1|3983	1580.5085	ABLIM1|3983	3112.5887
ABLIM2|84448	38.9831	ABLIM2|84448	87.3227
ABLIM3|22885	123.7288	ABLIM3|22885	1099.2908
ABO|28	6.7797	ABO|28	13.7411
lowly_expressed	lowly_expressed	ABP1|26	17.2872
ABR|29	1265.2542	ABR|29	2455.6738
ABT1|29777	677.1186	ABT1|29777	698.5816
ABTB1|80325	262.7119	ABTB1|80325	568.7057
ABTB2|25841	82.2034	ABTB2|25841	223.4043
ACAA1|30	1359.322	ACAA1|30	2384.3085
ACAA2|10449	1573.7288	ACAA2|10449	1264.1844
ACACA|31	644.9153	ACACA|31	1840.8688
ACACB|32	83.8983	ACACB|32	843.5284
ACAD10|80724	118.6441	ACAD10|80724	663.5638
ACAD11|84129	82.2034	ACAD11|84129	276.578
ACAD8|27034	288.9831	ACAD8|27034	755.3191
ACAD9|28976	427.9661	ACAD9|28976	1109.2199
lowly_expressed	lowly_expressed	ACADL|33	17.7305
ACADM|34	470.339	ACADM|34	904.2553
ACADSB|36	1582.2034	ACADSB|36	2073.5816
ACADS|35	122.0339	ACADS|35	693.2624
ACADVL|37	2348.2797	ACADVL|37	6980.9131
ACAN|176	14.4068	ACAN|176	5.3191
ACAP1|9744	46.6102	ACAP1|9744	110.3723
ACAP2|23527	1260.1695	ACAP2|23527	620.1241
ACAP3|116983	566.1186	ACAP3|116983	570.1197
ACAT1|38	750.8475	ACAT1|38	933.9539
ACAT2|39	894.1525	ACAT2|39	687.0966
ACBD3|64746	1899.1525	ACBD3|64746	892.7305
ACBD4|79777	58.4746	ACBD4|79777	307.6241
ACBD5|91452	861.0169	ACBD5|91452	519.5035
ACBD6|84320	674.5763	ACBD6|84320	565.1596
ACBD7|414149	75.4237	ACBD7|414149	68.2624
ACCN2|41	83.8983	ACCN2|41	209.2199
ACCN3|9311	18.6441	lowly_expressed	lowly_expressed
ACCS|84680	87.2881	ACCS|84680	378.5461
ACD|65057	161.0169	ACD|65057	520.3901
lowly_expressed	lowly_expressed	ACE2|59272	34.1312
ACER2|340485	220.339	ACER2|340485	50.5319
ACER3|55331	175.4237	ACER3|55331	203.4574
ACE|1636	579.661	ACE|1636	810.727
ACHE|43	16.1017	ACHE|43	35.9043
ACIN1|22985	1931.3559	ACIN1|22985	3278.8121
ACLY|47	24503.3898	ACLY|47	17215.8688
lowly_expressed	lowly_expressed	ACMSD|130013	6.2057
ACN9|57001	133.0508	ACN9|57001	132.5355
ACO1|48	1100.8475	ACO1|48	1053.1915
ACO2|50	3371.2203	ACO2|50	3202.0966
ACOT11|26027	27.9661	ACOT11|26027	49.5745
ACOT13|55856	615.6186	ACOT13|55856	556.9592
ACOT1|641371	445.7627	ACOT1|641371	625
ACOT2|10965	284.7458	ACOT2|10965	406.9149
ACOT4|122970	161.0169	ACOT4|122970	184.3972
ACOT7|11332	366.1017	ACOT7|11332	632.0922
ACOT8|10005	205.5763	ACOT8|10005	385.266
ACOT9|23597	566.1017	ACOT9|23597	426.4184
ACOX1|51	683.8983	ACOX1|51	1070.0355
ACOX2|8309	68.6441	ACOX2|8309	296.5426
ACOX3|8310	475.4237	ACOX3|8310	1024.3794
ACP1|52	2211.0169	ACP1|52	1578.4574
ACP2|53	1336.4407	ACP2|53	1210.9929
ACP5|54	992.3729	ACP5|54	893.1738
ACP6|51205	442.3729	ACP6|51205	508.422
ACPL2|92370	246.6102	ACPL2|92370	479.6099
ACPP|55	61.0169	ACPP|55	42.9965
ACRBP|84519	18.6441	ACRBP|84519	7.9787
ACRC|93953	5.9322	ACRC|93953	10.6383
lowly_expressed	lowly_expressed	ACR|49	5.3191
lowly_expressed	lowly_expressed	ACSBG1|23205	13.2979
ACSF2|80221	1007.6271	ACSF2|80221	1621.0106
ACSF3|197322	258.4746	ACSF3|197322	487.1454
ACSL1|2180	918.6441	ACSL1|2180	2028.8121
ACSL3|2181	5677.1186	ACSL3|2181	4488.4752
ACSL4|2182	942.3729	ACSL4|2182	558.9539
ACSL5|51703	301.6949	ACSL5|51703	597.0745
lowly_expressed	lowly_expressed	ACSL6|23305	8.422
ACSM1|116285	6.7797	ACSM1|116285	148.0496
ACSM3|6296	16.0763	ACSM3|6296	123.0718
lowly_expressed	lowly_expressed	ACSM5|54988	11.9681
ACSS1|84532	272.8814	ACSS1|84532	1397.1631
ACSS2|55902	455.9322	ACSS2|55902	1616.578
ACSS3|79611	591.5254	ACSS3|79611	150.7092
ACTA1|58	16.1017	ACTA1|58	6.2057
ACTA2|59	11416.8729	ACTA2|59	30527.6995
ACTB|60	112065.2542	ACTB|60	104422.8723
ACTC1|70	14.4068	lowly_expressed	lowly_expressed
