gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
lowly_expressed	lowly_expressed	?|100133144	7.1752
?|100134869	10.9933	lowly_expressed	lowly_expressed
?|10357	92.8397	?|10357	89.4279
?|10431	1728.2145	?|10431	993.3481
?|155060	239.4881	?|155060	123.2816
?|390284	9.7502	?|390284	17.7384
?|57714	159.6587	?|57714	195.5654
?|653553	563.6807	?|653553	83.3703
?|729884	31.0786	?|729884	456.3193
?|8225	895.1859	?|8225	780.0443
?|90288	10.3595	?|90288	33.7029
A1BG|1	56.6728	A1BG|1	158.0355
A2LD1|87769	220.9628	A2LD1|87769	69.7827
A2ML1|144568	199.8781	A2ML1|144568	31.929
A2M|2	7282.0719	A2M|2	33665.5432
A4GALT|53947	120.6581	A4GALT|53947	254.102
AAAS|8086	372.3339	AAAS|8086	895.3437
AACSL|729522	19.5003	lowly_expressed	lowly_expressed
AACS|65985	1263.2541	AACS|65985	1834.5898
AADACL2|344752	118.2206	lowly_expressed	lowly_expressed
AADAC|13	19.5003	AADAC|13	21.286
AADAT|51166	226.691	AADAT|51166	39.9113
AAGAB|79719	1144.4241	AAGAB|79719	1504.2129
AAK1|22848	1168.7995	AAK1|22848	679.8226
AAMP|14	2609.3845	AAMP|14	3154.7672
AARS2|57505	1174.1499	AARS2|57505	483.6009
AARSD1|80755	295.5515	AARSD1|80755	830.5987
AARS|16	3870.8105	AARS|16	3715.7428
AASDHPPT|60496	1390.6155	AASDHPPT|60496	703.7694
AASDH|132949	229.738	AASDH|132949	358.3149
AASS|10157	183.4247	AASS|10157	341.9069
AATF|26574	1998.1718	AATF|26574	1447.0067
AATK|9625	22.5472	AATK|9625	45.2328
ABAT|18	201.7063	ABAT|18	910.4213
ABCA10|10349	6.0938	ABCA10|10349	50.1109
ABCA11P|79963	107.1481	ABCA11P|79963	141.8271
ABCA12|26154	447.2882	ABCA12|26154	368.071
ABCA13|154664	15.844	ABCA13|154664	16.408
lowly_expressed	lowly_expressed	ABCA17P|650655	5.765
ABCA1|19	376.5996	ABCA1|19	316.6297
ABCA2|20	372.9433	ABCA2|20	1300.2217
ABCA3|21	611.8221	ABCA3|21	1331.2639
ABCA4|24	143.8147	ABCA4|24	8.4257
ABCA5|23461	162.0963	ABCA5|23461	540.133
ABCA6|23460	69.4698	ABCA6|23460	148.5588
ABCA7|10347	134.0646	ABCA7|10347	283.8137
ABCA8|10351	6.0938	ABCA8|10351	251.4412
