gene_id	TCGA-BH-A0H7-01A-13R-A056-07	gene_id	TCGA-BH-A0H7-11A-13R-A089-07
lowly_expressed	lowly_expressed	?|100133144	7.5406
?|10357	108.3388	?|10357	96.6744
?|10431	1141.497	?|10431	948.9559
?|155060	168.4176	?|155060	177.8809
?|390284	6.2377	?|390284	7.3473
?|57714	725.5417	?|57714	282.2892
lowly_expressed	lowly_expressed	?|652919	39.2885
?|653553	1499.0151	?|653553	461.3302
lowly_expressed	lowly_expressed	?|729884	13.9211
?|8225	336.8352	?|8225	489.1725
?|90288	14.1169	?|90288	13.5344
A1BG|1	237.6855	A1BG|1	114.7641
A2LD1|87769	66.891	A2LD1|87769	93.867
A2ML1|144568	16.7433	A2ML1|144568	24.3619
A2M|2	8543.3027	A2M|2	20987.5097
A4GALT|53947	406.763	A4GALT|53947	430.7811
AAAS|8086	779.0545	AAAS|8086	728.925
AACS|65985	2795.1412	AACS|65985	2159.3194
lowly_expressed	lowly_expressed	AADAC|13	6.1872
AADAT|51166	82.0749	AADAT|51166	89.7138
AAGAB|79719	1543.6638	AAGAB|79719	1322.8925
AAK1|22848	655.2856	AAK1|22848	644.6249
AAMP|14	3838.1484	AAMP|14	3141.5313
AARS2|57505	317.4491	AARS2|57505	488.7858
AARSD1|80755	618.5161	AARSD1|80755	525.522
AARS|16	5907.0913	AARS|16	3496.133
AASDHPPT|60496	1216.021	AASDHPPT|60496	765.6613
AASDH|132949	288.2469	AASDH|132949	372.7765
AASS|10157	43.0072	AASS|10157	358.082
AATF|26574	2032.1733	AATF|26574	1385.5375
AATK|9625	8.8641	AATK|9625	35.5762
ABAT|18	352.2653	ABAT|18	768.7548
lowly_expressed	lowly_expressed	ABCA10|10349	112.529
ABCA11P|79963	18.237	ABCA11P|79963	94.9111
ABCA12|26154	5234.4058	ABCA12|26154	4544.0835
lowly_expressed	lowly_expressed	ABCA13|154664	35.9629
ABCA17P|650655	11.1622	ABCA17P|650655	10.4408
ABCA1|19	928.0959	ABCA1|19	506.5081
ABCA2|20	3133.6179	ABCA2|20	1670.9203
ABCA3|21	1581.4183	ABCA3|21	1400.6187
ABCA4|24	445.8306	ABCA4|24	108.2753
ABCA5|23461	211.7531	ABCA5|23461	593.5808
ABCA6|23460	48.5883	ABCA6|23460	343.7742
ABCA7|10347	217.0059	ABCA7|10347	240.5259
ABCA8|10351	45.6336	ABCA8|10351	773.3952
ABCA9|10350	29.8752	ABCA9|10350	575.0193
ABCB10|23456	483.9133	ABCB10|23456	358.082
ABCB1|5243	47.9317	ABCB1|5243	318.6388
ABCB4|5244	41.0374	ABCB4|5244	30.1624
lowly_expressed	lowly_expressed	ABCB5|340273	103.635
ABCB6|10058	882.413	ABCB6|10058	568.5383
ABCB7|22	355.22	ABCB7|22	563.4184
ABCB8|11194	816.4806	ABCB8|11194	508.894
ABCB9|23457	699.4288	ABCB9|23457	617.9737
ABCC10|89845	314.5108	ABCC10|89845	344.9343
ABCC11|85320	23.3093	ABCC11|85320	345.7077
ABCC13|150000	77.807	lowly_expressed	lowly_expressed
ABCC1|4363	873.6047	ABCC1|4363	772.2351
ABCC3|8714	106.369	ABCC3|8714	312.8384
ABCC4|10257	191.3986	ABCC4|10257	93.9675
ABCC5|10057	5151.0177	ABCC5|10057	2104.4084
lowly_expressed	lowly_expressed	ABCC6P2|730013	27.0688
lowly_expressed	lowly_expressed	ABCC6|368	42.9234
ABCC8|6833	49.9015	ABCC8|6833	29.389
ABCC9|10060	227.5115	ABCC9|10060	198.7626
ABCD1|215	770.5187	ABCD1|215	447.0224
ABCD2|225	10.8339	ABCD2|225	43.6968
ABCD3|5825	2928.1024	ABCD3|5825	1912.993
ABCD4|5826	382.4688	ABCD4|5826	527.8422
ABCE1|6059	1029.5469	ABCE1|6059	1248.6466
ABCF1|23	2150.3611	ABCF1|23	1988.0124
ABCF2|10061	1291.2016	ABCF2|10061	1160.8662
ABCF3|55324	1382.1405	ABCF3|55324	1197.9892
ABCG1|9619	970.4531	ABCG1|9619	816.3186
ABCG2|9429	73.5391	ABCG2|9429	312.4517
ABHD10|55347	1000	ABHD10|55347	800.0773
ABHD11|83451	2573.5391	ABHD11|83451	1253.2869
ABHD12|26090	2487.5246	ABHD12|26090	1545.2436
ABHD13|84945	422.8496	ABHD13|84945	398.2985
ABHD14A|25864	68.2863	ABHD14A|25864	229.6984
ABHD14B|84836	1308.9297	ABHD14B|84836	2733.5654
ABHD15|116236	446.8155	ABHD15|116236	442.7688
ABHD1|84696	5.5811	ABHD1|84696	17.0147
ABHD2|11057	4413.329	ABHD2|11057	3121.8097
ABHD3|171586	188.1156	ABHD3|171586	237.0456
ABHD4|63874	1551.8713	ABHD4|63874	1072.3125
ABHD5|51099	436.6382	ABHD5|51099	742.8461
ABHD6|57406	164.8063	ABHD6|57406	206.1098
ABHD8|79575	127.3802	ABHD8|79575	245.9397
ABI1|10006	1750.6796	ABI1|10006	1403.9869
ABI2|10152	1331.9107	ABI2|10152	1327.9196
ABI3BP|25890	160.2101	ABI3BP|25890	588.1671
ABI3|51225	111.2935	ABI3|51225	96.6744
ABL1|25	2345.0427	ABL1|25	1991.106
ABL2|27	1019.698	ABL2|27	579.6597
ABLIM1|3983	1298.7525	ABLIM1|3983	3441.6087
ABLIM2|84448	118.1878	ABLIM2|84448	116.396
ABLIM3|22885	61.392	ABLIM3|22885	737.819
lowly_expressed	lowly_expressed	ABO|28	7.734
ABP1|26	9.1924	ABP1|26	9.6674
ABR|29	1504.5962	ABR|29	1635.7309
ABT1|29777	783.6507	ABT1|29777	810.9049
ABTB1|80325	339.4616	ABTB1|80325	505.4138
ABTB2|25841	214.0512	ABTB2|25841	304.7177
ACAA1|30	672.6855	ACAA1|30	1242.8461
ACAA2|10449	611.2935	ACAA2|10449	1258.314
ACACA|31	1991.7925	ACACA|31	1821.7324
ACACB|32	69.2712	ACACB|32	1759.4741
ACAD10|80724	1182.8628	ACAD10|80724	734.3387
ACAD11|84129	167.1044	ACAD11|84129	323.6659
ACAD8|27034	493.7623	ACAD8|27034	650.0387
ACAD9|28976	1064.2121	ACAD9|28976	912.2196
lowly_expressed	lowly_expressed	ACADL|33	49.4973
ACADM|34	987.1963	ACADM|34	1086.6203
ACADSB|36	3366.7104	ACADSB|36	3439.2885
ACADS|35	74.524	ACADS|35	555.2978
ACADVL|37	2788.2305	ACADVL|37	4259.7796
ACAN|176	71.8976	ACAN|176	5.8005
ACAP1|9744	49.2449	ACAP1|9744	50.6574
ACAP2|23527	1628.6934	ACAP2|23527	1104.4084
ACAP3|116983	527.9317	ACAP3|116983	450.5259
ACAT1|38	876.8877	ACAT1|38	1254.0603
ACAT2|39	435.8273	ACAT2|39	512.2699
ACBD3|64746	2037.7544	ACBD3|64746	1254.0603
ACBD4|79777	241.9567	ACBD4|79777	388.6311
ACBD5|91452	1065.3316	ACBD5|91452	909.1261
ACBD6|84320	620.1576	ACBD6|84320	602.0882
ACBD7|414149	25.6074	ACBD7|414149	32.0959
lowly_expressed	lowly_expressed	ACCN1|40	6.1872
ACCN2|41	113.5916	ACCN2|41	274.1686
ACCN3|9311	8.2075	ACCN3|9311	6.5739
ACCS|84680	157.2554	ACCS|84680	299.6906
ACD|65057	368.6802	ACD|65057	396.365
lowly_expressed	lowly_expressed	ACE2|59272	12.3743
ACER2|340485	127.7085	ACER2|340485	106.7285
ACER3|55331	218.6474	ACER3|55331	247.0998
ACE|1636	352.9219	ACE|1636	433.488
ACHE|43	6.8943	ACHE|43	20.495
ACIN1|22985	2324.0315	ACIN1|22985	3115.6226
ACLY|47	5397.5706	ACLY|47	3541.7633
ACN9|57001	24.2942	ACN9|57001	124.9033
ACO1|48	1295.4695	ACO1|48	1415.3132
ACO2|50	2481.3263	ACO2|50	2784.1647
ACOT11|26027	84.7012	ACOT11|26027	87.0495
ACOT13|55856	720.6369	ACOT13|55856	595.0503
ACOT1|641371	756.0735	ACOT1|641371	662.0263
ACOT2|10965	568.6146	ACOT2|10965	549.4973
ACOT4|122970	391.0046	ACOT4|122970	182.5213
ACOT7|11332	743.2699	ACOT7|11332	480.2784
ACOT8|10005	448.9757	ACOT8|10005	241.6203
ACOT9|23597	336.8352	ACOT9|23597	281.9026
ACOX1|51	1303.3487	ACOX1|51	1327.266
ACOX2|8309	734.0775	ACOX2|8309	261.7943
ACOX3|8310	1228.8247	ACOX3|8310	890.9513
ACOXL|55289	8.5358	lowly_expressed	lowly_expressed
ACP1|52	1233.4209	ACP1|52	1486.0789
ACP2|53	1553.5128	ACP2|53	1403.3256
ACP5|54	3195.6664	ACP5|54	1933.8747
ACP6|51205	180.5647	ACP6|51205	258.7007
ACPL2|92370	436.6382	ACPL2|92370	455.5298
ACPP|55	79.1202	ACPP|55	75.0193
ACRBP|84519	13.132	ACRBP|84519	9.2807
lowly_expressed	lowly_expressed	ACRC|93953	12.3743
ACR|49	21.0112	ACR|49	15.4679
lowly_expressed	lowly_expressed	ACSBG1|23205	15.4679
ACSF2|80221	234.7341	ACSF2|80221	871.6164
ACSF3|197322	659.8818	ACSF3|197322	585.8469
ACSL1|2180	2427.1175	ACSL1|2180	5781.1292
ACSL3|2181	1920.8798	ACSL3|2181	3295.437
ACSL4|2182	915.6271	ACSL4|2182	829.4664
ACSL5|51703	162.8365	ACSL5|51703	574.2459
ACSL6|23305	143.4668	ACSL6|23305	6.1872
ACSM1|116285	7.5509	ACSM1|116285	43.6968
ACSM3|6296	25.4366	ACSM3|6296	137.4633
ACSM5|54988	23.6376	ACSM5|54988	84.6868
ACSS1|84532	4070.2561	ACSS1|84532	3349.1879
ACSS2|55902	1160.2101	ACSS2|55902	2158.1593
ACSS3|79611	653.6441	ACSS3|79611	380.1237
ACTA1|58	91.9238	ACTA1|58	23.2019
ACTA2|59	8110.9783	ACTA2|59	28072.7378
ACTB|60	120351.2804	ACTB|60	71150.8121
ACTG1|71	73732.1077	ACTG1|71	52143.4648
ACTG2|72	327.9711	ACTG2|72	4997.6798
ACTL6A|86	1494.0906	ACTL6A|86	1017.4014
ACTN1|87	6685.1609	ACTN1|87	7573.0858
ACTN4|81	15300.9783	ACTN4|81	14489.5166
ACTR10|55860	997.0453	ACTR10|55860	984.1454
ACTR1A|10121	3314.5108	ACTR1A|10121	2249.8067
ACTR1B|10120	1537.7544	ACTR1B|10120	1604.7951
ACTR2|10097	5519.698	ACTR2|10097	3427.6875
