gene_id	TCGA-BH-A0HA-01A-11R-A12P-07	gene_id	TCGA-BH-A0HA-11A-31R-A12P-07
lowly_expressed	lowly_expressed	?|100133144	17.6805
?|100134869	6.4664	?|100134869	18.8159
?|10357	98.2581	?|10357	95.296
?|10431	1624.4926	?|10431	597.7291
?|155060	189.7252	?|155060	396.1882
?|390284	7.8859	lowly_expressed	lowly_expressed
?|57714	350.69	?|57714	444.0389
lowly_expressed	lowly_expressed	?|645851	18.2482
?|653553	870.2308	?|653553	32.0357
lowly_expressed	lowly_expressed	?|728788	6.8938
?|8225	582.6279	?|8225	436.3341
?|90288	43.6043	?|90288	12.1655
A1BG|1	205.0052	A1BG|1	80.6367
A2LD1|87769	122.4446	A2LD1|87769	70.9813
lowly_expressed	lowly_expressed	A2ML1|144568	5.2717
A2M|2	16641.0205	A2M|2	23372.5669
A4GALT|53947	256.9871	A4GALT|53947	101.7843
AAAS|8086	885.0748	AAAS|8086	729.927
AACS|65985	1174.9971	AACS|65985	1318.3293
AADAT|51166	44.0682	AADAT|51166	115.1663
AAGAB|79719	1674.5912	AAGAB|79719	772.9116
AAK1|22848	635.5097	AAK1|22848	1098.1346
AAMP|14	2435.8112	AAMP|14	1934.3066
AARS2|57505	452.7427	AARS2|57505	613.8889
AARSD1|80755	725.0377	AARSD1|80755	594.485
AARS|16	3037.458	AARS|16	2354.0146
AASDHPPT|60496	1063.2031	AASDHPPT|60496	1098.0454
AASDH|132949	221.2687	AASDH|132949	688.5645
AASS|10157	201.322	AASS|10157	771.6951
AATF|26574	1244.1146	AATF|26574	919.708
AATK|9625	257.451	AATK|9625	85.9692
ABAT|18	1973.791	ABAT|18	496.3504
ABCA10|10349	7.8859	ABCA10|10349	185.3204
ABCA11P|79963	134.4265	ABCA11P|79963	246.9303
ABCA12|26154	89.0641	ABCA12|26154	12.1655
lowly_expressed	lowly_expressed	ABCA13|154664	21.4923
ABCA17P|650655	7.422	ABCA17P|650655	12.1655
ABCA1|19	692.5664	ABCA1|19	763.9903
ABCA2|20	676.7946	ABCA2|20	1606.2449
ABCA3|21	3181.7233	ABCA3|21	1375.1014
ABCA4|24	11.133	ABCA4|24	24.7364
ABCA5|23461	139.1627	ABCA5|23461	2092.8629
ABCA6|23460	86.2809	ABCA6|23460	195.4582
ABCA7|10347	204.1053	ABCA7|10347	193.4307
ABCA8|10351	59.3761	ABCA8|10351	193.0251
ABCA9|10350	80.7144	ABCA9|10350	180.0487
ABCB10|23456	271.3673	ABCB10|23456	474.8581
ABCB1|5243	119.6799	ABCB1|5243	761.5572
ABCB4|5244	25.0493	ABCB4|5244	8.9213
ABCB6|10058	423.1103	ABCB6|10058	587.1046
ABCB7|22	345.1235	lowly_expressed	lowly_expressed
ABCB8|11194	851.6758	ABCB8|11194	287.1046
ABCB9|23457	163.8594	ABCB9|23457	170.1419
ABCC10|89845	369.245	ABCC10|89845	547.4453
ABCC11|85320	560.8257	ABCC11|85320	182.8873
ABCC1|4363	801.1133	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCC2|1244	18.2482
ABCC3|8714	132.2046	ABCC3|8714	273.3171
ABCC4|10257	99.2694	ABCC4|10257	79.4809
ABCC5|10057	1343.8478	ABCC5|10057	1071.3706
lowly_expressed	lowly_expressed	ABCC6P1|653190	6.0827
ABCC6P2|730013	19.9467	ABCC6P2|730013	14.193
ABCC6|368	89.0641	ABCC6|368	90.8354
ABCC8|6833	103.9082	ABCC8|6833	85.9692
ABCC9|10060	208.7441	ABCC9|10060	161.395
ABCD1|215	568.7116	ABCD1|215	157.3398
ABCD2|225	13.4524	ABCD2|225	37.3074
ABCD3|5825	2048.9389	ABCD3|5825	1404.2985
ABCD4|5826	529.746	ABCD4|5826	633.4144
ABCE1|6059	1411.5737	ABCE1|6059	2262.7737
ABCF1|23	1393.0187	ABCF1|23	1369.0187
ABCF2|10061	1072.9445	ABCF2|10061	1008.9213
ABCF3|55324	1270.5555	ABCF3|55324	841.0381
ABCG1|9619	1604.0821	ABCG1|9619	663.4225
ABCG2|9429	122.9271	ABCG2|9429	290.7543
ABHD10|55347	978.7777	ABHD10|55347	736.8208
ABHD11|83451	1209.7878	ABHD11|83451	604.6229
ABHD12|26090	2514.6701	ABHD12|26090	517.0316
ABHD13|84945	465.7312	ABHD13|84945	603.8118
ABHD14A|25864	300.5914	ABHD14A|25864	176.7964
ABHD14B|84836	1533.573	ABHD14B|84836	2251.0138
ABHD15|116236	462.0202	ABHD15|116236	185.7259
ABHD1|84696	26.9048	ABHD1|84696	19.0592
ABHD2|11057	2094.3987	ABHD2|11057	2790.3487
ABHD3|171586	334.4544	ABHD3|171586	193.0251
ABHD4|63874	1202.8296	ABHD4|63874	756.2855
ABHD5|51099	452.7427	ABHD5|51099	974.047
ABHD6|57406	74.2201	ABHD6|57406	100.5677
ABHD8|79575	281.1087	ABHD8|79575	263.5848
ABI1|10006	1291.1562	ABI1|10006	1775.6407
ABI2|10152	1094.7466	ABI2|10152	2778.5888
ABI3BP|25890	396.6137	ABI3BP|25890	209.2457
ABI3|51225	295.9527	ABI3|51225	135.442
ABL1|25	2510.0313	ABL1|25	2293.5929
ABL2|27	696.2774	ABL2|27	864.558
ABLIM1|3983	1109.1268	ABLIM1|3983	6084.3471
ABLIM2|84448	64.0148	ABLIM2|84448	42.5791
ABLIM3|22885	419.8075	ABLIM3|22885	482.5629
ABO|28	7.8859	ABO|28	16.6261
ABP1|26	26.9048	lowly_expressed	lowly_expressed
ABR|29	1710.3096	ABR|29	1954.5823
ABT1|29777	726.8932	ABT1|29777	585.9692
ABTB1|80325	419.8075	ABTB1|80325	566.5045
ABTB2|25841	55.2012	ABTB2|25841	178.0211
ACAA1|30	1002.8992	ACAA1|30	918.4915
ACAA2|10449	930.0707	ACAA2|10449	1028.7916
ACACA|31	2118.5202	ACACA|31	1479.7242
ACACB|32	165.1397	ACACB|32	1065.2879
ACAD10|80724	377.5948	ACAD10|80724	746.5531
ACAD11|84129	173.0256	ACAD11|84129	552.3114
ACAD8|27034	497.7386	ACAD8|27034	589.6188
ACAD9|28976	879.6706	ACAD9|28976	922.7778
lowly_expressed	lowly_expressed	ACADL|33	17.4371
ACADM|34	494.9554	ACADM|34	1182.4818
ACADSB|36	4050.0986	ACADSB|36	2150.4461
ACADS|35	246.7819	ACADS|35	314.6796
ACADVL|37	2294.7698	ACADVL|37	5732.3195
ACAN|176	66.7981	ACAN|176	6.0827
ACAP1|9744	123.3909	ACAP1|9744	131.3869
ACAP2|23527	772.353	ACAP2|23527	1638.6861
ACAP3|116983	460.6332	ACAP3|116983	466.4396
ACAT1|38	645.7149	ACAT1|38	960.665
ACAT2|39	455.8274	ACAT2|39	366.6626
ACBD3|64746	1073.4083	ACBD3|64746	1693.8362
ACBD4|79777	262.5536	ACBD4|79777	330.0892
ACBD5|91452	842.3982	ACBD5|91452	701.541
ACBD6|84320	580.7724	ACBD6|84320	382.8062
ACBD7|414149	26.4409	ACBD7|414149	199.1079
ACCN1|40	48.2431	lowly_expressed	lowly_expressed
ACCN2|41	61.2316	ACCN2|41	466.7478
ACCN3|9311	19.4828	ACCN3|9311	16.6261
ACCS|84680	221.2687	ACCS|84680	628.9538
