gene_id	TCGA-BH-A0HK-01A-11R-A056-07	gene_id	TCGA-BH-A0HK-11A-11R-A089-07
?|100134869	5.4268	lowly_expressed	lowly_expressed
?|10357	214.7682	?|10357	77.6219
?|10431	820.8641	?|10431	695.2664
?|155060	238.1454	?|155060	87.0017
?|390284	6.8493	?|390284	10.4551
?|57714	229.7155	?|57714	268.4729
?|645851	7.3762	?|645851	5.2276
?|652919	14.2044	lowly_expressed	lowly_expressed
?|653553	280.295	?|653553	145.9985
?|729884	145.9431	?|729884	19.0433
?|8225	508.9568	?|8225	467.4939
lowly_expressed	lowly_expressed	?|90288	22.4039
A1BG|1	20.5479	A1BG|1	88.9284
lowly_expressed	lowly_expressed	A2BP1|54715	5.2276
A2LD1|87769	93.7408	A2LD1|87769	73.0702
A2ML1|144568	158.0611	A2ML1|144568	19.0433
A2M|2	21473.1243	A2M|2	30615.5498
A4GALT|53947	333.509	A4GALT|53947	828.196
AAAS|8086	699.6839	AAAS|8086	524.9971
AACS|65985	781.8757	AACS|65985	860.3082
AADACL2|344752	24.7629	AADACL2|344752	14.1891
AADAC|13	33.7197	AADAC|13	22.4039
AADAT|51166	5.2687	AADAT|51166	32.859
AAGAB|79719	1403.0558	AAGAB|79719	1266.9383
AAK1|22848	812.4341	AAK1|22848	851.7201
AAMP|14	2238.6723	AAMP|14	2369.2081
AARS2|57505	417.7766	AARS2|57505	398.0419
AARSD1|80755	569.02	AARSD1|80755	511.5548
AARS|16	1601.1591	AARS|16	2754.1811
AASDHPPT|60496	703.8988	AASDHPPT|60496	632.1622
AASDH|132949	260.274	AASDH|132949	305.8127
AASS|10157	319.2835	AASS|10157	523.1301
AATF|26574	1409.3783	AATF|26574	1188.5247
AATK|9625	16.8599	AATK|9625	98.3865
ABAT|18	229.1886	ABAT|18	747.5421
ABCA10|10349	18.4405	ABCA10|10349	265.8591
ABCA11P|79963	70.6217	ABCA11P|79963	91.4526
ABCA12|26154	32.666	ABCA12|26154	36.9664
ABCA13|154664	67.4394	ABCA13|154664	11.9487
lowly_expressed	lowly_expressed	ABCA17P|650655	11.2019
ABCA1|19	678.0822	ABCA1|19	888.6454
ABCA2|20	1085.353	ABCA2|20	1274.7796
ABCA3|21	649.6312	ABCA3|21	1352.0729
ABCA4|24	149.6312	ABCA4|24	64.5978
ABCA5|23461	85.8799	ABCA5|23461	485.7904
ABCA6|23460	185.9852	ABCA6|23460	551.5083
ABCA7|10347	131.1907	ABCA7|10347	308.0531
ABCA8|10351	559.5364	ABCA8|10351	1990.9563
ABCA9|10350	212.8556	ABCA9|10350	1132.1417
ABCB10|23456	817.7028	ABCB10|23456	339.7919
ABCB1|5243	103.2666	ABCB1|5243	323.7358
ABCB4|5244	12.6449	ABCB4|5244	34.3526
ABCB5|340273	12.6449	ABCB5|340273	163.5482
ABCB6|10058	462.0126	ABCB6|10058	344.1046
ABCB7|22	433.6143	ABCB7|22	496.6189
ABCB8|11194	530.5585	ABCB8|11194	437.2487
ABCB9|23457	142.6344	ABCB9|23457	125.7491
ABCC10|89845	310.8535	ABCC10|89845	361.0755
ABCC11|85320	278.1876	ABCC11|85320	151.2261
ABCC13|150000	12.118	lowly_expressed	lowly_expressed
ABCC1|4363	1465.7534	ABCC1|4363	1237.8132
lowly_expressed	lowly_expressed	ABCC2|1244	6.3478
ABCC3|8714	872.4974	ABCC3|8714	990.9974
ABCC4|10257	157.5342	ABCC4|10257	144.5049
ABCC5|10057	1373.0242	ABCC5|10057	560.4699
ABCC6P2|730013	9.4837	lowly_expressed	lowly_expressed
ABCC6|368	33.1928	ABCC6|368	96.71
lowly_expressed	lowly_expressed	ABCC8|6833	87.3751
ABCC9|10060	497.3656	ABCC9|10060	612.3722
ABCD1|215	379.3467	ABCD1|215	243.8287
ABCD2|225	50.0527	ABCD2|225	20.5369
ABCD3|5825	3667.5448	ABCD3|5825	1670.9545
ABCD4|5826	364.5943	ABCD4|5826	553.3753
ABCE1|6059	1988.9357	ABCE1|6059	1593.6612
ABCF1|23	1485.7745	ABCF1|23	1656.7654
ABCF2|10061	1389.8841	ABCF2|10061	1424.8855
ABCF3|55324	857.2181	ABCF3|55324	950.297
ABCG1|9619	628.5564	ABCG1|9619	703.4812
ABCG2|9429	153.3193	ABCG2|9429	139.2773
ABHD10|55347	834.0358	ABHD10|55347	491.7647
ABHD11|83451	770.8114	ABHD11|83451	659.4203
ABHD12|26090	937.3024	ABHD12|26090	915.1977
ABHD13|84945	482.0864	ABHD13|84945	675.8498
ABHD14A|25864	471.7966	ABHD14A|25864	344.646
ABHD14B|84836	2929.3994	ABHD14B|84836	2144.0493
ABHD15|116236	416.7545	ABHD15|116236	343.5258
ABHD1|84696	60.0632	ABHD1|84696	11.2019
ABHD2|11057	10488.9357	ABHD2|11057	3239.2247
ABHD3|171586	5396.7334	ABHD3|171586	270.7133
ABHD4|63874	684.4046	ABHD4|63874	757.2504
ABHD5|51099	595.3635	ABHD5|51099	814.0069
ABHD6|57406	233.4036	ABHD6|57406	232.6267
ABHD8|79575	141.2013	ABHD8|79575	223.2918
ABI1|10006	1538.4615	ABI1|10006	1482.3887
ABI2|10152	1424.1307	ABI2|10152	1566.0298
ABI3BP|25890	1755.5321	ABI3BP|25890	2061.9019
ABI3|51225	182.2972	ABI3|51225	204.6219
ABL1|25	1729.1886	ABL1|25	3580.8835
ABL2|27	1683.3509	ABL2|27	1534.6644
ABLIM1|3983	3661.7492	ABLIM1|3983	7405.9691
