gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
?|100133144	9.2538	?|100133144	11.1542
?|100134869	7.8699	?|100134869	9.7906
?|10357	117.8217	?|10357	69.0731
?|10431	1277.2898	?|10431	518.7166
?|155060	193.9524	?|155060	336.8984
lowly_expressed	lowly_expressed	?|388795	25.8467
?|390284	9.4355	?|390284	8.0214
lowly_expressed	lowly_expressed	?|553137	5.7932
?|57714	2002.427	?|57714	788.3244
lowly_expressed	lowly_expressed	?|645851	21.3904
lowly_expressed	lowly_expressed	?|652919	89.746
?|653553	251.6139	?|653553	179.59
?|729884	8.0377	lowly_expressed	lowly_expressed
?|8225	561.9376	?|8225	522.7273
?|90288	65.3497	?|90288	15.5971
A1BG|1	231.67	A1BG|1	99.8396
A2LD1|87769	68.2188	A2LD1|87769	74.844
A2ML1|144568	177.1781	A2ML1|144568	20.0535
A2M|2	8938.2122	A2M|2	23691.8271
A4GALT|53947	395.5929	A4GALT|53947	327.9857
AAAS|8086	742.6104	AAAS|8086	569.9643
AACS|65985	871.9119	AACS|65985	868.984
lowly_expressed	lowly_expressed	AADAC|13	214.3494
AADAT|51166	14.6775	AADAT|51166	63.2799
AAGAB|79719	1153.5797	AAGAB|79719	979.0553
AAK1|22848	1282.5318	AAK1|22848	1008.0214
AAMP|14	2773.6934	AAMP|14	2142.6025
AARS2|57505	547.2392	AARS2|57505	553.8681
AARSD1|80755	289.3559	AARSD1|80755	483.5116
AARS|16	2503.9074	AARS|16	2247.3262
AASDHPPT|60496	439.9748	AASDHPPT|60496	708.1105
AASDH|132949	256.1569	AASDH|132949	388.5918
AASS|10157	153.764	AASS|10157	714.795
AATF|26574	682.8521	AATF|26574	906.4171
AATK|9625	38.0915	AATK|9625	48.1283
ABAT|18	459.1953	ABAT|18	484.4029
lowly_expressed	lowly_expressed	ABCA10|10349	410.4278
ABCA11P|79963	86.4364	ABCA11P|79963	104.6257
ABCA12|26154	603.1744	ABCA12|26154	65.0624
lowly_expressed	lowly_expressed	ABCA13|154664	23.6185
ABCA17P|650655	9.785	lowly_expressed	lowly_expressed
ABCA1|19	955.7832	ABCA1|19	2519.4029
ABCA2|20	1979.013	ABCA2|20	1528.5205
ABCA3|21	2114.2554	ABCA3|21	1156.8627
ABCA4|24	6.9893	ABCA4|24	35.6506
ABCA5|23461	60.1078	ABCA5|23461	930.4813
ABCA6|23460	47.8765	ABCA6|23460	796.7914
ABCA7|10347	134.1941	ABCA7|10347	188.9483
lowly_expressed	lowly_expressed	ABCA8|10351	1499.1087
ABCA9|10350	10.8334	ABCA9|10350	1087.344
ABCB10|23456	268.7376	ABCB10|23456	379.2335
lowly_expressed	lowly_expressed	ABCB11|8647	21.836
ABCB1|5243	11.1828	ABCB1|5243	298.574
ABCB4|5244	13.9785	ABCB4|5244	20.0535
lowly_expressed	lowly_expressed	ABCB5|340273	65.0624
ABCB6|10058	578.8237	ABCB6|10058	505.8645
ABCB7|22	380.9154	ABCB7|22	444.7415
ABCB8|11194	959.9768	ABCB8|11194	389.9287
ABCB9|23457	201.1618	ABCB9|23457	109.3226
ABCC10|89845	596.5345	ABCC10|89845	416.221
ABCC11|85320	90.5111	ABCC11|85320	851.1586
lowly_expressed	lowly_expressed	ABCC12|94160	8.0214
ABCC13|150000	10.1344	lowly_expressed	lowly_expressed
ABCC1|4363	2235.5193	ABCC1|4363	1227.7184
lowly_expressed	lowly_expressed	ABCC2|1244	19.1622
ABCC3|8714	320.1088	ABCC3|8714	1115.4189
ABCC4|10257	191.1566	ABCC4|10257	80.6595
ABCC5|10057	2768.102	ABCC5|10057	914.4385
lowly_expressed	lowly_expressed	ABCC6P1|653190	15.5971
ABCC6P2|730013	7.6882	ABCC6P2|730013	12.9234
ABCC6|368	10.8334	ABCC6|368	163.9929
ABCC8|6833	74.0863	ABCC8|6833	102.9412
ABCC9|10060	281.3183	ABCC9|10060	838.6809
ABCD1|215	566.1312	ABCD1|215	436.2745
ABCD3|5825	2337.2133	ABCD3|5825	1636.8093
ABCD4|5826	570.3248	ABCD4|5826	724.1533
ABCE1|6059	964.8693	ABCE1|6059	1634.1355
ABCF1|23	1664.4956	ABCF1|23	1550.8021
ABCF2|10061	1657.1569	ABCF2|10061	1210.3387
ABCF3|55324	1309.4405	ABCF3|55324	981.2834
ABCG1|9619	1300.005	ABCG1|9619	831.5508
ABCG2|9429	24.113	ABCG2|9429	227.7184
ABCG4|64137	6.9893	lowly_expressed	lowly_expressed
ABHD10|55347	352.9583	ABHD10|55347	536.5419
ABHD11|83451	851.2936	ABHD11|83451	575.7576
ABHD12B|145447	6.6398	lowly_expressed	lowly_expressed
ABHD12|26090	2351.8907	ABHD12|26090	731.7291
