gene_id	TCGA-BH-A18K-01A-11R-A12D-07	gene_id	TCGA-BH-A18K-11A-13R-A12D-07
?|100133144	10.564	?|100133144	17.7379
?|100134869	5.3723	?|100134869	11.6465
?|10357	116.7915	?|10357	108.6754
?|10431	1471.0934	?|10431	461.2873
?|155060	157.5919	?|155060	322.2948
?|390284	6.7286	?|390284	5.597
?|57714	538.2913	?|57714	1176.7724
?|645851	14.5197	?|645851	16.791
?|652919	16.1133	?|652919	69.0625
?|653553	928.5525	?|653553	76.959
?|729884	12.3949	?|729884	15.3918
?|8225	823.019	?|8225	561.1007
?|90288	48.1629	?|90288	15.8582
A1BG|1	345.1085	A1BG|1	71.7817
A2LD1|87769	53.2413	A2LD1|87769	89.319
A2ML1|144568	22.3108	A2ML1|144568	5.597
A2M|2	10244.4763	A2M|2	41329.2397
A4GALT|53947	278.3533	A4GALT|53947	186.5672
AAAS|8086	606.9942	AAAS|8086	445.4291
AACS|65985	1274.9004	AACS|65985	2368.9366
lowly_expressed	lowly_expressed	AADAC|13	24.7201
AADAT|51166	48.1629	AADAT|51166	71.8284
AAGAB|79719	1243.0279	AAGAB|79719	853.5448
AAK1|22848	893.4927	AAK1|22848	1225.7463
AAMP|14	1694.5551	AAMP|14	2089.5522
AARS2|57505	510.247	AARS2|57505	524.2491
AARSD1|80755	732.7136	AARSD1|80755	496.2687
AARS|16	2199.9115	AARS|16	2809.2351
AASDHPPT|60496	1447.7202	AASDHPPT|60496	886.194
AASDH|132949	270.5622	AASDH|132949	519.5896
AASS|10157	187.3395	AASS|10157	985.0746
AATF|26574	1201.9478	AATF|26574	895.5224
AATK|9625	15.228	AATK|9625	55.9701
ABAT|18	1979.9911	ABAT|18	881.5299
ABCA10|10349	21.6025	ABCA10|10349	396.9216
ABCA11P|79963	117.7689	ABCA11P|79963	134.8274
ABCA12|26154	438.4241	ABCA12|26154	160.4478
lowly_expressed	lowly_expressed	ABCA13|154664	10.7276
ABCA17P|650655	24.7897	ABCA17P|650655	5.597
ABCA1|19	660.8127	ABCA1|19	2470.569
ABCA2|20	496.857	ABCA2|20	2316.2313
ABCA3|21	2952.1027	ABCA3|21	1067.1642
ABCA4|24	244.71	ABCA4|24	41.9776
ABCA5|23461	152.2798	ABCA5|23461	1255.1306
ABCA6|23460	127.1359	ABCA6|23460	618.0037
ABCA7|10347	255.3342	ABCA7|10347	319.0299
ABCA8|10351	113.3245	ABCA8|10351	1217.8172
ABCA9|10350	83.9309	ABCA9|10350	897.3881
ABCB10|23456	892.0761	ABCB10|23456	416.9776
ABCB1|5243	60.5578	ABCB1|5243	670.709
ABCB4|5244	58.4329	ABCB4|5244	7.9291
ABCB5|340273	7.7911	ABCB5|340273	23.3209
ABCB6|10058	276.4303	ABCB6|10058	467.1269
ABCB7|22	466.7552	ABCB7|22	564.3657
ABCB8|11194	1053.2094	ABCB8|11194	425.8396
ABCB9|23457	164.8907	ABCB9|23457	91.1707
ABCC10|89845	624.7012	ABCC10|89845	540.5784
ABCC11|85320	590.3497	ABCC11|85320	2476.6791
ABCC12|94160	22.3108	ABCC12|94160	20.056
ABCC13|150000	335.0155	lowly_expressed	lowly_expressed
ABCC1|4363	810.6242	ABCC1|4363	1362.8731
lowly_expressed	lowly_expressed	ABCC2|1244	24.2537
ABCC3|8714	139.5308	ABCC3|8714	986.9403
ABCC4|10257	108.3665	ABCC4|10257	110.0746
ABCC5|10057	2532.8021	ABCC5|10057	1026.5858
lowly_expressed	lowly_expressed	ABCC6P1|653190	19.5896
lowly_expressed	lowly_expressed	ABCC6P2|730013	20.9888
ABCC6|368	10.27	ABCC6|368	286.847
ABCC8|6833	153.6963	ABCC8|6833	780.7836
ABCC9|10060	297.1226	ABCC9|10060	548.5075
ABCD1|215	445.1527	ABCD1|215	370.8022
ABCD2|225	6.7286	ABCD2|225	520.5224
ABCD3|5825	2819.6547	ABCD3|5825	1958.9552
ABCD4|5826	683.8424	ABCD4|5826	730.8769
ABCE1|6059	1870.5622	ABCE1|6059	1368.9366
ABCF1|23	1865.6042	ABCF1|23	1214.0858
ABCF2|10061	1652.4126	ABCF2|10061	992.0709
ABCF3|55324	877.9106	ABCF3|55324	909.0485
ABCG1|9619	831.5184	ABCG1|9619	549.4403
ABCG2|9429	73.3068	ABCG2|9429	276.1194
ABHD10|55347	750.4205	ABHD10|55347	644.1231
ABHD11|83451	2554.4046	ABHD11|83451	505.1306
ABHD12B|145447	37.1846	ABHD12B|145447	6.9963
ABHD12|26090	1792.6516	ABHD12|26090	612.8731
ABHD13|84945	408.3223	ABHD13|84945	503.2649
ABHD14A|25864	263.8336	ABHD14A|25864	178.7966
ABHD14B|84836	1999.8229	ABHD14B|84836	2087.2201
ABHD15|116236	343.1607	ABHD15|116236	592.8172
ABHD1|84696	50.6419	ABHD1|84696	42.9104
ABHD2|11057	3394.4223	ABHD2|11057	3073.2276
ABHD3|171586	656.9278	ABHD3|171586	231.3433
ABHD4|63874	1399.5573	ABHD4|63874	1141.3246
ABHD5|51099	844.2674	ABHD5|51099	1415.1119
ABHD6|57406	90.6596	ABHD6|57406	196.8284
ABHD8|79575	162.5498	ABHD8|79575	227.6119
ABI1|10006	1415.9752	ABI1|10006	1470.8909
ABI2|10152	952.988	ABI2|10152	2211.7537
ABI3BP|25890	236.919	ABI3BP|25890	603.5448
ABI3|51225	190.1726	ABI3|51225	159.0485
ABL1|25	1991.6777	ABL1|25	2578.3582
ABL2|27	1356.7065	ABL2|27	854.4776
ABLIM1|3983	1665.5157	ABLIM1|3983	5974.347
ABLIM2|84448	70.1195	ABLIM2|84448	53.6381
ABLIM3|22885	563.7893	ABLIM3|22885	2172.5746
ABO|28	14.8738	ABO|28	11.6604
ABP1|26	20.5401	lowly_expressed	lowly_expressed
ABR|29	1738.8225	ABR|29	2345.6157
ABT1|29777	836.1222	ABT1|29777	489.2724
ABTB1|80325	201.8592	ABTB1|80325	772.8545
ABTB2|25841	42.1425	ABTB2|25841	95.6157
ACAA1|30	1065.9584	ACAA1|30	1560.6343
ACAA2|10449	895.9717	ACAA2|10449	2213.6194
ACACA|31	3571.1377	ACACA|31	7044.7761
ACACB|32	508.1895	ACACB|32	8365.6716
ACAD10|80724	655.8654	ACAD10|80724	743.4701
ACAD11|84129	228.0407	ACAD11|84129	736.889
ACAD8|27034	550.332	ACAD8|27034	797.5746
ACAD9|28976	882.8154	ACAD9|28976	944.0299
lowly_expressed	lowly_expressed	ACADL|33	278.4515
ACADM|34	1050.0221	ACADM|34	1816.6978
ACADSB|36	1453.7406	ACADSB|36	3131.5299
ACADS|35	311.6423	ACADS|35	1241.6045
