gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
?|100133144	17.0202	?|100133144	8.9739
?|10357	82.2572	?|10357	88.6081
?|10431	725.7225	?|10431	748.9487
?|155060	104.0462	?|155060	222.0353
?|390284	6.3584	?|390284	7.5694
?|57714	4411.8497	?|57714	700.1682
?|645851	10.4046	?|645851	6.3078
?|652919	11.7601	?|652919	44.651
?|653553	256.9364	?|653553	166.947
?|8225	356.3584	?|8225	453.3221
?|90288	11.2717	?|90288	51.7241
A1BG|1	180.6618	A1BG|1	69.2809
A2LD1|87769	36.7919	A2LD1|87769	86.5643
A2M|2	6745.6387	A2M|2	28875.8242
A4GALT|53947	293.6416	A4GALT|53947	609.7561
AAAS|8086	630.9249	AAAS|8086	646.3415
AACS|65985	1078.0347	AACS|65985	827.1657
lowly_expressed	lowly_expressed	AADACL3|126767	13.4567
lowly_expressed	lowly_expressed	AADAC|13	409.1674
lowly_expressed	lowly_expressed	AADAT|51166	50.8831
AAGAB|79719	1628.6127	AAGAB|79719	1063.4987
AAK1|22848	710.4046	AAK1|22848	1051.7241
AAMP|14	2123.9884	AAMP|14	1971.4045
AARS2|57505	332.078	AARS2|57505	474.7645
AARSD1|80755	926.3006	AARSD1|80755	449.9579
AARS|16	3327.4566	AARS|16	2828.4272
AASDHPPT|60496	689.3064	AASDHPPT|60496	697.2246
AASDH|132949	462.4277	AASDH|132949	366.6947
AASS|10157	43.3526	AASS|10157	566.8629
AATF|26574	1148.2659	AATF|26574	518.5029
AATK|9625	7.8035	AATK|9625	78.6375
ABAT|18	60.4046	ABAT|18	690.9167
lowly_expressed	lowly_expressed	ABCA10|10349	412.9521
ABCA11P|79963	89.7168	ABCA11P|79963	164.9958
ABCA12|26154	757.2254	ABCA12|26154	116.0639
ABCA17P|650655	8.9595	lowly_expressed	lowly_expressed
ABCA1|19	840.1676	ABCA1|19	2910.3785
ABCA2|20	2587.8613	ABCA2|20	1777.5442
ABCA3|21	7781.2139	ABCA3|21	988.6459
ABCA4|24	28.0347	ABCA4|24	72.7502
ABCA5|23461	659.8266	ABCA5|23461	812.868
ABCA6|23460	15.3179	ABCA6|23460	745.164
ABCA7|10347	286.7052	ABCA7|10347	415.8957
ABCA8|10351	20.5202	ABCA8|10351	2703.9529
ABCA9|10350	14.1618	ABCA9|10350	1460.8915
ABCB10|23456	883.237	ABCB10|23456	387.3003
ABCB1|5243	28.6127	ABCB1|5243	288.8982
ABCB4|5244	9.5376	ABCB4|5244	14.7183
lowly_expressed	lowly_expressed	ABCB5|340273	143.3978
ABCB6|10058	1270.1214	ABCB6|10058	578.8394
ABCB7|22	331.7919	ABCB7|22	415.8957
ABCB8|11194	859.8266	ABCB8|11194	515.5593
ABCB9|23457	668.1676	ABCB9|23457	125.6308
ABCC10|89845	254.6243	ABCC10|89845	441.968
ABCC11|85320	27.4566	ABCC11|85320	200.5887
ABCC1|4363	2699.711	ABCC1|4363	1194.7014
ABCC2|1244	36.1272	ABCC2|1244	13.0362
ABCC3|8714	144.7977	ABCC3|8714	616.905
ABCC4|10257	504.3353	ABCC4|10257	122.7923
ABCC5|10057	757.2254	ABCC5|10057	677.0395
lowly_expressed	lowly_expressed	ABCC6P1|653190	18.0824
ABCC6P2|730013	7.8035	ABCC6P2|730013	42.0521
ABCC6|368	87.5723	ABCC6|368	650.9672
ABCC8|6833	559.5376	ABCC8|6833	86.2069
ABCC9|10060	208.0925	ABCC9|10060	1231.7073
ABCD1|215	230.3468	ABCD1|215	470.5635
ABCD2|225	6.6474	ABCD2|225	597.561
ABCD3|5825	2945.0867	ABCD3|5825	1658.1161
ABCD4|5826	600	ABCD4|5826	814.55
ABCE1|6059	2069.3642	ABCE1|6059	1215.307
ABCF1|23	3263.5838	ABCF1|23	1422.6241
