gene_id	TCGA-BH-A18M-01A-11R-A12D-07	gene_id	TCGA-BH-A18M-11A-33R-A12D-07
lowly_expressed	lowly_expressed	?|100133144	6.1701
?|100134869	8.1984	?|100134869	5.2887
?|10357	82.9795	?|10357	84.4645
?|10431	831.5947	?|10431	606.8753
?|155060	164.1885	?|155060	263.1115
?|390284	6.2443	?|390284	6.1701
?|57714	2029.0324	?|57714	823.7109
?|645851	9.9174	?|645851	17.1882
?|652919	8.0809	?|652919	70.3085
?|653553	480.077	?|653553	178.4927
?|8225	358.1294	?|8225	395.3283
?|90288	44.4448	?|90288	22.9176
A1BG|1	98.7004	A1BG|1	77.5143
A2LD1|87769	108.2946	A2LD1|87769	63.918
lowly_expressed	lowly_expressed	A2ML1|144568	7.4923
A2M|2	15772.7109	A2M|2	34138.2239
A4GALT|53947	269.9744	A4GALT|53947	449.978
AAAS|8086	730.9512	AAAS|8086	590.1278
AACS|65985	1412.6826	AACS|65985	1012.781
lowly_expressed	lowly_expressed	AADACL3|126767	7.0516
lowly_expressed	lowly_expressed	AADAC|13	29.0877
AADAT|51166	29.0177	AADAT|51166	66.9899
AAGAB|79719	1729.3056	AAGAB|79719	970.4716
AAK1|22848	934.0748	AAK1|22848	1135.7426
AAMP|14	2214.525	AAMP|14	1985.0154
AARS2|57505	419.0885	AARS2|57505	498.4266
AARSD1|80755	495.1368	AARSD1|80755	430.1454
AARS|16	1947.1217	AARS|16	2442.045
AASDHPPT|60496	772.0681	AASDHPPT|60496	744.3808
AASDH|132949	411.7569	AASDH|132949	429.264
AASS|10157	239.4875	AASS|10157	696.7827
AATF|26574	1140.5042	AATF|26574	865.5796
AATK|9625	31.2215	AATK|9625	56.8532
ABAT|18	4398.5631	ABAT|18	1087.2631
ABCA10|10349	51.791	ABCA10|10349	366.6814
ABCA11P|79963	153.5291	ABCA11P|79963	145.1432
ABCA12|26154	386.4124	ABCA12|26154	60.379
lowly_expressed	lowly_expressed	ABCA13|154664	7.0516
ABCA17P|650655	8.8155	lowly_expressed	lowly_expressed
ABCA1|19	949.1346	ABCA1|19	2576.4478
ABCA2|20	1809.0124	ABCA2|20	1894.2265
ABCA3|21	4502.1451	ABCA3|21	2096.5183
ABCA4|24	231.4067	ABCA4|24	133.0983
ABCA5|23461	218.5507	ABCA5|23461	877.4791
ABCA6|23460	292.0132	ABCA6|23460	865.5796
ABCA7|10347	289.8093	ABCA7|10347	262.6708
ABCA8|10351	553.9067	ABCA8|10351	2262.2301
ABCA9|10350	314.7865	ABCA9|10350	1147.2014
ABCB10|23456	713.3202	ABCB10|23456	435.8748
ABCB1|5243	253.4454	ABCB1|5243	550.9035
ABCB4|5244	8.4482	ABCB4|5244	11.4588
ABCB5|340273	32.6908	ABCB5|340273	475.0992
ABCB6|10058	548.8746	ABCB6|10058	490.617
ABCB7|22	242.426	ABCB7|22	420.0088
ABCB8|11194	845.5526	ABCB8|11194	433.2305
ABCB9|23457	351.3561	ABCB9|23457	135.4429
ABCC10|89845	416.532	ABCC10|89845	397.532
ABCC11|85320	181.0849	ABCC11|85320	37.0207
ABCC13|150000	601.29	lowly_expressed	lowly_expressed
ABCC1|4363	1499.7355	ABCC1|4363	1311.1503
ABCC2|1244	15.4271	ABCC2|1244	20.2732
ABCC3|8714	126.7227	ABCC3|8714	693.6977
ABCC4|10257	150.2307	ABCC4|10257	146.7607
ABCC5|10057	1530.2224	ABCC5|10057	858.9687
ABCC6P1|653190	6.9789	ABCC6P1|653190	6.1701
ABCC6P2|730013	9.1828	ABCC6P2|730013	22.9176
ABCC6|368	118.2745	ABCC6|368	351.2561
ABCC8|6833	88.5222	ABCC8|6833	129.1318
ABCC9|10060	376.1276	ABCC9|10060	1204.0546
ABCD1|215	327.6424	ABCD1|215	350.8153
ABCD2|225	23.508	ABCD2|225	430.5862
ABCD3|5825	2924.5394	ABCD3|5825	1728.074
ABCD4|5826	460.9768	ABCD4|5826	684.8832
ABCE1|6059	1808.2777	ABCE1|6059	1366.2406
ABCF1|23	1678.2492	ABCF1|23	1429.7047
ABCF2|10061	1247.7594	ABCF2|10061	1051.5646
ABCF3|55324	973.0099	ABCF3|55324	900.8374
ABCG1|9619	516.0736	ABCG1|9619	607.7567
ABCG2|9429	135.5382	ABCG2|9429	194.3587
ABHD10|55347	616.3498	ABHD10|55347	524.4601
ABHD11|83451	592.8418	ABHD11|83451	349.9339
lowly_expressed	lowly_expressed	ABHD12B|145447	5.7294
ABHD12|26090	1157.4006	ABHD12|26090	828.9996
ABHD13|84945	472.7307	ABHD13|84945	569.8546
ABHD14A|25864	232.5637	ABHD14A|25864	229.6166
ABHD14B|84836	1463.7389	ABHD14B|84836	1645.2182
ABHD15|116236	336.4579	ABHD15|116236	515.2049
ABHD1|84696	20.2022	ABHD1|84696	38.3429
ABHD2|11057	4185.1547	ABHD2|11057	3229.6166
ABHD3|171586	416.532	ABHD3|171586	251.6527
ABHD4|63874	909.4649	ABHD4|63874	948.8762
ABHD5|51099	1042.7992	ABHD5|51099	1075.8043
ABHD6|57406	141.0479	ABHD6|57406	355.6633
ABHD8|79575	246.0991	ABHD8|79575	181.1371
ABI1|10006	1422.1739	ABI1|10006	1404.5835
ABI2|10152	1830.3165	ABI2|10152	1728.5148
ABI3BP|25890	710.0144	ABI3BP|25890	2094.7554
ABI3|51225	142.1498	ABI3|51225	172.3226
ABL1|25	2844.4653	ABL1|25	3197.8845
ABL2|27	1123.6079	ABL2|27	1688.409
ABLIM1|3983	4637.316	ABLIM1|3983	8416.0423
ABLIM2|84448	76.0336	ABLIM2|84448	107.5364
ABLIM3|22885	1216.9052	ABLIM3|22885	2398.4134
lowly_expressed	lowly_expressed	ABO|28	13.6624
ABP1|26	6.6116	lowly_expressed	lowly_expressed
ABR|29	2071.6406	ABR|29	2579.1097
ABT1|29777	401.8395	ABT1|29777	479.9471
ABTB1|80325	266.6686	ABTB1|80325	743.9401
ABTB2|25841	47.7506	ABTB2|25841	47.5981
ACAA1|30	1206.2531	ACAA1|30	1194.3587
ACAA2|10449	766.5805	ACAA2|10449	1586.1613
ACACA|31	3367.5179	ACACA|31	3025.5619
ACACB|32	1196.703	ACACB|32	7698.9863
ACAD10|80724	519.0121	ACAD10|80724	481.71
ACAD11|84129	230.628	ACAD11|84129	805.628
ACAD8|27034	283.565	ACAD8|27034	518.29
ACAD9|28976	829.0199	ACAD9|28976	936.5359
ACADL|33	11.0194	ACADL|33	150.7272
ACADM|34	1152.6255	ACADM|34	1157.7788
ACADSB|36	1672.3722	ACADSB|36	2940.9431
ACADS|35	315.8885	ACADS|35	844.8656
ACADVL|37	4967.7867	ACADVL|37	5704.6673
ACAN|176	23.8753	ACAN|176	7.4923
ACAP1|9744	64.6469	ACAP1|9744	69.6342
ACAP2|23527	1364.932	ACAP2|23527	1525.7823
ACAP3|116983	507.2911	ACAP3|116983	390.0397
ACAT1|38	950.9712	ACAT1|38	1354.3411
ACAT2|39	634.7338	ACAT2|39	318.0961
ACBD3|64746	2484.1321	ACBD3|64746	1382.9881
ACBD4|79777	179.983	ACBD4|79777	279.4182
ACBD5|91452	908.363	ACBD5|91452	806.5227
ACBD6|84320	338.2945	ACBD6|84320	303.658
ACBD7|414149	37.0985	ACBD7|414149	39.6651
ACCN1|40	17.631	ACCN1|40	6.1701
ACCN2|41	38.5678	ACCN2|41	75.8043
ACCN3|9311	22.0387	ACCN3|9311	11.0181
ACCS|84680	173.3713	ACCS|84680	251.212
ACD|65057	167.127	ACD|65057	332.7457
lowly_expressed	lowly_expressed	ACE2|59272	18.0696
ACER2|340485	219.6527	ACER2|340485	216.8356
ACER3|55331	427.5514	ACER3|55331	720.141
ACE|1636	350.7831	ACE|1636	657.1177
ACHE|43	6.9789	ACHE|43	30.8506
ACIN1|22985	3241.8971	ACIN1|22985	3398.4134
ACLY|47	4347.5067	ACLY|47	3356.9855
ACMSD|130013	6.6116	lowly_expressed	lowly_expressed
ACN9|57001	150.2307	ACN9|57001	100.4848
ACO1|48	1168.0527	ACO1|48	3045.8352
ACO2|50	2155.0461	ACO2|50	2549.9207
ACOT11|26027	34.6082	ACOT11|26027	31.3486
ACOT13|55856	441.6414	ACOT13|55856	497.5672
ACOT1|641371	527.4603	ACOT1|641371	788.0123
ACOT2|10965	382.7393	ACOT2|10965	499.3389
ACOT4|122970	292.0132	ACOT4|122970	99.6033
ACOT7|11332	509.8293	ACOT7|11332	264.4337
ACOT8|10005	219.4029	ACOT8|10005	205.2314
ACOT9|23597	307.8076	ACOT9|23597	430.1454
ACOX1|51	1657.8744	ACOX1|51	2798.6999
ACOX2|8309	120.1111	ACOX2|8309	312.0317
ACOX3|8310	879.7126	ACOX3|8310	623.182
ACP1|52	1292.2042	ACP1|52	949.3169
ACP2|53	1325.9969	ACP2|53	756.721
ACP5|54	551.7029	ACP5|54	614.8083
ACP6|51205	217.0815	ACP6|51205	223.0057
ACPL2|92370	531.5007	ACPL2|92370	420.0088
ACPP|55	19.8349	ACPP|55	29.0877
ACRBP|84519	38.2005	ACRBP|84519	26.0026
