gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
?|100133144	6.4242	?|100133144	14.3684
?|100134869	7.3027	?|100134869	5.8036
?|10357	98.0302	?|10357	78.9815
?|10431	772.8209	?|10431	665.0132
?|155060	276.5957	?|155060	260.582
?|390284	8.9224	lowly_expressed	lowly_expressed
?|57714	685.6555	?|57714	789.0212
?|645851	8.5793	?|645851	16.5344
?|652919	48.49	?|652919	126.293
?|653553	396.0192	?|653553	110.7804
?|8225	359.6431	?|8225	515.873
?|90288	21.6198	?|90288	39.0212
A1BG|1	168.0817	A1BG|1	98.6343
A2LD1|87769	115.5045	A2LD1|87769	66.0317
lowly_expressed	lowly_expressed	A2ML1|144568	5.6217
A2M|2	8444.3068	A2M|2	33104.7851
A4GALT|53947	84.42	A4GALT|53947	399.8016
AAAS|8086	908.3734	AAAS|8086	591.2698
AACS|65985	941.3178	AACS|65985	785.3836
lowly_expressed	lowly_expressed	AADACL3|126767	8.2672
lowly_expressed	lowly_expressed	AADAC|13	18.8492
AADAT|51166	56.9664	AADAT|51166	67.1296
AAGAB|79719	2924.5024	AAGAB|79719	1050.5952
AAK1|22848	1210.7069	AAK1|22848	1313.4921
AAMP|14	2735.4152	AAMP|14	1888.2275
AARS2|57505	382.5806	AARS2|57505	438.4623
AARSD1|80755	530.5422	AARSD1|80755	424.6032
AARS|16	2556.9664	AARS|16	2598.545
AASDHPPT|60496	1082.7042	AASDHPPT|60496	713.6243
AASDH|132949	466.3693	AASDH|132949	467.5926
AASS|10157	403.2258	AASS|10157	733.4656
AATF|26574	1196.2938	AATF|26574	848.2143
AATK|9625	116.6781	AATK|9625	62.5
ABAT|18	5540.4942	ABAT|18	714.9471
ABCA10|10349	6.8634	ABCA10|10349	389.881
ABCA11P|79963	87.3267	ABCA11P|79963	127.3413
ABCA12|26154	107.4125	ABCA12|26154	78.7037
ABCA17P|650655	18.8744	ABCA17P|650655	5.9524
ABCA1|19	212.0796	ABCA1|19	2076.7063
ABCA2|20	882.2924	ABCA2|20	1463.2937
ABCA3|21	3482.1551	ABCA3|21	1304.5635
ABCA4|24	8.9224	ABCA4|24	80.6878
ABCA5|23461	595.4015	ABCA5|23461	1007.2751
ABCA6|23460	18.5312	ABCA6|23460	959.6561
ABCA7|10347	346.6026	ABCA7|10347	255.291
ABCA8|10351	6.5202	ABCA8|10351	2173.9418
ABCA9|10350	13.3837	ABCA9|10350	1211.6402
