gene_id	TCGA-BH-A18P-01A-11R-A12D-07	gene_id	TCGA-BH-A18P-11A-43R-A12D-07
?|100133144	22.5945	?|100133144	6.7108
?|100134869	8.1663	lowly_expressed	lowly_expressed
?|10357	130.2609	?|10357	112.1928
?|10431	735.3291	?|10431	595.1365
?|155060	187.8605	?|155060	133.5324
?|390284	12.0846	lowly_expressed	lowly_expressed
?|57714	1581.983	?|57714	742.7474
?|645851	11.3522	?|645851	8.959
lowly_expressed	lowly_expressed	?|652919	55.8874
?|653553	46.1412	?|653553	95.5631
?|8225	238.7622	?|8225	420.6485
?|90288	6.2254	?|90288	17.0648
A1BG|1	135.9443	A1BG|1	47.6962
A2LD1|87769	73.8332	A2LD1|87769	87.116
A2M|2	6636.6127	A2M|2	28867.9096
A4GALT|53947	61.5216	A4GALT|53947	257.6792
AAAS|8086	640.1172	AAAS|8086	560.1536
AACS|65985	975.19	AACS|65985	1560.5802
AADAT|51166	32.958	AADAT|51166	66.5529
AAGAB|79719	2331.5939	AAGAB|79719	711.1775
AAK1|22848	1401.4465	AAK1|22848	1538.8225
AAMP|14	2161.6772	AAMP|14	2013.2253
AARS2|57505	542.6714	AARS2|57505	328.9164
AARSD1|80755	375.721	AARSD1|80755	439.8464
AARS|16	2105.6486	AARS|16	2610.4949
AASDHPPT|60496	716.6529	AASDHPPT|60496	857.0819
AASDH|132949	363.6364	AASDH|132949	431.314
AASS|10157	262.9314	AASS|10157	1455.6314
AATF|26574	1098.9655	AATF|26574	840.4437
AATK|9625	50.5356	AATK|9625	34.9829
ABAT|18	1105.9233	ABAT|18	521.3311
lowly_expressed	lowly_expressed	ABCA10|10349	218.8567
ABCA11P|79963	88.0674	ABCA11P|79963	139.1724
ABCA12|26154	341.6644	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCA17P|650655	6.3993
ABCA1|19	490.6967	ABCA1|19	4407.3848
ABCA2|20	1282.7978	ABCA2|20	1542.6621
ABCA3|21	1278.0372	ABCA3|21	1157.4232
ABCA4|24	19.0424	ABCA4|24	22.6109
ABCA5|23461	135.8601	ABCA5|23461	1087.884
ABCA6|23460	26.0002	ABCA6|23460	496.1604
ABCA7|10347	156.3673	ABCA7|10347	376.2799
ABCA8|10351	30.0284	ABCA8|10351	1619.0273
ABCA9|10350	8.4226	ABCA9|10350	608.7884
ABCB10|23456	629.4974	ABCB10|23456	510.2389
ABCB11|8647	9.8874	lowly_expressed	lowly_expressed
ABCB1|5243	53.099	ABCB1|5243	539.6758
ABCB4|5244	37.7186	ABCB4|5244	23.4642
lowly_expressed	lowly_expressed	ABCB5|340273	111.7747
