gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
?|100133144	6.2988	?|100133144	14.7282
?|100134869	14.8809	lowly_expressed	lowly_expressed
?|10357	118.3819	?|10357	70.5121
?|10431	878.958	?|10431	522.1489
?|155060	110.9817	?|155060	382.6579
lowly_expressed	lowly_expressed	?|388795	5.9692
lowly_expressed	lowly_expressed	?|390284	6.9117
?|57714	1177.1683	?|57714	822.1803
?|645851	14.8258	?|645851	18.8501
?|652919	51.4921	?|652919	66.2991
?|653553	38.9707	?|653553	80.7414
?|8225	456.6345	?|8225	401.8222
?|90288	5.9303	?|90288	16.9651
A1BG|1	98.6127	A1BG|1	83.17
lowly_expressed	lowly_expressed	A2BP1|54715	6.9117
A2LD1|87769	53.9786	A2LD1|87769	73.016
A2ML1|144568	115.6412	A2ML1|144568	57.1788
A2M|2	40406.5572	A2M|2	24877.251
A4GALT|53947	559.9915	A4GALT|53947	223.6883
AAAS|8086	620.1419	AAAS|8086	543.8266
AACS|65985	1050.9372	AACS|65985	1039.2711
lowly_expressed	lowly_expressed	AADAC|13	16.0226
AADAT|51166	174.9444	AADAT|51166	112.4725
AAGAB|79719	767.5527	AAGAB|79719	1005.655
AAK1|22848	873.8748	AAK1|22848	1383.9145
AAMP|14	1645.6635	AAMP|14	1700.5969
AARS2|57505	558.6742	AARS2|57505	473.1291
AARSD1|80755	339.299	AARSD1|80755	389.8838
AARS|16	6741.5016	AARS|16	2376.0603
AASDHPPT|60496	887.8534	AASDHPPT|60496	906.0635
AASDH|132949	227.8937	AASDH|132949	608.2312
AASS|10157	596.8442	AASS|10157	1235.6268
AATF|26574	917.0814	AATF|26574	774.7408
AATK|9625	29.6516	AATK|9625	35.8153
ABAT|18	520.5973	ABAT|18	1150.1728
ABCA10|10349	155.4591	ABCA10|10349	786.2017
ABCA11P|79963	114.9338	ABCA11P|79963	214.9607
ABCA12|26154	12.2842	ABCA12|26154	61.5771
ABCA13|154664	1420.3113	ABCA13|154664	64.4046
ABCA17P|650655	12.7078	ABCA17P|650655	7.5401
ABCA1|19	718.4158	ABCA1|19	1296.4185
ABCA2|20	634.1205	ABCA2|20	1350.6126
ABCA3|21	1196.6536	ABCA3|21	964.8131
ABCA4|24	105.0514	ABCA4|24	105.2466
ABCA5|23461	1754.1036	ABCA5|23461	1569.4376
ABCA6|23460	122.4187	ABCA6|23460	757.1473
ABCA7|10347	339.299	ABCA7|10347	230.2859
ABCA8|10351	161.813	ABCA8|10351	1629.5947
ABCA9|10350	210.1027	ABCA9|10350	1127.5526
ABCB10|23456	785.3436	ABCB10|23456	453.9742
ABCB1|5243	94.0379	ABCB1|5243	1069.7455
ABCB4|5244	9.3191	ABCB4|5244	23.5627
