gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
?|100133144	6.5527	?|100133144	8.2948
?|10357	104.6597	?|10357	87.9144
?|10431	1115.899	?|10431	492.2345
?|155060	96.2853	?|155060	288.1141
?|390284	5.9435	lowly_expressed	lowly_expressed
?|57714	2347.9941	?|57714	870.6815
lowly_expressed	lowly_expressed	?|645851	13.6292
lowly_expressed	lowly_expressed	?|652919	179.0808
?|653553	267.7563	?|653553	75.4358
?|729884	5.052	?|729884	5.0713
?|8225	764.9331	?|8225	616.4818
?|90288	10.4012	?|90288	14.58
A1BG|1	79.4918	A1BG|1	55.8003
A2LD1|87769	54.4814	A2LD1|87769	65.2805
A2ML1|144568	25.26	A2ML1|144568	5.0713
A2M|2	7076.8529	A2M|2	20725.3534
A4GALT|53947	43.9822	A4GALT|53947	232.6466
AAAS|8086	739.0788	AAAS|8086	547.0681
AACSL|729522	6.2407	lowly_expressed	lowly_expressed
AACS|65985	2551.5602	AACS|65985	1131.2203
lowly_expressed	lowly_expressed	AADAC|13	14.58
AADAT|51166	136.7013	AADAT|51166	76.3867
AAGAB|79719	2359.8811	AAGAB|79719	792.0761
AAK1|22848	742.3477	AAK1|22848	1241.2044
AAMP|14	2523.9227	AAMP|14	1861.8067
AARS2|57505	452.8945	AARS2|57505	433.5563
AARSD1|80755	251.4116	AARSD1|80755	384.1521
AARS|16	8527.786	AARS|16	2308.7163
AASDHPPT|60496	4465.9733	AASDHPPT|60496	915.3724
AASDH|132949	412.7786	AASDH|132949	493.8193
AASS|10157	173.5513	AASS|10157	1069.0967
AATF|26574	908.4695	AATF|26574	826.3074
AATK|9625	137.6464	AATK|9625	39.9366
ABAT|18	574.4428	ABAT|18	457.0523
ABCA10|10349	49.1976	ABCA10|10349	768.6212
ABCA11P|79963	100.4993	ABCA11P|79963	155.2837
ABCA12|26154	3392.5706	ABCA12|26154	51.0301
lowly_expressed	lowly_expressed	ABCA13|154664	38.6688
ABCA1|19	1631.4651	ABCA1|19	2198.9794
ABCA2|20	4127.4889	ABCA2|20	1639.3027
ABCA3|21	1713.8187	ABCA3|21	1179.7147
ABCA4|24	65.6761	ABCA4|24	71.9493
ABCA5|23461	359.4205	ABCA5|23461	1344.2155
ABCA6|23460	120.3566	ABCA6|23460	1335.6577
ABCA7|10347	289.4502	ABCA7|10347	220.6022
ABCA8|10351	162.5557	ABCA8|10351	2540.0951
ABCA9|10350	98.6627	ABCA9|10350	2105.2298
ABCB10|23456	1690.9361	ABCB10|23456	480.8241
ABCB1|5243	145.6166	ABCB1|5243	600
ABCB4|5244	63.0015	ABCB4|5244	38.9857
ABCB5|340273	6.2407	ABCB5|340273	86.8463
ABCB6|10058	759.1709	ABCB6|10058	469.4865
ABCB7|22	494.5022	ABCB7|22	564.1838
ABCB8|11194	775.9287	ABCB8|11194	309.3502
ABCB9|23457	954.3299	ABCB9|23457	105.6957
ABCC10|89845	541.159	ABCC10|89845	377.1791
ABCC11|85320	571.471	ABCC11|85320	529.9525
ABCC12|94160	6.5379	lowly_expressed	lowly_expressed
ABCC1|4363	560.4755	ABCC1|4363	890.0158
ABCC2|1244	61.8128	ABCC2|1244	16.4818
ABCC3|8714	150.0743	ABCC3|8714	361.0143
ABCC4|10257	794.948	ABCC4|10257	207.9239
ABCC5|10057	3034.4725	ABCC5|10057	859.588
ABCC6P1|653190	11.8871	ABCC6P1|653190	16.7987
ABCC6P2|730013	36.5527	ABCC6P2|730013	22.504
ABCC6|368	73.4027	ABCC6|368	287.4802
ABCC8|6833	16.0475	ABCC8|6833	46.9097
ABCC9|10060	179.4948	ABCC9|10060	1379.3978
ABCD1|215	177.4146	ABCD1|215	314.7385
ABCD2|225	14.8588	ABCD2|225	363.5499
ABCD3|5825	2746.5082	ABCD3|5825	1623.7718
ABCD4|5826	354.8291	ABCD4|5826	650.0792
ABCE1|6059	5948.2912	ABCE1|6059	1627.2583
ABCF1|23	3335.8098	ABCF1|23	1233.5975
ABCF2|10061	1834.4725	ABCF2|10061	935.0238
ABCF3|55324	1266.8648	ABCF3|55324	848.1775
ABCG1|9619	3016.3447	ABCG1|9619	403.8035
ABCG2|9429	113.2244	ABCG2|9429	354.9921
ABHD10|55347	1195.5423	ABHD10|55347	739.4612
ABHD11|83451	2684.6954	ABHD11|83451	368.3043
lowly_expressed	lowly_expressed	ABHD12B|145447	6.0222
ABHD12|26090	1051.4116	ABHD12|26090	713.1537
ABHD13|84945	580.9807	ABHD13|84945	637.7179
ABHD14A|25864	73.6999	ABHD14A|25864	255.4675
ABHD14B|84836	796.4339	ABHD14B|84836	2796.5135
ABHD15|116236	220.5052	ABHD15|116236	739.4612
ABHD1|84696	5.6464	ABHD1|84696	36.767
ABHD2|11057	2364.3388	ABHD2|11057	3569.8891
ABHD3|171586	1017.5334	ABHD3|171586	506.4976
ABHD4|63874	911.7385	ABHD4|63874	927.4168
ABHD5|51099	1236.5527	ABHD5|51099	1471.3154
ABHD6|57406	45.7652	ABHD6|57406	246.9097
ABHD8|79575	55.8692	ABHD8|79575	136.9255
ABI1|10006	1208.636	ABI1|10006	1496.1395
ABI2|10152	1377.1174	ABI2|10152	1890.0158
ABI3BP|25890	356.6122	ABI3BP|25890	1896.038
ABI3|51225	90.6389	ABI3|51225	152.4564
ABL1|25	2328.9747	ABL1|25	2695.4041
ABL2|27	1571.1738	ABL2|27	1014.2631
ABLIM1|3983	3198.5141	ABLIM1|3983	7346.4342
ABLIM2|84448	21.0996	ABLIM2|84448	63.7084
ABLIM3|22885	627.0431	ABLIM3|22885	1834.8653
lowly_expressed	lowly_expressed	ABO|28	18.3835
ABP1|26	692.7192	ABP1|26	5.0713
ABR|29	2454.9777	ABR|29	1948.6529
ABT1|29777	811.8871	ABT1|29777	530.2694
ABTB1|80325	264.1902	ABTB1|80325	690.0158
ABTB2|25841	84.6954	ABTB2|25841	76.7036
ACAA1|30	681.4264	ACAA1|30	1080.5071
ACAA2|10449	833.2838	ACAA2|10449	2203.8035
ACACA|31	2363.4473	ACACA|31	4298.5737
ACACB|32	3645.7652	ACACB|32	10697.6228
ACAD10|80724	756.6122	ACAD10|80724	573.6926
ACAD11|84129	317.6612	ACAD11|84129	748.6403
ACAD8|27034	419.3165	ACAD8|27034	625.0396
ACAD9|28976	1620.9747	ACAD9|28976	800.7797
lowly_expressed	lowly_expressed	ACADL|33	251.3471
ACADM|34	1737.89	ACADM|34	1492.8685
ACADSB|36	1575.9287	ACADSB|36	3585.7369
ACADS|35	923.9227	ACADS|35	902.6941
ACADVL|37	6643.3016	ACADVL|37	5252.5895
ACAN|176	14.8588	ACAN|176	15.8479
ACAP1|9744	85.2897	ACAP1|9744	103.645
ACAP2|23527	1341.159	ACAP2|23527	1822.504
ACAP3|116983	398.2585	ACAP3|116983	437.4358
ACAT1|38	731.055	ACAT1|38	1860.5388
ACAT2|39	496.6924	ACAT2|39	343.4105
ACBD3|64746	3643.9822	ACBD3|64746	1417.4326
ACBD4|79777	51.1144	ACBD4|79777	315.3724
ACBD5|91452	1565.2303	ACBD5|91452	821.5531
ACBD6|84320	683.8039	ACBD6|84320	313.1537
ACBD7|414149	142.3477	ACBD7|414149	36.4501
