gene_id	TCGA-BH-A18S-01A-11R-A12D-07	gene_id	TCGA-BH-A18S-11A-43R-A12D-07
?|10357	59.6222	?|10357	65.2751
?|10431	1089.5036	?|10431	744.3074
?|155060	65.318	?|155060	237.666
?|390284	7.185	?|390284	9.962
?|57714	254.4135	?|57714	517.5522
lowly_expressed	lowly_expressed	?|645851	5.6926
?|652919	51.9278	?|652919	19.9288
?|653553	67.2775	?|653553	229.6015
lowly_expressed	lowly_expressed	?|729884	48.3871
?|8225	370.3528	?|8225	388.5199
?|90288	136.5145	?|90288	27.0398
A1BG|1	182.5114	A1BG|1	93.259
A2LD1|87769	71.1704	A2LD1|87769	54.9099
lowly_expressed	lowly_expressed	A2ML1|144568	8.0645
A2M|2	5245.6429	A2M|2	29391.8596
A4GALT|53947	332.795	A4GALT|53947	429.3169
AAAS|8086	593.0871	AAAS|8086	564.9905
AACS|65985	1054.885	AACS|65985	772.296
lowly_expressed	lowly_expressed	AADACL3|126767	43.6433
lowly_expressed	lowly_expressed	AADAC|13	25.1423
AADAT|51166	25.474	AADAT|51166	67.8368
AAGAB|79719	1811.267	AAGAB|79719	1037.9507
AAK1|22848	865.1364	AAK1|22848	1152.277
AAMP|14	2686.2011	AAMP|14	2151.3283
AARS2|57505	415.0858	AARS2|57505	366.9877
AARSD1|80755	820.7202	AARSD1|80755	452.5617
AARS|16	3626.4531	AARS|16	2237.1917
AASDHPPT|60496	591.1275	AASDHPPT|60496	796.4896
AASDH|132949	499.0292	AASDH|132949	330.6452
AASS|10157	262.5782	AASS|10157	648.482
AATF|26574	1089.8302	AATF|26574	899.4307
AATK|9625	66.9509	AATK|9625	72.5806
ABAT|18	976.8301	ABAT|18	399.9051
lowly_expressed	lowly_expressed	ABCA10|10349	198.7666
ABCA11P|79963	115.0609	ABCA11P|79963	132.3387
ABCA12|26154	56.8266	ABCA12|26154	64.0417
lowly_expressed	lowly_expressed	ABCA13|154664	19.4497
ABCA17P|650655	5.8786	lowly_expressed	lowly_expressed
ABCA1|19	278.2545	ABCA1|19	2791.6935
ABCA2|20	619.5408	ABCA2|20	1181.6888
ABCA3|21	809.9427	ABCA3|21	823.5294
ABCA4|24	20.2486	ABCA4|24	25.1423
ABCA5|23461	411.1766	ABCA5|23461	964.4213
