gene_id	TCGA-BH-A18U-01A-21R-A12D-07	gene_id	TCGA-BH-A18U-11A-23R-A12D-07
?|100133144	12.6275	?|100133144	9.4575
?|100134869	5.663	lowly_expressed	lowly_expressed
?|10357	102.8632	?|10357	96.6604
?|10431	1024.6219	?|10431	744.8113
?|155060	208.2307	?|155060	239.6226
?|340602	6.6831	lowly_expressed	lowly_expressed
?|390284	7.3866	lowly_expressed	lowly_expressed
?|553137	17.5871	lowly_expressed	lowly_expressed
?|57714	1166.3735	?|57714	852.3585
?|645851	9.8488	?|645851	15.566
?|652919	7.3866	lowly_expressed	lowly_expressed
?|653553	281.7446	?|653553	124.0566
lowly_expressed	lowly_expressed	?|729884	5.6604
?|8225	246.5705	?|8225	376.4151
?|90288	55.5751	?|90288	20.7547
A1BG|1	85.1178	A1BG|1	73.5755
A2BP1|54715	8.09	lowly_expressed	lowly_expressed
A2LD1|87769	104.453	A2LD1|87769	43.5377
lowly_expressed	lowly_expressed	A2ML1|144568	21.2264
A2M|2	8260.9638	A2M|2	24426.8585
A4GALT|53947	181.8502	A4GALT|53947	311.7925
lowly_expressed	lowly_expressed	A4GNT|51146	5.6604
AAAS|8086	772.4235	AAAS|8086	570.7547
AACSL|729522	5.6279	lowly_expressed	lowly_expressed
AACS|65985	718.2554	AACS|65985	1004.2453
lowly_expressed	lowly_expressed	AADACL3|126767	8.0189
AADAT|51166	89.3422	AADAT|51166	61.7925
AAGAB|79719	2306.0148	AAGAB|79719	1084.9057
AAK1|22848	678.8604	AAK1|22848	961.7925
AAMP|14	2358.0725	AAMP|14	1928.7736
AARS2|57505	224.3897	AARS2|57505	446.6981
AARSD1|80755	502.2863	AARSD1|80755	442.4528
AARS|16	4243.4049	AARS|16	2766.9811
AASDHPPT|60496	3308.8287	AASDHPPT|60496	718.8679
AASDH|132949	300.3869	AASDH|132949	441.5094
AASS|10157	80.197	AASS|10157	618.3962
AATF|26574	2180.0915	AATF|26574	807.5472
AATK|9625	35.5259	AATK|9625	50.9434
ABAT|18	871.9662	ABAT|18	860.8491
lowly_expressed	lowly_expressed	ABCA10|10349	466.5094
ABCA11P|79963	72.8561	ABCA11P|79963	139.934
ABCA12|26154	1018.994	ABCA12|26154	38.6792
lowly_expressed	lowly_expressed	ABCA13|154664	181.1321
ABCA17P|650655	11.9592	lowly_expressed	lowly_expressed
ABCA1|19	480.8231	ABCA1|19	1041.467
ABCA2|20	2440.0281	ABCA2|20	1295.283
ABCA3|21	1198.7337	ABCA3|21	1264.1509
ABCA4|24	86.1766	ABCA4|24	89.6226
ABCA5|23461	112.2054	ABCA5|23461	1158.9623
ABCA6|23460	28.8428	ABCA6|23460	440.0943
ABCA7|10347	145.6208	ABCA7|10347	235.8491
ABCA8|10351	7.3866	ABCA8|10351	979.2453
ABCA9|10350	46.4298	ABCA9|10350	966.5094
ABCB10|23456	445.656	ABCB10|23456	422.6415
ABCB1|5243	37.2846	ABCB1|5243	339.6226
ABCB4|5244	21.1045	ABCB4|5244	25.4717
lowly_expressed	lowly_expressed	ABCB5|340273	190.0943
ABCB6|10058	926.5213	ABCB6|10058	339.8585
ABCB7|22	616.6022	ABCB7|22	438.6792
ABCB8|11194	479.7749	ABCB8|11194	317.4528
ABCB9|23457	319.3704	ABCB9|23457	125.0943
ABCC10|89845	379.8804	ABCC10|89845	408.4906
ABCC11|85320	1275.4133	ABCC11|85320	245.283
ABCC12|94160	46.0781	lowly_expressed	lowly_expressed
ABCC13|150000	485.4027	lowly_expressed	lowly_expressed
ABCC1|4363	1272.9511	ABCC1|4363	1151.4151
ABCC2|1244	21.1045	ABCC2|1244	13.2075
ABCC3|8714	632.7823	ABCC3|8714	738.2075
ABCC4|10257	198.7337	ABCC4|10257	138.6792
ABCC5|10057	1524.446	ABCC5|10057	899.0566
lowly_expressed	lowly_expressed	ABCC6P1|653190	10.3774
ABCC6P2|730013	9.1453	ABCC6P2|730013	23.5849
ABCC6|368	27.4358	ABCC6|368	116.0377
ABCC8|6833	490.6789	ABCC8|6833	113.2075
ABCC9|10060	199.789	ABCC9|10060	457.0755
ABCD1|215	192.7541	ABCD1|215	273.5849
ABCD2|225	9.497	ABCD2|225	119.8113
ABCD3|5825	2243.0531	ABCD3|5825	1891.5094
ABCD4|5826	222.3004	ABCD4|5826	525.4717
ABCE1|6059	2007.3866	ABCE1|6059	1614.6226
ABCF1|23	2131.5512	ABCF1|23	1449.5283
ABCF2|10061	1220.8934	ABCF2|10061	1030.6604
ABCF3|55324	1034.8224	ABCF3|55324	819.8113
ABCG1|9619	657.4042	ABCG1|9619	490.0943
ABCG2|9429	34.4706	ABCG2|9429	230.6604
ABHD10|55347	935.9831	ABHD10|55347	567.9245
ABHD11|83451	756.2434	ABHD11|83451	480.6604
ABHD12B|145447	14.7731	lowly_expressed	lowly_expressed
ABHD12|26090	2365.1073	ABHD12|26090	856.1321
ABHD13|84945	418.5719	ABHD13|84945	701.4151
ABHD14A|25864	226.8519	ABHD14A|25864	204.2453
ABHD14B|84836	4750.2638	ABHD14B|84836	1733.4906
ABHD15|116236	303.5526	ABHD15|116236	333.0189
ABHD1|84696	62.6099	ABHD1|84696	20.283
ABHD2|11057	3165.6701	ABHD2|11057	4141.9811
ABHD3|171586	253.6053	ABHD3|171586	294.8113
ABHD4|63874	775.2374	ABHD4|63874	788.6792
ABHD5|51099	1307.7735	ABHD5|51099	900.9434
ABHD6|57406	151.9522	ABHD6|57406	205.1887
ABHD8|79575	151.2487	ABHD8|79575	224.0566
ABI1|10006	1490.9849	ABI1|10006	1634.9057
ABI2|10152	1494.1963	ABI2|10152	2013.6792
ABI3BP|25890	90.7492	ABI3BP|25890	1308.4906
ABI3|51225	117.4815	ABI3|51225	148.5849
ABL1|25	1409.4267	ABL1|25	2622.1698
ABL2|27	985.9304	ABL2|27	1039.1509
ABLIM1|3983	3425.255	ABLIM1|3983	6849.0566
ABLIM2|84448	20.7527	ABLIM2|84448	79.2453
ABLIM3|22885	1058.0373	ABLIM3|22885	938.6792
lowly_expressed	lowly_expressed	ABO|28	10.3774
ABP1|26	88.287	ABP1|26	6.1321
ABR|29	1119.592	ABR|29	2343.8679
ABT1|29777	797.0454	ABT1|29777	606.6038
ABTB1|80325	257.8262	ABTB1|80325	633.0189
ABTB2|25841	131.1994	ABTB2|25841	138.6792
ACAA1|30	1352.0929	ACAA1|30	1147.6415
ACAA2|10449	340.4854	ACAA2|10449	1426.8868
