gene_id	TCGA-BH-A18V-06A-11R-A213-07	gene_id	TCGA-BH-A18V-11A-52R-A12D-07
?|100133144	11.1935	lowly_expressed	lowly_expressed
?|100134869	8.8415	lowly_expressed	lowly_expressed
?|10357	119.9168	?|10357	116.748
?|10431	981.1351	?|10431	935.0607
?|155060	247.0986	?|155060	266.6709
lowly_expressed	lowly_expressed	?|390284	10.7647
?|57714	1832.7686	?|57714	82.2031
?|645851	15.6796	lowly_expressed	lowly_expressed
?|652919	23.9839	lowly_expressed	lowly_expressed
?|653553	175.6694	?|653553	283.7966
?|8225	466.3223	?|8225	714.8738
lowly_expressed	lowly_expressed	?|90288	24.4652
A1BG|1	70.7439	A1BG|1	211.7856
A2LD1|87769	108.4359	A2LD1|87769	77.1242
A2ML1|144568	137.0511	lowly_expressed	lowly_expressed
A2M|2	6892.1593	A2M|2	17760.2188
A4GALT|53947	1102.2163	A4GALT|53947	409.5478
AAAS|8086	639.6688	AAAS|8086	1101.9135
AACS|65985	791.5284	AACS|65985	1560.3918
lowly_expressed	lowly_expressed	AADAC|13	102.2646
AADAT|51166	13.3567	AADAT|51166	49.9091
AAGAB|79719	671.6086	AAGAB|79719	1133.229
AAK1|22848	845.2455	AAK1|22848	701.1732
AAMP|14	3546.4885	AAMP|14	3192.7113
AANAT|15	5.8073	lowly_expressed	lowly_expressed
AARS2|57505	603.6173	AARS2|57505	472.6681
AARSD1|80755	506.3923	AARSD1|80755	964.419
AARS|16	6393.7839	AARS|16	2850.1982
AASDHPPT|60496	581.5962	AASDHPPT|60496	500.5584
AASDH|132949	304.3	AASDH|132949	365.5104
AASS|10157	227.3539	AASS|10157	437.9275
AATF|26574	1072.5994	AATF|26574	1708.1617
AATK|9625	108.886	AATK|9625	58.2272
ABAT|18	174.5079	ABAT|18	328.8126
ABCA10|10349	18.2928	ABCA10|10349	271.0746
ABCA11P|79963	53.3193	ABCA11P|79963	88.4809
ABCA12|26154	25.5519	lowly_expressed	lowly_expressed
ABCA17P|650655	28.1652	ABCA17P|650655	21.0401
ABCA1|19	2416.3044	ABCA1|19	564.168
ABCA2|20	3012.5117	ABCA2|20	913.042
ABCA3|21	1373.415	ABCA3|21	888.0875
ABCA4|24	42.9737	ABCA4|24	232.4196
ABCA5|23461	240.7106	ABCA5|23461	739.339
ABCA6|23460	129.2113	ABCA6|23460	569.061
ABCA7|10347	695.4184	ABCA7|10347	274.4998
ABCA8|10351	35.7146	ABCA8|10351	1059.8334
ABCA9|10350	73.4617	ABCA9|10350	597.4407
ABCB10|23456	1388.5138	ABCB10|23456	181.0426
ABCB11|8647	6.0976	lowly_expressed	lowly_expressed
ABCB1|5243	139.6644	ABCB1|5243	122.8154
ABCB4|5244	35.7146	ABCB4|5244	12.7219
lowly_expressed	lowly_expressed	ABCB5|340273	135.048
ABCB6|10058	463.4245	ABCB6|10058	576.6453
ABCB7|22	526.4273	ABCB7|22	621.9059
ABCB8|11194	577.8215	ABCB8|11194	509.3659
ABCB9|23457	141.3921	ABCB9|23457	128.3152
ABCC10|89845	647.7989	ABCC10|89845	402.6975
ABCC11|85320	11.3241	ABCC11|85320	541.66
lowly_expressed	lowly_expressed	ABCC12|94160	8.3182
ABCC1|4363	1612.3834	ABCC1|4363	752.5502
ABCC2|1244	7.2591	ABCC2|1244	11.254
ABCC3|8714	466.0319	ABCC3|8714	449.6708
ABCC4|10257	602.5023	ABCC4|10257	66.5454
ABCC5|10057	583.6288	ABCC5|10057	787.2908
lowly_expressed	lowly_expressed	ABCC6P1|653190	6.361
ABCC6P2|730013	15.6796	ABCC6P2|730013	32.7834
ABCC6|368	37.4568	ABCC6|368	128.1978
lowly_expressed	lowly_expressed	ABCC8|6833	125.7512
ABCC9|10060	210.2225	ABCC9|10060	158.5346
ABCD1|215	2433.2384	ABCD1|215	294.5613
ABCD2|225	54.2978	ABCD2|225	51.377
ABCD3|5825	787.1729	ABCD3|5825	972.7372
ABCD4|5826	577.8215	ABCD4|5826	810.7774
ABCE1|6059	2141.1336	ABCE1|6059	1043.197
ABCF1|23	1964.5932	ABCF1|23	1677.8248
ABCF2|10061	1491.3022	ABCF2|10061	1056.4082
ABCF3|55324	924.8048	ABCF3|55324	1249.6835
ABCG1|9619	622.8277	ABCG1|9619	565.1466
ABCG2|9429	40.3604	ABCG2|9429	87.0962
ABHD10|55347	329.8519	ABHD10|55347	765.7614
ABHD11|83451	897.2204	ABHD11|83451	1194.3921
ABHD12|26090	1086.8271	ABHD12|26090	1335.8011
ABHD13|84945	523.5237	ABHD13|84945	424.7162
ABHD14A|25864	116.145	ABHD14A|25864	414.5632
ABHD14B|84836	2652.1718	ABHD14B|84836	4803.5015
ABHD15|116236	360.0496	ABHD15|116236	468.2643
ABHD1|84696	127.4692	ABHD1|84696	33.2727
ABHD2|11057	2282.2498	ABHD2|11057	1219.3466
ABHD3|171586	335.6591	ABHD3|171586	179.5747
ABHD4|63874	472.4199	ABHD4|63874	1040.2612
ABHD5|51099	251.454	ABHD5|51099	733.4673
ABHD6|57406	150.6982	ABHD6|57406	205.9972
ABHD8|79575	408.8305	ABHD8|79575	377.743
ABI1|10006	1206.8601	ABI1|10006	1026.2377
ABI2|10152	1224.7493	ABI2|10152	1270.7236
ABI3BP|25890	746.8125	ABI3BP|25890	801.4806
ABI3|51225	624.2795	ABI3|51225	191.8073
ABL1|25	2239.8569	ABL1|25	1879.4183
ABL2|27	522.0719	ABL2|27	973.7158
ABLIM1|3983	1691.362	ABLIM1|3983	3636.5104
ABLIM2|84448	110.3378	ABLIM2|84448	50.3984
ABLIM3|22885	72.5906	ABLIM3|22885	1273.6594
ABO|28	82.1726	lowly_expressed	lowly_expressed
ABP1|26	9.582	ABP1|26	5.3823
ABR|29	2149.2638	ABR|29	2071.7149
ABT1|29777	808.6598	ABT1|29777	727.1064
ABTB1|80325	577.8215	ABTB1|80325	1685.1644
ABTB2|25841	85.657	ABTB2|25841	132.6015
ACAA1|30	713.4208	ACAA1|30	2052.632
ACAA2|10449	831.8888	ACAA2|10449	2268.9046
ACACA|31	1181.7757	ACACA|31	1057.8761
ACACB|32	178.2826	ACACB|32	2967.142
ACAD10|80724	389.6666	ACAD10|80724	668.3898
ACAD11|84129	348.0838	ACAD11|84129	578.3578
ACAD8|27034	294.4277	ACAD8|27034	803.9272
ACAD9|28976	1063.7114	ACAD9|28976	958.5474
ACADL|33	19.1639	ACADL|33	60.6737
ACADM|34	496.8104	ACADM|34	609.6733
ACADSB|36	237.2262	ACADSB|36	1203.1996
ACADS|35	507.8441	ACADS|35	1016.7746
ACADVL|37	3299.8807	ACADVL|37	13788.5887
ACAN|176	10.1627	lowly_expressed	lowly_expressed
ACAP1|9744	661.1556	ACAP1|9744	144.8341
ACAP2|23527	2103.9672	ACAP2|23527	438.9061
ACAP3|116983	1561.2912	lowly_expressed	lowly_expressed
ACAT1|38	610.3421	ACAT1|38	1863.2712
ACAT2|39	402.7794	ACAT2|39	337.3314
ACBD3|64746	2943.4054	ACBD3|64746	758.4218
ACBD4|79777	305.4614	ACBD4|79777	678.6652
ACBD5|91452	811.5634	ACBD5|91452	418.8446
ACBD6|84320	308.6554	ACBD6|84320	522.0878
ACBD7|414149	58.9436	ACBD7|414149	27.401
ACCN2|41	67.9448	ACCN2|41	292.604
ACCN3|9311	15.9699	ACCN3|9311	13.2112
ACCS|84680	719.5185	ACCS|84680	951.6971
ACD|65057	620.2145	ACD|65057	794.6304
ACE2|59272	35.4242	ACE2|59272	36.2085
ACER2|340485	32.2302	ACER2|340485	24.9545
ACER3|55331	367.599	ACER3|55331	233.8875
ACE|1636	980.5544	ACE|1636	400.7403
ACHE|43	375.4388	ACHE|43	34.2513
ACIN1|22985	2735.5058	ACIN1|22985	3505.8661
ACLY|47	4809.2753	ACLY|47	1990.0011
ACN9|57001	266.8432	ACN9|57001	150.7058
ACO1|48	1352.5089	ACO1|48	1486.0175
ACO2|50	2928.7305	ACO2|50	2909.9814
ACOT11|26027	73.7608	ACOT11|26027	22.9973
ACOT13|55856	751.9723	ACOT13|55856	606.6983
ACOT1|641371	212.255	ACOT1|641371	683.069
ACOT2|10965	173.6368	ACOT2|10965	307.2832
ACOT4|122970	123.4041	ACOT4|122970	135.048
ACOT7|11332	367.8894	ACOT7|11332	377.743
ACOT8|10005	415.6802	ACOT8|10005	356.3213
ACOT9|23597	510.167	ACOT9|23597	380.6788
ACOX1|51	798.7874	lowly_expressed	lowly_expressed
ACOX2|8309	16.5507	ACOX2|8309	306.3046
ACOX3|8310	477.9368	ACOX3|8310	777.5047
