gene_id	TCGA-BH-A1EN-01A-11R-A13Q-07	gene_id	TCGA-BH-A1EN-11A-23R-A13Q-07
?|10357	64.959	?|10357	98.9853
?|10431	1585.4745	?|10431	640.708
?|155060	47.3134	?|155060	196.7552
?|390284	6.3508	lowly_expressed	lowly_expressed
?|57714	343.8952	?|57714	528.9086
lowly_expressed	lowly_expressed	?|645851	10.0295
?|652919	17.6203	?|652919	7.3009
?|653553	162.5802	?|653553	133.3333
?|729884	1360.9741	?|729884	22.4189
?|8225	437.8869	?|8225	467.2566
?|90288	6.0332	?|90288	17.9941
A1BG|1	64.778	A1BG|1	33.0383
A2LD1|87769	33.7322	A2LD1|87769	83.4926
lowly_expressed	lowly_expressed	A2ML1|144568	5.0147
A2M|2	15569.5689	A2M|2	53114.9853
A4GALT|53947	93.3566	A4GALT|53947	723.8938
AAAS|8086	539.8171	AAAS|8086	507.3746
AACS|65985	1037.0838	AACS|65985	1303.5398
lowly_expressed	lowly_expressed	AADAC|13	197.3451
AADAT|51166	12.7016	AADAT|51166	74.6313
AAGAB|79719	1424.1644	AAGAB|79719	846.9027
AAK1|22848	1489.26	AAK1|22848	1385.5457
AAMP|14	2743.5409	AAMP|14	2259.292
AARS2|57505	318.8001	AARS2|57505	346.0177
AARSD1|80755	424.8678	AARSD1|80755	481.7109
AARS|16	2165.3015	AARS|16	3302.0649
AASDHPPT|60496	730.6583	AASDHPPT|60496	774.6313
AASDH|132949	203.8603	AASDH|132949	303.5398
AASS|10157	41.9152	AASS|10157	980.826
AATF|26574	441.3798	AATF|26574	999.705
AATK|9625	13.0223	AATK|9625	53.6873
ABAT|18	346.7531	ABAT|18	449.8525
lowly_expressed	lowly_expressed	ABCA10|10349	426.5487
ABCA11P|79963	58.7956	ABCA11P|79963	149.292
ABCA12|26154	1782.6665	ABCA12|26154	94.1003
ABCA1|19	613.1496	ABCA1|19	2620.8732
ABCA2|20	556.0116	ABCA2|20	1292.0354
ABCA3|21	2993.7619	ABCA3|21	1132.4484
lowly_expressed	lowly_expressed	ABCA4|24	52.2124
ABCA5|23461	196.2394	ABCA5|23461	838.3481
ABCA6|23460	98.4372	ABCA6|23460	1044.8378
ABCA7|10347	51.7589	ABCA7|10347	260.472
ABCA8|10351	67.6359	ABCA8|10351	3012.6844
ABCA9|10350	52.0765	ABCA9|10350	1910.6195
ABCB10|23456	771.3033	ABCB10|23456	500
lowly_expressed	lowly_expressed	ABCB11|8647	10.0295
ABCB1|5243	26.0382	ABCB1|5243	440.708
ABCB4|5244	51.7589	ABCB4|5244	28.0236
lowly_expressed	lowly_expressed	ABCB5|340273	229.7935
ABCB6|10058	477.4364	ABCB6|10058	435.7817
ABCB7|22	461.3848	ABCB7|22	547.7876
ABCB8|11194	1380.6615	ABCB8|11194	341.8879
ABCB9|23457	388.8398	ABCB9|23457	107.9322
ABCC10|89845	566.4904	ABCC10|89845	312.9794
ABCC11|85320	141.6226	ABCC11|85320	628.0236
lowly_expressed	lowly_expressed	ABCC12|94160	7.0796
ABCC1|4363	1156.7962	ABCC1|4363	1022.7139
lowly_expressed	lowly_expressed	ABCC2|1244	24.1888
ABCC3|8714	641.4297	ABCC3|8714	352.2124
ABCC4|10257	72.7165	ABCC4|10257	183.1858
ABCC5|10057	556.0116	ABCC5|10057	496.7552
lowly_expressed	lowly_expressed	ABCC6P1|653190	8.8496
ABCC6P2|730013	5.0806	ABCC6P2|730013	19.764
ABCC6|368	26.0382	ABCC6|368	187.6106
lowly_expressed	lowly_expressed	ABCC8|6833	87.3156
ABCC9|10060	364.5353	ABCC9|10060	1729.2035
ABCD1|215	688.7431	ABCD1|215	520.059
lowly_expressed	lowly_expressed	ABCD2|225	571.6814
ABCD3|5825	1259.679	ABCD3|5825	1242.7729
