gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
?|10357	77.9772	?|10357	97.2194
?|10431	596.8313	?|10431	1055.9943
?|155060	97.8506	?|155060	57.9086
lowly_expressed	lowly_expressed	?|390284	5.5037
?|553137	5.7223	lowly_expressed	lowly_expressed
?|57714	708.4153	?|57714	215.8411
?|645851	6.2945	lowly_expressed	lowly_expressed
?|652919	51.3973	?|652919	11.5913
?|653553	274.6683	?|653553	265.6138
?|8225	232.3236	?|8225	498.2053
?|90288	16.0223	?|90288	22.2541
A1BG|1	85.8338	A1BG|1	42.0627
A2BP1|54715	9.1556	lowly_expressed	lowly_expressed
A2LD1|87769	102.3654	A2LD1|87769	103.6612
A2ML1|144568	9.7278	lowly_expressed	lowly_expressed
A2M|2	17003.0142	A2M|2	46129.7057
A4GALT|53947	477.2362	A4GALT|53947	877.0041
AAAS|8086	392.5468	AAAS|8086	494.6159
AACS|65985	485.2473	AACS|65985	632.448
lowly_expressed	lowly_expressed	AADACL2|344752	16.7504
AADAC|13	5.15	AADAC|13	693.9459
AADAT|51166	109.8673	AADAT|51166	60.3015
AAGAB|79719	1232.0017	AAGAB|79719	974.3958
AAK1|22848	1509.5311	AAK1|22848	767.4085
AAMP|14	1658.882	AAMP|14	1909.787
AARS2|57505	347.3409	AARS2|57505	250.7729
AARSD1|80755	283.8239	AARSD1|80755	530.5097
AARS|16	2142.4126	AARS|16	2622.3977
AASDHPPT|60496	1528.9868	AASDHPPT|60496	726.9682
AASDH|132949	337.6131	AASDH|132949	268.7246
AASS|10157	191.6956	AASS|10157	394.3527
AATF|26574	778.2268	AATF|26574	1071.5482
AATK|9625	16.0223	AATK|9625	44.7475
ABAT|18	290.6906	ABAT|18	125.3888
ABCA10|10349	16.0223	ABCA10|10349	204.8337
ABCA11P|79963	90.6119	ABCA11P|79963	62.6466
ABCA17P|650655	10.3001	lowly_expressed	lowly_expressed
ABCA1|19	2316.9243	ABCA1|19	2896.358
ABCA2|20	904.1164	ABCA2|20	754.4867
ABCA3|21	1654.8764	ABCA3|21	535.2955
lowly_expressed	lowly_expressed	ABCA4|24	12.4432
ABCA5|23461	344.4798	ABCA5|23461	515.6736
ABCA6|23460	473.2306	ABCA6|23460	1145.4894
ABCA7|10347	171.0955	ABCA7|10347	165.8291
ABCA8|10351	521.2975	ABCA8|10351	3856.6643
ABCA9|10350	255.2126	ABCA9|10350	1489.3515
ABCB10|23456	628.3037	ABCB10|23456	526.2024
ABCB1|5243	86.9783	ABCB1|5243	172.5293
ABCB4|5244	62.9448	ABCB4|5244	39.9617
lowly_expressed	lowly_expressed	ABCB5|340273	167.2649
ABCB6|10058	84.821	ABCB6|10058	621.3472
ABCB7|22	528.7365	ABCB7|22	500.5982
ABCB8|11194	570.5089	ABCB8|11194	430.4858
ABCB9|23457	54.4358	ABCB9|23457	53.0342
ABCC10|89845	344.4798	ABCC10|89845	235.2237
ABCC11|85320	26.8946	lowly_expressed	lowly_expressed
ABCC1|4363	1495.2255	ABCC1|4363	1050.7298
lowly_expressed	lowly_expressed	ABCC2|1244	12.6825
ABCC3|8714	680.3762	ABCC3|8714	205.5516
ABCC4|10257	268.3738	ABCC4|10257	181.8617
ABCC5|10057	1124.9955	ABCC5|10057	434.793
ABCC6P1|653190	6.2945	ABCC6P1|653190	6.7002
ABCC6P2|730013	21.7446	ABCC6P2|730013	29.4329
ABCC6|368	92.7005	ABCC6|368	221.3448
ABCC8|6833	6.2945	lowly_expressed	lowly_expressed
ABCC9|10060	716.9987	ABCC9|10060	2148.1216
ABCD1|215	207.7179	ABCD1|215	397.2242
ABCD2|225	18.3112	ABCD2|225	480.9763
ABCD3|5825	1930.6892	ABCD3|5825	1022.4934
ABCD4|5826	417.1525	ABCD4|5826	964.1062
ABCE1|6059	2072.0289	ABCE1|6059	1471.1654
ABCF1|23	1558.7425	ABCF1|23	1461.5937
ABCF2|10061	1605.665	ABCF2|10061	1174.4436
ABCF3|55324	695.8263	ABCF3|55324	861.9287
ABCG1|9619	1084.9397	ABCG1|9619	809.5238
ABCG2|9429	156.2176	ABCG2|9429	209.3802
lowly_expressed	lowly_expressed	ABCG4|64137	5.9823
lowly_expressed	lowly_expressed	ABCG8|64241	6.9395
ABHD10|55347	482.9584	ABHD10|55347	659.7272
