gene_id	TCGA-BH-A1ES-01A-11R-A137-07	gene_id	TCGA-BH-A1ES-06A-12R-A24H-07
?|100133144	12.8361	?|100133144	15.0504
lowly_expressed	lowly_expressed	?|100134869	16.2671
?|10357	154.6639	?|10357	153.2109
?|10431	1055.7377	?|10431	713.103
?|155060	116.3934	?|155060	265.6587
lowly_expressed	lowly_expressed	?|553137	8.9993
?|57714	528.6885	?|57714	404.9676
?|645851	13.9344	?|645851	6.1195
?|653553	595.082	?|653553	1473.3621
?|729884	31.1475	?|729884	11.879
?|8225	276.2295	?|8225	512.239
?|90288	17.2131	?|90288	41.3967
A1BG|1	119.377	A1BG|1	7763.3585
lowly_expressed	lowly_expressed	A1CF|29974	123.8301
A2BP1|54715	27.8689	lowly_expressed	lowly_expressed
A2LD1|87769	92	A2LD1|87769	173.5997
A2M|2	9085.9344	A2M|2	19163.4845
A4GALT|53947	97.541	A4GALT|53947	4142.5486
AAAS|8086	771.3115	AAAS|8086	808.4953
AACS|65985	912.2951	AACS|65985	743.3405
lowly_expressed	lowly_expressed	AADAC|13	874.3701
AADAT|51166	103.2787	AADAT|51166	30.2376
AAGAB|79719	2242.623	AAGAB|79719	1495.6803
AAK1|22848	879.5082	AAK1|22848	804.8956
AAMP|14	1477.8689	AAMP|14	2877.6098
AARS2|57505	269.6557	AARS2|57505	277.5378
AARSD1|80755	211.4754	AARSD1|80755	605.1116
AARS|16	3148.3607	AARS|16	2190.4248
AASDHPPT|60496	795.082	AASDHPPT|60496	550.7559
AASDH|132949	422.9508	AASDH|132949	170.2664
AASS|10157	173.7705	AASS|10157	335.1332
AATF|26574	871.3115	AATF|26574	2181.4255
AATK|9625	15.5738	AATK|9625	37.077
ABAT|18	1364.7541	ABAT|18	582.7934
ABCA10|10349	10.6557	ABCA10|10349	9.3593
ABCA11P|79963	88.7459	ABCA11P|79963	10.6263
ABCA12|26154	85.2459	ABCA12|26154	436.6451
lowly_expressed	lowly_expressed	ABCA13|154664	6.1195
ABCA17P|650655	12.2951	ABCA17P|650655	90.7127
ABCA1|19	789.3197	ABCA1|19	866.0907
ABCA2|20	1165.5738	ABCA2|20	2035.6371
ABCA3|21	2326.2295	ABCA3|21	2438.8049
ABCA4|24	54.0984	ABCA4|24	6.4795
ABCA5|23461	312.2951	ABCA5|23461	550.036
ABCA6|23460	50	ABCA6|23460	285.8171
ABCA7|10347	227.0492	ABCA7|10347	282.2174
ABCA8|10351	18.8525	ABCA8|10351	139.3089
ABCA9|10350	25.4098	ABCA9|10350	47.5162
ABCB10|23456	395.082	ABCB10|23456	393.4485
lowly_expressed	lowly_expressed	ABCB11|8647	31.3175
ABCB1|5243	25.4098	ABCB1|5243	117.7106
ABCB4|5244	22.9508	ABCB4|5244	472.2822
ABCB6|10058	246.7213	ABCB6|10058	529.9496
ABCB7|22	365.5738	ABCB7|22	676.0259
ABCB8|11194	568.0328	ABCB8|11194	616.9906
ABCB9|23457	73.2787	ABCB9|23457	257.887
ABCC10|89845	400.8197	ABCC10|89845	209.8632
ABCC11|85320	282.7869	ABCC11|85320	91.7927
ABCC13|150000	762.2951	ABCC13|150000	730.0216
ABCC1|4363	2112.2951	ABCC1|4363	1935.2052
ABCC2|1244	13.9344	ABCC2|1244	32.0374
ABCC3|8714	493.4426	ABCC3|8714	1083.5133
ABCC4|10257	98.3607	ABCC4|10257	119.1505
ABCC5|10057	1740.1639	ABCC5|10057	404.6076
lowly_expressed	lowly_expressed	ABCC6P1|653190	79.5536
ABCC6P2|730013	5.7377	ABCC6P2|730013	34.5572
lowly_expressed	lowly_expressed	ABCC6|368	168.8265
ABCC8|6833	454.0984	ABCC8|6833	781.8575
ABCC9|10060	72.9508	ABCC9|10060	303.4557
ABCD1|215	244.2623	ABCD1|215	944.2045
ABCD3|5825	2422.1311	ABCD3|5825	1097.1922
ABCD4|5826	464.7541	ABCD4|5826	730.3816
ABCE1|6059	1495.9016	ABCE1|6059	647.5882
ABCF1|23	1123.7705	ABCF1|23	1127.0698
ABCF2|10061	1509.0164	ABCF2|10061	1186.8251
ABCF3|55324	945.082	ABCF3|55324	896.6883
ABCG1|9619	904.0984	ABCG1|9619	2313.1749
ABCG2|9429	69.6721	ABCG2|9429	39.9568
lowly_expressed	lowly_expressed	ABCG5|64240	145.4284
lowly_expressed	lowly_expressed	ABCG8|64241	71.9942
ABHD10|55347	559.8361	ABHD10|55347	346.6523
ABHD11|83451	2057.377	ABHD11|83451	886.6091
ABHD12B|145447	173.7705	ABHD12B|145447	163.4269
ABHD12|26090	759.0164	ABHD12|26090	1769.9784
ABHD13|84945	534.4262	ABHD13|84945	302.7358
ABHD14A|25864	246.8443	ABHD14A|25864	248.3801
ABHD14B|84836	1203.2787	ABHD14B|84836	3517.6386
ABHD15|116236	318.8525	ABHD15|116236	215.2628
ABHD1|84696	19.6721	ABHD1|84696	25.9179
ABHD2|11057	14395.082	ABHD2|11057	11865.7307
ABHD3|171586	589.3443	ABHD3|171586	218.8625
ABHD4|63874	1315.5738	ABHD4|63874	1393.0886
ABHD5|51099	842.623	ABHD5|51099	544.9964
ABHD6|57406	103.2787	ABHD6|57406	102.9518
ABHD8|79575	198.3607	ABHD8|79575	470.1224
ABI1|10006	2303.9098	ABI1|10006	2074.3449
ABI2|10152	1712.2951	ABI2|10152	1574.874
ABI3BP|25890	48.3607	ABI3BP|25890	33.4773
ABI3|51225	51.6393	ABI3|51225	44.6364
ABL1|25	1528.6885	ABL1|25	1264.5788
ABL2|27	911.4754	ABL2|27	995.6803
ABLIM1|3983	1926.2295	ABLIM1|3983	861.4111
ABLIM2|84448	137.7049	ABLIM2|84448	152.2678
ABLIM3|22885	510.6557	ABLIM3|22885	477.6818
lowly_expressed	lowly_expressed	ABP1|26	52.1958
ABR|29	1461.4754	ABR|29	932.6854
ABT1|29777	375.4098	ABT1|29777	363.5709
ABTB1|80325	411.4754	ABTB1|80325	598.2721
ABTB2|25841	43.4426	ABTB2|25841	546.7963
ACAA1|30	712.2951	ACAA1|30	938.8049
ACAA2|10449	1194.2623	ACAA2|10449	1514.0389
ACACA|31	1650.8197	ACACA|31	1367.1706
ACACB|32	150	ACACB|32	97.5522
ACAD10|80724	481.1475	ACAD10|80724	534.9172
ACAD11|84129	340.1639	ACAD11|84129	432.671
ACAD8|27034	409.0164	ACAD8|27034	424.766
ACAD9|28976	1004.0902	ACAD9|28976	548.9309
lowly_expressed	lowly_expressed	ACADL|33	36.3571
ACADM|34	907.377	ACADM|34	711.6631
ACADSB|36	811.4754	ACADSB|36	1286.5371
ACADS|35	100.8197	ACADS|35	521.9582
ACADVL|37	2822.9508	ACADVL|37	6982.6026
ACAN|176	18.8525	lowly_expressed	lowly_expressed
ACAP1|9744	7.377	ACAP1|9744	15.1188
ACAP2|23527	1368.0328	ACAP2|23527	733.2613
ACAP3|116983	804.1639	ACAP3|116983	2002.347
ACAT1|38	584.4262	ACAT1|38	1935.9251
ACAT2|39	367.0246	ACAT2|39	173.8121
ACBD3|64746	1908.1967	ACBD3|64746	2981.6415
ACBD4|79777	110.6557	ACBD4|79777	654.7876
ACBD5|91452	1342.623	ACBD5|91452	1456.8035
ACBD6|84320	555.7377	ACBD6|84320	898.1281
ACBD7|414149	86.0656	ACBD7|414149	37.077
ACCN1|40	259.0164	ACCN1|40	575.594
ACCN2|41	133.6066	ACCN2|41	22.6782
ACCN3|9311	24.5902	ACCN3|9311	44.9964
ACCS|84680	250.8197	ACCS|84680	217.4226
ACD|65057	381.9672	ACD|65057	740.1008
lowly_expressed	lowly_expressed	ACE2|59272	20.5184
ACER2|340485	140.1639	ACER2|340485	82.0734
ACER3|55331	177.8689	ACER3|55331	109.4312
ACE|1636	154.918	ACE|1636	827.9338
ACHE|43	55.7377	ACHE|43	484.8812
ACIN1|22985	3517.2131	ACIN1|22985	3451.0439
ACLY|47	3010.6557	ACLY|47	3963.6429
lowly_expressed	lowly_expressed	ACMSD|130013	323.6141
ACN9|57001	154.0984	ACN9|57001	79.1937
ACO1|48	421.3115	ACO1|48	808.4953
ACO2|50	1119.6639	ACO2|50	1964.874
ACOT11|26027	13.9344	ACOT11|26027	114.766
lowly_expressed	lowly_expressed	ACOT12|134526	14.0389
ACOT13|55856	363.7705	ACOT13|55856	469.5284
ACOT1|641371	309.0164	ACOT1|641371	545.3564
ACOT2|10965	220.4918	ACOT2|10965	593.5925
ACOT4|122970	148.3607	ACOT4|122970	365.3708
lowly_expressed	lowly_expressed	ACOT6|641372	20.1584
ACOT7|11332	853.2787	ACOT7|11332	967.6026
