gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
?|100133144	6.0858	?|100133144	15.553
lowly_expressed	lowly_expressed	?|100134869	5.344
?|10357	66.8468	?|10357	89.7757
?|10431	1077.66	?|10431	528.7971
?|155060	116.6783	?|155060	268.8583
lowly_expressed	lowly_expressed	?|390284	5.0968
?|57714	772.1866	?|57714	810.6524
?|645851	9.6873	?|645851	22.9358
?|653553	107.4216	?|653553	99.1335
?|729884	39.1798	lowly_expressed	lowly_expressed
?|8225	461.3315	?|8225	347.6045
?|90288	144.2334	?|90288	12.9969
A1BG|1	123.0397	A1BG|1	74.1259
A2LD1|87769	39.3606	A2LD1|87769	64.6432
lowly_expressed	lowly_expressed	A2ML1|144568	5.6065
A2M|2	13017.5168	A2M|2	38074.2737
A4GALT|53947	86.9706	A4GALT|53947	332.8236
AAAS|8086	745.4927	AAAS|8086	497.4516
AACS|65985	1208.5464	AACS|65985	671.5087
lowly_expressed	lowly_expressed	AADAC|13	49.4393
AADAT|51166	12.4859	AADAT|51166	60.1427
AAGAB|79719	2633.8733	AAGAB|79719	969.1641
AAK1|22848	1052.2577	AAK1|22848	1408.2569
AAMP|14	1882.1377	AAMP|14	1621.8145
AARS2|57505	275.9787	AARS2|57505	392.4465
AARSD1|80755	384.4788	AARSD1|80755	383.2824
AARS|16	1507.3462	AARS|16	2125.3823
AASDHPPT|60496	1379.2584	AASDHPPT|60496	913.3537
AASDH|132949	569.1836	AASDH|132949	478.3384
AASS|10157	259.62	AASS|10157	910.0408
AATF|26574	796.5126	AATF|26574	778.0326
AATK|9625	18.083	AATK|9625	70.3364
ABAT|18	9179.2691	ABAT|18	416.4118
ABCA10|10349	53.3879	ABCA10|10349	574.159
ABCA11P|79963	196.3769	ABCA11P|79963	181.0245
ABCA12|26154	420.6447	ABCA12|26154	17.3293
ABCA13|154664	7.5346	ABCA13|154664	35.9327
ABCA17P|650655	8.8262	ABCA17P|650655	5.6065
ABCA1|19	816.9334	ABCA1|19	1924.0036
ABCA2|20	633.1199	ABCA2|20	995.4128
ABCA3|21	4836.1229	ABCA3|21	887.105
ABCA4|24	99.4564	ABCA4|24	160.5505
ABCA5|23461	463.0537	ABCA5|23461	1321.1009
ABCA6|23460	211.614	ABCA6|23460	1035.1682
ABCA7|10347	232.065	ABCA7|10347	197.2477
ABCA8|10351	144.2334	ABCA8|10351	1418.4506
ABCA9|10350	173.08	ABCA9|10350	1702.5994
ABCB10|23456	565.3086	ABCB10|23456	499.7452
lowly_expressed	lowly_expressed	ABCB11|8647	9.9388
ABCB1|5243	172.4342	ABCB1|5243	568.5525
ABCB4|5244	35.7354	ABCB4|5244	15.8002
ABCB5|340273	9.472	ABCB5|340273	321.1009
ABCB6|10058	195.4427	ABCB6|10058	298.8201
ABCB7|22	687.3688	ABCB7|22	476.0449
ABCB8|11194	830.9564	ABCB8|11194	298.9297
ABCB9|23457	304.4379	ABCB9|23457	98.8252
ABCC10|89845	314.5148	ABCC10|89845	421.5087
ABCC11|85320	255.7451	ABCC11|85320	54.5362
ABCC13|150000	17.0066	lowly_expressed	lowly_expressed
ABCC1|4363	952.1554	ABCC1|4363	920.999
ABCC2|1244	9.0415	ABCC2|1244	28.0326
ABCC3|8714	550.2395	ABCC3|8714	471.4577
ABCC4|10257	190.9477	ABCC4|10257	216.3609
ABCC5|10057	1845.7564	ABCC5|10057	762.7421
ABCC6P1|653190	6.0277	ABCC6P1|653190	7.1356
ABCC6P2|730013	38.3187	ABCC6P2|730013	18.0938
ABCC6|368	215.2737	ABCC6|368	173.2926
ABCC8|6833	274.4739	ABCC8|6833	241.3354
ABCC9|10060	336.4727	ABCC9|10060	930.683
ABCD1|215	240.8912	ABCD1|215	191.1315
ABCD2|225	22.1732	ABCD2|225	152.9052
ABCD3|5825	3351.1652	ABCD3|5825	2161.0601
ABCD4|5826	387.0621	ABCD4|5826	719.6738
ABCE1|6059	1993.2189	ABCE1|6059	1525.4842
ABCF1|23	1434.799	ABCF1|23	1263.7615
ABCF2|10061	1047.0911	ABCF2|10061	974.261
ABCF3|55324	915.5589	ABCF3|55324	790.265
ABCG1|9619	1441.0419	ABCG1|9619	493.8838
ABCG2|9429	178.0313	ABCG2|9429	252.5484
ABHD10|55347	762.0688	ABHD10|55347	698.7768
ABHD11|83451	559.4963	ABHD11|83451	339.1947
lowly_expressed	lowly_expressed	ABHD12B|145447	7.1356
ABHD12|26090	2556.5901	ABHD12|26090	638.634
ABHD13|84945	677.4662	ABHD13|84945	775.9939
ABHD14A|25864	196.491	ABHD14A|25864	201.3252
ABHD14B|84836	1777.2994	ABHD14B|84836	1752.5484
ABHD15|116236	561.2184	ABHD15|116236	401.3761
ABHD1|84696	18.7288	ABHD1|84696	21.9164
ABHD2|11057	12789.4085	ABHD2|11057	3797.4006
ABHD3|171586	1289.0587	ABHD3|171586	311.1621
ABHD4|63874	1009.8488	ABHD4|63874	851.4271
ABHD5|51099	1048.3828	ABHD5|51099	1214.8318
ABHD6|57406	250.3633	ABHD6|57406	422.528
ABHD8|79575	211.8293	ABHD8|79575	142.9664
ABI1|10006	1569.1039	ABI1|10006	1702.9995
ABI2|10152	1496.3673	ABI2|10152	1997.1967
ABI3BP|25890	576.2876	ABI3BP|25890	2164.8828
ABI3|51225	158.0109	ABI3|51225	200.8155
ABL1|25	1971.9068	ABL1|25	2345.0561
ABL2|27	1140.5199	ABL2|27	1172.2732
ABLIM1|3983	3292.1802	ABLIM1|3983	9319.317
ABLIM2|84448	30.1383	ABLIM2|84448	96.0754
ABLIM3|22885	2083.8491	ABLIM3|22885	2743.8838
lowly_expressed	lowly_expressed	ABO|28	36.1876
ABR|29	1917.4425	ABR|29	2428.6442
ABT1|29777	408.5894	ABT1|29777	473.7513
ABTB1|80325	149.3999	ABTB1|80325	617.2273
ABTB2|25841	14.4233	ABTB2|25841	77.472
ACAA1|30	1112.9649	ACAA1|30	782.3649
ACAA2|10449	513.643	ACAA2|10449	1403.9246
ACACA|31	4006.2429	ACACA|31	1790.0102
