gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
?|100133144	22.2339	?|100133144	31.3161
?|100134869	14.5164	?|100134869	11.7343
?|10357	75.6313	?|10357	83.1242
?|10431	548.9832	?|10431	530.7503
?|155060	119.9546	?|155060	300.738
?|57714	1495.6127	?|57714	805.6581
?|645851	24.9819	?|645851	23.9852
?|652919	118.307	?|652919	161.5252
?|653553	132.5488	?|653553	170.9717
lowly_expressed	lowly_expressed	?|729884	32.5953
?|8225	166.4086	?|8225	238.0074
?|90288	76.391	?|90288	11.6851
A1BG|1	67.0135	A1BG|1	59.1574
A2BP1|54715	5.9874	lowly_expressed	lowly_expressed
A2LD1|87769	77.3242	A2LD1|87769	61.5621
lowly_expressed	lowly_expressed	A2ML1|144568	8.6101
A2M|2	24327.7279	A2M|2	24218.1673
A4GALT|53947	152.7821	A4GALT|53947	191.2669
lowly_expressed	lowly_expressed	A4GNT|51146	7.9951
AAAS|8086	814.0807	AAAS|8086	553.5055
AACS|65985	753.5873	AACS|65985	678.9668
lowly_expressed	lowly_expressed	AADACL2|344752	12.3001
AADAC|13	48.1057	AADAC|13	143.2964
AADAT|51166	45.0088	AADAT|51166	71.3407
AAGAB|79719	1952.3072	AAGAB|79719	1254.6125
AAK1|22848	1403.1176	AAK1|22848	1272.4477
AAMP|14	1500.5678	AAMP|14	1361.0086
AARS2|57505	275.623	AARS2|57505	307.4416
AARSD1|80755	253.5357	AARSD1|80755	300.738
AARS|16	1942.397	AARS|16	2123.6162
AASDHPPT|60496	1335.398	AASDHPPT|60496	1024.6002
AASDH|132949	426.551	AASDH|132949	419.4342
AASS|10157	427.1704	AASS|10157	972.9397
AATF|26574	640.2395	AATF|26574	678.9668
AATK|9625	16.3291	AATK|9625	20.9102
ABAT|18	2098.4825	ABAT|18	835.1784
ABCA10|10349	209.5592	ABCA10|10349	667.2817
ABCA11P|79963	132.9328	ABCA11P|79963	182.3862
ABCA12|26154	39.4343	ABCA12|26154	127.3063
lowly_expressed	lowly_expressed	ABCA13|154664	13.5301
ABCA17P|650655	7.8456	ABCA17P|650655	7.3801
ABCA1|19	3589.2619	ABCA1|19	2450.6704
ABCA2|20	1496.4385	ABCA2|20	940.3444
ABCA3|21	1163.8278	ABCA3|21	820.4182
ABCA4|24	28.9047	ABCA4|24	38.1304
ABCA5|23461	550.6349	ABCA5|23461	1461.8696
ABCA6|23460	670.5894	ABCA6|23460	1146.3715
ABCA7|10347	245.6901	ABCA7|10347	159.9016
ABCA8|10351	1218.3338	ABCA8|10351	2535.0554
