gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
?|100133144	10.3425	?|100133144	14.0364
?|100134869	7.8975	?|100134869	7.8686
?|10357	252.0074	?|10357	118.7103
?|10431	905.4041	?|10431	704.6517
?|155060	64.8103	?|155060	165.8873
lowly_expressed	lowly_expressed	?|340602	5.4147
?|390284	7.3736	?|390284	5.4147
?|57714	759.0958	?|57714	868.8161
?|645851	74.5125	?|645851	23.6279
?|652919	25.2178	?|652919	122.8009
?|653553	93.1406	?|653553	89.589
?|8225	332.2014	?|8225	188.7768
?|90288	109.4402	?|90288	25.843
A1BG|1	151.9472	A1BG|1	49.2346
A2LD1|87769	46.2482	A2LD1|87769	59.7391
A2ML1|144568	145.1441	A2ML1|144568	105.587
A2M|2	7304.5348	A2M|2	33165.7199
A4GALT|53947	234.0157	A4GALT|53947	202.0674
AAAS|8086	818.0848	AAAS|8086	474.5262
AACS|65985	578.2478	AACS|65985	1009.5988
lowly_expressed	lowly_expressed	AADAC|13	9.5988
AADAT|51166	20.5685	AADAT|51166	174.7477
AAGAB|79719	1529.0579	AAGAB|79719	1161.2109
AAK1|22848	1645.4837	AAK1|22848	1516.6133
AAMP|14	1817.0176	AAMP|14	1130.4455
AARS2|57505	536.3306	AARS2|57505	284.2432
AARSD1|80755	611.6232	AARSD1|80755	345.3113
AARS|16	2845.8329	AARS|16	1984.7403
AASDHPPT|60496	999.7089	AASDHPPT|60496	1022.6434
AASDH|132949	404.7735	AASDH|132949	551.5629
AASS|10157	115.6496	AASS|10157	1095.9882
AATF|26574	761.8124	AATF|26574	644.8437
AATK|9625	35.3158	AATK|9625	17.7209
ABAT|18	1715.3391	ABAT|18	643.6131
lowly_expressed	lowly_expressed	ABCA10|10349	462.5917
ABCA11P|79963	154.4931	ABCA11P|79963	170.9303
ABCA12|26154	1923.7411	ABCA12|26154	533.1036
ABCA13|154664	359.3674	ABCA13|154664	74.3293
ABCA17P|650655	11.2545	lowly_expressed	lowly_expressed
ABCA1|19	713.29	ABCA1|19	2876.4017
ABCA2|20	2333.5597	ABCA2|20	1156.7807
ABCA3|21	1623.7508	ABCA3|21	715.9734
ABCA4|24	69.8554	ABCA4|24	153.0889
ABCA5|23461	51.2273	ABCA5|23461	824.3884
ABCA6|23460	42.6894	ABCA6|23460	731.7253
ABCA7|10347	879.0143	ABCA7|10347	219.2961
ABCA8|10351	7.7617	ABCA8|10351	2005.6608
ABCA9|10350	10.4783	ABCA9|10350	1754.3687
ABCB10|23456	518.8707	ABCB10|23456	580.3593
ABCB11|8647	14.3592	ABCB11|8647	5.1686
ABCB1|5243	8.5379	ABCB1|5243	374.3539
ABCB4|5244	19.0162	ABCB4|5244	24.3662
