gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
?|100133144	9.353	?|100133144	14.4239
lowly_expressed	lowly_expressed	?|100134869	10.401
?|10357	108.3393	?|10357	81.1946
?|10431	948.5981	?|10431	770.2101
?|155060	106.7577	?|155060	257.3732
?|57714	3485.2624	?|57714	1468.2792
?|645851	15.0971	?|645851	25.8858
?|652919	90.8986	?|652919	93.1042
?|653553	447.1603	?|653553	114.1523
lowly_expressed	lowly_expressed	?|729884	11.6698
?|8225	296.9087	?|8225	205.6015
?|90288	8.6269	?|90288	25.8858
A1BG|1	94.3889	A1BG|1	79.0431
A2LD1|87769	118.7383	A2LD1|87769	91.9096
lowly_expressed	lowly_expressed	A2ML1|144568	12.0942
A2M|2	14461.1467	A2M|2	17859.5502
A4GALT|53947	1024.4428	A4GALT|53947	176.9574
AAAS|8086	525.5212	AAAS|8086	556.3335
AACS|65985	564.3422	AACS|65985	578.8245
lowly_expressed	lowly_expressed	AADACL3|126767	6.1532
lowly_expressed	lowly_expressed	AADAC|13	9.3359
AADAT|51166	23.3645	AADAT|51166	70.8678
AAGAB|79719	1899.7124	AAGAB|79719	1476.1299
AAK1|22848	1946.8009	AAK1|22848	1495.8625
AAMP|14	1943.5658	AAMP|14	1264.3751
AARS2|57505	384.2344	AARS2|57505	343.9041
AARSD1|80755	569.0151	AARSD1|80755	400.3819
AARS|16	2599.2092	AARS|16	1758.7524
AASDHPPT|60496	896.8368	AASDHPPT|60496	1020.1379
AASDH|132949	475.5572	AASDH|132949	632.5058
AASS|10157	224.2991	AASS|10157	597.7085
AATF|26574	1716.0316	AATF|26574	742.2024
AATK|9625	28.3968	AATK|9625	32.4634
ABAT|18	1787.9224	ABAT|18	1684.7019
ABCA10|10349	16.8943	ABCA10|10349	615.7437
ABCA11P|79963	124.6873	ABCA11P|79963	233.7789
ABCA12|26154	141.2653	ABCA12|26154	219.3932
lowly_expressed	lowly_expressed	ABCA13|154664	61.1076
ABCA1|19	1524.0726	ABCA1|19	1633.0469
ABCA2|20	1544.2128	ABCA2|20	1050.4986
ABCA3|21	1305.5356	ABCA3|21	1384.0441
ABCA4|24	51.4019	ABCA4|24	79.9915
ABCA5|23461	303.3789	ABCA5|23461	1043.7089
ABCA6|23460	230.4098	ABCA6|23460	1046.6794
ABCA7|10347	160.3163	ABCA7|10347	192.4464
ABCA8|10351	480.2301	ABCA8|10351	1992.3616
ABCA9|10350	179.7268	ABCA9|10350	1279.8642
ABCB10|23456	697.6995	ABCB10|23456	609.3783
ABCB1|5243	123.2926	ABCB1|5243	206.6624
ABCB4|5244	8.6269	ABCB4|5244	16.55
ABCB5|340273	5.7513	ABCB5|340273	19.0961
ABCB6|10058	534.9712	ABCB6|10058	312.3913
ABCB7|22	345.4349	ABCB7|22	528.9624
ABCB8|11194	550.683	ABCB8|11194	380.2249
ABCB9|23457	71.1071	ABCB9|23457	57.4411
ABCC10|89845	411.215	ABCC10|89845	304.477
ABCC11|85320	704.5291	ABCC11|85320	431.5722
lowly_expressed	lowly_expressed	ABCC12|94160	5.941
ABCC13|150000	33.7886	ABCC13|150000	15.4891
ABCC1|4363	1666.0676	ABCC1|4363	1005.5167
ABCC2|1244	17.6132	ABCC2|1244	37.3435
ABCC3|8714	559.6693	ABCC3|8714	371.5256
ABCC4|10257	143.7815	ABCC4|10257	128.3683
ABCC5|10057	2825.665	ABCC5|10057	1574.5809
lowly_expressed	lowly_expressed	ABCC6P1|653190	5.7288
ABCC6P2|730013	9.3458	ABCC6P2|730013	18.2474
ABCC6|368	40.6183	ABCC6|368	104.1799
ABCC8|6833	48.1668	ABCC8|6833	76.8088
ABCC9|10060	419.8418	ABCC9|10060	563.972
ABCD1|215	202.7318	ABCD1|215	140.6747
ABCD2|225	12.2214	ABCD2|225	164.651
ABCD3|5825	2197.6995	ABCD3|5825	2645.4488
ABCD4|5826	343.2782	ABCD4|5826	424.3582
ABCE1|6059	2792.5953	ABCE1|6059	2396.7749
ABCF1|23	1612.8684	ABCF1|23	1240.3989
ABCF2|10061	1323.1488	ABCF2|10061	1016.9743
ABCF3|55324	2232.207	ABCF3|55324	767.6639
ABCG1|9619	663.1919	ABCG1|9619	678.9731
ABCG2|9429	48.1668	ABCG2|9429	117.335
ABHD10|55347	312.3652	ABHD10|55347	868.8733
ABHD11|83451	1006.4702	ABHD11|83451	604.7104
ABHD12|26090	1441.4091	ABHD12|26090	654.9968
ABHD13|84945	626.5277	ABHD13|84945	919.7963
ABHD14A|25864	110.3523	ABHD14A|25864	111.795
ABHD14B|84836	541.6966	ABHD14B|84836	1085.7203
ABHD15|116236	433.8605	ABHD15|116236	363.8871
ABHD1|84696	16.8943	ABHD1|84696	25.6737
ABHD2|11057	16370.5967	ABHD2|11057	8091.4492
ABHD3|171586	415.1689	ABHD3|171586	793.3376
ABHD4|63874	632.9978	ABHD4|63874	659.4526
ABHD5|51099	868.44	ABHD5|51099	990.6641
ABHD6|57406	93.0985	ABHD6|57406	131.551
ABHD8|79575	138.0302	ABHD8|79575	113.728
ABI1|10006	1967.9044	ABI1|10006	1936.5097
ABI2|10152	1221.7829	ABI2|10152	1987.9058
ABI3BP|25890	1032.3508	ABI3BP|25890	1033.0999
ABI3|51225	121.4953	ABI3|51225	77.8697
ABL1|25	3229.3314	ABL1|25	2269.4674
ABL2|27	2745.8663	ABL2|27	1645.8731
ABLIM1|3983	2565.78	ABLIM1|3983	4664.9692
ABLIM2|84448	101.7254	ABLIM2|84448	51.1352
ABLIM3|22885	501.0784	ABLIM3|22885	1186.0811
ABO|28	18.3321	ABO|28	12.0942
ABP1|26	43.1344	lowly_expressed	lowly_expressed
ABR|29	1505.7513	ABR|29	1673.8808
ABT1|29777	536.6643	ABT1|29777	439.8472
ABTB1|80325	138.3896	ABTB1|80325	245.7034
ABTB2|25841	175.0539	ABTB2|25841	64.2903
