gene_id	TCGA-BH-A1F0-01A-11R-A137-07	gene_id	TCGA-BH-A1F0-11B-23R-A137-07
?|100133144	6.6244	?|100133144	5.9731
?|10357	109.059	?|10357	112.8029
?|10431	909.9903	?|10431	747.552
?|155060	118.5074	?|155060	190.0245
?|340602	7.7428	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	?|390284	5.508
?|553137	163.0283	lowly_expressed	lowly_expressed
?|57714	1695.4511	?|57714	295.5936
?|645851	7.7428	?|645851	7.3439
?|652919	25.1489	lowly_expressed	lowly_expressed
?|653553	69.4698	?|653553	145.9608
lowly_expressed	lowly_expressed	?|729884	6.7319
?|8225	297.2363	?|8225	444.6144
lowly_expressed	lowly_expressed	?|90288	9.7919
A1BG|1	43.3487	A1BG|1	58.5343
A2LD1|87769	77.5567	A2LD1|87769	94.2411
A2M|2	22390.7216	A2M|2	31718.0202
A4GALT|53947	303.0433	A4GALT|53947	402.6928
AAAS|8086	400.6882	AAAS|8086	494.186
AACS|65985	769.9753	AACS|65985	712.3623
AADAT|51166	31.4012	AADAT|51166	78.6414
AAGAB|79719	977.5245	AAGAB|79719	1074.6634
AAK1|22848	1277.7718	AAK1|22848	1056.3035
AAMP|14	1795.0317	AAMP|14	1975.8262
AARS2|57505	452.0895	AARS2|57505	369.6144
AARSD1|80755	748.6827	AARSD1|80755	424.4186
AARS|16	2726.7448	AARS|16	2389.8409
AASDHPPT|60496	986.7728	AASDHPPT|60496	911.8727
AASDH|132949	366.0609	AASDH|132949	430.5386
AASS|10157	196.7954	AASS|10157	748.164
AATF|26574	1495.6447	AATF|26574	1062.7295
AATK|9625	24.5188	AATK|9625	39.4737
ABAT|18	153.3498	ABAT|18	538.2497
ABCA10|10349	53.124	ABCA10|10349	257.3439
ABCA11P|79963	80.1979	ABCA11P|79963	153.2864
ABCA12|26154	12.0443	ABCA12|26154	24.4798
ABCA13|154664	555.5436	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	ABCA17P|650655	8.5679
ABCA1|19	1482.7186	ABCA1|19	2312.3256
ABCA2|20	708.8934	ABCA2|20	843.6353
ABCA3|21	1052.8014	ABCA3|21	826.1934
ABCA4|24	30.3258	ABCA4|24	182.0685
ABCA5|23461	313.152	ABCA5|23461	896.8788
ABCA6|23460	290.999	ABCA6|23460	454.7124
ABCA7|10347	258.5224	ABCA7|10347	230.7222
ABCA8|10351	475.1048	ABCA8|10351	1742.9621
ABCA9|10350	195.5049	ABCA9|10350	906.3647
ABCB10|23456	994.0854	ABCB10|23456	437.8825
ABCB11|8647	10.1086	ABCB11|8647	9.4859
ABCB1|5243	177.4384	lowly_expressed	lowly_expressed
ABCB4|5244	31.4012	ABCB4|5244	22.9498
ABCB5|340273	71.1905	ABCB5|340273	210.5263
ABCB6|10058	346.5857	ABCB6|10058	406.784
ABCB7|22	454.2424	ABCB7|22	563.9535
ABCB8|11194	485.2135	ABCB8|11194	297.4296
ABCB9|23457	135.3909	ABCB9|23457	128.8127
ABCC10|89845	541.3485	ABCC10|89845	318.2375
lowly_expressed	lowly_expressed	ABCC11|85320	63.3415
ABCC1|4363	1990.7517	ABCC1|4363	992.3501
ABCC2|1244	91.8378	ABCC2|1244	23.2558
ABCC3|8714	192.4938	ABCC3|8714	339.3513
ABCC4|10257	308.2052	ABCC4|10257	188.4945
ABCC5|10057	944.4026	ABCC5|10057	507.9559
lowly_expressed	lowly_expressed	ABCC6P1|653190	10.0979
lowly_expressed	lowly_expressed	ABCC6P2|730013	18.3599
ABCC6|368	6.4523	ABCC6|368	116.2791
lowly_expressed	lowly_expressed	ABCC8|6833	140.1469
ABCC9|10060	546.2953	ABCC9|10060	895.3488
ABCD1|215	475.1048	ABCD1|215	354.9572
ABCD2|225	70.3301	ABCD2|225	199.5104
ABCD3|5825	1408.1084	ABCD3|5825	1878.519
ABCD4|5826	419.1849	ABCD4|5826	676.5606
ABCE1|6059	2640.7141	ABCE1|6059	1584.4553
ABCF1|23	2214.2166	ABCF1|23	1358.0171
ABCF2|10061	1429.401	ABCF2|10061	1063.6475
ABCF3|55324	1124.2069	ABCF3|55324	777.8458
ABCG1|9619	672.1153	ABCG1|9619	559.9755
ABCG2|9429	135.0683	ABCG2|9429	184.5165
lowly_expressed	lowly_expressed	ABCG8|64241	6.7319
ABHD10|55347	756.6405	ABHD10|55347	720.9302
ABHD11|83451	1326.3792	ABHD11|83451	306.6095
lowly_expressed	lowly_expressed	ABHD12B|145447	5.202
ABHD12|26090	1130.6592	ABHD12|26090	653.6108
ABHD13|84945	599.8494	ABHD13|84945	743.88
ABHD14A|25864	155.1328	ABHD14A|25864	279.3758
ABHD14B|84836	1139.4774	ABHD14B|84836	2363.2191
ABHD15|116236	381.7615	ABHD15|116236	617.1971
